Date 	Time 	Temp
10/22/09	11:00:28.0 	26.573
10/22/09	12:00:28.0 	23.905
10/22/09	13:00:28.0 	12.678
10/22/09	14:00:28.0 	8.245
10/22/09	15:00:28.0 	6.458
10/22/09	16:00:28.0 	6.535
10/22/09	17:00:28.0 	6.153
10/22/09	18:00:28.0 	6.357
10/22/09	19:00:28.0 	6.408
10/22/09	20:00:28.0 	6.357
10/22/09	21:00:28.0 	6.255
10/22/09	22:00:28.0 	6.331
10/22/09	23:00:28.0 	6.560
10/23/09	00:00:28.0 	6.737
10/23/09	01:00:28.0 	6.813
10/23/09	02:00:28.0 	7.041
10/23/09	03:00:28.0 	7.066
10/23/09	04:00:28.0 	6.687
10/23/09	05:00:28.0 	6.230
10/23/09	06:00:28.0 	6.255
10/23/09	07:00:28.0 	6.458
10/23/09	08:00:28.0 	6.357
10/23/09	09:00:28.0 	6.433
10/23/09	10:00:28.0 	6.306
10/23/09	11:00:28.0 	6.306
10/23/09	12:00:28.0 	8.295
10/23/09	13:00:28.0 	7.820
10/23/09	14:00:28.0 	10.247
10/23/09	15:00:28.0 	7.167
10/23/09	16:00:28.0 	7.167
10/23/09	17:00:28.0 	7.167
10/23/09	18:00:28.0 	7.167
10/23/09	19:00:28.0 	7.167
10/23/09	20:00:28.0 	7.192
10/23/09	21:00:28.0 	7.167
10/23/09	22:00:28.0 	7.167
10/23/09	23:00:28.0 	7.192
10/24/09	00:00:28.0 	7.167
10/24/09	01:00:28.0 	7.167
10/24/09	02:00:28.0 	7.192
10/24/09	03:00:28.0 	7.167
10/24/09	04:00:28.0 	7.192
10/24/09	05:00:28.0 	7.167
10/24/09	06:00:28.0 	7.167
10/24/09	07:00:28.0 	7.167
10/24/09	08:00:28.0 	7.167
10/24/09	09:00:28.0 	5.616
10/24/09	10:00:28.0 	5.437
10/24/09	11:00:28.0 	6.255
10/24/09	12:00:28.0 	6.636
10/24/09	13:00:28.0 	6.763
10/24/09	14:00:28.0 	6.408
10/24/09	15:00:28.0 	6.712
10/24/09	16:00:28.0 	6.585
10/24/09	17:00:28.0 	7.368
10/24/09	18:00:28.0 	7.393
10/24/09	19:00:28.0 	7.368
10/24/09	20:00:28.0 	7.368
10/24/09	21:00:28.0 	7.419
10/24/09	22:00:28.0 	7.444
10/24/09	23:00:28.0 	7.494
10/25/09	00:00:28.0 	7.519
10/25/09	01:00:28.0 	7.444
10/25/09	02:00:28.0 	7.494
10/25/09	03:00:28.0 	7.368
10/25/09	04:00:28.0 	7.393
10/25/09	05:00:28.0 	7.419
10/25/09	06:00:28.0 	7.444
10/25/09	07:00:28.0 	7.444
10/25/09	08:00:28.0 	7.469
10/25/09	09:00:28.0 	7.419
10/25/09	10:00:28.0 	7.293
10/25/09	11:00:28.0 	7.393
10/25/09	12:00:28.0 	7.419
