Date	Time	Temp (°C) c:1
02/12/10	12:18:01.0 	26.109
02/12/10	13:18:01.0 	24.026
02/12/10	14:18:01.0 	22.776
02/12/10	15:18:01.0 	22.298
02/12/10	16:18:01.0 	22.058
02/12/10	17:18:01.0 	21.915
02/12/10	18:18:01.0 	21.772
02/12/10	19:18:01.0 	21.652
02/12/10	20:18:01.0 	21.533
02/12/10	21:18:01.0 	21.437
02/12/10	22:18:01.0 	21.390
02/12/10	23:18:01.0 	21.318
02/13/10	00:18:01.0 	21.246
02/13/10	01:18:01.0 	21.151
02/13/10	02:18:01.0 	21.103
02/13/10	03:18:01.0 	21.079
02/13/10	04:18:01.0 	21.032
02/13/10	05:18:01.0 	21.032
02/13/10	06:18:01.0 	21.008
02/13/10	07:18:01.0 	21.032
02/13/10	08:18:01.0 	21.032
02/13/10	09:18:01.0 	21.079
02/13/10	10:18:01.0 	21.127
02/13/10	11:18:01.0 	21.151
02/13/10	12:18:01.0 	21.127
02/13/10	13:18:01.0 	21.199
02/13/10	14:18:01.0 	21.175
02/13/10	15:18:01.0 	15.796
02/13/10	16:18:01.0 	12.630
02/13/10	17:18:01.0 	11.880
02/13/10	18:18:01.0 	11.078
02/13/10	19:18:01.0 	10.198
02/13/10	20:18:01.0 	9.558
02/13/10	21:18:01.0 	8.916
02/13/10	22:18:01.0 	8.145
02/13/10	23:18:01.0 	7.318
02/14/10	00:18:01.0 	6.687
02/14/10	01:18:01.0 	6.102
02/14/10	02:18:01.0 	5.642
02/14/10	03:18:01.0 	5.360
02/14/10	04:18:01.0 	5.154
02/14/10	05:18:01.0 	5.076
02/14/10	06:18:01.0 	5.128
02/14/10	07:18:01.0 	5.128
02/14/10	08:18:01.0 	5.154
02/14/10	09:18:01.0 	6.051
02/14/10	10:18:01.0 	7.695
02/14/10	11:18:01.0 	8.494
02/14/10	12:18:01.0 	10.443
02/14/10	13:18:01.0 	12.050
02/14/10	14:18:01.0 	14.816
02/14/10	15:18:01.0 	15.915
02/14/10	16:18:01.0 	16.463
02/14/10	17:18:01.0 	16.368
02/14/10	18:18:01.0 	17.225
02/14/10	19:18:01.0 	17.796
02/14/10	20:18:01.0 	17.938
02/14/10	21:18:01.0 	18.818
02/14/10	22:18:01.0 	20.865
02/14/10	23:18:01.0 	21.891
02/15/10	00:18:01.0 	22.441
02/15/10	01:18:01.0 	22.274
02/15/10	02:18:01.0 	22.250
02/15/10	03:18:01.0 	22.250
02/15/10	04:18:01.0 	21.795
02/15/10	05:18:01.0 	21.246
02/15/10	06:18:01.0 	20.627
02/15/10	07:18:01.0 	20.103
02/15/10	08:18:01.0 	20.150
02/15/10	09:18:01.0 	21.628
02/15/10	10:18:01.0 	22.633
02/15/10	11:18:01.0 	21.509
02/15/10	12:18:01.0 	20.698
02/15/10	13:18:01.0 	19.413
02/15/10	14:18:01.0 	18.937
02/15/10	15:18:01.0 	18.414
02/15/10	16:18:01.0 	17.605
02/15/10	17:18:01.0 	19.222
02/15/10	18:18:01.0 	18.557
02/15/10	19:18:01.0 	18.033
02/15/10	20:18:01.0 	5.514
02/15/10	21:18:01.0 	5.539
02/15/10	22:18:01.0 	5.514
02/15/10	23:18:01.0 	5.591
02/16/10	00:18:01.0 	5.719
02/16/10	01:18:01.0 	5.693
02/16/10	02:18:01.0 	5.668
02/16/10	03:18:01.0 	5.591
02/16/10	04:18:01.0 	5.591
02/16/10	05:18:01.0 	5.591
02/16/10	06:18:01.0 	5.591
02/16/10	07:18:01.0 	5.539
02/16/10	08:18:01.0 	5.488
02/16/10	09:18:01.0 	5.514
02/16/10	10:18:01.0 	5.514
02/16/10	11:18:01.0 	5.539
02/16/10	12:18:01.0 	5.668
02/16/10	13:18:01.0 	5.719
02/16/10	14:18:01.0 	5.668
02/16/10	15:18:01.0 	5.565
02/16/10	16:18:01.0 	5.591
02/16/10	17:18:01.0 	5.591
02/16/10	18:18:01.0 	5.591
02/16/10	19:18:01.0 	5.539
02/16/10	20:18:01.0 	5.488
02/16/10	21:18:01.0 	5.514
02/16/10	22:18:01.0 	5.514
02/16/10	23:18:01.0 	5.488
02/17/10	00:18:01.0 	5.693
02/17/10	01:18:01.0 	5.719
02/17/10	02:18:01.0 	5.719
02/17/10	03:18:01.0 	5.539
