Date	Time	Temperature  (*C)
02/17/10	12:05:07	23.26
02/17/10	13:05:07	23.26
02/17/10	14:05:07	23.26
02/17/10	15:05:07	23.77
02/17/10	16:05:07	21.91
02/17/10	17:05:07	19.94
02/17/10	18:05:07	16.87
02/17/10	19:05:07	11.54
02/17/10	20:05:07	9.06
02/17/10	21:05:07	7.36
02/17/10	22:05:07	6.42
02/17/10	23:05:07	5.79
02/18/10	00:05:07	5.33
02/18/10	01:05:07	5.02
02/18/10	02:05:07	4.39
02/18/10	03:05:07	3.92
02/18/10	04:05:07	3.44
02/18/10	05:05:07	3.44
02/18/10	06:05:07	3.44
02/18/10	07:05:07	3.76
02/18/10	08:05:07	3.92
02/18/10	09:05:07	3.76
02/18/10	10:05:07	3.92
02/18/10	11:05:07	5.33
02/18/10	12:05:07	5.17
02/18/10	13:05:07	5.17
02/18/10	14:05:07	5.17
02/18/10	15:05:07	5.17
02/18/10	16:05:07	5.17
02/18/10	17:05:07	5.17
02/18/10	18:05:07	5.17
02/18/10	19:05:07	5.17
02/18/10	20:05:07	5.17
02/18/10	21:05:07	5.17
02/18/10	22:05:07	5.17
02/18/10	23:05:07	5.17
02/19/10	00:05:07	5.33
02/19/10	01:05:07	5.17
02/19/10	02:05:07	5.17
02/19/10	03:05:07	5.17
02/19/10	04:05:07	5.17
02/19/10	05:05:07	5.17
02/19/10	06:05:07	5.17
02/19/10	07:05:07	5.17
02/19/10	08:05:07	5.17
02/19/10	09:05:07	5.17
02/19/10	10:05:07	5.17
02/19/10	11:05:07	5.17
02/19/10	12:05:07	5.17
02/19/10	13:05:07	5.33
02/19/10	14:05:07	5.17
02/19/10	15:05:07	5.17
02/19/10	16:05:07	5.17
02/19/10	17:05:07	5.17
02/19/10	18:05:07	5.17
02/19/10	19:05:07	5.17
02/19/10	20:05:07	5.17
02/19/10	21:05:07	5.17
02/19/10	22:05:07	5.17
02/19/10	23:05:07	5.17
02/20/10	00:05:07	5.17
02/20/10	01:05:07	5.33
02/20/10	02:05:07	5.17
02/20/10	03:05:07	5.17
02/20/10	04:05:07	5.17
02/20/10	05:05:07	5.17
02/20/10	06:05:07	5.17
02/20/10	07:05:07	5.17
02/20/10	08:05:07	5.17
02/20/10	09:05:07	5.17
02/20/10	10:05:07	5.17
02/20/10	11:05:07	5.17
02/20/10	12:05:07	5.17
02/20/10	13:05:07	5.17
02/20/10	14:05:07	4.86
02/20/10	15:05:07	5.17
02/20/10	16:05:07	5.17
02/20/10	17:05:07	3.92
02/20/10	18:05:07	3.44
02/20/10	19:05:07	3.29
02/20/10	20:05:07	3.29
02/20/10	21:05:07	3.29
02/20/10	22:05:07	2.49
02/20/10	23:05:07	1.86
02/21/10	00:05:07	1.22
02/21/10	01:05:07	0.73
02/21/10	02:05:07	0.25
02/21/10	03:05:07	-0.07
02/21/10	04:05:07	-0.39
02/21/10	05:05:07	-0.07
02/21/10	06:05:07	0.57
02/21/10	07:05:07	0.89
02/21/10	08:05:07	0.89
02/21/10	09:05:07	1.22
02/21/10	10:05:07	1.54
02/21/10	11:05:07	2.18
02/21/10	12:05:07	2.81
02/21/10	13:05:07	3.92
02/21/10	14:05:07	5.17
02/21/10	15:05:07	5.33
02/21/10	16:05:07	6.27
02/21/10	17:05:07	6.58
02/21/10	18:05:07	6.58
02/21/10	19:05:07	8.13
02/21/10	20:05:07	9.68
02/21/10	21:05:07	8.13
02/21/10	22:05:07	6.27
02/21/10	23:05:07	4.55
02/22/10	00:05:07	3.13
02/22/10	01:05:07	1.86
02/22/10	02:05:07	0.89
02/22/10	03:05:07	-0.07
02/22/10	04:05:07	-0.88
02/22/10	05:05:07	-1.53
02/22/10	06:05:07	-2.03
02/22/10	07:05:07	-2.53
02/22/10	08:05:07	-3.03
02/22/10	09:05:07	-3.20
02/22/10	10:05:07	-3.37
02/22/10	11:05:07	-2.86
02/22/10	12:05:07	-0.56
02/22/10	13:05:07	5.33
02/22/10	14:05:07	9.68
