Date	Time	Temperature  (*C)
02/17/10	13:02:50	23.38
02/17/10	14:02:50	23.07
02/17/10	15:02:50	23.07
02/17/10	16:02:50	22.75
02/17/10	17:02:50	22.75
02/17/10	18:02:50	22.75
02/17/10	19:02:50	22.75
02/17/10	20:02:50	22.75
02/17/10	21:02:50	22.44
02/17/10	22:02:50	22.44
02/17/10	23:02:50	22.44
02/18/10	00:02:50	22.12
02/18/10	01:02:50	22.12
02/18/10	02:02:50	22.12
02/18/10	03:02:50	22.12
02/18/10	04:02:50	22.12
02/18/10	05:02:50	22.12
02/18/10	06:02:50	22.12
02/18/10	07:02:50	22.12
02/18/10	08:02:50	22.12
02/18/10	09:02:50	22.12
02/18/10	10:02:50	22.44
02/18/10	11:02:50	22.44
02/18/10	12:02:50	22.12
02/18/10	13:02:50	22.12
02/18/10	14:02:50	22.12
02/18/10	15:02:50	22.12
02/18/10	16:02:50	23.38
02/18/10	17:02:50	18.18
02/18/10	18:02:50	16.99
02/18/10	19:02:50	14.64
02/18/10	20:02:50	12.62
02/18/10	21:02:50	10.60
02/18/10	22:02:50	8.59
02/18/10	23:02:50	7.14
02/19/10	00:02:50	5.70
02/19/10	01:02:50	4.26
02/19/10	02:02:50	3.08
02/19/10	03:02:50	2.20
02/19/10	04:02:50	1.01
02/19/10	05:02:50	0.12
02/19/10	06:02:50	-0.47
02/19/10	07:02:50	-1.08
02/19/10	08:02:50	-0.17
02/19/10	09:02:50	12.91
02/19/10	10:02:50	18.48
02/19/10	11:02:50	19.97
02/19/10	12:02:50	20.58
02/19/10	13:02:50	20.88
02/19/10	14:02:50	20.88
02/19/10	15:02:50	21.50
02/19/10	16:02:50	21.19
02/19/10	17:02:50	19.97
02/19/10	18:02:50	17.28
02/19/10	19:02:50	15.22
02/19/10	20:02:50	12.91
02/19/10	21:02:50	11.46
02/19/10	22:02:50	9.74
02/19/10	23:02:50	7.43
02/20/10	00:02:50	5.70
02/20/10	01:02:50	3.97
02/20/10	02:02:50	2.49
02/20/10	03:02:50	1.31
02/20/10	04:02:50	0.42
02/20/10	05:02:50	-0.17
02/20/10	06:02:50	9.74
02/20/10	07:02:50	14.06
02/20/10	08:02:50	17.28
02/20/10	09:02:50	20.58
02/20/10	10:02:50	21.50
02/20/10	11:02:50	22.12
02/20/10	12:02:50	22.44
02/20/10	13:02:50	22.12
02/20/10	14:02:50	21.81
02/20/10	15:02:50	19.67
02/20/10	16:02:50	18.78
02/20/10	17:02:50	18.18
02/20/10	18:02:50	18.18
02/20/10	19:02:50	18.48
02/20/10	20:02:50	18.18
02/20/10	21:02:50	18.18
02/20/10	22:02:50	18.18
02/20/10	23:02:50	17.58
02/21/10	00:02:50	17.58
02/21/10	01:02:50	17.88
02/21/10	02:02:50	18.18
02/21/10	03:02:50	18.78
02/21/10	04:02:50	18.78
02/21/10	05:02:50	18.78
02/21/10	06:02:50	18.78
02/21/10	07:02:50	18.78
02/21/10	08:02:50	18.48
02/21/10	09:02:50	17.28
02/21/10	10:02:50	16.39
02/21/10	11:02:50	16.69
02/21/10	12:02:50	16.99
02/21/10	13:02:50	17.28
02/21/10	14:02:50	19.37
02/21/10	15:02:50	5.42
02/21/10	16:02:50	5.42
02/21/10	17:02:50	5.42
02/21/10	18:02:50	5.42
02/21/10	19:02:50	5.42
02/21/10	20:02:50	5.42
02/21/10	21:02:50	5.42
02/21/10	22:02:50	5.42
02/21/10	23:02:50	5.42
02/22/10	00:02:50	5.42
02/22/10	01:02:50	5.42
02/22/10	02:02:50	5.42
02/22/10	03:02:50	5.42
02/22/10	04:02:50	5.42
02/22/10	05:02:50	5.42
02/22/10	06:02:50	5.42
02/22/10	07:02:50	5.42
02/22/10	08:02:50	5.42
02/22/10	09:02:50	5.42
02/22/10	10:02:50	5.42
02/22/10	11:02:50	5.42
02/22/10	12:02:50	5.42
02/22/10	13:02:50	5.42
02/22/10	14:02:50	5.42
02/22/10	15:02:50	5.42
02/22/10	16:02:50	5.42
02/22/10	17:02:50	5.42
02/22/10	18:02:50	5.42
02/22/10	19:02:50	5.42
02/22/10	20:02:50	5.42
02/22/10	21:02:50	5.42
02/22/10	22:02:50	5.42
02/22/10	23:02:50	5.42
02/23/10	00:02:50	5.42
02/23/10	01:02:50	5.42
02/23/10	02:02:50	5.42
02/23/10	03:02:50	5.42
02/23/10	04:02:50	5.42
02/23/10	05:02:50	5.42
02/23/10	06:02:50	5.42
02/23/10	07:02:50	5.42
02/23/10	08:02:50	5.42
02/23/10	09:02:50	5.42
02/23/10	10:02:50	5.42
02/23/10	11:02:50	5.42
02/23/10	12:02:50	5.42
02/23/10	13:02:50	5.42
02/23/10	14:02:50	5.42
02/23/10	15:02:50	5.70
02/23/10	16:02:50	15.81
02/23/10	17:02:50	17.58
02/23/10	18:02:50	17.88
02/23/10	19:02:50	18.18
02/23/10	20:02:50	18.48
02/23/10	21:02:50	18.48
02/23/10	22:02:50	18.48
02/23/10	23:02:50	18.18
02/24/10	00:02:50	18.18
02/24/10	01:02:50	18.18
02/24/10	02:02:50	18.18
02/24/10	03:02:50	18.18
02/24/10	04:02:50	18.18
02/24/10	05:02:50	18.18
02/24/10	06:02:50	18.18
02/24/10	07:02:50	18.48
02/24/10	08:02:50	18.48
02/24/10	09:02:50	18.18
02/24/10	10:02:50	17.88
02/24/10	11:02:50	17.88
02/24/10	12:02:50	17.88
02/24/10	13:02:50	17.88
02/24/10	14:02:50	17.88
02/24/10	15:02:50	17.88
02/24/10	16:02:50	17.88
02/24/10	17:02:50	17.88
02/24/10	18:02:50	17.88
02/24/10	19:02:50	17.58
02/24/10	20:02:50	17.28
02/24/10	21:02:50	16.99
02/24/10	22:02:50	16.99
02/24/10	23:02:50	16.99
02/25/10	00:02:50	16.10
02/25/10	01:02:50	14.35
02/25/10	02:02:50	12.91
02/25/10	03:02:50	11.75
02/25/10	04:02:50	10.89
02/25/10	05:02:50	9.74
02/25/10	06:02:50	8.88
02/25/10	07:02:50	8.30
02/25/10	08:02:50	7.43
02/25/10	09:02:50	6.86
02/25/10	10:02:50	13.19
02/25/10	11:02:50	22.44
