Date	Time	Temperature  (*C)
03/03/10	09:54:35	24.22
03/03/10	10:54:35	23.19
03/03/10	11:54:35	23.19
03/03/10	12:54:35	23.19
03/03/10	13:54:35	23.36
03/03/10	14:54:35	23.36
03/03/10	15:54:35	23.53
03/03/10	16:54:35	19.88
03/03/10	17:54:35	15.87
03/03/10	18:54:35	13.37
03/03/10	19:54:35	11.04
03/03/10	20:54:35	9.18
03/03/10	21:54:35	7.94
03/03/10	22:54:35	8.10
03/03/10	23:54:35	7.63
03/04/10	00:54:35	8.10
03/04/10	01:54:35	7.17
03/04/10	02:54:35	6.39
03/04/10	03:54:35	5.62
03/04/10	04:54:35	4.99
03/04/10	05:54:35	4.52
03/04/10	06:54:35	4.06
03/04/10	07:54:35	3.74
03/04/10	08:54:35	3.74
03/04/10	09:54:35	4.06
03/04/10	10:54:35	4.52
03/04/10	11:54:35	5.77
03/04/10	12:54:35	6.08
03/04/10	13:54:35	9.49
03/04/10	14:54:35	8.87
03/04/10	15:54:35	7.94
03/04/10	16:54:35	7.17
03/04/10	17:54:35	10.42
03/04/10	18:54:35	13.37
03/04/10	19:54:35	14.44
03/04/10	20:54:35	14.92
03/04/10	21:54:35	15.23
03/04/10	22:54:35	15.39
03/04/10	23:54:35	14.76
03/05/10	00:54:35	13.82
03/05/10	01:54:35	13.06
03/05/10	02:54:35	12.59
03/05/10	03:54:35	12.28
03/05/10	04:54:35	11.81
03/05/10	05:54:35	11.66
03/05/10	06:54:35	11.34
03/05/10	07:54:35	11.04
03/05/10	08:54:35	11.04
03/05/10	09:54:35	10.58
03/05/10	10:54:35	10.27
03/05/10	11:54:35	10.27
03/05/10	12:54:35	10.42
03/05/10	13:54:35	12.12
03/05/10	14:54:35	12.28
03/05/10	15:54:35	12.28
03/05/10	16:54:35	12.28
03/05/10	17:54:35	12.12
03/05/10	18:54:35	11.97
03/05/10	19:54:35	11.97
03/05/10	20:54:35	12.12
03/05/10	21:54:35	12.12
03/05/10	22:54:35	12.12
03/05/10	23:54:35	12.59
03/06/10	00:54:35	12.59
03/06/10	01:54:35	12.74
03/06/10	02:54:35	12.90
03/06/10	03:54:35	13.06
03/06/10	04:54:35	13.37
03/06/10	05:54:35	13.21
03/06/10	06:54:35	13.21
03/06/10	07:54:35	13.37
03/06/10	08:54:35	13.37
03/06/10	09:54:35	13.67
03/06/10	10:54:35	13.98
03/06/10	11:54:35	14.29
03/06/10	12:54:35	14.29
03/06/10	13:54:35	15.23
03/06/10	14:54:35	16.98
03/06/10	15:54:35	19.40
03/06/10	16:54:35	4.37
03/06/10	17:54:35	3.27
03/06/10	18:54:35	2.48
03/06/10	19:54:35	2.64
03/06/10	20:54:35	2.33
03/06/10	21:54:35	1.53
03/06/10	22:54:35	1.69
03/06/10	23:54:35	2.48
03/07/10	00:54:35	1.85
03/07/10	01:54:35	1.38
03/07/10	02:54:35	1.53
03/07/10	03:54:35	1.06
03/07/10	04:54:35	1.22
03/07/10	05:54:35	0.74
03/07/10	06:54:35	0.26
03/07/10	07:54:35	5.93
03/07/10	08:54:35	5.93
03/07/10	09:54:35	5.93
03/07/10	10:54:35	5.93
03/07/10	11:54:35	5.77
03/07/10	12:54:35	5.77
03/07/10	13:54:35	5.77
03/07/10	14:54:35	5.93
03/07/10	15:54:35	5.93
03/07/10	16:54:35	5.93
03/07/10	17:54:35	5.93
03/07/10	18:54:35	5.93
03/07/10	19:54:35	5.93
03/07/10	20:54:35	5.93
03/07/10	21:54:35	6.08
03/07/10	22:54:35	5.93
03/07/10	23:54:35	5.93
03/08/10	00:54:35	5.93
03/08/10	01:54:35	5.93
03/08/10	02:54:35	5.93
03/08/10	03:54:35	5.93
03/08/10	04:54:35	5.93
03/08/10	05:54:35	5.93
03/08/10	06:54:35	5.93
03/08/10	07:54:35	5.93
03/08/10	08:54:35	5.93
03/08/10	09:54:35	5.93
03/08/10	10:54:35	5.93
03/08/10	11:54:35	5.93
03/08/10	12:54:35	5.93
03/08/10	13:54:35	5.93
03/08/10	14:54:35	5.93
03/08/10	15:54:35	6.08
03/08/10	16:54:35	6.08
03/08/10	17:54:35	6.08
03/08/10	18:54:35	6.08
03/08/10	19:54:35	6.08
03/08/10	20:54:35	6.08
03/08/10	21:54:35	6.08
03/08/10	22:54:35	6.08
03/08/10	23:54:35	6.08
03/09/10	00:54:35	6.08
03/09/10	01:54:35	6.08
03/09/10	02:54:35	6.08
03/09/10	03:54:35	6.08
03/09/10	04:54:35	6.08
03/09/10	05:54:35	6.08
03/09/10	06:54:35	6.08
03/09/10	07:54:35	5.93
03/09/10	08:54:35	5.93
03/09/10	09:54:35	6.08
03/09/10	10:54:35	6.08
03/09/10	11:54:35	6.08
03/09/10	12:54:35	6.08
03/09/10	13:54:35	6.08
03/09/10	14:54:35	6.08
03/09/10	15:54:35	6.08
03/09/10	16:54:35	6.08
03/09/10	17:54:35	5.93
03/09/10	18:54:35	5.93
03/09/10	19:54:35	5.93
03/09/10	20:54:35	5.93
03/09/10	21:54:35	5.93
03/09/10	22:54:35	6.08
03/09/10	23:54:35	6.08
03/10/10	00:54:35	6.08
03/10/10	01:54:35	5.93
03/10/10	02:54:35	5.93
03/10/10	03:54:35	5.93
03/10/10	04:54:35	6.08
03/10/10	05:54:35	6.08
03/10/10	06:54:35	5.93
03/10/10	07:54:35	5.93
03/10/10	08:54:35	5.93
03/10/10	09:54:35	5.93
03/10/10	10:54:35	5.93
03/10/10	11:54:35	5.93
03/10/10	12:54:35	5.93
03/10/10	13:54:35	5.93
03/10/10	14:54:35	5.77
03/10/10	15:54:35	5.77
03/10/10	16:54:35	5.77
03/10/10	17:54:35	5.77
03/10/10	18:54:35	5.93
03/10/10	19:54:35	5.93
03/10/10	20:54:35	5.93
03/10/10	21:54:35	5.93
03/10/10	22:54:35	5.93
03/10/10	23:54:35	5.93
03/11/10	00:54:35	5.93
03/11/10	01:54:35	5.93
03/11/10	02:54:35	5.93
03/11/10	03:54:35	5.93
03/11/10	04:54:35	5.93
03/11/10	05:54:35	5.93
03/11/10	06:54:35	5.93
03/11/10	07:54:35	5.93
03/11/10	08:54:35	5.93
03/11/10	09:54:35	5.93
03/11/10	10:54:35	5.93
03/11/10	11:54:35	5.93
03/11/10	12:54:35	5.93
03/11/10	13:54:35	5.93
03/11/10	14:54:35	5.93
03/11/10	15:54:35	5.93
03/11/10	16:54:35	5.93
03/11/10	17:54:35	5.77
03/11/10	18:54:35	5.93
03/11/10	19:54:35	5.93
03/11/10	20:54:35	5.93
03/11/10	21:54:35	5.93
03/11/10	22:54:35	5.93
03/11/10	23:54:35	5.93
03/12/10	00:54:35	5.93
03/12/10	01:54:35	5.93
03/12/10	02:54:35	5.93
03/12/10	03:54:35	5.93
03/12/10	04:54:35	5.93
03/12/10	05:54:35	5.93
03/12/10	06:54:35	5.77
03/12/10	07:54:35	3.12
03/12/10	08:54:35	2.80
03/12/10	09:54:35	2.33
03/12/10	10:54:35	2.17
03/12/10	11:54:35	2.17
03/12/10	12:54:35	2.01
03/12/10	13:54:35	2.96
03/12/10	14:54:35	3.43
03/12/10	15:54:35	3.58
03/12/10	16:54:35	3.43
03/12/10	17:54:35	3.27
03/12/10	18:54:35	3.27
03/12/10	19:54:35	2.01
03/12/10	20:54:35	1.69
03/12/10	21:54:35	2.17
03/12/10	22:54:35	2.64
03/12/10	23:54:35	2.80
03/13/10	00:54:35	2.80
03/13/10	01:54:35	2.96
03/13/10	02:54:35	3.12
03/13/10	03:54:35	3.27
03/13/10	04:54:35	2.96
03/13/10	05:54:35	3.12
03/13/10	06:54:35	3.27
03/13/10	07:54:35	4.37
03/13/10	08:54:35	4.37
03/13/10	09:54:35	4.06
03/13/10	10:54:35	3.74
03/13/10	11:54:35	2.80
03/13/10	12:54:35	2.33
03/13/10	13:54:35	2.17
03/13/10	14:54:35	1.69
03/13/10	15:54:35	1.53
03/13/10	16:54:35	1.53
03/13/10	17:54:35	1.69
03/13/10	18:54:35	1.69
03/13/10	19:54:35	1.85
03/13/10	20:54:35	1.85
03/13/10	21:54:35	2.01
03/13/10	22:54:35	1.85
03/13/10	23:54:35	2.01
03/14/10	00:54:35	1.69
03/14/10	01:54:35	1.85
03/14/10	02:54:35	1.85
03/14/10	03:54:35	2.17
03/14/10	04:54:35	2.33
03/14/10	05:54:35	2.48
03/14/10	06:54:35	3.43
03/14/10	07:54:35	4.37
03/14/10	08:54:35	4.21
03/14/10	09:54:35	4.06
03/14/10	10:54:35	4.37
03/14/10	11:54:35	5.93
03/14/10	12:54:35	6.24
03/14/10	13:54:35	5.31
03/14/10	14:54:35	5.31
03/14/10	15:54:35	4.84
03/14/10	16:54:35	3.74
03/14/10	17:54:35	3.58
03/14/10	18:54:35	3.90
03/14/10	19:54:35	4.84
03/14/10	20:54:35	4.99
03/14/10	21:54:35	3.90
03/14/10	22:54:35	3.27
03/14/10	23:54:35	2.96
03/15/10	00:54:35	2.96
03/15/10	01:54:35	2.96
03/15/10	02:54:35	2.80
03/15/10	03:54:35	2.64
03/15/10	04:54:35	2.80
03/15/10	05:54:35	3.43
03/15/10	06:54:35	3.74
03/15/10	07:54:35	4.06
03/15/10	08:54:35	4.37
03/15/10	09:54:35	4.52
03/15/10	10:54:35	4.68
03/15/10	11:54:35	4.68
03/15/10	12:54:35	4.68
03/15/10	13:54:35	4.99
03/15/10	14:54:35	7.17
03/15/10	15:54:35	10.73
03/15/10	16:54:35	13.37
03/15/10	17:54:35	14.29
03/15/10	18:54:35	9.96
03/15/10	19:54:35	8.25
03/15/10	20:54:35	7.17
03/15/10	21:54:35	6.39
03/15/10	22:54:35	5.93
03/15/10	23:54:35	5.46
03/16/10	00:54:35	4.99
03/16/10	01:54:35	4.68
03/16/10	02:54:35	4.21
03/16/10	03:54:35	4.06
03/16/10	04:54:35	3.74
03/16/10	05:54:35	3.43
03/16/10	06:54:35	2.96
03/16/10	07:54:35	2.96
03/16/10	08:54:35	4.68
03/16/10	09:54:35	6.24
03/16/10	10:54:35	8.87
03/16/10	11:54:35	8.56
03/16/10	12:54:35	8.10
03/16/10	13:54:35	8.87
03/16/10	14:54:35	9.02
03/16/10	15:54:35	10.27
03/16/10	16:54:35	12.74
03/16/10	17:54:35	13.21
03/16/10	18:54:35	12.74
03/16/10	19:54:35	12.28
03/16/10	20:54:35	12.59
03/16/10	21:54:35	11.97
03/16/10	22:54:35	11.19
03/16/10	23:54:35	11.81
03/17/10	00:54:35	11.97
03/17/10	01:54:35	11.34
03/17/10	02:54:35	10.27
03/17/10	03:54:35	9.33
03/17/10	04:54:35	8.56
03/17/10	05:54:35	7.79
03/17/10	06:54:35	7.02
03/17/10	07:54:35	6.39
03/17/10	08:54:35	5.77
03/17/10	09:54:35	5.46
03/17/10	10:54:35	5.15
03/17/10	11:54:35	5.15
03/17/10	12:54:35	5.46
03/17/10	13:54:35	6.24
03/17/10	14:54:35	6.55
03/17/10	15:54:35	6.55
03/17/10	16:54:35	6.55
03/17/10	17:54:35	6.39
03/17/10	18:54:35	6.24
03/17/10	19:54:35	6.08
03/17/10	20:54:35	5.77
03/17/10	21:54:35	5.46
03/17/10	22:54:35	5.15
03/17/10	23:54:35	4.84
03/18/10	00:54:35	4.52
03/18/10	01:54:35	4.37
03/18/10	02:54:35	4.06
03/18/10	03:54:35	3.74
03/18/10	04:54:35	3.58
03/18/10	05:54:35	3.43
03/18/10	06:54:35	3.12
03/18/10	07:54:35	13.67
03/18/10	08:54:35	23.02
