Date	Time	Temperature  (*C)
04/15/10	10:59:42	25.02
04/15/10	11:59:42	23.13
04/15/10	12:59:42	23.98
04/15/10	13:59:42	23.13
04/15/10	14:59:42	23.13
04/15/10	15:59:42	22.46
04/15/10	16:59:42	20.48
04/15/10	17:59:42	20.00
04/15/10	18:59:42	22.29
04/15/10	19:59:42	22.29
04/15/10	20:59:42	21.96
04/15/10	21:59:42	21.96
04/15/10	22:59:42	21.79
04/15/10	23:59:42	21.63
04/16/10	00:59:42	21.63
04/16/10	01:59:42	21.47
04/16/10	02:59:42	21.47
04/16/10	03:59:42	21.47
04/16/10	04:59:42	21.30
04/16/10	05:59:42	21.30
04/16/10	06:59:42	22.13
04/16/10	07:59:42	29.83
04/16/10	08:59:42	26.23
04/16/10	09:59:42	26.23
04/16/10	10:59:42	25.36
04/16/10	11:59:42	24.84
04/16/10	12:59:42	25.36
04/16/10	13:59:42	25.54
04/16/10	14:59:42	25.19
04/16/10	15:59:42	18.86
04/16/10	16:59:42	16.15
04/16/10	17:59:42	15.21
04/16/10	18:59:42	14.27
04/16/10	19:59:42	13.49
04/16/10	20:59:42	13.03
04/16/10	21:59:42	13.18
04/16/10	22:59:42	13.33
04/16/10	23:59:42	13.03
04/17/10	00:59:42	12.72
04/17/10	01:59:42	12.87
04/17/10	02:59:42	13.03
04/17/10	03:59:42	13.18
04/17/10	04:59:42	13.33
04/17/10	05:59:42	13.49
04/17/10	06:59:42	13.49
04/17/10	07:59:42	13.49
04/17/10	08:59:42	13.64
04/17/10	09:59:42	13.64
04/17/10	10:59:42	13.96
04/17/10	11:59:42	14.11
04/17/10	12:59:42	14.11
04/17/10	13:59:42	14.27
04/17/10	14:59:42	14.42
04/17/10	15:59:42	16.31
04/17/10	16:59:42	16.78
04/17/10	17:59:42	16.78
04/17/10	18:59:42	16.62
04/17/10	19:59:42	16.47
04/17/10	20:59:42	16.15
04/17/10	21:59:42	15.68
04/17/10	22:59:42	15.05
04/17/10	23:59:42	14.27
04/18/10	00:59:42	13.49
04/18/10	01:59:42	12.72
04/18/10	02:59:42	11.95
04/18/10	03:59:42	11.02
04/18/10	04:59:42	10.09
04/18/10	05:59:42	9.16
04/18/10	06:59:42	8.39
04/18/10	07:59:42	7.93
04/18/10	08:59:42	7.93
04/18/10	09:59:42	9.32
04/18/10	10:59:42	10.09
04/18/10	11:59:42	10.56
04/18/10	12:59:42	11.33
04/18/10	13:59:42	12.26
04/18/10	14:59:42	13.03
04/18/10	15:59:42	13.80
04/18/10	16:59:42	14.11
04/18/10	17:59:42	14.11
04/18/10	18:59:42	14.27
04/18/10	19:59:42	14.89
04/18/10	20:59:42	15.05
04/18/10	21:59:42	14.73
04/18/10	22:59:42	12.87
04/18/10	23:59:42	12.57
04/19/10	00:59:42	12.41
04/19/10	01:59:42	13.33
04/19/10	02:59:42	15.05
04/19/10	03:59:42	15.68
04/19/10	04:59:42	16.47
04/19/10	05:59:42	16.62
04/19/10	06:59:42	16.62
04/19/10	07:59:42	16.15
04/19/10	08:59:42	15.99
04/19/10	09:59:42	15.99
04/19/10	10:59:42	16.15
04/19/10	11:59:42	15.68
04/19/10	12:59:42	15.37
04/19/10	13:59:42	15.21
04/19/10	14:59:42	15.21
04/19/10	15:59:42	15.21
04/19/10	16:59:42	15.37
04/19/10	17:59:42	15.37
04/19/10	18:59:42	18.70
04/19/10	19:59:42	19.35
04/19/10	20:59:42	19.51
04/19/10	21:59:42	19.35
04/19/10	22:59:42	19.19
04/19/10	23:59:42	16.94
04/20/10	00:59:42	16.15
04/20/10	01:59:42	15.84
04/20/10	02:59:42	15.52
04/20/10	03:59:42	15.37
04/20/10	04:59:42	14.73
04/20/10	05:59:42	14.42
04/20/10	06:59:42	14.27
04/20/10	07:59:42	14.27
04/20/10	08:59:42	14.89
04/20/10	09:59:42	15.37
04/20/10	10:59:42	15.52
04/20/10	11:59:42	15.52
04/20/10	12:59:42	15.52
04/20/10	13:59:42	15.52
04/20/10	14:59:42	15.37
04/20/10	15:59:42	15.37
04/20/10	16:59:42	15.21
04/20/10	17:59:42	14.89
04/20/10	18:59:42	14.73
04/20/10	19:59:42	14.58
04/20/10	20:59:42	14.27
04/20/10	21:59:42	14.11
04/20/10	22:59:42	14.11
04/20/10	23:59:42	14.27
04/21/10	00:59:42	14.42
04/21/10	01:59:42	14.42
04/21/10	02:59:42	14.42
04/21/10	03:59:42	14.27
04/21/10	04:59:42	14.27
04/21/10	05:59:42	14.27
04/21/10	06:59:42	14.11
04/21/10	07:59:42	13.96
04/21/10	08:59:42	13.96
04/21/10	09:59:42	13.80
04/21/10	10:59:42	13.80
04/21/10	11:59:42	13.64
04/21/10	12:59:42	13.64
04/21/10	13:59:42	13.64
04/21/10	14:59:42	13.64
04/21/10	15:59:42	10.56
04/21/10	16:59:42	5.61
04/21/10	17:59:42	5.61
04/21/10	18:59:42	5.45
04/21/10	19:59:42	5.45
04/21/10	20:59:42	5.45
04/21/10	21:59:42	5.45
04/21/10	22:59:42	5.29
04/21/10	23:59:42	5.29
04/22/10	00:59:42	5.29
04/22/10	01:59:42	5.29
04/22/10	02:59:42	5.45
04/22/10	03:59:42	5.45
04/22/10	04:59:42	5.45
04/22/10	05:59:42	5.45
04/22/10	06:59:42	5.45
04/22/10	07:59:42	5.29
04/22/10	08:59:42	5.29
04/22/10	09:59:42	5.29
04/22/10	10:59:42	5.29
04/22/10	11:59:42	5.29
04/22/10	12:59:42	5.29
04/22/10	13:59:42	5.29
04/22/10	14:59:42	5.45
04/22/10	15:59:42	5.45
04/22/10	16:59:42	5.45
04/22/10	17:59:42	5.45
04/22/10	18:59:42	5.45
04/22/10	19:59:42	5.45
04/22/10	20:59:42	5.45
04/22/10	21:59:42	5.45
04/22/10	22:59:42	5.45
04/22/10	23:59:42	5.45
04/23/10	00:59:42	5.29
04/23/10	01:59:42	5.29
04/23/10	02:59:42	5.29
04/23/10	03:59:42	5.45
04/23/10	04:59:42	5.45
04/23/10	05:59:42	5.45
04/23/10	06:59:42	5.45
04/23/10	07:59:42	5.45
04/23/10	08:59:42	5.45
04/23/10	09:59:42	5.45
04/23/10	10:59:42	5.45
04/23/10	11:59:42	5.29
04/23/10	12:59:42	5.29
04/23/10	13:59:42	5.29
04/23/10	14:59:42	5.29
04/23/10	15:59:42	5.45
04/23/10	16:59:42	5.61
04/23/10	17:59:42	5.45
04/23/10	18:59:42	5.45
04/23/10	19:59:42	5.45
04/23/10	20:59:42	5.61
04/23/10	21:59:42	5.61
04/23/10	22:59:42	5.45
04/23/10	23:59:42	5.45
04/24/10	00:59:42	5.45
04/24/10	01:59:42	5.45
04/24/10	02:59:42	5.29
04/24/10	03:59:42	5.29
04/24/10	04:59:42	5.45
04/24/10	05:59:42	5.45
04/24/10	06:59:42	5.45
04/24/10	07:59:42	5.45
04/24/10	08:59:42	5.61
04/24/10	09:59:42	5.45
04/24/10	10:59:42	5.45
04/24/10	11:59:42	5.45
04/24/10	12:59:42	5.45
04/24/10	13:59:42	5.29
04/24/10	14:59:42	5.29
04/24/10	15:59:42	5.29
04/24/10	16:59:42	5.45
04/24/10	17:59:42	5.61
04/24/10	18:59:42	5.61
04/24/10	19:59:42	11.02
04/24/10	20:59:42	9.47
04/24/10	21:59:42	9.16
04/24/10	22:59:42	9.47
04/24/10	23:59:42	10.09
