Date	Time	Temperature  (*C)
04/05/10	12:16:27	24.82
04/05/10	13:16:27	23.61
04/05/10	14:16:27	22.09
04/05/10	15:16:27	21.76
04/05/10	16:16:27	18.82
04/05/10	17:16:27	17.52
04/05/10	18:16:27	14.83
04/05/10	19:16:27	12.49
04/05/10	20:16:27	10.79
04/05/10	21:16:27	9.24
04/05/10	22:16:27	8.01
04/05/10	23:16:27	7.07
04/06/10	00:16:27	6.29
04/06/10	01:16:27	5.98
04/06/10	02:16:27	5.83
04/06/10	03:16:27	5.67
04/06/10	04:16:27	5.67
04/06/10	05:16:27	5.67
04/06/10	06:16:27	5.36
04/06/10	07:16:27	4.89
04/06/10	08:16:27	7.07
04/06/10	09:16:27	6.76
04/06/10	10:16:27	15.94
04/06/10	11:16:27	5.67
04/06/10	12:16:27	7.07
04/06/10	13:16:27	4.11
04/06/10	14:16:27	3.96
04/06/10	15:16:27	4.74
04/06/10	16:16:27	6.61
04/06/10	17:16:27	5.21
04/06/10	18:16:27	7.54
04/06/10	19:16:27	7.38
04/06/10	20:16:27	4.58
04/06/10	21:16:27	3.32
04/06/10	22:16:27	2.85
04/06/10	23:16:27	2.38
04/07/10	00:16:27	1.90
04/07/10	01:16:27	1.42
04/07/10	02:16:27	1.27
04/07/10	03:16:27	1.27
04/07/10	04:16:27	1.27
04/07/10	05:16:27	1.11
04/07/10	06:16:27	1.11
04/07/10	07:16:27	1.42
04/07/10	08:16:27	1.58
04/07/10	09:16:27	2.22
04/07/10	10:16:27	3.96
04/07/10	11:16:27	4.74
04/07/10	12:16:27	5.05
04/07/10	13:16:27	4.27
04/07/10	14:16:27	5.52
04/07/10	15:16:27	5.52
04/07/10	16:16:27	5.52
04/07/10	17:16:27	5.52
04/07/10	18:16:27	5.52
04/07/10	19:16:27	5.52
04/07/10	20:16:27	5.52
04/07/10	21:16:27	5.52
04/07/10	22:16:27	5.52
04/07/10	23:16:27	5.52
04/08/10	00:16:27	5.52
04/08/10	01:16:27	5.52
04/08/10	02:16:27	5.52
04/08/10	03:16:27	5.52
04/08/10	04:16:27	5.52
04/08/10	05:16:27	5.52
04/08/10	06:16:27	5.52
04/08/10	07:16:27	5.52
04/08/10	08:16:27	5.52
04/08/10	09:16:27	5.52
04/08/10	10:16:27	5.52
04/08/10	11:16:27	5.52
04/08/10	12:16:27	5.52
04/08/10	13:16:27	5.52
04/08/10	14:16:27	5.52
04/08/10	15:16:27	5.52
04/08/10	16:16:27	5.52
04/08/10	17:16:27	5.52
04/08/10	18:16:27	5.52
04/08/10	19:16:27	5.52
04/08/10	20:16:27	5.52
04/08/10	21:16:27	5.52
04/08/10	22:16:27	5.52
04/08/10	23:16:27	5.52
04/09/10	00:16:27	5.52
04/09/10	01:16:27	5.52
04/09/10	02:16:27	5.52
04/09/10	03:16:27	5.52
04/09/10	04:16:27	5.52
04/09/10	05:16:27	5.52
04/09/10	06:16:27	5.52
04/09/10	07:16:27	5.52
04/09/10	08:16:27	5.52
04/09/10	09:16:27	5.52
04/09/10	10:16:27	5.52
04/09/10	11:16:27	5.52
04/09/10	12:16:27	5.52
04/09/10	13:16:27	5.52
04/09/10	14:16:27	5.52
04/09/10	15:16:27	5.52
04/09/10	16:16:27	5.52
04/09/10	17:16:27	5.52
04/09/10	18:16:27	5.52
04/09/10	19:16:27	5.52
04/09/10	20:16:27	5.52
04/09/10	21:16:27	5.52
04/09/10	22:16:27	5.52
04/09/10	23:16:27	5.52
04/10/10	00:16:27	5.52
04/10/10	01:16:27	5.52
04/10/10	02:16:27	5.52
04/10/10	03:16:27	5.52
04/10/10	04:16:27	5.52
04/10/10	05:16:27	5.52
04/10/10	06:16:27	5.52
04/10/10	07:16:27	5.52
04/10/10	08:16:27	5.52
04/10/10	09:16:27	5.52
04/10/10	10:16:27	5.52
04/10/10	11:16:27	5.52
04/10/10	12:16:27	5.52
04/10/10	13:16:27	5.52
04/10/10	14:16:27	5.52
04/10/10	15:16:27	5.52
04/10/10	16:16:27	5.52
04/10/10	17:16:27	5.52
04/10/10	18:16:27	5.52
04/10/10	19:16:27	5.52
04/10/10	20:16:27	5.52
04/10/10	21:16:27	5.52
04/10/10	22:16:27	5.52
04/10/10	23:16:27	5.52
04/11/10	00:16:27	5.52
04/11/10	01:16:27	5.52
04/11/10	02:16:27	5.52
04/11/10	03:16:27	5.52
04/11/10	04:16:27	5.52
04/11/10	05:16:27	5.52
04/11/10	06:16:27	5.52
04/11/10	07:16:27	5.52
04/11/10	08:16:27	5.52
04/11/10	09:16:27	5.52
04/11/10	10:16:27	5.52
04/11/10	11:16:27	5.52
04/11/10	12:16:27	5.52
04/11/10	13:16:27	5.52
04/11/10	14:16:27	5.52
04/11/10	15:16:27	5.52
04/11/10	16:16:27	5.52
04/11/10	17:16:27	5.52
04/11/10	18:16:27	5.52
