Date	Time	Temp (°C) c:1
11/05/10	09:27:06.0 	21.032
11/05/10	10:27:06.0 	21.652
11/05/10	11:27:06.0 	21.819
11/05/10	12:27:06.0 	21.032
11/05/10	13:27:06.0 	20.865
11/05/10	14:27:06.0 	20.889
11/05/10	15:27:06.0 	20.960
11/05/10	16:27:06.0 	21.270
11/05/10	17:27:06.0 	20.841
11/05/10	18:27:06.0 	20.246
11/05/10	19:27:06.0 	20.246
11/05/10	20:27:06.0 	20.531
11/05/10	21:27:06.0 	20.936
11/05/10	22:27:06.0 	21.127
11/05/10	23:27:06.0 	21.294
11/06/10	00:27:06.0 	21.557
11/06/10	01:27:06.0 	21.748
11/06/10	02:27:06.0 	21.987
11/06/10	03:27:06.0 	22.178
11/06/10	04:27:06.0 	22.250
11/06/10	05:27:06.0 	22.202
11/06/10	06:27:06.0 	22.058
11/06/10	07:27:06.0 	21.867
11/06/10	08:27:06.0 	21.604
11/06/10	09:27:06.0 	21.461
11/06/10	10:27:06.0 	21.461
11/06/10	11:27:06.0 	21.485
11/06/10	12:27:06.0 	21.437
11/06/10	13:27:06.0 	21.151
11/06/10	14:27:06.0 	20.841
11/06/10	15:27:06.0 	20.555
11/06/10	16:27:06.0 	20.269
11/06/10	17:27:06.0 	20.031
11/06/10	18:27:06.0 	19.817
11/06/10	19:27:06.0 	19.651
11/06/10	20:27:06.0 	19.484
11/06/10	21:27:06.0 	19.318
11/06/10	22:27:06.0 	19.341
11/06/10	23:27:06.0 	19.651
11/07/10	00:27:06.0 	19.960
11/07/10	01:27:06.0 	20.150
11/07/10	02:27:06.0 	20.293
11/07/10	03:27:06.0 	20.388
11/07/10	04:27:06.0 	20.436
11/07/10	05:27:06.0 	20.412
11/07/10	06:27:06.0 	20.341
11/07/10	07:27:06.0 	20.222
11/07/10	08:27:06.0 	20.079
11/07/10	09:27:06.0 	19.960
11/07/10	10:27:06.0 	19.960
11/07/10	11:27:06.0 	18.913
11/07/10	12:27:06.0 	18.675
11/07/10	13:27:06.0 	18.866
11/07/10	14:27:06.0 	16.701
11/07/10	15:27:06.0 	13.425
11/07/10	16:27:06.0 	10.418
11/07/10	17:27:06.0 	7.419
11/07/10	18:27:06.0 	5.847
11/07/10	19:27:06.0 	5.102
11/07/10	20:27:06.0 	4.766
11/07/10	21:27:06.0 	4.350
11/07/10	22:27:06.0 	4.115
11/07/10	23:27:06.0 	3.775
11/08/10	00:27:06.0 	3.643
11/08/10	01:27:06.0 	3.512
