Date	Time	Temperature  (*C)
07/13/10	07:06:44	20.92
07/13/10	08:06:44	15.61
07/13/10	09:06:44	14.03
07/13/10	10:06:44	13.87
07/13/10	11:06:44	14.97
07/13/10	12:06:44	14.49
07/13/10	13:06:44	7.36
07/13/10	14:06:44	6.58
07/13/10	15:06:44	6.58
07/13/10	16:06:44	6.58
07/13/10	17:06:44	6.58
07/13/10	18:06:44	6.73
07/13/10	19:06:44	6.73
07/13/10	20:06:44	6.73
07/13/10	21:06:44	6.73
07/13/10	22:06:44	6.73
07/13/10	23:06:44	6.73
07/14/10	00:06:44	6.58
07/14/10	01:06:44	6.58
07/14/10	02:06:44	6.58
07/14/10	03:06:44	6.58
07/14/10	04:06:44	6.58
07/14/10	05:06:44	6.58
07/14/10	06:06:44	6.73
07/14/10	07:06:44	6.73
07/14/10	08:06:44	8.75
07/14/10	09:06:44	10.15
07/14/10	10:06:44	9.99
07/14/10	11:06:44	9.53
07/14/10	12:06:44	9.37
07/14/10	13:06:44	9.37
07/14/10	14:06:44	9.37
07/14/10	15:06:44	9.53
07/14/10	16:06:44	11.23
07/14/10	17:06:44	11.54
07/14/10	18:06:44	9.99
07/14/10	19:06:44	9.53
07/14/10	20:06:44	9.37
07/14/10	21:06:44	9.22
07/14/10	22:06:44	8.91
07/14/10	23:06:44	8.91
07/15/10	00:06:44	8.75
07/15/10	01:06:44	8.75
07/15/10	02:06:44	8.59
07/15/10	03:06:44	8.29
07/15/10	04:06:44	7.98
07/15/10	05:06:44	8.29
07/15/10	06:06:44	8.91
07/15/10	07:06:44	11.23
07/15/10	08:06:44	10.31
07/15/10	09:06:44	10.15
07/15/10	10:06:44	10.31
07/15/10	11:06:44	9.99
07/15/10	12:06:44	10.15
07/15/10	13:06:44	10.31
07/15/10	14:06:44	11.08
07/15/10	15:06:44	10.62
07/15/10	16:06:44	10.77
07/15/10	17:06:44	11.54
07/15/10	18:06:44	11.54
07/15/10	19:06:44	11.23
07/15/10	20:06:44	11.08
07/15/10	21:06:44	10.77
07/15/10	22:06:44	10.62
07/15/10	23:06:44	10.46
07/16/10	00:06:44	10.31
07/16/10	01:06:44	10.31
07/16/10	02:06:44	10.31
07/16/10	03:06:44	9.99
07/16/10	04:06:44	9.84
07/16/10	05:06:44	9.84
07/16/10	06:06:44	9.84
07/16/10	07:06:44	10.31
07/16/10	08:06:44	10.77
07/16/10	09:06:44	10.93
07/16/10	10:06:44	11.23
07/16/10	11:06:44	11.54
07/16/10	12:06:44	11.23
07/16/10	13:06:44	11.23
07/16/10	14:06:44	12.01
07/16/10	15:06:44	12.48
07/16/10	16:06:44	12.48
07/16/10	17:06:44	12.32
07/16/10	18:06:44	12.17
07/16/10	19:06:44	12.17
07/16/10	20:06:44	12.01
07/16/10	21:06:44	12.01
07/16/10	22:06:44	12.32
07/16/10	23:06:44	11.86
07/17/10	00:06:44	11.54
07/17/10	01:06:44	11.39
07/17/10	02:06:44	11.39
07/17/10	03:06:44	11.86
07/17/10	04:06:44	11.86
07/17/10	05:06:44	11.54
07/17/10	06:06:44	11.54
07/17/10	07:06:44	11.86
07/17/10	08:06:44	11.86
07/17/10	09:06:44	12.79
07/17/10	10:06:44	13.26
07/17/10	11:06:44	13.57
07/17/10	12:06:44	13.41
07/17/10	13:06:44	14.18
07/17/10	14:06:44	14.97
07/17/10	15:06:44	15.61
07/17/10	16:06:44	5.64
07/17/10	17:06:44	5.64
07/17/10	18:06:44	5.64
07/17/10	19:06:44	5.64
07/17/10	20:06:44	5.64
07/17/10	21:06:44	5.64
07/17/10	22:06:44	5.64
07/17/10	23:06:44	5.79
07/18/10	00:06:44	5.79
07/18/10	01:06:44	5.79
07/18/10	02:06:44	5.64
