Date	Time	Temp (°C) c:1
07/13/10	07:15:56.0 	20.293
07/13/10	08:15:56.0 	14.026
07/13/10	09:15:56.0 	13.401
07/13/10	10:15:56.0 	13.714
07/13/10	11:15:56.0 	14.912
07/13/10	12:15:56.0 	14.170
07/13/10	13:15:56.0 	15.533
07/13/10	14:15:56.0 	6.990
07/13/10	15:15:56.0 	7.142
07/13/10	16:15:56.0 	7.142
07/13/10	17:15:56.0 	7.116
07/13/10	18:15:56.0 	7.066
07/13/10	19:15:56.0 	7.167
07/13/10	20:15:56.0 	7.116
07/13/10	21:15:56.0 	7.116
07/13/10	22:15:56.0 	6.965
07/13/10	23:15:56.0 	6.965
07/14/10	00:15:56.0 	7.041
07/14/10	01:15:56.0 	7.015
07/14/10	02:15:56.0 	7.116
07/14/10	03:15:56.0 	7.192
07/14/10	04:15:56.0 	7.091
07/14/10	05:15:56.0 	7.015
07/14/10	06:15:56.0 	7.066
07/14/10	07:15:56.0 	7.015
07/14/10	08:15:56.0 	7.091
07/14/10	09:15:56.0 	7.091
07/14/10	10:15:56.0 	7.041
07/14/10	11:15:56.0 	9.558
07/14/10	12:15:56.0 	9.238
07/14/10	13:15:56.0 	9.928
07/14/10	14:15:56.0 	6.509
07/14/10	15:15:56.0 	6.382
07/14/10	16:15:56.0 	6.408
07/14/10	17:15:56.0 	6.484
07/14/10	18:15:56.0 	6.509
07/14/10	19:15:56.0 	6.458
07/14/10	20:15:56.0 	6.306
07/14/10	21:15:56.0 	6.357
07/14/10	22:15:56.0 	6.331
07/14/10	23:15:56.0 	6.382
07/15/10	00:15:56.0 	6.357
07/15/10	01:15:56.0 	6.408
07/15/10	02:15:56.0 	6.357
07/15/10	03:15:56.0 	6.458
07/15/10	04:15:56.0 	6.458
07/15/10	05:15:56.0 	6.484
07/15/10	06:15:56.0 	6.408
07/15/10	07:15:56.0 	6.382
07/15/10	08:15:56.0 	6.306
07/15/10	09:15:56.0 	11.321
07/15/10	10:15:56.0 	10.785
07/15/10	11:15:56.0 	9.879
07/15/10	12:15:56.0 	10.418
07/15/10	13:15:56.0 	10.785
07/15/10	14:15:56.0 	10.980
07/15/10	15:15:56.0 	12.703
07/15/10	16:15:56.0 	6.357
07/15/10	17:15:56.0 	6.331
07/15/10	18:15:56.0 	6.331
07/15/10	19:15:56.0 	6.306
07/15/10	20:15:56.0 	6.281
07/15/10	21:15:56.0 	6.255
07/15/10	22:15:56.0 	6.281
07/15/10	23:15:56.0 	6.281
07/16/10	00:15:56.0 	6.306
07/16/10	01:15:56.0 	6.306
07/16/10	02:15:56.0 	6.382
07/16/10	03:15:56.0 	6.560
07/16/10	04:15:56.0 	6.408
07/16/10	05:15:56.0 	6.331
07/16/10	06:15:56.0 	6.331
07/16/10	07:15:56.0 	6.331
07/16/10	08:15:56.0 	6.331
07/16/10	09:15:56.0 	6.331
07/16/10	10:15:56.0 	6.357
07/16/10	11:15:56.0 	12.727
07/16/10	12:15:56.0 	11.151
07/16/10	13:15:56.0 	12.074
07/16/10	14:15:56.0 	6.102
07/16/10	15:15:56.0 	6.128
07/16/10	16:15:56.0 	6.128
