Date	Time	Temperature  (*C)
09/15/10	08:57:39	15.09
09/15/10	09:57:39	14.31
09/15/10	10:57:39	14.77
09/15/10	11:57:39	16.99
09/15/10	12:57:39	16.83
09/15/10	13:57:39	5.93
09/15/10	14:57:39	5.93
09/15/10	15:57:39	5.93
09/15/10	16:57:39	5.77
09/15/10	17:57:39	5.93
09/15/10	18:57:39	5.93
09/15/10	19:57:39	5.77
09/15/10	20:57:39	5.77
09/15/10	21:57:39	5.77
09/15/10	22:57:39	5.93
09/15/10	23:57:39	5.93
09/16/10	00:57:39	5.77
09/16/10	01:57:39	5.77
09/16/10	02:57:39	5.77
09/16/10	03:57:39	5.77
09/16/10	04:57:39	5.93
09/16/10	05:57:39	5.93
09/16/10	06:57:39	5.93
09/16/10	07:57:39	5.77
09/16/10	08:57:39	10.90
09/16/10	09:57:39	12.45
09/16/10	10:57:39	12.61
09/16/10	11:57:39	13.07
09/16/10	12:57:39	13.53
09/16/10	13:57:39	5.61
09/16/10	14:57:39	5.61
09/16/10	15:57:39	5.61
09/16/10	16:57:39	5.61
09/16/10	17:57:39	5.61
09/16/10	18:57:39	5.61
09/16/10	19:57:39	5.61
09/16/10	20:57:39	5.61
09/16/10	21:57:39	5.61
09/16/10	22:57:39	5.61
09/16/10	23:57:39	5.61
09/17/10	00:57:39	5.61
09/17/10	01:57:39	5.61
09/17/10	02:57:39	5.61
09/17/10	03:57:39	5.61
09/17/10	04:57:39	5.61
09/17/10	05:57:39	5.61
09/17/10	06:57:39	5.61
09/17/10	07:57:39	5.61
09/17/10	08:57:39	10.43
09/17/10	09:57:39	10.90
09/17/10	10:57:39	13.69
09/17/10	11:57:39	13.84
09/17/10	12:57:39	13.53
09/17/10	13:57:39	13.99
09/17/10	14:57:39	5.61
09/17/10	15:57:39	5.61
09/17/10	16:57:39	5.61
09/17/10	17:57:39	5.61
09/17/10	18:57:39	5.61
09/17/10	19:57:39	5.61
09/17/10	20:57:39	5.61
09/17/10	21:57:39	5.61
09/17/10	22:57:39	5.61
09/17/10	23:57:39	5.61
09/18/10	00:57:39	5.61
09/18/10	01:57:39	5.61
09/18/10	02:57:39	5.61
09/18/10	03:57:39	5.61
09/18/10	04:57:39	5.61
09/18/10	05:57:39	5.61
09/18/10	06:57:39	5.61
09/18/10	07:57:39	5.61
09/18/10	08:57:39	5.61
09/18/10	09:57:39	5.61
09/18/10	10:57:39	5.61
09/18/10	11:57:39	15.41
09/18/10	12:57:39	17.79
09/18/10	13:57:39	21.34
09/18/10	14:57:39	5.61
09/18/10	15:57:39	5.61
09/18/10	16:57:39	5.61
09/18/10	17:57:39	5.61
09/18/10	18:57:39	5.61
09/18/10	19:57:39	5.61
09/18/10	20:57:39	5.61
09/18/10	21:57:39	5.61
09/18/10	22:57:39	5.61
09/18/10	23:57:39	5.61
09/19/10	00:57:39	5.61
09/19/10	01:57:39	5.61
09/19/10	02:57:39	5.61
09/19/10	03:57:39	5.61
09/19/10	04:57:39	5.61
09/19/10	05:57:39	5.61
09/19/10	06:57:39	5.61
