Date	Time	Temp (°C) c:1
09/03/10	12:18:44.0 	22.705
09/03/10	13:18:44.0 	14.385
09/03/10	14:18:44.0 	16.606
09/03/10	15:18:44.0 	6.077
09/03/10	16:18:44.0 	6.077
09/03/10	17:18:44.0 	6.077
09/03/10	18:18:44.0 	6.077
09/03/10	19:18:44.0 	6.077
09/03/10	20:18:44.0 	6.077
09/03/10	21:18:44.0 	6.077
09/03/10	22:18:44.0 	6.102
09/03/10	23:18:44.0 	6.077
09/04/10	00:18:44.0 	6.077
09/04/10	01:18:44.0 	6.077
09/04/10	02:18:44.0 	6.077
09/04/10	03:18:44.0 	6.051
09/04/10	04:18:44.0 	6.051
09/04/10	05:18:44.0 	6.077
09/04/10	06:18:44.0 	6.051
09/04/10	07:18:44.0 	6.077
09/04/10	08:18:44.0 	6.077
09/04/10	09:18:44.0 	11.321
09/04/10	10:18:44.0 	11.321
09/04/10	11:18:44.0 	11.734
09/04/10	12:18:44.0 	12.340
09/04/10	13:18:44.0 	12.992
09/04/10	14:18:44.0 	14.026
09/04/10	15:18:44.0 	15.748
09/04/10	16:18:44.0 	15.031
09/04/10	17:18:44.0 	15.008
09/04/10	18:18:44.0 	6.408
09/04/10	19:18:44.0 	6.408
09/04/10	20:18:44.0 	6.408
09/04/10	21:18:44.0 	6.408
09/04/10	22:18:44.0 	6.357
09/04/10	23:18:44.0 	6.357
09/05/10	00:18:44.0 	6.408
09/05/10	01:18:44.0 	6.484
09/05/10	02:18:44.0 	6.509
09/05/10	03:18:44.0 	6.484
09/05/10	04:18:44.0 	6.458
09/05/10	05:18:44.0 	6.408
09/05/10	06:18:44.0 	6.357
09/05/10	07:18:44.0 	6.357
09/05/10	08:18:44.0 	6.357
09/05/10	09:18:44.0 	6.306
09/05/10	10:18:44.0 	10.687
09/05/10	11:18:44.0 	11.175
09/05/10	12:18:44.0 	11.394
09/05/10	13:18:44.0 	10.663
09/05/10	14:18:44.0 	10.907
09/05/10	15:18:44.0 	6.204
09/05/10	16:18:44.0 	6.179
09/05/10	17:18:44.0 	6.102
09/05/10	18:18:44.0 	6.102
09/05/10	19:18:44.0 	6.128
09/05/10	20:18:44.0 	6.179
09/05/10	21:18:44.0 	6.128
09/05/10	22:18:44.0 	6.230
09/05/10	23:18:44.0 	6.179
09/06/10	00:18:44.0 	6.306
09/06/10	01:18:44.0 	6.306
09/06/10	02:18:44.0 	6.230
09/06/10	03:18:44.0 	6.179
09/06/10	04:18:44.0 	6.204
09/06/10	05:18:44.0 	6.102
09/06/10	06:18:44.0 	6.102
09/06/10	07:18:44.0 	6.153
09/06/10	08:18:44.0 	6.153
09/06/10	09:18:44.0 	6.128
09/06/10	10:18:44.0 	10.907
09/06/10	11:18:44.0 	12.823
09/06/10	12:18:44.0 	14.960
09/06/10	13:18:44.0 	14.888
09/06/10	14:18:44.0 	6.204
09/06/10	15:18:44.0 	6.281
09/06/10	16:18:44.0 	6.306
09/06/10	17:18:44.0 	6.458
09/06/10	18:18:44.0 	6.306
09/06/10	19:18:44.0 	6.306
09/06/10	20:18:44.0 	6.357
09/06/10	21:18:44.0 	6.331
09/06/10	22:18:44.0 	6.306
09/06/10	23:18:44.0 	6.230
09/07/10	00:18:44.0 	6.204
09/07/10	01:18:44.0 	6.230
09/07/10	02:18:44.0 	6.281
09/07/10	03:18:44.0 	6.331
09/07/10	04:18:44.0 	6.331
09/07/10	05:18:44.0 	6.382
09/07/10	06:18:44.0 	6.484
09/07/10	07:18:44.0 	6.331
09/07/10	08:18:44.0 	11.127
09/07/10	09:18:44.0 	11.783
09/07/10	10:18:44.0 	12.050
09/07/10	11:18:44.0 	12.775
09/07/10	12:18:44.0 	12.968
09/07/10	13:18:44.0 	13.522
09/07/10	14:18:44.0 	13.786
09/07/10	15:18:44.0 	13.882
09/07/10	16:18:44.0 	13.978
09/07/10	17:18:44.0 	15.223
09/07/10	18:18:44.0 	15.151
09/07/10	19:18:44.0 	15.294
09/07/10	20:18:44.0 	14.290
09/07/10	21:18:44.0 	13.329
09/07/10	22:18:44.0 	12.920
09/07/10	23:18:44.0 	12.799
09/08/10	00:18:44.0 	12.606
09/08/10	01:18:44.0 	11.977
09/08/10	02:18:44.0 	11.734
09/08/10	03:18:44.0 	11.248
09/08/10	04:18:44.0 	11.565
09/08/10	05:18:44.0 	11.565
09/08/10	06:18:44.0 	11.443
09/08/10	07:18:44.0 	11.443
09/08/10	08:18:44.0 	12.534
09/08/10	09:18:44.0 	13.064
09/08/10	10:18:44.0 	13.497
09/08/10	11:18:44.0 	13.618
09/08/10	12:18:44.0 	14.481
09/08/10	13:18:44.0 	14.481
09/08/10	14:18:44.0 	13.570
09/08/10	15:18:44.0 	13.064
09/08/10	16:18:44.0 	14.122
09/08/10	17:18:44.0 	14.888
09/08/10	18:18:44.0 	14.960
09/08/10	19:18:44.0 	14.218
09/08/10	20:18:44.0 	13.594
09/08/10	21:18:44.0 	13.305
09/08/10	22:18:44.0 	12.992
09/08/10	23:18:44.0 	12.896
09/09/10	00:18:44.0 	12.485
09/09/10	01:18:44.0 	12.678
09/09/10	02:18:44.0 	12.534
09/09/10	03:18:44.0 	12.268
09/09/10	04:18:44.0 	12.098
09/09/10	05:18:44.0 	12.050
09/09/10	06:18:44.0 	11.929
09/09/10	07:18:44.0 	11.856
09/09/10	08:18:44.0 	11.953
09/09/10	09:18:44.0 	11.977
09/09/10	10:18:44.0 	13.546
09/09/10	11:18:44.0 	13.666
09/09/10	12:18:44.0 	14.098
09/09/10	13:18:44.0 	13.281
09/09/10	14:18:44.0 	6.585
09/09/10	15:18:44.0 	6.585
09/09/10	16:18:44.0 	6.585
09/09/10	17:18:44.0 	6.611
09/09/10	18:18:44.0 	6.585
09/09/10	19:18:44.0 	6.611
09/09/10	20:18:44.0 	6.687
09/09/10	21:18:44.0 	6.661
09/09/10	22:18:44.0 	6.661
09/09/10	23:18:44.0 	6.737
09/10/10	00:18:44.0 	6.712
09/10/10	01:18:44.0 	6.661
09/10/10	02:18:44.0 	6.611
09/10/10	03:18:44.0 	6.611
09/10/10	04:18:44.0 	6.611
09/10/10	05:18:44.0 	6.636
09/10/10	06:18:44.0 	6.636
09/10/10	07:18:44.0 	6.661
09/10/10	08:18:44.0 	6.687
09/10/10	09:18:44.0 	6.712
09/10/10	10:18:44.0 	13.570
09/10/10	11:18:44.0 	14.649
09/10/10	12:18:44.0 	17.772
09/10/10	13:18:44.0 	17.106
09/10/10	14:18:44.0 	12.171
09/10/10	15:18:44.0 	6.763
09/10/10	16:18:44.0 	6.788
09/10/10	17:18:44.0 	6.712
09/10/10	18:18:44.0 	6.712
09/10/10	19:18:44.0 	6.737
09/10/10	20:18:44.0 	6.788
09/10/10	21:18:44.0 	6.763
09/10/10	22:18:44.0 	6.788
09/10/10	23:18:44.0 	6.737
09/11/10	00:18:44.0 	6.737
09/11/10	01:18:44.0 	6.813
09/11/10	02:18:44.0 	6.712
09/11/10	03:18:44.0 	6.788
09/11/10	04:18:44.0 	6.813
09/11/10	05:18:44.0 	6.788
09/11/10	06:18:44.0 	6.737
09/11/10	07:18:44.0 	6.813
09/11/10	08:18:44.0 	6.788
09/11/10	09:18:44.0 	7.544
09/11/10	10:18:44.0 	10.956
09/11/10	11:18:44.0 	12.171
09/11/10	12:18:44.0 	11.662
09/11/10	13:18:44.0 	15.724
09/11/10	14:18:44.0 	15.581
09/11/10	15:18:44.0 	15.223
09/11/10	16:18:44.0 	6.914
09/11/10	17:18:44.0 	6.914
09/11/10	18:18:44.0 	6.763
09/11/10	19:18:44.0 	6.763
09/11/10	20:18:44.0 	6.788
09/11/10	21:18:44.0 	6.737
09/11/10	22:18:44.0 	6.737
09/11/10	23:18:44.0 	6.763
09/12/10	00:18:44.0 	6.712
09/12/10	01:18:44.0 	6.788
09/12/10	02:18:44.0 	6.839
09/12/10	03:18:44.0 	6.864
09/12/10	04:18:44.0 	6.763
09/12/10	05:18:44.0 	6.763
09/12/10	06:18:44.0 	6.788
09/12/10	07:18:44.0 	6.737
09/12/10	08:18:44.0 	6.763
09/12/10	09:18:44.0 	6.763
09/12/10	10:18:44.0 	6.737
09/12/10	11:18:44.0 	13.690
09/12/10	12:18:44.0 	14.170
09/12/10	13:18:44.0 	14.816
09/12/10	14:18:44.0 	16.082
09/12/10	15:18:44.0 	15.390
09/12/10	16:18:44.0 	6.965
09/12/10	17:18:44.0 	7.015
09/12/10	18:18:44.0 	7.066
09/12/10	19:18:44.0 	7.041
09/12/10	20:18:44.0 	7.066
09/12/10	21:18:44.0 	7.015
09/12/10	22:18:44.0 	6.914
09/12/10	23:18:44.0 	6.813
09/13/10	00:18:44.0 	6.788
09/13/10	01:18:44.0 	6.763
09/13/10	02:18:44.0 	6.839
09/13/10	03:18:44.0 	6.813
09/13/10	04:18:44.0 	6.914
09/13/10	05:18:44.0 	6.990
09/13/10	06:18:44.0 	6.990
09/13/10	07:18:44.0 	7.066
09/13/10	08:18:44.0 	7.041
09/13/10	09:18:44.0 	7.041
09/13/10	10:18:44.0 	9.903
09/13/10	11:18:44.0 	24.919
09/13/10	12:18:44.0 	27.702
09/13/10	13:18:44.0 	30.596
09/13/10	14:18:44.0 	28.692
09/13/10	15:18:44.0 	27.456
09/13/10	16:18:44.0 	25.113
09/13/10	17:18:44.0 	16.296
09/13/10	18:18:44.0 	14.002
09/13/10	19:18:44.0 	22.824
09/13/10	20:18:44.0 	22.130
09/13/10	21:18:44.0 	22.369
09/13/10	22:18:44.0 	22.369
09/13/10	23:18:44.0 	21.915
09/14/10	00:18:44.0 	21.413
09/14/10	01:18:44.0 	21.079
09/14/10	02:18:44.0 	20.388
09/14/10	03:18:44.0 	19.936
09/14/10	04:18:44.0 	19.508
09/14/10	05:18:44.0 	19.651
