Date	Time	Temp (°C) c:1
09/29/10	15:12:07.0 	17.819
09/29/10	16:12:07.0 	6.990
09/29/10	17:12:07.0 	7.066
09/29/10	18:12:07.0 	7.091
09/29/10	19:12:07.0 	7.167
09/29/10	20:12:07.0 	7.217
09/29/10	21:12:07.0 	7.318
09/29/10	22:12:07.0 	7.368
09/29/10	23:12:07.0 	7.393
09/30/10	00:12:07.0 	7.217
09/30/10	01:12:07.0 	7.192
09/30/10	02:12:07.0 	7.268
09/30/10	03:12:07.0 	7.142
09/30/10	04:12:07.0 	7.142
09/30/10	05:12:07.0 	7.167
09/30/10	06:12:07.0 	7.217
09/30/10	07:12:07.0 	7.268
09/30/10	08:12:07.0 	7.268
09/30/10	09:12:07.0 	7.268
09/30/10	10:12:07.0 	7.268
09/30/10	11:12:07.0 	8.469
09/30/10	12:12:07.0 	8.717
09/30/10	13:12:07.0 	9.163
09/30/10	14:12:07.0 	9.756
09/30/10	15:12:07.0 	10.541
09/30/10	16:12:07.0 	6.408
09/30/10	17:12:07.0 	6.408
09/30/10	18:12:07.0 	6.408
09/30/10	19:12:07.0 	6.433
09/30/10	20:12:07.0 	6.408
09/30/10	21:12:07.0 	6.408
09/30/10	22:12:07.0 	6.408
09/30/10	23:12:07.0 	6.408
10/01/10	00:12:07.0 	6.433
10/01/10	01:12:07.0 	6.458
10/01/10	02:12:07.0 	6.484
10/01/10	03:12:07.0 	6.484
10/01/10	04:12:07.0 	6.458
10/01/10	05:12:07.0 	6.484
10/01/10	06:12:07.0 	6.484
10/01/10	07:12:07.0 	6.509
10/01/10	08:12:07.0 	6.484
10/01/10	09:12:07.0 	6.484
10/01/10	10:12:07.0 	6.484
10/01/10	11:12:07.0 	8.319
10/01/10	12:12:07.0 	7.795
10/01/10	13:12:07.0 	8.319
10/01/10	14:12:07.0 	9.312
10/01/10	15:12:07.0 	10.369
10/01/10	16:12:07.0 	10.075
10/01/10	17:12:07.0 	10.149
10/01/10	18:12:07.0 	9.903
10/01/10	19:12:07.0 	9.805
10/01/10	20:12:07.0 	9.657
10/01/10	21:12:07.0 	9.682
10/01/10	22:12:07.0 	9.952
10/01/10	23:12:07.0 	9.854
10/02/10	00:12:07.0 	8.916
10/02/10	01:12:07.0 	8.717
10/02/10	02:12:07.0 	8.618
10/02/10	03:12:07.0 	8.419
10/02/10	04:12:07.0 	8.195
10/02/10	05:12:07.0 	8.170
10/02/10	06:12:07.0 	7.820
10/02/10	07:12:07.0 	7.569
10/02/10	08:12:07.0 	7.419
10/02/10	09:12:07.0 	7.619
10/02/10	10:12:07.0 	7.920
10/02/10	11:12:07.0 	8.145
10/02/10	12:12:07.0 	7.995
10/02/10	13:12:07.0 	8.120
10/02/10	14:12:07.0 	6.940
10/02/10	15:12:07.0 	6.077
10/02/10	16:12:07.0 	6.153
10/02/10	17:12:07.0 	6.179
10/02/10	18:12:07.0 	6.204
10/02/10	19:12:07.0 	6.535
10/02/10	20:12:07.0 	6.788
10/02/10	21:12:07.0 	6.864
10/02/10	22:12:07.0 	6.331
10/02/10	23:12:07.0 	6.179
10/03/10	00:12:07.0 	6.204
10/03/10	01:12:07.0 	6.204
10/03/10	02:12:07.0 	6.077
10/03/10	03:12:07.0 	6.051
10/03/10	04:12:07.0 	6.153
10/03/10	05:12:07.0 	6.306
10/03/10	06:12:07.0 	6.331
10/03/10	07:12:07.0 	6.611
10/03/10	08:12:07.0 	6.687
10/03/10	09:12:07.0 	6.864
10/03/10	10:12:07.0 	6.940
10/03/10	11:12:07.0 	7.192
10/03/10	12:12:07.0 	7.116
10/03/10	13:12:07.0 	6.965
10/03/10	14:12:07.0 	6.914
10/03/10	15:12:07.0 	6.687
10/03/10	16:12:07.0 	5.872
10/03/10	17:12:07.0 	5.745
10/03/10	18:12:07.0 	5.745
10/03/10	19:12:07.0 	5.745
10/03/10	20:12:07.0 	5.745
10/03/10	21:12:07.0 	5.745
10/03/10	22:12:07.0 	5.770
10/03/10	23:12:07.0 	5.821
10/04/10	00:12:07.0 	5.796
10/04/10	01:12:07.0 	5.770
10/04/10	02:12:07.0 	5.745
10/04/10	03:12:07.0 	5.745
10/04/10	04:12:07.0 	5.745
10/04/10	05:12:07.0 	5.745
10/04/10	06:12:07.0 	5.770
10/04/10	07:12:07.0 	5.796
10/04/10	08:12:07.0 	5.770
10/04/10	09:12:07.0 	5.745
10/04/10	10:12:07.0 	5.745
10/04/10	11:12:07.0 	7.795
10/04/10	12:12:07.0 	7.695
10/04/10	13:12:07.0 	7.519
10/04/10	14:12:07.0 	7.695
10/04/10	15:12:07.0 	7.494
10/04/10	16:12:07.0 	7.494
10/04/10	17:12:07.0 	7.469
10/04/10	18:12:07.0 	7.469
10/04/10	19:12:07.0 	7.469
10/04/10	20:12:07.0 	7.494
10/04/10	21:12:07.0 	7.469
10/04/10	22:12:07.0 	7.494
10/04/10	23:12:07.0 	7.469
10/05/10	00:12:07.0 	7.519
10/05/10	01:12:07.0 	7.519
10/05/10	02:12:07.0 	7.519
10/05/10	03:12:07.0 	7.469
10/05/10	04:12:07.0 	7.494
10/05/10	05:12:07.0 	7.469
10/05/10	06:12:07.0 	7.469
10/05/10	07:12:07.0 	7.494
10/05/10	08:12:07.0 	7.469
10/05/10	09:12:07.0 	7.519
10/05/10	10:12:07.0 	3.775
10/05/10	11:12:07.0 	3.801
10/05/10	12:12:07.0 	5.282
10/05/10	13:12:07.0 	8.668
10/05/10	14:12:07.0 	8.941
10/05/10	15:12:07.0 	9.238
10/05/10	16:12:07.0 	6.636
10/05/10	17:12:07.0 	5.975
10/05/10	18:12:07.0 	6.000
10/05/10	19:12:07.0 	6.102
10/05/10	20:12:07.0 	6.281
10/05/10	21:12:07.0 	6.687
10/05/10	22:12:07.0 	6.864
10/05/10	23:12:07.0 	6.357
10/06/10	00:12:07.0 	6.051
10/06/10	01:12:07.0 	6.077
10/06/10	02:12:07.0 	6.128
10/06/10	03:12:07.0 	6.128
10/06/10	04:12:07.0 	5.924
10/06/10	05:12:07.0 	5.898
10/06/10	06:12:07.0 	5.949
10/06/10	07:12:07.0 	6.102
10/06/10	08:12:07.0 	6.331
10/06/10	09:12:07.0 	6.661
10/06/10	10:12:07.0 	6.306
10/06/10	11:12:07.0 	6.000
10/06/10	12:12:07.0 	6.737
10/06/10	13:12:07.0 	7.820
10/06/10	14:12:07.0 	7.469
10/06/10	15:12:07.0 	7.594
10/06/10	16:12:07.0 	7.619
10/06/10	17:12:07.0 	7.670
10/06/10	18:12:07.0 	7.343
10/06/10	19:12:07.0 	7.015
10/06/10	20:12:07.0 	7.419
10/06/10	21:12:07.0 	7.041
10/06/10	22:12:07.0 	7.318
10/06/10	23:12:07.0 	7.167
10/07/10	00:12:07.0 	7.015
10/07/10	01:12:07.0 	7.066
10/07/10	02:12:07.0 	7.192
10/07/10	03:12:07.0 	7.318
10/07/10	04:12:07.0 	7.419
10/07/10	05:12:07.0 	7.469
10/07/10	06:12:07.0 	6.788
10/07/10	07:12:07.0 	6.839
10/07/10	08:12:07.0 	6.000
10/07/10	09:12:07.0 	5.796
10/07/10	10:12:07.0 	6.051
10/07/10	11:12:07.0 	5.949
10/07/10	12:12:07.0 	7.242
10/07/10	13:12:07.0 	7.519
