Date	Time	Temperature  (*C)
09/27/10	15:24:39	24.78
09/27/10	16:24:39	23.91
09/27/10	17:24:39	24.78
09/27/10	18:24:39	24.95
09/27/10	19:24:39	24.95
09/27/10	20:24:39	24.78
09/27/10	21:24:39	24.60
09/27/10	22:24:39	24.43
09/27/10	23:24:39	24.26
09/28/10	00:24:39	24.08
09/28/10	01:24:39	23.91
09/28/10	02:24:39	23.73
09/28/10	03:24:39	23.39
09/28/10	04:24:39	23.39
09/28/10	05:24:39	23.73
09/28/10	06:24:39	23.57
09/28/10	07:24:39	22.88
09/28/10	08:24:39	22.38
09/28/10	09:24:39	21.88
09/28/10	10:24:39	21.54
09/28/10	11:24:39	21.38
09/28/10	12:24:39	22.04
09/28/10	13:24:39	22.21
09/28/10	14:24:39	22.21
09/28/10	15:24:39	22.04
09/28/10	16:24:39	22.04
09/28/10	17:24:39	21.54
09/28/10	18:24:39	21.04
09/28/10	19:24:39	20.55
09/28/10	20:24:39	20.38
09/28/10	21:24:39	20.06
09/28/10	22:24:39	20.06
09/28/10	23:24:39	20.06
09/29/10	00:24:39	20.22
09/29/10	01:24:39	20.38
09/29/10	02:24:39	20.38
09/29/10	03:24:39	20.38
09/29/10	04:24:39	20.55
09/29/10	05:24:39	20.38
09/29/10	06:24:39	20.55
09/29/10	07:24:39	20.38
09/29/10	08:24:39	20.55
09/29/10	09:24:39	21.21
09/29/10	10:24:39	22.21
09/29/10	11:24:39	22.55
09/29/10	12:24:39	22.38
09/29/10	13:24:39	12.58
09/29/10	14:24:39	10.87
09/29/10	15:24:39	6.99
09/29/10	16:24:39	6.99
09/29/10	17:24:39	6.99
09/29/10	18:24:39	6.99
09/29/10	19:24:39	6.99
09/29/10	20:24:39	7.15
09/29/10	21:24:39	7.15
09/29/10	22:24:39	7.31
09/29/10	23:24:39	7.15
09/30/10	00:24:39	7.15
09/30/10	01:24:39	7.15
09/30/10	02:24:39	7.15
09/30/10	03:24:39	7.15
09/30/10	04:24:39	7.15
09/30/10	05:24:39	7.15
09/30/10	06:24:39	7.15
09/30/10	07:24:39	7.15
09/30/10	08:24:39	7.15
09/30/10	09:24:39	7.15
09/30/10	10:24:39	7.15
09/30/10	11:24:39	8.39
09/30/10	12:24:39	8.85
09/30/10	13:24:39	9.31
09/30/10	14:24:39	9.78
09/30/10	15:24:39	11.03
09/30/10	16:24:39	6.37
09/30/10	17:24:39	6.21
09/30/10	18:24:39	6.37
09/30/10	19:24:39	6.37
09/30/10	20:24:39	6.37
09/30/10	21:24:39	6.37
09/30/10	22:24:39	6.37
09/30/10	23:24:39	6.37
10/01/10	00:24:39	6.37
10/01/10	01:24:39	6.37
10/01/10	02:24:39	6.37
10/01/10	03:24:39	6.37
10/01/10	04:24:39	6.37
10/01/10	05:24:39	6.37
10/01/10	06:24:39	6.37
10/01/10	07:24:39	6.37
10/01/10	08:24:39	6.37
10/01/10	09:24:39	6.37
10/01/10	10:24:39	6.37
10/01/10	11:24:39	8.39
10/01/10	12:24:39	7.77
10/01/10	13:24:39	8.54
10/01/10	14:24:39	9.94
10/01/10	15:24:39	10.25
10/01/10	16:24:39	10.25
10/01/10	17:24:39	10.09
10/01/10	18:24:39	9.62
10/01/10	19:24:39	9.62
10/01/10	20:24:39	9.31
10/01/10	21:24:39	9.31
10/01/10	22:24:39	9.47
10/01/10	23:24:39	9.31
10/02/10	00:24:39	8.39
10/02/10	01:24:39	8.54
10/02/10	02:24:39	8.39
10/02/10	03:24:39	8.39
10/02/10	04:24:39	8.08
10/02/10	05:24:39	8.24
10/02/10	06:24:39	7.62
10/02/10	07:24:39	7.46
10/02/10	08:24:39	7.31
10/02/10	09:24:39	7.77
10/02/10	10:24:39	8.08
10/02/10	11:24:39	8.24
10/02/10	12:24:39	8.08
10/02/10	13:24:39	7.62
10/02/10	14:24:39	6.37
10/02/10	15:24:39	6.52
10/02/10	16:24:39	7.15
10/02/10	17:24:39	6.37
10/02/10	18:24:39	6.37
10/02/10	19:24:39	6.52
10/02/10	20:24:39	6.52
10/02/10	21:24:39	6.68
10/02/10	22:24:39	6.68
10/02/10	23:24:39	6.52
10/03/10	00:24:39	6.37
10/03/10	01:24:39	6.52
10/03/10	02:24:39	6.37
10/03/10	03:24:39	6.68
10/03/10	04:24:39	6.99
10/03/10	05:24:39	7.15
10/03/10	06:24:39	7.15
10/03/10	07:24:39	7.15
10/03/10	08:24:39	6.83
10/03/10	09:24:39	6.83
10/03/10	10:24:39	7.31
10/03/10	11:24:39	7.31
10/03/10	12:24:39	7.15
10/03/10	13:24:39	6.99
10/03/10	14:24:39	7.15
10/03/10	15:24:39	6.52
10/03/10	16:24:39	5.74
10/03/10	17:24:39	6.52
10/03/10	18:24:39	6.37
10/03/10	19:24:39	6.68
10/03/10	20:24:39	6.06
10/03/10	21:24:39	6.37
10/03/10	22:24:39	6.21
10/03/10	23:24:39	6.21
10/04/10	00:24:39	6.52
10/04/10	01:24:39	6.68
10/04/10	02:24:39	6.52
10/04/10	03:24:39	6.37
10/04/10	04:24:39	6.21
10/04/10	05:24:39	6.52
10/04/10	06:24:39	6.68
10/04/10	07:24:39	6.68
10/04/10	08:24:39	6.37
10/04/10	09:24:39	6.21
10/04/10	10:24:39	6.37
10/04/10	11:24:39	7.77
10/04/10	12:24:39	7.62
10/04/10	13:24:39	7.62
10/04/10	14:24:39	9.16
10/04/10	15:24:39	7.46
10/04/10	16:24:39	7.46
10/04/10	17:24:39	7.46
10/04/10	18:24:39	7.46
10/04/10	19:24:39	7.46
10/04/10	20:24:39	7.46
10/04/10	21:24:39	7.46
10/04/10	22:24:39	7.46
10/04/10	23:24:39	7.46
10/05/10	00:24:39	7.46
10/05/10	01:24:39	7.46
10/05/10	02:24:39	7.46
10/05/10	03:24:39	7.46
10/05/10	04:24:39	7.46
10/05/10	05:24:39	7.46
10/05/10	06:24:39	7.46
10/05/10	07:24:39	7.46
10/05/10	08:24:39	7.46
10/05/10	09:24:39	7.46
10/05/10	10:24:39	3.71
10/05/10	11:24:39	4.18
10/05/10	12:24:39	5.58
10/05/10	13:24:39	8.85
10/05/10	14:24:39	9.01
10/05/10	15:24:39	9.47
10/05/10	16:24:39	5.89
10/05/10	17:24:39	5.89
10/05/10	18:24:39	6.06
10/05/10	19:24:39	6.21
10/05/10	20:24:39	6.37
10/05/10	21:24:39	6.99
10/05/10	22:24:39	6.52
10/05/10	23:24:39	6.37
10/06/10	00:24:39	6.06
10/06/10	01:24:39	6.06
10/06/10	02:24:39	6.21
10/06/10	03:24:39	6.06
10/06/10	04:24:39	5.89
10/06/10	05:24:39	5.89
10/06/10	06:24:39	5.89
10/06/10	07:24:39	6.21
10/06/10	08:24:39	6.37
10/06/10	09:24:39	6.37
10/06/10	10:24:39	6.06
10/06/10	11:24:39	5.89
10/06/10	12:24:39	8.54
10/06/10	13:24:39	9.01
10/06/10	14:24:39	7.62
10/06/10	15:24:39	7.62
10/06/10	16:24:39	7.62
10/06/10	17:24:39	7.77
10/06/10	18:24:39	7.31
10/06/10	19:24:39	7.31
10/06/10	20:24:39	7.31
10/06/10	21:24:39	7.15
10/06/10	22:24:39	7.15
10/06/10	23:24:39	7.15
10/07/10	00:24:39	6.99
10/07/10	01:24:39	7.15
10/07/10	02:24:39	7.31
10/07/10	03:24:39	7.31
10/07/10	04:24:39	7.46
10/07/10	05:24:39	7.46
10/07/10	06:24:39	7.46
10/07/10	07:24:39	6.83
10/07/10	08:24:39	5.89
10/07/10	09:24:39	5.74
10/07/10	10:24:39	6.21
10/07/10	11:24:39	6.21
10/07/10	12:24:39	7.31
10/07/10	13:24:39	7.46
10/07/10	14:24:39	7.93
10/07/10	15:24:39	7.77
10/07/10	16:24:39	7.93
10/07/10	17:24:39	7.62
10/07/10	18:24:39	7.31
10/07/10	19:24:39	7.46
10/07/10	20:24:39	7.15
10/07/10	21:24:39	6.83
10/07/10	22:24:39	6.37
10/07/10	23:24:39	5.43
10/08/10	00:24:39	4.65
10/08/10	01:24:39	4.34
10/08/10	02:24:39	4.49
10/08/10	03:24:39	5.12
10/08/10	04:24:39	5.27
10/08/10	05:24:39	5.58
10/08/10	06:24:39	6.06
10/08/10	07:24:39	6.83
10/08/10	08:24:39	6.83
10/08/10	09:24:39	6.83
10/08/10	10:24:39	7.31
10/08/10	11:24:39	7.46
10/08/10	12:24:39	7.62
10/08/10	13:24:39	8.08
10/08/10	14:24:39	8.85
10/08/10	15:24:39	10.25
10/08/10	16:24:39	10.09
10/08/10	17:24:39	9.01
10/08/10	18:24:39	8.70
10/08/10	19:24:39	7.62
10/08/10	20:24:39	7.15
10/08/10	21:24:39	7.62
10/08/10	22:24:39	8.70
10/08/10	23:24:39	11.49
10/09/10	00:24:39	9.01
10/09/10	01:24:39	8.70
10/09/10	02:24:39	8.39
10/09/10	03:24:39	8.85
10/09/10	04:24:39	9.78
10/09/10	05:24:39	9.01
10/09/10	06:24:39	8.70
10/09/10	07:24:39	7.62
10/09/10	08:24:39	6.99
10/09/10	09:24:39	9.47
10/09/10	10:24:39	9.16
10/09/10	11:24:39	9.31
10/09/10	12:24:39	9.31
10/09/10	13:24:39	9.47
10/09/10	14:24:39	9.31
10/09/10	15:24:39	9.47
10/09/10	16:24:39	9.62
10/09/10	17:24:39	9.01
10/09/10	18:24:39	8.54
10/09/10	19:24:39	8.39
10/09/10	20:24:39	7.93
10/09/10	21:24:39	7.46
10/09/10	22:24:39	7.62
10/09/10	23:24:39	7.62
10/10/10	00:24:39	7.77
10/10/10	01:24:39	7.31
10/10/10	02:24:39	7.15
10/10/10	03:24:39	7.15
10/10/10	04:24:39	7.15
10/10/10	05:24:39	7.15
10/10/10	06:24:39	7.15
10/10/10	07:24:39	7.15
10/10/10	08:24:39	7.31
10/10/10	09:24:39	6.99
10/10/10	10:24:39	7.15
10/10/10	11:24:39	7.15
10/10/10	12:24:39	7.46
10/10/10	13:24:39	7.77
10/10/10	14:24:39	7.77
10/10/10	15:24:39	7.93
10/10/10	16:24:39	7.93
10/10/10	17:24:39	7.77
10/10/10	18:24:39	7.62
10/10/10	19:24:39	7.62
10/10/10	20:24:39	7.46
10/10/10	21:24:39	7.31
10/10/10	22:24:39	7.31
10/10/10	23:24:39	7.31
10/11/10	00:24:39	7.46
10/11/10	01:24:39	7.15
10/11/10	02:24:39	7.15
10/11/10	03:24:39	6.99
10/11/10	04:24:39	6.83
10/11/10	05:24:39	6.83
10/11/10	06:24:39	6.68
10/11/10	07:24:39	6.52
10/11/10	08:24:39	6.52
10/11/10	09:24:39	7.31
10/11/10	10:24:39	7.62
10/11/10	11:24:39	7.62
10/11/10	12:24:39	7.77
10/11/10	13:24:39	7.62
10/11/10	14:24:39	7.93
10/11/10	15:24:39	7.93
10/11/10	16:24:39	7.93
10/11/10	17:24:39	7.77
10/11/10	18:24:39	7.62
10/11/10	19:24:39	7.46
10/11/10	20:24:39	6.99
10/11/10	21:24:39	6.68
10/11/10	22:24:39	6.37
10/11/10	23:24:39	6.37
10/12/10	00:24:39	6.52
10/12/10	01:24:39	6.83
10/12/10	02:24:39	6.99
10/12/10	03:24:39	6.68
10/12/10	04:24:39	6.52
10/12/10	05:24:39	7.15
10/12/10	06:24:39	8.54
10/12/10	07:24:39	8.24
10/12/10	08:24:39	7.31
10/12/10	09:24:39	7.15
10/12/10	10:24:39	7.15
10/12/10	11:24:39	7.15
10/12/10	12:24:39	8.08
10/12/10	13:24:39	9.31
10/12/10	14:24:39	9.16
10/12/10	15:24:39	8.54
10/12/10	16:24:39	9.16
10/12/10	17:24:39	8.54
10/12/10	18:24:39	8.70
10/12/10	19:24:39	9.16
10/12/10	20:24:39	8.85
10/12/10	21:24:39	9.01
10/12/10	22:24:39	8.54
10/12/10	23:24:39	8.24
10/13/10	00:24:39	8.24
10/13/10	01:24:39	8.39
