Date	Time	Temperature  (*C)
09/27/10	14:52:59	21.41
09/27/10	15:52:59	23.94
09/27/10	16:52:59	26.39
09/27/10	17:52:59	26.74
09/27/10	18:52:59	27.09
09/27/10	19:52:59	26.56
09/27/10	20:52:59	26.56
09/27/10	21:52:59	26.39
09/27/10	22:52:59	26.21
09/27/10	23:52:59	26.39
09/28/10	00:52:59	25.68
09/28/10	01:52:59	25.68
09/28/10	02:52:59	25.68
09/28/10	03:52:59	25.33
09/28/10	04:52:59	25.51
09/28/10	05:52:59	25.86
09/28/10	06:52:59	24.81
09/28/10	07:52:59	23.94
09/28/10	08:52:59	23.25
09/28/10	09:52:59	22.58
09/28/10	10:52:59	22.41
09/28/10	11:52:59	23.25
09/28/10	12:52:59	23.94
09/28/10	13:52:59	23.77
09/28/10	14:52:59	23.59
09/28/10	15:52:59	23.59
09/28/10	16:52:59	23.42
09/28/10	17:52:59	22.91
09/28/10	18:52:59	22.24
09/28/10	19:52:59	22.07
09/28/10	20:52:59	22.07
09/28/10	21:52:59	21.74
09/28/10	22:52:59	21.74
09/28/10	23:52:59	22.07
09/29/10	00:52:59	22.24
09/29/10	01:52:59	22.41
09/29/10	02:52:59	22.24
09/29/10	03:52:59	22.41
09/29/10	04:52:59	22.41
09/29/10	05:52:59	22.41
09/29/10	06:52:59	22.24
09/29/10	07:52:59	22.41
09/29/10	08:52:59	22.41
09/29/10	09:52:59	22.91
09/29/10	10:52:59	23.08
09/29/10	11:52:59	22.74
09/29/10	12:52:59	22.91
09/29/10	13:52:59	11.82
09/29/10	14:52:59	7.01
09/29/10	15:52:59	7.01
09/29/10	16:52:59	7.01
09/29/10	17:52:59	7.01
09/29/10	18:52:59	7.01
09/29/10	19:52:59	7.01
09/29/10	20:52:59	7.01
09/29/10	21:52:59	7.01
09/29/10	22:52:59	7.01
09/29/10	23:52:59	7.01
09/30/10	00:52:59	7.16
09/30/10	01:52:59	7.16
09/30/10	02:52:59	7.16
09/30/10	03:52:59	7.01
09/30/10	04:52:59	7.01
09/30/10	05:52:59	7.01
09/30/10	06:52:59	7.01
09/30/10	07:52:59	7.01
09/30/10	08:52:59	7.01
09/30/10	09:52:59	7.94
09/30/10	10:52:59	8.25
09/30/10	11:52:59	8.56
09/30/10	12:52:59	9.18
09/30/10	13:52:59	9.96
09/30/10	14:52:59	10.11
09/30/10	15:52:59	11.19
09/30/10	16:52:59	6.07
09/30/10	17:52:59	6.07
09/30/10	18:52:59	6.07
09/30/10	19:52:59	6.23
09/30/10	20:52:59	6.23
09/30/10	21:52:59	6.23
09/30/10	22:52:59	6.23
09/30/10	23:52:59	6.07
10/01/10	00:52:59	6.07
10/01/10	01:52:59	6.07
10/01/10	02:52:59	6.07
10/01/10	03:52:59	6.07
10/01/10	04:52:59	6.07
10/01/10	05:52:59	6.07
10/01/10	06:52:59	6.07
10/01/10	07:52:59	6.07
10/01/10	08:52:59	6.07
10/01/10	09:52:59	6.07
10/01/10	10:52:59	6.23
10/01/10	11:52:59	8.09
10/01/10	12:52:59	8.25
10/01/10	13:52:59	8.87
10/01/10	14:52:59	10.42
10/01/10	15:52:59	10.27
10/01/10	16:52:59	10.27
10/01/10	17:52:59	9.96
10/01/10	18:52:59	9.49
10/01/10	19:52:59	9.33
10/01/10	20:52:59	9.18
10/01/10	21:52:59	9.18
10/01/10	22:52:59	9.18
10/01/10	23:52:59	8.56
10/02/10	00:52:59	8.56
10/02/10	01:52:59	8.56
10/02/10	02:52:59	8.25
10/02/10	03:52:59	8.09
10/02/10	04:52:59	8.09
10/02/10	05:52:59	7.94
10/02/10	06:52:59	7.16
10/02/10	07:52:59	7.16
10/02/10	08:52:59	7.32
10/02/10	09:52:59	8.56
10/02/10	10:52:59	8.56
10/02/10	11:52:59	7.78
10/02/10	12:52:59	8.87
10/02/10	13:52:59	7.47
10/02/10	14:52:59	7.63
10/02/10	15:52:59	7.32
10/02/10	16:52:59	7.32
10/02/10	17:52:59	7.16
10/02/10	18:52:59	7.32
10/02/10	19:52:59	7.32
10/02/10	20:52:59	7.47
10/02/10	21:52:59	7.32
10/02/10	22:52:59	7.32
10/02/10	23:52:59	7.32
10/03/10	00:52:59	7.32
10/03/10	01:52:59	7.32
10/03/10	02:52:59	7.32
10/03/10	03:52:59	7.32
10/03/10	04:52:59	7.32
10/03/10	05:52:59	6.85
10/03/10	06:52:59	7.01
10/03/10	07:52:59	6.85
10/03/10	08:52:59	7.01
10/03/10	09:52:59	7.01
10/03/10	10:52:59	6.85
10/03/10	11:52:59	7.32
10/03/10	12:52:59	6.85
10/03/10	13:52:59	6.85
10/03/10	14:52:59	6.69
10/03/10	15:52:59	6.23
10/03/10	16:52:59	5.28
10/03/10	17:52:59	5.76
10/03/10	18:52:59	5.76
10/03/10	19:52:59	5.76
10/03/10	20:52:59	5.76
10/03/10	21:52:59	5.76
10/03/10	22:52:59	5.76
10/03/10	23:52:59	5.91
10/04/10	00:52:59	5.91
10/04/10	01:52:59	5.76
10/04/10	02:52:59	5.76
10/04/10	03:52:59	5.76
10/04/10	04:52:59	5.76
10/04/10	05:52:59	5.76
10/04/10	06:52:59	5.76
10/04/10	07:52:59	5.76
10/04/10	08:52:59	5.76
10/04/10	09:52:59	5.76
10/04/10	10:52:59	5.76
10/04/10	11:52:59	5.91
10/04/10	12:52:59	9.96
10/04/10	13:52:59	9.64
10/04/10	14:52:59	7.32
10/04/10	15:52:59	7.32
10/04/10	16:52:59	7.16
10/04/10	17:52:59	7.16
10/04/10	18:52:59	7.16
10/04/10	19:52:59	7.16
10/04/10	20:52:59	7.16
10/04/10	21:52:59	7.16
10/04/10	22:52:59	7.16
10/04/10	23:52:59	7.16
10/05/10	00:52:59	7.16
10/05/10	01:52:59	7.16
10/05/10	02:52:59	7.16
10/05/10	03:52:59	7.16
10/05/10	04:52:59	7.16
10/05/10	05:52:59	7.32
10/05/10	06:52:59	7.16
10/05/10	07:52:59	7.16
10/05/10	08:52:59	3.57
10/05/10	09:52:59	3.09
10/05/10	10:52:59	3.41
10/05/10	11:52:59	4.35
10/05/10	12:52:59	8.09
10/05/10	13:52:59	9.33
10/05/10	14:52:59	9.49
10/05/10	15:52:59	9.80
10/05/10	16:52:59	10.11
10/05/10	17:52:59	7.63
10/05/10	18:52:59	7.63
10/05/10	19:52:59	7.16
10/05/10	20:52:59	7.16
10/05/10	21:52:59	7.16
10/05/10	22:52:59	7.32
10/05/10	23:52:59	7.32
10/06/10	00:52:59	7.32
10/06/10	01:52:59	7.32
10/06/10	02:52:59	7.47
10/06/10	03:52:59	7.47
10/06/10	04:52:59	7.47
10/06/10	05:52:59	7.47
10/06/10	06:52:59	7.78
