Date	Time	Temperature  (*C)
04/21/11	09:19:30	21.54
04/21/11	10:19:30	22.21
04/21/11	11:19:30	23.05
04/21/11	12:19:30	23.22
04/21/11	13:19:30	23.05
04/21/11	14:19:30	22.04
04/21/11	15:19:30	21.87
04/21/11	16:19:30	16.18
04/21/11	17:19:30	13.49
04/21/11	18:19:30	12.41
04/21/11	19:19:30	8.66
04/21/11	20:19:30	6.64
04/21/11	21:19:30	5.39
04/21/11	22:19:30	3.98
04/21/11	23:19:30	3.35
04/22/11	00:19:30	2.88
04/22/11	01:19:30	2.72
04/22/11	02:19:30	2.56
04/22/11	03:19:30	2.24
04/22/11	04:19:30	2.08
04/22/11	05:19:30	2.08
04/22/11	06:19:30	2.24
04/22/11	07:19:30	3.03
04/22/11	08:19:30	3.67
04/22/11	09:19:30	4.61
04/22/11	10:19:30	4.92
04/22/11	11:19:30	4.76
04/22/11	12:19:30	6.33
04/22/11	13:19:30	5.54
04/22/11	14:19:30	5.71
04/22/11	15:19:30	6.17
04/22/11	16:19:30	6.49
04/22/11	17:19:30	6.49
04/22/11	18:19:30	6.33
04/22/11	19:19:30	6.17
04/22/11	20:19:30	6.17
04/22/11	21:19:30	5.71
04/22/11	22:19:30	5.71
04/22/11	23:19:30	5.71
04/23/11	00:19:30	5.71
04/23/11	01:19:30	5.54
04/23/11	02:19:30	5.54
04/23/11	03:19:30	5.23
04/23/11	04:19:30	5.39
04/23/11	05:19:30	5.39
04/23/11	06:19:30	12.56
04/23/11	07:19:30	14.43
04/23/11	08:19:30	14.74
04/23/11	09:19:30	16.33
04/23/11	10:19:30	18.75
04/23/11	11:19:30	16.81
04/23/11	12:19:30	16.49
04/23/11	13:19:30	16.02
04/23/11	14:19:30	15.22
04/23/11	15:19:30	15.54
04/23/11	16:19:30	15.70
04/23/11	17:19:30	17.77
04/23/11	18:19:30	16.33
04/23/11	19:19:30	16.02
04/23/11	20:19:30	5.39
04/23/11	21:19:30	5.39
04/23/11	22:19:30	5.39
04/23/11	23:19:30	5.39
04/24/11	00:19:30	5.39
04/24/11	01:19:30	5.39
04/24/11	02:19:30	5.39
04/24/11	03:19:30	5.39
04/24/11	04:19:30	5.39
04/24/11	05:19:30	5.39
04/24/11	06:19:30	5.39
04/24/11	07:19:30	5.39
04/24/11	08:19:30	5.39
04/24/11	09:19:30	5.39
04/24/11	10:19:30	5.39
04/24/11	11:19:30	5.39
