Date	Time	Temp (°C) c:1
03/22/11	13:34:41.0 	21.628
03/22/11	14:34:41.0 	21.366
03/22/11	15:34:41.0 	21.604
03/22/11	16:34:41.0 	21.628
03/22/11	17:34:41.0 	21.175
03/22/11	18:34:41.0 	20.722
03/22/11	19:34:41.0 	20.698
03/22/11	20:34:41.0 	20.674
03/22/11	21:34:41.0 	20.722
03/22/11	22:34:41.0 	20.746
03/22/11	23:34:41.0 	20.746
03/23/11	00:34:41.0 	20.746
03/23/11	01:34:41.0 	20.746
03/23/11	02:34:41.0 	20.793
03/23/11	03:34:41.0 	20.817
03/23/11	04:34:41.0 	20.793
03/23/11	05:34:41.0 	20.746
03/23/11	06:34:41.0 	20.817
03/23/11	07:34:41.0 	20.841
03/23/11	08:34:41.0 	21.008
03/23/11	09:34:41.0 	21.151
03/23/11	10:34:41.0 	17.034
03/23/11	11:34:41.0 	13.425
03/23/11	12:34:41.0 	13.112
03/23/11	13:34:41.0 	14.984
03/23/11	14:34:41.0 	12.823
03/23/11	15:34:41.0 	13.858
03/23/11	16:34:41.0 	10.173
03/23/11	17:34:41.0 	8.444
03/23/11	18:34:41.0 	7.368
03/23/11	19:34:41.0 	6.306
03/23/11	20:34:41.0 	4.999
03/23/11	21:34:41.0 	3.775
03/23/11	22:34:41.0 	2.744
03/23/11	23:34:41.0 	1.913
03/24/11	00:34:41.0 	1.344
03/24/11	01:34:41.0 	0.797
03/24/11	02:34:41.0 	0.329
03/24/11	03:34:41.0 	-0.143
03/24/11	04:34:41.0 	-0.535
03/24/11	05:34:41.0 	-0.901
03/24/11	06:34:41.0 	-0.788
03/24/11	07:34:41.0 	-0.059
03/24/11	08:34:41.0 	0.989
03/24/11	09:34:41.0 	1.940
03/24/11	10:34:41.0 	2.983
03/24/11	11:34:41.0 	3.880
03/24/11	12:34:41.0 	4.714
03/24/11	13:34:41.0 	5.050
03/24/11	14:34:41.0 	4.999
03/24/11	15:34:41.0 	4.558
03/24/11	16:34:41.0 	5.024
03/24/11	17:34:41.0 	5.411
03/24/11	18:34:41.0 	4.844
03/24/11	19:34:41.0 	4.818
03/24/11	20:34:41.0 	4.766
03/24/11	21:34:41.0 	4.688
03/24/11	22:34:41.0 	4.454
03/24/11	23:34:41.0 	4.298
03/25/11	00:34:41.0 	4.402
03/25/11	01:34:41.0 	4.428
03/25/11	02:34:41.0 	4.324
03/25/11	03:34:41.0 	4.350
03/25/11	04:34:41.0 	4.298
03/25/11	05:34:41.0 	4.115
03/25/11	06:34:41.0 	4.168
03/25/11	07:34:41.0 	4.168
03/25/11	08:34:41.0 	4.246
03/25/11	09:34:41.0 	4.662
03/25/11	10:34:41.0 	4.921
03/25/11	11:34:41.0 	5.616
03/25/11	12:34:41.0 	5.924
03/25/11	13:34:41.0 	6.102
03/25/11	14:34:41.0 	6.179
03/25/11	15:34:41.0 	6.000
03/25/11	16:34:41.0 	6.484
03/25/11	17:34:41.0 	6.763
03/25/11	18:34:41.0 	6.914
03/25/11	19:34:41.0 	6.636
03/25/11	20:34:41.0 	6.255
03/25/11	21:34:41.0 	5.872
03/25/11	22:34:41.0 	5.770
03/25/11	23:34:41.0 	5.565
03/26/11	00:34:41.0 	5.437
03/26/11	01:34:41.0 	5.282
03/26/11	02:34:41.0 	5.076
03/26/11	03:34:41.0 	4.921
03/26/11	04:34:41.0 	4.766
03/26/11	05:34:41.0 	4.662
03/26/11	06:34:41.0 	4.584
03/26/11	07:34:41.0 	4.532
03/26/11	08:34:41.0 	4.636
03/26/11	09:34:41.0 	4.895
03/26/11	10:34:41.0 	4.947
03/26/11	11:34:41.0 	5.385
03/26/11	12:34:41.0 	5.770
03/26/11	13:34:41.0 	6.255
03/26/11	14:34:41.0 	6.484
03/26/11	15:34:41.0 	6.560
03/26/11	16:34:41.0 	6.636
03/26/11	17:34:41.0 	6.509
03/26/11	18:34:41.0 	6.357
03/26/11	19:34:41.0 	6.051
03/26/11	20:34:41.0 	5.796
03/26/11	21:34:41.0 	5.076
03/26/11	22:34:41.0 	4.844
03/26/11	23:34:41.0 	4.194
03/27/11	00:34:41.0 	3.801
03/27/11	01:34:41.0 	3.643
03/27/11	02:34:41.0 	3.406
03/27/11	03:34:41.0 	3.433
03/27/11	04:34:41.0 	3.643
03/27/11	05:34:41.0 	3.722
03/27/11	06:34:41.0 	3.722
03/27/11	07:34:41.0 	4.063
03/27/11	08:34:41.0 	4.220
03/27/11	09:34:41.0 	4.376
03/27/11	10:34:41.0 	4.610
03/27/11	11:34:41.0 	5.437
03/27/11	12:34:41.0 	7.217
03/27/11	13:34:41.0 	7.318
03/27/11	14:34:41.0 	8.145
03/27/11	15:34:41.0 	9.139
03/27/11	16:34:41.0 	9.139
03/27/11	17:34:41.0 	8.891
03/27/11	18:34:41.0 	8.170
03/27/11	19:34:41.0 	7.066
03/27/11	20:34:41.0 	5.565
03/27/11	21:34:41.0 	4.662
03/27/11	22:34:41.0 	4.011
03/27/11	23:34:41.0 	3.617
03/28/11	00:34:41.0 	3.195
03/28/11	01:34:41.0 	3.036
03/28/11	02:34:41.0 	3.089
03/28/11	03:34:41.0 	3.036
03/28/11	04:34:41.0 	3.142
03/28/11	05:34:41.0 	3.168
03/28/11	06:34:41.0 	3.538
03/28/11	07:34:41.0 	3.932
03/28/11	08:34:41.0 	4.115
03/28/11	09:34:41.0 	4.480
03/28/11	10:34:41.0 	5.128
03/28/11	11:34:41.0 	5.411
03/28/11	12:34:41.0 	5.872
03/28/11	13:34:41.0 	5.975
03/28/11	14:34:41.0 	5.872
03/28/11	15:34:41.0 	5.745
03/28/11	16:34:41.0 	5.719
03/28/11	17:34:41.0 	6.940
03/28/11	18:34:41.0 	7.041
03/28/11	19:34:41.0 	6.737
03/28/11	20:34:41.0 	6.255
03/28/11	21:34:41.0 	6.051
03/28/11	22:34:41.0 	5.975
03/28/11	23:34:41.0 	5.821
03/29/11	00:34:41.0 	5.719
03/29/11	01:34:41.0 	5.642
03/29/11	02:34:41.0 	5.539
03/29/11	03:34:41.0 	5.539
03/29/11	04:34:41.0 	5.565
03/29/11	05:34:41.0 	5.462
03/29/11	06:34:41.0 	5.308
03/29/11	07:34:41.0 	5.128
03/29/11	08:34:41.0 	6.661
03/29/11	09:34:41.0 	11.783
03/29/11	10:34:41.0 	12.268
03/29/11	11:34:41.0 	12.847
03/29/11	12:34:41.0 	10.247
03/29/11	13:34:41.0 	8.618
03/29/11	14:34:41.0 	8.245
03/29/11	15:34:41.0 	8.295
03/29/11	16:34:41.0 	8.095
03/29/11	17:34:41.0 	9.558
03/29/11	18:34:41.0 	9.756
03/29/11	19:34:41.0 	10.100
03/29/11	20:34:41.0 	10.541
03/29/11	21:34:41.0 	10.858
03/29/11	22:34:41.0 	11.102
03/29/11	23:34:41.0 	11.321
03/30/11	00:34:41.0 	11.492
03/30/11	01:34:41.0 	11.637
03/30/11	02:34:41.0 	11.759
03/30/11	03:34:41.0 	11.832
03/30/11	04:34:41.0 	11.880
03/30/11	05:34:41.0 	11.929
03/30/11	06:34:41.0 	11.929
03/30/11	07:34:41.0 	11.929
03/30/11	08:34:41.0 	11.053
03/30/11	09:34:41.0 	13.810
03/30/11	10:34:41.0 	15.867
03/30/11	11:34:41.0 	16.868
03/30/11	12:34:41.0 	17.605
03/30/11	13:34:41.0 	18.152
03/30/11	14:34:41.0 	18.580
03/30/11	15:34:41.0 	18.889
03/30/11	16:34:41.0 	19.222
03/30/11	17:34:41.0 	19.413
03/30/11	18:34:41.0 	19.508
03/30/11	19:34:41.0 	19.365
03/30/11	20:34:41.0 	19.365
03/30/11	21:34:41.0 	19.318
03/30/11	22:34:41.0 	19.294
03/30/11	23:34:41.0 	19.294
03/31/11	00:34:41.0 	19.318
03/31/11	01:34:41.0 	19.318
03/31/11	02:34:41.0 	19.294
03/31/11	03:34:41.0 	19.270
03/31/11	04:34:41.0 	19.246
03/31/11	05:34:41.0 	19.222
03/31/11	06:34:41.0 	19.199
03/31/11	07:34:41.0 	19.175
03/31/11	08:34:41.0 	19.151
03/31/11	09:34:41.0 	19.365
03/31/11	10:34:41.0 	19.508
03/31/11	11:34:41.0 	19.603
03/31/11	12:34:41.0 	19.698
03/31/11	13:34:41.0 	19.770
03/31/11	14:34:41.0 	19.698
03/31/11	15:34:41.0 	19.746
03/31/11	16:34:41.0 	19.698
03/31/11	17:34:41.0 	19.674
03/31/11	18:34:41.0 	19.817
03/31/11	19:34:41.0 	19.888
03/31/11	20:34:41.0 	19.770
03/31/11	21:34:41.0 	19.674
03/31/11	22:34:41.0 	19.579
03/31/11	23:34:41.0 	19.532
04/01/11	00:34:41.0 	19.508
04/01/11	01:34:41.0 	19.460
04/01/11	02:34:41.0 	19.460
04/01/11	03:34:41.0 	19.460
04/01/11	04:34:41.0 	19.436
04/01/11	05:34:41.0 	19.436
04/01/11	06:34:41.0 	19.413
04/01/11	07:34:41.0 	19.508
04/01/11	08:34:41.0 	18.319
04/01/11	09:34:41.0 	18.509
04/01/11	10:34:41.0 	18.723
04/01/11	11:34:41.0 	18.889
04/01/11	12:34:41.0 	19.032
04/01/11	13:34:41.0 	19.175
04/01/11	14:34:41.0 	19.270
04/01/11	15:34:41.0 	19.318
04/01/11	16:34:41.0 	19.413
04/01/11	17:34:41.0 	19.508
04/01/11	18:34:41.0 	19.579
04/01/11	19:34:41.0 	19.603
04/01/11	20:34:41.0 	19.555
04/01/11	21:34:41.0 	19.579
04/01/11	22:34:41.0 	19.532
04/01/11	23:34:41.0 	19.508
04/02/11	00:34:41.0 	19.460
04/02/11	01:34:41.0 	19.436
04/02/11	02:34:41.0 	19.413
04/02/11	03:34:41.0 	19.389
04/02/11	04:34:41.0 	19.341
04/02/11	05:34:41.0 	19.318
04/02/11	06:34:41.0 	19.318
04/02/11	07:34:41.0 	19.294
04/02/11	08:34:41.0 	19.270
04/02/11	09:34:41.0 	19.246
04/02/11	10:34:41.0 	19.270
04/02/11	11:34:41.0 	19.318
04/02/11	12:34:41.0 	19.365
04/02/11	13:34:41.0 	19.436
04/02/11	14:34:41.0 	19.508
04/02/11	15:34:41.0 	19.579
04/02/11	16:34:41.0 	19.627
04/02/11	17:34:41.0 	19.698
04/02/11	18:34:41.0 	19.746
04/02/11	19:34:41.0 	19.722
