Date	Time	Temperature  (*C)
01/13/11	09:53:39	20.37
01/13/11	10:53:39	22.52
01/13/11	11:53:39	22.86
01/13/11	12:53:39	22.86
01/13/11	13:53:39	22.68
01/13/11	14:53:39	22.68
01/13/11	15:53:39	22.68
01/13/11	16:53:39	22.68
01/13/11	17:53:39	22.68
01/13/11	18:53:39	22.68
01/13/11	19:53:39	22.68
01/13/11	20:53:39	22.52
01/13/11	21:53:39	22.35
01/13/11	22:53:39	22.18
01/13/11	23:53:39	22.18
01/14/11	00:53:39	22.18
01/14/11	01:53:39	22.18
01/14/11	02:53:39	22.18
01/14/11	03:53:39	22.18
01/14/11	04:53:39	22.18
01/14/11	05:53:39	22.18
01/14/11	06:53:39	22.02
01/14/11	07:53:39	22.18
01/14/11	08:53:39	22.18
01/14/11	09:53:39	22.35
01/14/11	10:53:39	22.35
01/14/11	11:53:39	13.98
01/14/11	12:53:39	4.52
01/14/11	13:53:39	1.53
01/14/11	14:53:39	13.52
01/14/11	15:53:39	10.42
01/14/11	16:53:39	10.58
01/14/11	17:53:39	10.73
01/14/11	18:53:39	11.66
01/14/11	19:53:39	12.28
01/14/11	20:53:39	13.21
01/14/11	21:53:39	13.52
01/14/11	22:53:39	12.28
01/14/11	23:53:39	11.04
01/15/11	00:53:39	10.58
01/15/11	01:53:39	10.42
01/15/11	02:53:39	10.27
01/15/11	03:53:39	10.11
01/15/11	04:53:39	9.96
01/15/11	05:53:39	9.80
01/15/11	06:53:39	8.25
01/15/11	07:53:39	-4.69
01/15/11	08:53:39	-4.69
01/15/11	09:53:39	-4.69
01/15/11	10:53:39	-4.69
01/15/11	11:53:39	-4.69
01/15/11	12:53:39	-4.69
01/15/11	13:53:39	-4.69
01/15/11	14:53:39	-4.69
01/15/11	15:53:39	-4.69
01/15/11	16:53:39	-4.69
01/15/11	17:53:39	-4.69
01/15/11	18:53:39	-4.69
01/15/11	19:53:39	5.15
01/15/11	20:53:39	4.84
01/15/11	21:53:39	5.15
01/15/11	22:53:39	5.31
01/15/11	23:53:39	5.31
01/16/11	00:53:39	5.31
01/16/11	01:53:39	4.84
01/16/11	02:53:39	5.15
01/16/11	03:53:39	5.15
01/16/11	04:53:39	5.31
01/16/11	05:53:39	5.31
01/16/11	06:53:39	5.31
01/16/11	07:53:39	5.31
01/16/11	08:53:39	5.46
01/16/11	09:53:39	5.31
01/16/11	10:53:39	5.31
01/16/11	11:53:39	5.31
01/16/11	12:53:39	5.15
01/16/11	13:53:39	5.15
01/16/11	14:53:39	5.15
01/16/11	15:53:39	5.15
01/16/11	16:53:39	4.99
01/16/11	17:53:39	4.99
01/16/11	18:53:39	4.99
01/16/11	19:53:39	4.99
01/16/11	20:53:39	4.99
01/16/11	21:53:39	4.99
01/16/11	22:53:39	4.99
01/16/11	23:53:39	4.99
01/17/11	00:53:39	4.99
01/17/11	01:53:39	4.99
01/17/11	02:53:39	4.99
01/17/11	03:53:39	4.99
01/17/11	04:53:39	4.99
01/17/11	05:53:39	5.15
01/17/11	06:53:39	5.15
01/17/11	07:53:39	5.15
01/17/11	08:53:39	-3.84
01/17/11	09:53:39	-3.51
01/17/11	10:53:39	-0.71
01/17/11	11:53:39	2.01
01/17/11	12:53:39	2.33
01/17/11	13:53:39	5.62
01/17/11	14:53:39	5.46
01/17/11	15:53:39	6.08
01/17/11	16:53:39	7.94
01/17/11	17:53:39	9.80
01/17/11	18:53:39	11.04
01/17/11	19:53:39	12.12
01/17/11	20:53:39	12.90
01/17/11	21:53:39	13.52
01/17/11	22:53:39	13.82
01/17/11	23:53:39	13.98
01/18/11	00:53:39	13.82
01/18/11	01:53:39	13.67
01/18/11	02:53:39	13.37
01/18/11	03:53:39	13.06
01/18/11	04:53:39	12.74
01/18/11	05:53:39	12.43
01/18/11	06:53:39	12.28
01/18/11	07:53:39	12.12
01/18/11	08:53:39	14.60
01/18/11	09:53:39	20.53
01/18/11	10:53:39	22.52
01/18/11	11:53:39	23.02
01/18/11	12:53:39	23.02
