Date	Time	Temp (°C) c:1
01/12/11	11:10:49.0 	22.872
01/12/11	12:10:49.0 	22.729
01/12/11	13:10:49.0 	22.585
01/12/11	14:10:49.0 	22.417
01/12/11	15:10:49.0 	13.040
01/12/11	16:10:49.0 	9.682
01/12/11	17:10:49.0 	7.770
01/12/11	18:10:49.0 	11.370
01/12/11	19:10:49.0 	13.570
01/12/11	20:10:49.0 	14.649
01/12/11	21:10:49.0 	14.792
01/12/11	22:10:49.0 	14.936
01/12/11	23:10:49.0 	15.031
01/13/11	00:10:49.0 	15.103
01/13/11	01:10:49.0 	15.127
01/13/11	02:10:49.0 	15.127
01/13/11	03:10:49.0 	15.127
01/13/11	04:10:49.0 	15.103
01/13/11	05:10:49.0 	15.079
01/13/11	06:10:49.0 	15.055
01/13/11	07:10:49.0 	15.031
01/13/11	08:10:49.0 	13.882
01/13/11	09:10:49.0 	11.856
01/13/11	10:10:49.0 	9.608
01/13/11	11:10:49.0 	7.419
01/13/11	12:10:49.0 	5.693
01/13/11	13:10:49.0 	4.869
01/13/11	14:10:49.0 	6.535
01/13/11	15:10:49.0 	6.179
01/13/11	16:10:49.0 	5.872
01/13/11	17:10:49.0 	5.385
01/13/11	18:10:49.0 	4.480
01/13/11	19:10:49.0 	3.459
01/13/11	20:10:49.0 	2.101
01/13/11	21:10:49.0 	0.577
01/13/11	22:10:49.0 	-0.845
01/13/11	23:10:49.0 	-2.130
01/14/11	00:10:49.0 	-3.094
01/14/11	01:10:49.0 	-4.317
01/14/11	02:10:49.0 	-5.449
01/14/11	03:10:49.0 	-6.451
01/14/11	04:10:49.0 	-7.380
01/14/11	05:10:49.0 	-8.198
01/14/11	06:10:49.0 	-8.864
01/14/11	07:10:49.0 	-9.405
01/14/11	08:10:49.0 	-9.541
01/14/11	09:10:49.0 	-4.864
01/14/11	10:10:49.0 	-3.153
01/14/11	11:10:49.0 	0.246
01/14/11	12:10:49.0 	0.079
01/14/11	13:10:49.0 	3.116
01/14/11	14:10:49.0 	4.714
01/14/11	15:10:49.0 	5.796
01/14/11	16:10:49.0 	7.494
01/14/11	17:10:49.0 	8.519
01/14/11	18:10:49.0 	8.469
01/14/11	19:10:49.0 	7.870
01/14/11	20:10:49.0 	7.670
01/14/11	21:10:49.0 	7.494
01/14/11	22:10:49.0 	7.192
01/14/11	23:10:49.0 	6.636
01/15/11	00:10:49.0 	6.255
01/15/11	01:10:49.0 	5.770
01/15/11	02:10:49.0 	5.128
01/15/11	03:10:49.0 	4.895
01/15/11	04:10:49.0 	5.385
01/15/11	05:10:49.0 	5.642
01/15/11	06:10:49.0 	5.719
01/15/11	07:10:49.0 	6.306
01/15/11	08:10:49.0 	6.484
01/15/11	09:10:49.0 	6.763
01/15/11	10:10:49.0 	7.293
01/15/11	11:10:49.0 	7.569
01/15/11	12:10:49.0 	7.820
01/15/11	13:10:49.0 	7.820
01/15/11	14:10:49.0 	7.569
01/15/11	15:10:49.0 	7.469
01/15/11	16:10:49.0 	7.469
01/15/11	17:10:49.0 	7.469
01/15/11	18:10:49.0 	8.120
01/15/11	19:10:49.0 	8.494
01/15/11	20:10:49.0 	8.817
01/15/11	21:10:49.0 	8.792
01/15/11	22:10:49.0 	8.195
01/15/11	23:10:49.0 	7.820
01/16/11	00:10:49.0 	7.167
01/16/11	01:10:49.0 	6.357
01/16/11	02:10:49.0 	5.898
01/16/11	03:10:49.0 	5.693
01/16/11	04:10:49.0 	5.488
01/16/11	05:10:49.0 	5.076
01/16/11	06:10:49.0 	4.766
01/16/11	07:10:49.0 	4.844
01/16/11	08:10:49.0 	5.024
01/16/11	09:10:49.0 	5.514
01/16/11	10:10:49.0 	7.795
01/16/11	11:10:49.0 	8.319
01/16/11	12:10:49.0 	8.742
01/16/11	13:10:49.0 	7.066
01/16/11	14:10:49.0 	6.712
01/16/11	15:10:49.0 	7.544
01/16/11	16:10:49.0 	8.817
01/16/11	17:10:49.0 	8.419
01/16/11	18:10:49.0 	8.543
01/16/11	19:10:49.0 	8.717
01/16/11	20:10:49.0 	9.238
01/16/11	21:10:49.0 	9.015
01/16/11	22:10:49.0 	9.040
01/16/11	23:10:49.0 	8.717
01/17/11	00:10:49.0 	8.817
01/17/11	01:10:49.0 	8.742
01/17/11	02:10:49.0 	8.742
01/17/11	03:10:49.0 	8.866
01/17/11	04:10:49.0 	8.990
01/17/11	05:10:49.0 	9.114
01/17/11	06:10:49.0 	9.213
01/17/11	07:10:49.0 	9.188
01/17/11	08:10:49.0 	7.393
01/17/11	09:10:49.0 	5.179
01/17/11	10:10:49.0 	1.778
01/17/11	11:10:49.0 	2.021
01/17/11	12:10:49.0 	2.182
01/17/11	13:10:49.0 	2.343
01/17/11	14:10:49.0 	2.316
01/17/11	15:10:49.0 	2.450
01/17/11	16:10:49.0 	2.370
01/17/11	17:10:49.0 	2.610
01/17/11	18:10:49.0 	2.664
01/17/11	19:10:49.0 	2.744
01/17/11	20:10:49.0 	2.770
01/17/11	21:10:49.0 	2.770
01/17/11	22:10:49.0 	2.823
01/17/11	23:10:49.0 	2.930
01/18/11	00:10:49.0 	3.036
01/18/11	01:10:49.0 	3.063
01/18/11	02:10:49.0 	3.036
01/18/11	03:10:49.0 	3.063
01/18/11	04:10:49.0 	3.089
01/18/11	05:10:49.0 	3.142
01/18/11	06:10:49.0 	3.168
01/18/11	07:10:49.0 	3.221
01/18/11	08:10:49.0 	3.274
01/18/11	09:10:49.0 	3.274
01/18/11	10:10:49.0 	3.248
01/18/11	11:10:49.0 	3.301
01/18/11	12:10:49.0 	3.380
01/18/11	13:10:49.0 	3.380
01/18/11	14:10:49.0 	3.354
01/18/11	15:10:49.0 	3.354
01/18/11	16:10:49.0 	3.354
01/18/11	17:10:49.0 	3.354
01/18/11	18:10:49.0 	3.354
01/18/11	19:10:49.0 	3.354
01/18/11	20:10:49.0 	3.380
01/18/11	21:10:49.0 	3.380
01/18/11	22:10:49.0 	3.380
01/18/11	23:10:49.0 	3.354
01/19/11	00:10:49.0 	3.380
01/19/11	01:10:49.0 	3.406
01/19/11	02:10:49.0 	3.433
01/19/11	03:10:49.0 	3.433
01/19/11	04:10:49.0 	3.459
01/19/11	05:10:49.0 	3.459
01/19/11	06:10:49.0 	-1.270
01/19/11	07:10:49.0 	3.354
01/19/11	08:10:49.0 	2.744
01/19/11	09:10:49.0 	2.770
01/19/11	10:10:49.0 	3.063
01/19/11	11:10:49.0 	3.670
01/19/11	12:10:49.0 	4.141
01/19/11	13:10:49.0 	4.168
01/19/11	14:10:49.0 	4.194
01/19/11	15:10:49.0 	4.168
01/19/11	16:10:49.0 	4.141
01/19/11	17:10:49.0 	4.037
01/19/11	18:10:49.0 	4.558
01/19/11	19:10:49.0 	8.220
01/19/11	20:10:49.0 	13.642
01/19/11	21:10:49.0 	14.026
01/19/11	22:10:49.0 	14.146
01/19/11	23:10:49.0 	13.882
01/20/11	00:10:49.0 	13.522
01/20/11	01:10:49.0 	14.002
01/20/11	02:10:49.0 	14.361
01/20/11	03:10:49.0 	14.792
01/20/11	04:10:49.0 	14.960
01/20/11	05:10:49.0 	17.843
01/20/11	06:10:49.0 	19.770
01/20/11	07:10:49.0 	21.390
01/20/11	08:10:49.0 	22.178
01/20/11	09:10:49.0 	22.130
01/20/11	10:10:49.0 	20.198
01/20/11	11:10:49.0 	16.439
01/20/11	12:10:49.0 	14.625
01/20/11	13:10:49.0 	10.907
01/20/11	14:10:49.0 	13.810
01/20/11	15:10:49.0 	15.247
01/20/11	16:10:49.0 	15.796
01/20/11	17:10:49.0 	15.963
01/20/11	18:10:49.0 	15.891
01/20/11	19:10:49.0 	15.915
01/20/11	20:10:49.0 	15.891
01/20/11	21:10:49.0 	15.915
01/20/11	22:10:49.0 	16.010
01/20/11	23:10:49.0 	16.082
01/21/11	00:10:49.0 	16.177
01/21/11	01:10:49.0 	16.272
01/21/11	02:10:49.0 	16.320
01/21/11	03:10:49.0 	16.320
01/21/11	04:10:49.0 	16.296
01/21/11	05:10:49.0 	16.296
01/21/11	06:10:49.0 	16.296
01/21/11	07:10:49.0 	16.296
01/21/11	08:10:49.0 	16.296
01/21/11	09:10:49.0 	16.392
01/21/11	10:10:49.0 	16.487
01/21/11	11:10:49.0 	16.558
01/21/11	12:10:49.0 	16.630
01/21/11	13:10:49.0 	16.677
01/21/11	14:10:49.0 	16.725
01/21/11	15:10:49.0 	16.749
01/21/11	16:10:49.0 	16.749
01/21/11	17:10:49.0 	16.749
01/21/11	18:10:49.0 	16.749
01/21/11	19:10:49.0 	16.749
01/21/11	20:10:49.0 	16.749
01/21/11	21:10:49.0 	16.892
01/21/11	22:10:49.0 	16.987
01/21/11	23:10:49.0 	16.963
01/22/11	00:10:49.0 	16.939
01/22/11	01:10:49.0 	16.892
01/22/11	02:10:49.0 	16.868
01/22/11	03:10:49.0 	16.820
01/22/11	04:10:49.0 	16.796
01/22/11	05:10:49.0 	16.749
01/22/11	06:10:49.0 	16.654
01/22/11	07:10:49.0 	16.558
01/22/11	08:10:49.0 	16.487
01/22/11	09:10:49.0 	16.439
01/22/11	10:10:49.0 	16.463
01/22/11	11:10:49.0 	16.511
01/22/11	12:10:49.0 	16.415
01/22/11	13:10:49.0 	16.773
01/22/11	14:10:49.0 	16.915
01/22/11	15:10:49.0 	17.106
01/22/11	16:10:49.0 	17.201
01/22/11	17:10:49.0 	17.130
01/22/11	18:10:49.0 	17.058
01/22/11	19:10:49.0 	17.153
01/22/11	20:10:49.0 	17.391
01/22/11	21:10:49.0 	17.249
01/22/11	22:10:49.0 	17.225
01/22/11	23:10:49.0 	17.201
01/23/11	00:10:49.0 	17.177
01/23/11	01:10:49.0 	17.130
01/23/11	02:10:49.0 	17.082
01/23/11	03:10:49.0 	17.034
01/23/11	04:10:49.0 	16.987
01/23/11	05:10:49.0 	16.963
01/23/11	06:10:49.0 	16.915
01/23/11	07:10:49.0 	16.868
01/23/11	08:10:49.0 	16.844
01/23/11	09:10:49.0 	17.296
01/23/11	10:10:49.0 	17.843
01/23/11	11:10:49.0 	18.057
01/23/11	12:10:49.0 	18.176
01/23/11	13:10:49.0 	18.343
01/23/11	14:10:49.0 	18.414
01/23/11	15:10:49.0 	18.438
01/23/11	16:10:49.0 	18.485
01/23/11	17:10:49.0 	18.485
01/23/11	18:10:49.0 	18.485
01/23/11	19:10:49.0 	18.414
01/23/11	20:10:49.0 	18.390
01/23/11	21:10:49.0 	18.414
01/23/11	22:10:49.0 	18.414
01/23/11	23:10:49.0 	18.390
01/24/11	00:10:49.0 	18.366
01/24/11	01:10:49.0 	18.295
01/24/11	02:10:49.0 	18.247
01/24/11	03:10:49.0 	18.200
01/24/11	04:10:49.0 	18.176
01/24/11	05:10:49.0 	18.129
01/24/11	06:10:49.0 	18.057
01/24/11	07:10:49.0 	18.010
01/24/11	08:10:49.0 	17.938
01/24/11	09:10:49.0 	17.796
01/24/11	10:10:49.0 	17.605
01/24/11	11:10:49.0 	17.391
01/24/11	12:10:49.0 	17.225
01/24/11	13:10:49.0 	17.011
01/24/11	14:10:49.0 	16.796
01/24/11	15:10:49.0 	16.582
01/24/11	16:10:49.0 	16.368
01/24/11	17:10:49.0 	16.201
01/24/11	18:10:49.0 	16.368
01/24/11	19:10:49.0 	16.820
01/24/11	20:10:49.0 	17.034
01/24/11	21:10:49.0 	17.177
01/24/11	22:10:49.0 	17.201
01/24/11	23:10:49.0 	17.106
01/25/11	00:10:49.0 	16.915
01/25/11	01:10:49.0 	16.677
01/25/11	02:10:49.0 	16.487
01/25/11	03:10:49.0 	16.320
01/25/11	04:10:49.0 	16.201
01/25/11	05:10:49.0 	16.082
01/25/11	06:10:49.0 	15.963
01/25/11	07:10:49.0 	15.891
01/25/11	08:10:49.0 	14.266
01/25/11	09:10:49.0 	19.175
