Date Time	Temperature  (*C)
06/21/11 	10:09:04.0	21.26
06/21/11 	11:09:04.0	29.82
06/21/11 	12:09:04.0	23.27
06/21/11 	13:09:04.0	18.49
06/21/11 	14:09:04.0	19.14
06/21/11 	15:09:04.0	20.12
06/21/11 	16:09:04.0	18.98
06/21/11 	17:09:04.0	22.09
06/21/11 	18:09:04.0	23.61
06/21/11 	19:09:04.0	24.30
06/21/11 	20:09:04.0	24.30
06/21/11 	21:09:04.0	23.96
06/21/11 	22:09:04.0	23.44
06/21/11 	23:09:04.0	22.93
06/22/11 	00:09:04.0	22.26
06/22/11 	01:09:04.0	21.76
06/22/11 	02:09:04.0	21.09
06/22/11 	03:09:04.0	20.28
06/22/11 	04:09:04.0	19.79
06/22/11 	05:09:04.0	19.31
06/22/11 	06:09:04.0	19.31
06/22/11 	07:09:04.0	19.31
06/22/11 	08:09:04.0	19.96
06/22/11 	09:09:04.0	20.77
06/22/11 	10:09:04.0	23.78
06/22/11 	11:09:04.0	23.96
06/22/11 	12:09:04.0	20.77
06/22/11 	13:09:04.0	18.49
06/22/11 	14:09:04.0	18.98
06/22/11 	15:09:04.0	19.47
06/22/11 	16:09:04.0	4.58
06/22/11 	17:09:04.0	4.58
06/22/11 	18:09:04.0	4.58
06/22/11 	19:09:04.0	4.58
06/22/11 	20:09:04.0	4.58
06/22/11 	21:09:04.0	4.58
06/22/11 	22:09:04.0	4.58
06/22/11 	23:09:04.0	4.58
06/23/11 	00:09:04.0	4.58
06/23/11 	01:09:04.0	4.58
06/23/11 	02:09:04.0	4.58
06/23/11 	03:09:04.0	4.58
06/23/11 	04:09:04.0	4.58
06/23/11 	05:09:04.0	4.58
06/23/11 	06:09:04.0	4.58
06/23/11 	07:09:04.0	4.58
06/23/11 	08:09:04.0	4.58
06/23/11 	09:09:04.0	4.58
06/23/11 	10:09:04.0	4.58
06/23/11 	11:09:04.0	4.58
06/23/11 	12:09:04.0	4.58
06/23/11 	13:09:04.0	18.82
06/23/11 	14:09:04.0	4.74
06/23/11 	15:09:04.0	4.58
06/23/11 	16:09:04.0	4.58
06/23/11 	17:09:04.0	4.58
06/23/11 	18:09:04.0	4.58
06/23/11 	19:09:04.0	4.58
06/23/11 	20:09:04.0	4.58
06/23/11 	21:09:04.0	4.58
06/23/11 	22:09:04.0	4.58
06/23/11 	23:09:04.0	4.58
06/24/11 	00:09:04.0	4.58
06/24/11 	01:09:04.0	4.58
06/24/11 	02:09:04.0	4.58
06/24/11 	03:09:04.0	4.58
06/24/11 	04:09:04.0	4.58
06/24/11 	05:09:04.0	4.58
06/24/11 	06:09:04.0	4.58
06/24/11 	07:09:04.0	4.58
06/24/11 	08:09:04.0	4.58
06/24/11 	09:09:04.0	12.81
06/24/11 	10:09:04.0	12.34
06/24/11 	11:09:04.0	13.12
06/24/11 	12:09:04.0	13.12
06/24/11 	13:09:04.0	13.58
06/24/11 	14:09:04.0	13.58
06/24/11 	15:09:04.0	14.04
06/24/11 	16:09:04.0	14.51
06/24/11 	17:09:04.0	4.89
06/24/11 	18:09:04.0	4.89
06/24/11 	19:09:04.0	4.89
06/24/11 	20:09:04.0	4.89
06/24/11 	21:09:04.0	4.89
06/24/11 	22:09:04.0	4.89
06/24/11 	23:09:04.0	4.89
06/25/11 	00:09:04.0	4.89
06/25/11 	01:09:04.0	4.89
06/25/11 	02:09:04.0	4.89
06/25/11 	03:09:04.0	4.89
06/25/11 	04:09:04.0	4.89
06/25/11 	05:09:04.0	4.89
06/25/11 	06:09:04.0	4.89
06/25/11 	07:09:04.0	4.89
06/25/11 	08:09:04.0	4.89
06/25/11 	09:09:04.0	4.89
06/25/11 	10:09:04.0	4.89
06/25/11 	11:09:04.0	4.89
06/25/11 	12:09:04.0	4.89
06/25/11 	13:09:04.0	15.46
06/25/11 	14:09:04.0	4.74
06/25/11 	15:09:04.0	4.89
06/25/11 	16:09:04.0	4.74
06/25/11 	17:09:04.0	4.74
06/25/11 	18:09:04.0	4.74
06/25/11 	19:09:04.0	4.74
06/25/11 	20:09:04.0	4.89
06/25/11 	21:09:04.0	4.74
06/25/11 	22:09:04.0	4.74
