Date Time	Temperature  (*C)
07/07/11 	09:15:56.0	22.53
07/07/11 	10:15:56.0	17.94
07/07/11 	11:15:56.0	15.40
07/07/11 	12:15:56.0	16.19
07/07/11 	13:15:56.0	16.98
07/07/11 	14:15:56.0	14.77
07/07/11 	15:15:56.0	15.72
07/07/11 	16:15:56.0	20.54
07/07/11 	17:15:56.0	22.36
07/07/11 	18:15:56.0	23.21
07/07/11 	19:15:56.0	23.89
07/07/11 	20:15:56.0	24.06
07/07/11 	21:15:56.0	23.89
07/07/11 	22:15:56.0	23.72
07/07/11 	23:15:56.0	23.37
07/08/11 	00:15:56.0	23.03
07/08/11 	01:15:56.0	22.69
07/08/11 	02:15:56.0	22.19
07/08/11 	03:15:56.0	21.86
07/08/11 	04:15:56.0	21.69
07/08/11 	05:15:56.0	21.53
07/08/11 	06:15:56.0	21.53
07/08/11 	07:15:56.0	21.69
07/08/11 	08:15:56.0	21.86
07/08/11 	09:15:56.0	21.86
07/08/11 	10:15:56.0	22.03
07/08/11 	11:15:56.0	22.19
07/08/11 	12:15:56.0	21.86
07/08/11 	13:15:56.0	21.53
07/08/11 	14:15:56.0	21.86
07/08/11 	15:15:56.0	22.19
07/08/11 	16:15:56.0	22.53
07/08/11 	17:15:56.0	22.87
07/08/11 	18:15:56.0	22.69
07/08/11 	19:15:56.0	22.53
07/08/11 	20:15:56.0	22.69
07/08/11 	21:15:56.0	22.69
07/08/11 	22:15:56.0	22.53
07/08/11 	23:15:56.0	22.36
07/09/11 	00:15:56.0	22.03
07/09/11 	01:15:56.0	21.69
07/09/11 	02:15:56.0	21.36
07/09/11 	03:15:56.0	21.20
07/09/11 	04:15:56.0	21.03
07/09/11 	05:15:56.0	20.87
07/09/11 	06:15:56.0	20.71
07/09/11 	07:15:56.0	20.87
07/09/11 	08:15:56.0	21.03
07/09/11 	09:15:56.0	21.20
07/09/11 	10:15:56.0	21.20
07/09/11 	11:15:56.0	21.36
07/09/11 	12:15:56.0	21.86
07/09/11 	13:15:56.0	22.19
07/09/11 	14:15:56.0	22.36
07/09/11 	15:15:56.0	22.19
07/09/11 	16:15:56.0	22.53
07/09/11 	17:15:56.0	22.69
07/09/11 	18:15:56.0	23.03
07/09/11 	19:15:56.0	23.03
07/09/11 	20:15:56.0	22.87
07/09/11 	21:15:56.0	22.36
07/09/11 	22:15:56.0	21.69
07/09/11 	23:15:56.0	21.36
07/10/11 	00:15:56.0	21.03
07/10/11 	01:15:56.0	20.38
07/10/11 	02:15:56.0	19.89
07/10/11 	03:15:56.0	19.40
07/10/11 	04:15:56.0	18.92
07/10/11 	05:15:56.0	18.59
07/10/11 	06:15:56.0	19.40
07/10/11 	07:15:56.0	19.73
07/10/11 	08:15:56.0	20.22
07/10/11 	09:15:56.0	20.54
07/10/11 	10:15:56.0	20.87
07/10/11 	11:15:56.0	21.36
07/10/11 	12:15:56.0	22.19
07/10/11 	13:15:56.0	22.19
07/10/11 	14:15:56.0	22.69
07/10/11 	15:15:56.0	23.03
07/10/11 	16:15:56.0	22.03
07/10/11 	17:15:56.0	21.03
07/10/11 	18:15:56.0	22.36
07/10/11 	19:15:56.0	22.87
07/10/11 	20:15:56.0	21.69
07/10/11 	21:15:56.0	21.20
07/10/11 	22:15:56.0	21.69
07/10/11 	23:15:56.0	22.03
07/11/11 	00:15:56.0	21.69
07/11/11 	01:15:56.0	20.71
07/11/11 	02:15:56.0	20.06
07/11/11 	03:15:56.0	19.73
07/11/11 	04:15:56.0	19.24
07/11/11 	05:15:56.0	18.92
07/11/11 	06:15:56.0	19.24
