Date	Time	Temperature  (*C)
07/18/11	10:53:44.0	22.54
07/18/11	11:53:44.0	21.03
07/18/11	12:53:44.0	20.70
07/18/11	13:53:44.0	20.70
07/18/11	14:53:44.0	20.70
07/18/11	15:53:44.0	20.70
07/18/11	16:53:44.0	20.70
07/18/11	17:53:44.0	20.53
07/18/11	18:53:44.0	20.53
07/18/11	19:53:44.0	20.37
07/18/11	20:53:44.0	20.21
07/18/11	21:53:44.0	19.89
07/18/11	22:53:44.0	19.72
07/18/11	23:53:44.0	19.56
07/19/11	00:53:44.0	19.56
07/19/11	01:53:44.0	19.40
07/19/11	02:53:44.0	19.40
07/19/11	03:53:44.0	19.23
07/19/11	04:53:44.0	19.23
07/19/11	05:53:44.0	19.23
07/19/11	06:53:44.0	19.07
07/19/11	07:53:44.0	19.23
07/19/11	08:53:44.0	19.40
07/19/11	09:53:44.0	19.56
07/19/11	10:53:44.0	19.72
07/19/11	11:53:44.0	20.37
07/19/11	12:53:44.0	20.53
07/19/11	13:53:44.0	21.03
07/19/11	14:53:44.0	22.03
07/19/11	15:53:44.0	22.37
07/19/11	16:53:44.0	22.20
07/19/11	17:53:44.0	22.71
07/19/11	18:53:44.0	22.71
07/19/11	19:53:44.0	22.20
07/19/11	20:53:44.0	21.70
07/19/11	21:53:44.0	21.19
07/19/11	22:53:44.0	20.53
07/19/11	23:53:44.0	20.21
07/20/11	00:53:44.0	20.05
07/20/11	01:53:44.0	19.89
07/20/11	02:53:44.0	19.72
07/20/11	03:53:44.0	19.40
07/20/11	04:53:44.0	18.91
07/20/11	05:53:44.0	19.07
07/20/11	06:53:44.0	19.07
07/20/11	07:53:44.0	19.23
07/20/11	08:53:44.0	19.72
07/20/11	09:53:44.0	20.21
07/20/11	10:53:44.0	20.70
07/20/11	11:53:44.0	21.19
07/20/11	12:53:44.0	26.69
07/20/11	13:53:44.0	17.77
07/20/11	14:53:44.0	15.06
07/20/11	15:53:44.0	6.82
07/20/11	16:53:44.0	6.66
07/20/11	17:53:44.0	6.51
07/20/11	18:53:44.0	6.51
07/20/11	19:53:44.0	6.51
07/20/11	20:53:44.0	6.51
07/20/11	21:53:44.0	6.66
07/20/11	22:53:44.0	6.66
07/20/11	23:53:44.0	6.66
07/21/11	00:53:44.0	6.82
07/21/11	01:53:44.0	6.82
07/21/11	02:53:44.0	6.82
07/21/11	03:53:44.0	6.82
07/21/11	04:53:44.0	6.82
07/21/11	05:53:44.0	6.82
07/21/11	06:53:44.0	6.66
07/21/11	07:53:44.0	6.19
07/21/11	08:53:44.0	6.82
07/21/11	09:53:44.0	6.82
07/21/11	10:53:44.0	6.82
07/21/11	11:53:44.0	15.70
07/21/11	12:53:44.0	18.91
07/21/11	13:53:44.0	6.35
07/21/11	14:53:44.0	6.51
07/21/11	15:53:44.0	6.19
07/21/11	16:53:44.0	6.35
07/21/11	17:53:44.0	6.35
07/21/11	18:53:44.0	6.19
07/21/11	19:53:44.0	6.35
07/21/11	20:53:44.0	6.35
07/21/11	21:53:44.0	6.35
07/21/11	22:53:44.0	6.19
07/21/11	23:53:44.0	6.19
07/22/11	00:53:44.0	6.35
07/22/11	01:53:44.0	6.51
07/22/11	02:53:44.0	6.35
07/22/11	03:53:44.0	6.35
07/22/11	04:53:44.0	6.35
07/22/11	05:53:44.0	6.51
07/22/11	06:53:44.0	6.35
07/22/11	07:53:44.0	6.19
07/22/11	08:53:44.0	11.63
07/22/11	09:53:44.0	12.26
07/22/11	10:53:44.0	12.41
07/22/11	11:53:44.0	13.34
07/22/11	12:53:44.0	14.43
07/22/11	13:53:44.0	15.54
07/22/11	14:53:44.0	16.02
07/22/11	15:53:44.0	6.66
07/22/11	16:53:44.0	6.97
07/22/11	17:53:44.0	6.19
07/22/11	18:53:44.0	6.35
07/22/11	19:53:44.0	6.35
07/22/11	20:53:44.0	6.35
07/22/11	21:53:44.0	6.51
07/22/11	22:53:44.0	6.51
07/22/11	23:53:44.0	6.51
07/23/11	00:53:44.0	6.66
07/23/11	01:53:44.0	6.82
07/23/11	02:53:44.0	6.97
07/23/11	03:53:44.0	6.97
07/23/11	04:53:44.0	6.82
07/23/11	05:53:44.0	6.82
07/23/11	06:53:44.0	6.51
07/23/11	07:53:44.0	6.51
07/23/11	08:53:44.0	6.35
07/23/11	09:53:44.0	6.35
07/23/11	10:53:44.0	6.35
07/23/11	11:53:44.0	16.81
07/23/11	12:53:44.0	18.26
07/23/11	13:53:44.0	15.86
07/23/11	14:53:44.0	5.72
07/23/11	15:53:44.0	5.72
07/23/11	16:53:44.0	5.72
07/23/11	17:53:44.0	5.72
07/23/11	18:53:44.0	5.72
07/23/11	19:53:44.0	5.72
07/23/11	20:53:44.0	5.72
07/23/11	21:53:44.0	5.56
07/23/11	22:53:44.0	5.72
07/23/11	23:53:44.0	5.72
07/24/11	00:53:44.0	5.72
07/24/11	01:53:44.0	5.72
07/24/11	02:53:44.0	5.72
07/24/11	03:53:44.0	5.72
07/24/11	04:53:44.0	5.72
07/24/11	05:53:44.0	5.72
07/24/11	06:53:44.0	5.72
