Date	Time	Temperature  (*C)
09/13/11	08:39:13	21.02
09/13/11	09:39:13	15.39
09/13/11	10:39:13	14.44
09/13/11	11:39:13	17.29
09/13/11	12:39:13	14.76
09/13/11	13:39:13	16.02
09/13/11	14:39:13	5.77
09/13/11	15:39:13	5.77
09/13/11	16:39:13	5.62
09/13/11	17:39:13	5.62
09/13/11	18:39:13	5.62
09/13/11	19:39:13	5.77
09/13/11	20:39:13	5.93
09/13/11	21:39:13	5.93
09/13/11	22:39:13	5.93
09/13/11	23:39:13	5.46
09/14/11	00:39:13	5.46
09/14/11	01:39:13	5.93
09/14/11	02:39:13	5.93
09/14/11	03:39:13	6.08
09/14/11	04:39:13	5.77
09/14/11	05:39:13	5.77
09/14/11	06:39:13	5.62
09/14/11	07:39:13	5.77
09/14/11	08:39:13	5.62
09/14/11	09:39:13	11.81
09/14/11	10:39:13	11.66
09/14/11	11:39:13	11.50
09/14/11	12:39:13	11.66
09/14/11	13:39:13	11.66
09/14/11	14:39:13	11.97
09/14/11	15:39:13	11.97
09/14/11	16:39:13	4.99
09/14/11	17:39:13	4.99
09/14/11	18:39:13	4.99
09/14/11	19:39:13	4.99
09/14/11	20:39:13	4.99
09/14/11	21:39:13	4.99
09/14/11	22:39:13	4.99
09/14/11	23:39:13	4.99
09/15/11	00:39:13	4.84
09/15/11	01:39:13	4.84
09/15/11	02:39:13	4.84
09/15/11	03:39:13	4.84
09/15/11	04:39:13	4.84
09/15/11	05:39:13	4.84
09/15/11	06:39:13	4.99
09/15/11	07:39:13	4.99
09/15/11	08:39:13	4.99
09/15/11	09:39:13	4.99
09/15/11	10:39:13	4.84
09/15/11	11:39:13	12.28
09/15/11	12:39:13	11.50
09/15/11	13:39:13	11.81
09/15/11	14:39:13	5.15
09/15/11	15:39:13	5.31
09/15/11	16:39:13	5.31
09/15/11	17:39:13	5.15
09/15/11	18:39:13	5.31
09/15/11	19:39:13	5.62
09/15/11	20:39:13	5.31
09/15/11	21:39:13	5.62
09/15/11	22:39:13	5.77
09/15/11	23:39:13	5.93
09/16/11	00:39:13	5.31
09/16/11	01:39:13	5.46
09/16/11	02:39:13	5.31
09/16/11	03:39:13	5.15
09/16/11	04:39:13	5.31
09/16/11	05:39:13	5.31
09/16/11	06:39:13	5.31
09/16/11	07:39:13	5.31
09/16/11	08:39:13	5.31
09/16/11	09:39:13	5.62
09/16/11	10:39:13	11.66
09/16/11	11:39:13	9.96
09/16/11	12:39:13	11.50
09/16/11	13:39:13	12.59
09/16/11	14:39:13	12.28
09/16/11	15:39:13	4.99
09/16/11	16:39:13	4.99
09/16/11	17:39:13	4.99
09/16/11	18:39:13	5.31
09/16/11	19:39:13	5.15
09/16/11	20:39:13	5.31
09/16/11	21:39:13	5.15
09/16/11	22:39:13	5.31
09/16/11	23:39:13	5.15
09/17/11	00:39:13	5.15
09/17/11	01:39:13	5.15
09/17/11	02:39:13	5.15
09/17/11	03:39:13	4.99
09/17/11	04:39:13	4.99
09/17/11	05:39:13	4.99
09/17/11	06:39:13	5.15
09/17/11	07:39:13	5.15
09/17/11	08:39:13	5.15
09/17/11	09:39:13	5.15
09/17/11	10:39:13	11.81
09/17/11	11:39:13	10.11
09/17/11	12:39:13	10.89
09/17/11	13:39:13	11.66
09/17/11	14:39:13	11.19
09/17/11	15:39:13	11.34
09/17/11	16:39:13	11.81
09/17/11	17:39:13	11.50
09/17/11	18:39:13	11.19
09/17/11	19:39:13	10.89
09/17/11	20:39:13	10.42
09/17/11	21:39:13	9.96
09/17/11	22:39:13	9.33
09/17/11	23:39:13	9.49
09/18/11	00:39:13	9.49
09/18/11	01:39:13	9.96
09/18/11	02:39:13	9.49
09/18/11	03:39:13	9.64
09/18/11	04:39:13	9.33
09/18/11	05:39:13	8.87
09/18/11	06:39:13	8.56
09/18/11	07:39:13	8.56
09/18/11	08:39:13	9.02
09/18/11	09:39:13	9.18
09/18/11	10:39:13	9.64
09/18/11	11:39:13	9.49
09/18/11	12:39:13	9.80
09/18/11	13:39:13	10.73
09/18/11	14:39:13	5.15
09/18/11	15:39:13	5.15
09/18/11	16:39:13	5.15
09/18/11	17:39:13	5.15
09/18/11	18:39:13	5.15
09/18/11	19:39:13	5.15
09/18/11	20:39:13	5.15
09/18/11	21:39:13	5.15
09/18/11	22:39:13	5.15
09/18/11	23:39:13	5.15
09/19/11	00:39:13	5.15
09/19/11	01:39:13	5.15
09/19/11	02:39:13	5.15
09/19/11	03:39:13	5.15
09/19/11	04:39:13	5.15
09/19/11	05:39:13	5.15
09/19/11	06:39:13	5.15
09/19/11	07:39:13	5.15
09/19/11	08:39:13	5.15
09/19/11	09:39:13	11.04
09/19/11	10:39:13	9.96
09/19/11	11:39:13	10.42
09/19/11	12:39:13	10.89
09/19/11	13:39:13	11.97
09/19/11	14:39:13	11.34
09/19/11	15:39:13	5.15
09/19/11	16:39:13	4.99
09/19/11	17:39:13	4.99
09/19/11	18:39:13	5.15
09/19/11	19:39:13	4.99
09/19/11	20:39:13	4.99
09/19/11	21:39:13	4.99
09/19/11	22:39:13	4.99
09/19/11	23:39:13	4.99
09/20/11	00:39:13	4.99
09/20/11	01:39:13	4.99
09/20/11	02:39:13	4.99
09/20/11	03:39:13	5.15
09/20/11	04:39:13	4.99
09/20/11	05:39:13	4.99
09/20/11	06:39:13	4.99
09/20/11	07:39:13	4.99
09/20/11	08:39:13	4.84
09/20/11	09:39:13	11.50
09/20/11	10:39:13	11.19
09/20/11	11:39:13	11.34
09/20/11	12:39:13	11.66
09/20/11	13:39:13	11.81
09/20/11	14:39:13	4.99
09/20/11	15:39:13	4.84
09/20/11	16:39:13	4.84
09/20/11	17:39:13	4.84
09/20/11	18:39:13	4.84
09/20/11	19:39:13	4.84
09/20/11	20:39:13	4.84
09/20/11	21:39:13	4.84
09/20/11	22:39:13	4.84
09/20/11	23:39:13	4.84
09/21/11	00:39:13	4.84
09/21/11	01:39:13	4.84
09/21/11	02:39:13	4.84
09/21/11	03:39:13	4.84
09/21/11	04:39:13	4.84
09/21/11	05:39:13	4.84
09/21/11	06:39:13	4.84
09/21/11	07:39:13	4.99
09/21/11	08:39:13	4.99
09/21/11	09:39:13	10.27
