Date	Time	Temp (°C) c:1
08/11/11	07:31:33.0 	23.088
08/11/11	08:31:33.0 	23.016
08/11/11	09:31:33.0 	22.082
08/11/11	10:31:33.0 	22.369
08/11/11	11:31:33.0 	23.424
08/11/11	12:31:33.0 	17.701
08/11/11	13:31:33.0 	12.582
08/11/11	14:31:33.0 	14.745
08/11/11	15:31:33.0 	6.382
08/11/11	16:31:33.0 	6.408
08/11/11	17:31:33.0 	6.382
08/11/11	18:31:33.0 	6.382
08/11/11	19:31:33.0 	6.357
08/11/11	20:31:33.0 	6.357
08/11/11	21:31:33.0 	6.331
08/11/11	22:31:33.0 	6.331
08/11/11	23:31:33.0 	6.357
08/12/11	00:31:33.0 	6.357
08/12/11	01:31:33.0 	6.382
08/12/11	02:31:33.0 	6.382
08/12/11	03:31:33.0 	6.382
08/12/11	04:31:33.0 	6.408
08/12/11	05:31:33.0 	6.408
08/12/11	06:31:33.0 	6.382
08/12/11	07:31:33.0 	6.382
08/12/11	08:31:33.0 	6.382
08/12/11	09:31:33.0 	15.939
08/12/11	10:31:33.0 	12.703
08/12/11	11:31:33.0 	12.389
08/12/11	12:31:33.0 	13.546
08/12/11	13:31:33.0 	15.461
08/12/11	14:31:33.0 	14.792
08/12/11	15:31:33.0 	14.409
08/12/11	16:31:33.0 	6.128
08/12/11	17:31:33.0 	6.077
08/12/11	18:31:33.0 	6.102
08/12/11	19:31:33.0 	6.128
08/12/11	20:31:33.0 	6.102
08/12/11	21:31:33.0 	6.077
08/12/11	22:31:33.0 	6.077
08/12/11	23:31:33.0 	6.051
08/13/11	00:31:33.0 	6.051
08/13/11	01:31:33.0 	6.051
08/13/11	02:31:33.0 	6.051
08/13/11	03:31:33.0 	6.051
08/13/11	04:31:33.0 	6.077
08/13/11	05:31:33.0 	6.102
08/13/11	06:31:33.0 	6.102
08/13/11	07:31:33.0 	6.102
08/13/11	08:31:33.0 	6.102
08/13/11	09:31:33.0 	6.102
08/13/11	10:31:33.0 	6.102
08/13/11	11:31:33.0 	6.077
08/13/11	12:31:33.0 	14.625
08/13/11	13:31:33.0 	15.199
08/13/11	14:31:33.0 	15.652
08/13/11	15:31:33.0 	6.051
08/13/11	16:31:33.0 	6.051
08/13/11	17:31:33.0 	6.051
08/13/11	18:31:33.0 	6.051
08/13/11	19:31:33.0 	6.051
08/13/11	20:31:33.0 	6.051
08/13/11	21:31:33.0 	6.051
08/13/11	22:31:33.0 	6.051
08/13/11	23:31:33.0 	6.051
08/14/11	00:31:33.0 	6.051
08/14/11	01:31:33.0 	6.026
08/14/11	02:31:33.0 	6.051
08/14/11	03:31:33.0 	6.026
08/14/11	04:31:33.0 	6.026
08/14/11	05:31:33.0 	6.026
08/14/11	06:31:33.0 	6.051
08/14/11	07:31:33.0 	6.026
08/14/11	08:31:33.0 	6.051
08/14/11	09:31:33.0 	14.409
08/14/11	10:31:33.0 	14.385
08/14/11	11:31:33.0 	13.161
08/14/11	12:31:33.0 	13.594
08/14/11	13:31:33.0 	12.823
08/14/11	14:31:33.0 	15.629
08/14/11	15:31:33.0 	15.031
08/14/11	16:31:33.0 	6.636
08/14/11	17:31:33.0 	6.560
08/14/11	18:31:33.0 	6.560
08/14/11	19:31:33.0 	6.560
08/14/11	20:31:33.0 	6.560
08/14/11	21:31:33.0 	6.560
08/14/11	22:31:33.0 	6.560
08/14/11	23:31:33.0 	6.560
08/15/11	00:31:33.0 	6.560
08/15/11	01:31:33.0 	6.560
08/15/11	02:31:33.0 	6.560
08/15/11	03:31:33.0 	6.560
08/15/11	04:31:33.0 	6.560
08/15/11	05:31:33.0 	6.560
08/15/11	06:31:33.0 	6.560
08/15/11	07:31:33.0 	6.560
08/15/11	08:31:33.0 	6.560
08/15/11	09:31:33.0 	6.560
08/15/11	10:31:33.0 	6.560
08/15/11	11:31:33.0 	6.560
08/15/11	12:31:33.0 	13.377
08/15/11	13:31:33.0 	12.243
08/15/11	14:31:33.0 	12.534
08/15/11	15:31:33.0 	11.662
08/15/11	16:31:33.0 	11.880
08/15/11	17:31:33.0 	11.029
08/15/11	18:31:33.0 	10.883
08/15/11	19:31:33.0 	10.883
08/15/11	20:31:33.0 	10.712
08/15/11	21:31:33.0 	11.005
08/15/11	22:31:33.0 	10.980
08/15/11	23:31:33.0 	10.736
08/16/11	00:31:33.0 	10.883
08/16/11	01:31:33.0 	10.932
08/16/11	02:31:33.0 	10.858
08/16/11	03:31:33.0 	10.956
08/16/11	04:31:33.0 	10.712
08/16/11	05:31:33.0 	10.687
08/16/11	06:31:33.0 	10.834
08/16/11	07:31:33.0 	11.078
08/16/11	08:31:33.0 	11.443
08/16/11	09:31:33.0 	11.807
08/16/11	10:31:33.0 	12.147
08/16/11	11:31:33.0 	12.534
08/16/11	12:31:33.0 	12.437
08/16/11	13:31:33.0 	12.920
08/16/11	14:31:33.0 	13.642
08/16/11	15:31:33.0 	14.074
08/16/11	16:31:33.0 	16.177
08/16/11	17:31:33.0 	6.864
08/16/11	18:31:33.0 	6.864
08/16/11	19:31:33.0 	6.990
08/16/11	20:31:33.0 	6.914
08/16/11	21:31:33.0 	6.889
08/16/11	22:31:33.0 	6.889
08/16/11	23:31:33.0 	6.889
08/17/11	00:31:33.0 	6.839
08/17/11	01:31:33.0 	6.839
08/17/11	02:31:33.0 	6.839
08/17/11	03:31:33.0 	6.864
08/17/11	04:31:33.0 	6.839
08/17/11	05:31:33.0 	6.864
08/17/11	06:31:33.0 	6.864
08/17/11	07:31:33.0 	6.864
08/17/11	08:31:33.0 	6.864
08/17/11	09:31:33.0 	6.864
08/17/11	10:31:33.0 	6.864
08/17/11	11:31:33.0 	6.864
08/17/11	12:31:33.0 	15.294
08/17/11	13:31:33.0 	15.629
08/17/11	14:31:33.0 	15.796
08/17/11	15:31:33.0 	6.661
08/17/11	16:31:33.0 	6.636
08/17/11	17:31:33.0 	6.661
08/17/11	18:31:33.0 	6.661
08/17/11	19:31:33.0 	6.661
08/17/11	20:31:33.0 	6.661
08/17/11	21:31:33.0 	6.661
08/17/11	22:31:33.0 	6.661
08/17/11	23:31:33.0 	6.661
08/18/11	00:31:33.0 	6.661
08/18/11	01:31:33.0 	6.661
08/18/11	02:31:33.0 	6.661
08/18/11	03:31:33.0 	6.661
08/18/11	04:31:33.0 	6.661
08/18/11	05:31:33.0 	6.661
08/18/11	06:31:33.0 	6.661
08/18/11	07:31:33.0 	6.661
08/18/11	08:31:33.0 	6.636
08/18/11	09:31:33.0 	14.864
08/18/11	10:31:33.0 	15.055
