Plot Title: 4 ,,,,,,,,,,,
#,"Time, GMT-08:00","Temp, °F()","Temp, °C()",Coupler Detached(),,Coupler Attached(),Host Connected(),Stopped(),End Of File(),,
1,8/11/2011 7:28,74.943,23.85722222,,,,,,,,
2,8/11/2011 7:28,,-17.77777778,Logged,,,,,,,Tc = (5/9)*(Tf-32);
3,8/11/2011 8:28,74.077,23.37611111,,,,,,,,
4,8/11/2011 9:28,72.007,22.22611111,,,,,,,,
5,8/11/2011 10:28,72.136,22.29777778,,,,,,,,
6,8/11/2011 11:28,73.99,23.32777778,,,,,,,,
7,8/11/2011 12:28,62.661,17.03388889,,,,,,,,
8,8/11/2011 13:28,55.299,12.94388889,,,,,,,,
9,8/11/2011 14:28,56.858,13.81,,,,,,,,
10,8/11/2011 15:28,56.772,13.76222222,,,,,,,,
11,8/11/2011 16:28,43.259,6.255,,,,,,,,
12,8/11/2011 17:28,43.122,6.178888889,,,,,,,,
13,8/11/2011 18:28,43.214,6.23,,,,,,,,
14,8/11/2011 19:28,43.214,6.23,,,,,,,,
15,8/11/2011 20:28,43.214,6.23,,,,,,,,
16,8/11/2011 21:28,43.167,6.203888889,,,,,,,,
17,8/11/2011 22:28,43.122,6.178888889,,,,,,,,
18,8/11/2011 23:28,43.167,6.203888889,,,,,,,,
19,8/12/2011 0:28,43.167,6.203888889,,,,,,,,
20,8/12/2011 1:28,43.306,6.281111111,,,,,,,,
21,8/12/2011 2:28,43.306,6.281111111,,,,,,,,
22,8/12/2011 3:28,43.259,6.255,,,,,,,,
23,8/12/2011 4:28,43.443,6.357222222,,,,,,,,
24,8/12/2011 5:28,43.259,6.255,,,,,,,,
25,8/12/2011 6:28,43.306,6.281111111,,,,,,,,
26,8/12/2011 7:28,43.306,6.281111111,,,,,,,,
27,8/12/2011 8:28,43.214,6.23,,,,,,,,
28,8/12/2011 9:28,43.122,6.178888889,,,,,,,,
29,8/12/2011 10:28,56.858,13.81,,,,,,,,
30,8/12/2011 11:28,54.952,12.75111111,,,,,,,,
31,8/12/2011 12:28,56.512,13.61777778,,,,,,,,
32,8/12/2011 13:28,59.745,15.41388889,,,,,,,,
33,8/12/2011 14:28,58.755,14.86388889,,,,,,,,
34,8/12/2011 15:28,43.259,6.255,,,,,,,,
35,8/12/2011 16:28,43.214,6.23,,,,,,,,
36,8/12/2011 17:28,43.259,6.255,,,,,,,,
37,8/12/2011 18:28,43.259,6.255,,,,,,,,
38,8/12/2011 19:28,43.259,6.255,,,,,,,,
39,8/12/2011 20:28,43.259,6.255,,,,,,,,
40,8/12/2011 21:28,43.259,6.255,,,,,,,,
41,8/12/2011 22:28,43.259,6.255,,,,,,,,
42,8/12/2011 23:28,43.259,6.255,,,,,,,,
43,8/13/2011 0:28,43.259,6.255,,,,,,,,
44,8/13/2011 1:28,43.259,6.255,,,,,,,,
45,8/13/2011 2:28,43.259,6.255,,,,,,,,
46,8/13/2011 3:28,43.259,6.255,,,,,,,,
47,8/13/2011 4:28,43.259,6.255,,,,,,,,
48,8/13/2011 5:28,43.259,6.255,,,,,,,,
49,8/13/2011 6:28,43.259,6.255,,,,,,,,
50,8/13/2011 7:28,43.259,6.255,,,,,,,,
51,8/13/2011 8:28,43.214,6.23,,,,,,,,
52,8/13/2011 9:28,43.214,6.23,,,,,,,,
53,8/13/2011 10:28,54.648,12.58222222,,,,,,,,
54,8/13/2011 11:28,56.685,13.71388889,,,,,,,,
55,8/13/2011 12:28,55.863,13.25722222,,,,,,,,
56,8/13/2011 13:28,57.85,14.36111111,,,,,,,,
57,8/13/2011 14:28,59.272,15.15111111,,,,,,,,
58,8/13/2011 15:28,59.056,15.03111111,,,,,,,,
59,8/13/2011 16:28,43.214,6.23,,,,,,,,
60,8/13/2011 17:28,43.167,6.203888889,,,,,,,,
61,8/13/2011 18:28,43.167,6.203888889,,,,,,,,
62,8/13/2011 19:28,43.214,6.23,,,,,,,,
63,8/13/2011 20:28,43.259,6.255,,,,,,,,
64,8/13/2011 21:28,43.259,6.255,,,,,,,,
65,8/13/2011 22:28,43.259,6.255,,,,,,,,
66,8/13/2011 23:28,43.214,6.23,,,,,,,,
67,8/14/2011 0:28,43.214,6.23,,,,,,,,
68,8/14/2011 1:28,43.214,6.23,,,,,,,,
69,8/14/2011 2:28,43.167,6.203888889,,,,,,,,
70,8/14/2011 3:28,43.167,6.203888889,,,,,,,,
71,8/14/2011 4:28,43.167,6.203888889,,,,,,,,
72,8/14/2011 5:28,43.167,6.203888889,,,,,,,,
73,8/14/2011 6:28,43.167,6.203888889,,,,,,,,
74,8/14/2011 7:28,43.214,6.23,,,,,,,,
75,8/14/2011 8:28,43.214,6.23,,,,,,,,
76,8/14/2011 9:28,43.214,6.23,,,,,,,,
77,8/14/2011 10:28,43.259,6.255,,,,,,,,
78,8/14/2011 11:28,59.056,15.03111111,,,,,,,,
79,8/14/2011 12:28,55.386,12.99222222,,,,,,,,
80,8/14/2011 13:28,56.035,13.35277778,,,,,,,,
81,8/14/2011 14:28,62.019,16.67722222,,,,,,,,
82,8/14/2011 15:28,44.764,7.091111111,,,,,,,,
83,8/14/2011 16:28,43.99,6.661111111,,,,,,,,
84,8/14/2011 17:28,43.99,6.661111111,,,,,,,,
85,8/14/2011 18:28,43.99,6.661111111,,,,,,,,
86,8/14/2011 19:28,43.99,6.661111111,,,,,,,,
87,8/14/2011 20:28,43.99,6.661111111,,,,,,,,
88,8/14/2011 21:28,43.99,6.661111111,,,,,,,,
89,8/14/2011 22:28,43.99,6.661111111,,,,,,,,
90,8/14/2011 23:28,43.99,6.661111111,,,,,,,,
91,8/15/2011 0:28,43.99,6.661111111,,,,,,,,
92,8/15/2011 1:28,43.99,6.661111111,,,,,,,,
93,8/15/2011 2:28,43.99,6.661111111,,,,,,,,
94,8/15/2011 3:28,43.99,6.661111111,,,,,,,,
95,8/15/2011 4:28,43.99,6.661111111,,,,,,,,
96,8/15/2011 5:28,43.99,6.661111111,,,,,,,,
97,8/15/2011 6:28,43.99,6.661111111,,,,,,,,
98,8/15/2011 7:28,43.99,6.661111111,,,,,,,,
99,8/15/2011 8:28,43.99,6.661111111,,,,,,,,
100,8/15/2011 9:28,43.99,6.661111111,,,,,,,,
101,8/15/2011 10:28,43.99,6.661111111,,,,,,,,
102,8/15/2011 11:28,55.299,12.94388889,,,,,,,,
103,8/15/2011 12:28,53.776,12.09777778,,,,,,,,
104,8/15/2011 13:28,53.121,11.73388889,,,,,,,,
105,8/15/2011 14:28,53.341,11.85611111,,,,,,,,
106,8/15/2011 15:28,52.072,11.15111111,,,,,,,,
107,8/15/2011 16:28,53.515,11.95277778,,,,,,,,
108,8/15/2011 17:28,52.115,11.175,,,,,,,,
109,8/15/2011 18:28,51.589,10.88277778,,,,,,,,
110,8/15/2011 19:28,51.721,10.95611111,,,,,,,,
111,8/15/2011 20:28,51.413,10.785,,,,,,,,
112,8/15/2011 21:28,51.852,11.02888889,,,,,,,,
113,8/15/2011 22:28,51.809,11.005,,,,,,,,
114,8/15/2011 23:28,51.413,10.785,,,,,,,,
115,8/16/2011 0:28,51.678,10.93222222,,,,,,,,
116,8/16/2011 1:28,51.764,10.98,,,,,,,,
117,8/16/2011 2:28,51.633,10.90722222,,,,,,,,
118,8/16/2011 3:28,51.852,11.02888889,,,,,,,,
119,8/16/2011 4:28,51.544,10.85777778,,,,,,,,
120,8/16/2011 5:28,51.325,10.73611111,,,,,,,,
121,8/16/2011 6:28,51.544,10.85777778,,,,,,,,
122,8/16/2011 7:28,51.633,10.90722222,,,,,,,,
123,8/16/2011 8:28,52.072,11.15111111,,,,,,,,
124,8/16/2011 9:28,52.554,11.41888889,,,,,,,,
125,8/16/2011 10:28,52.817,11.565,,,,,,,,
126,8/16/2011 11:28,53.298,11.83222222,,,,,,,,
127,8/16/2011 12:28,54.561,12.53388889,,,,,,,,
128,8/16/2011 13:28,54.995,12.775,,,,,,,,
129,8/16/2011 14:28,56.295,13.49722222,,,,,,,,
130,8/16/2011 15:28,45.172,7.317777778,,,,,,,,
131,8/16/2011 16:28,45.172,7.317777778,,,,,,,,
132,8/16/2011 17:28,45.172,7.317777778,,,,,,,,
133,8/16/2011 18:28,45.172,7.317777778,,,,,,,,
134,8/16/2011 19:28,45.127,7.292777778,,,,,,,,
135,8/16/2011 20:28,45.127,7.292777778,,,,,,,,
136,8/16/2011 21:28,45.172,7.317777778,,,,,,,,
137,8/16/2011 22:28,45.127,7.292777778,,,,,,,,
138,8/16/2011 23:28,45.127,7.292777778,,,,,,,,
139,8/17/2011 0:28,45.082,7.267777778,,,,,,,,
140,8/17/2011 1:28,45.172,7.317777778,,,,,,,,
141,8/17/2011 2:28,45.127,7.292777778,,,,,,,,
142,8/17/2011 3:28,45.172,7.317777778,,,,,,,,
143,8/17/2011 4:28,45.172,7.317777778,,,,,,,,
144,8/17/2011 5:28,45.172,7.317777778,,,,,,,,
145,8/17/2011 6:28,45.127,7.292777778,,,,,,,,
146,8/17/2011 7:28,45.172,7.317777778,,,,,,,,
147,8/17/2011 8:28,45.172,7.317777778,,,,,,,,
148,8/17/2011 9:28,45.172,7.317777778,,,,,,,,
149,8/17/2011 10:28,60.217,15.67611111,,,,,,,,
150,8/17/2011 11:28,61.376,16.32,,,,,,,,
151,8/17/2011 12:28,58.842,14.91222222,,,,,,,,
152,8/17/2011 13:28,60.26,15.7,,,,,,,,
153,8/17/2011 14:28,59.486,15.27,,,,,,,,
154,8/17/2011 15:28,44.127,6.737222222,,,,,,,,
155,8/17/2011 16:28,44.127,6.737222222,,,,,,,,
156,8/17/2011 17:28,44.127,6.737222222,,,,,,,,
157,8/17/2011 18:28,44.127,6.737222222,,,,,,,,
158,8/17/2011 19:28,44.127,6.737222222,,,,,,,,
159,8/17/2011 20:28,44.127,6.737222222,,,,,,,,
160,8/17/2011 21:28,44.127,6.737222222,,,,,,,,
161,8/17/2011 22:28,44.127,6.737222222,,,,,,,,
162,8/17/2011 23:28,44.127,6.737222222,,,,,,,,
163,8/18/2011 0:28,44.127,6.737222222,,,,,,,,
164,8/18/2011 1:28,44.127,6.737222222,,,,,,,,
165,8/18/2011 2:28,44.127,6.737222222,,,,,,,,
166,8/18/2011 3:28,44.127,6.737222222,,,,,,,,
167,8/18/2011 4:28,44.127,6.737222222,,,,,,,,
168,8/18/2011 5:28,44.127,6.737222222,,,,,,,,
169,8/18/2011 6:28,44.127,6.737222222,,,,,,,,
170,8/18/2011 7:28,44.127,6.737222222,,,,,,,,
171,8/18/2011 8:28,44.127,6.737222222,,,,,,,,
172,8/18/2011 9:28,57.679,14.26611111,,,,,,,,
173,8/18/2011 10:28,60.003,15.55722222,,,,,,,,
174,8/18/2011 11:17,,,,,Logged,Logged,,,,
175,8/18/2011 11:17,,,,,,,Logged,Logged,,
