Date	Time	Temp (°C) c:1
09/13/11	06:10:51.0 	18.010
09/13/11	07:10:51.0 	18.057
09/13/11	08:10:51.0 	12.413
09/13/11	09:10:51.0 	13.618
09/13/11	10:10:51.0 	13.473
09/13/11	11:10:51.0 	14.194
09/13/11	12:10:51.0 	15.055
09/13/11	13:10:51.0 	15.700
09/13/11	14:10:51.0 	15.629
09/13/11	15:10:51.0 	17.368
09/13/11	16:10:51.0 	6.357
09/13/11	17:10:51.0 	6.306
09/13/11	18:10:51.0 	6.357
09/13/11	19:10:51.0 	6.357
09/13/11	20:10:51.0 	6.408
09/13/11	21:10:51.0 	6.585
09/13/11	22:10:51.0 	6.509
09/13/11	23:10:51.0 	6.535
09/14/11	00:10:51.0 	6.535
09/14/11	01:10:51.0 	6.458
09/14/11	02:10:51.0 	6.433
09/14/11	03:10:51.0 	6.408
09/14/11	04:10:51.0 	6.331
09/14/11	05:10:51.0 	6.306
09/14/11	06:10:51.0 	6.306
09/14/11	07:10:51.0 	6.306
09/14/11	08:10:51.0 	6.458
09/14/11	09:10:51.0 	6.458
09/14/11	10:10:51.0 	6.433
09/14/11	11:10:51.0 	6.458
09/14/11	12:10:51.0 	13.930
09/14/11	13:10:51.0 	13.762
09/14/11	14:10:51.0 	13.642
09/14/11	15:10:51.0 	6.382
09/14/11	16:10:51.0 	6.382
09/14/11	17:10:51.0 	6.408
09/14/11	18:10:51.0 	6.408
09/14/11	19:10:51.0 	6.408
09/14/11	20:10:51.0 	6.357
09/14/11	21:10:51.0 	6.331
09/14/11	22:10:51.0 	6.306
09/14/11	23:10:51.0 	6.281
09/15/11	00:10:51.0 	6.255
09/15/11	01:10:51.0 	6.255
09/15/11	02:10:51.0 	6.306
09/15/11	03:10:51.0 	6.382
09/15/11	04:10:51.0 	6.458
09/15/11	05:10:51.0 	6.458
09/15/11	06:10:51.0 	6.433
09/15/11	07:10:51.0 	6.408
09/15/11	08:10:51.0 	6.382
09/15/11	09:10:51.0 	11.783
09/15/11	10:10:51.0 	11.540
09/15/11	11:10:51.0 	11.710
09/15/11	12:10:51.0 	12.340
09/15/11	13:10:51.0 	12.147
09/15/11	14:10:51.0 	16.677
09/15/11	15:10:51.0 	6.281
09/15/11	16:10:51.0 	6.408
09/15/11	17:10:51.0 	6.357
09/15/11	18:10:51.0 	6.357
09/15/11	19:10:51.0 	6.306
09/15/11	20:10:51.0 	6.306
09/15/11	21:10:51.0 	6.230
09/15/11	22:10:51.0 	6.281
09/15/11	23:10:51.0 	6.255
09/16/11	00:10:51.0 	6.255
09/16/11	01:10:51.0 	6.281
09/16/11	02:10:51.0 	6.306
09/16/11	03:10:51.0 	6.281
09/16/11	04:10:51.0 	6.357
09/16/11	05:10:51.0 	6.408
