Date	Time	Temperature  (*C)
10/04/11	10:38:37	20.37
10/04/11	11:38:37	10.23
10/04/11	12:38:37	11.32
10/04/11	13:38:37	6.82
10/04/11	14:38:37	6.82
10/04/11	15:38:37	6.82
10/04/11	16:38:37	6.82
10/04/11	17:38:37	6.82
10/04/11	18:38:37	6.82
10/04/11	19:38:37	6.82
10/04/11	20:38:37	6.82
10/04/11	21:38:37	6.82
10/04/11	22:38:37	6.82
10/04/11	23:38:37	6.82
10/05/11	00:38:37	6.82
10/05/11	01:38:37	6.82
10/05/11	02:38:37	6.82
10/05/11	03:38:37	6.82
10/05/11	04:38:37	6.82
10/05/11	05:38:37	6.82
10/05/11	06:38:37	6.82
10/05/11	07:38:37	6.82
10/05/11	08:38:37	7.44
10/05/11	09:38:37	5.88
10/05/11	10:38:37	5.41
10/05/11	11:38:37	6.19
10/05/11	12:38:37	6.66
10/05/11	13:38:37	6.66
10/05/11	14:38:37	6.82
10/05/11	15:38:37	7.75
10/05/11	16:38:37	8.68
10/05/11	17:38:37	8.21
10/05/11	18:38:37	5.72
10/05/11	19:38:37	5.09
10/05/11	20:38:37	4.47
10/05/11	21:38:37	4.15
10/05/11	22:38:37	3.84
10/05/11	23:38:37	3.68
10/06/11	00:38:37	3.99
10/06/11	01:38:37	4.31
10/06/11	02:38:37	5.09
10/06/11	03:38:37	5.25
10/06/11	04:38:37	5.25
10/06/11	05:38:37	5.56
10/06/11	06:38:37	5.72
10/06/11	07:38:37	5.72
10/06/11	08:38:37	5.56
10/06/11	09:38:37	6.03
10/06/11	10:38:37	7.28
10/06/11	11:38:37	7.91
10/06/11	12:38:37	7.91
10/06/11	13:38:37	7.59
10/06/11	14:38:37	8.21
10/06/11	15:38:37	8.37
10/06/11	16:38:37	8.37
10/06/11	17:38:37	8.21
10/06/11	18:38:37	8.21
10/06/11	19:38:37	8.21
10/06/11	20:38:37	8.21
10/06/11	21:38:37	8.21
10/06/11	22:38:37	8.21
10/06/11	23:38:37	8.37
10/07/11	00:38:37	8.21
10/07/11	01:38:37	8.06
10/07/11	02:38:37	8.06
10/07/11	03:38:37	8.06
10/07/11	04:38:37	7.75
10/07/11	05:38:37	7.59
10/07/11	06:38:37	7.44
10/07/11	07:38:37	7.44
10/07/11	08:38:37	8.06
10/07/11	09:38:37	8.37
10/07/11	10:38:37	8.83
10/07/11	11:38:37	9.29
10/07/11	12:38:37	9.45
10/07/11	13:38:37	9.76
10/07/11	14:38:37	10.39
10/07/11	15:38:37	9.29
10/07/11	16:38:37	9.29
10/07/11	17:38:37	9.29
10/07/11	18:38:37	9.29
10/07/11	19:38:37	9.29
10/07/11	20:38:37	9.29
10/07/11	21:38:37	9.29
10/07/11	22:38:37	9.14
10/07/11	23:38:37	9.29
10/08/11	00:38:37	9.29
10/08/11	01:38:37	9.29
10/08/11	02:38:37	9.29
10/08/11	03:38:37	9.29
10/08/11	04:38:37	9.14
10/08/11	05:38:37	9.14
10/08/11	06:38:37	9.14
10/08/11	07:38:37	9.14
10/08/11	08:38:37	9.14
10/08/11	09:38:37	9.29
10/08/11	10:38:37	9.14
10/08/11	11:38:37	9.29
10/08/11	12:38:37	6.51
10/08/11	13:38:37	6.82
10/08/11	14:38:37	6.97
10/08/11	15:38:37	6.97
10/08/11	16:38:37	7.13
10/08/11	17:38:37	7.13
10/08/11	18:38:37	6.97
10/08/11	19:38:37	6.51
10/08/11	20:38:37	5.88
10/08/11	21:38:37	5.88
10/08/11	22:38:37	5.72
10/08/11	23:38:37	5.56
10/09/11	00:38:37	5.56
10/09/11	01:38:37	5.56
10/09/11	02:38:37	5.56
10/09/11	03:38:37	5.72
10/09/11	04:38:37	5.72
10/09/11	05:38:37	6.03
10/09/11	06:38:37	6.19
10/09/11	07:38:37	6.35
10/09/11	08:38:37	6.35
