Date	Time	Temp (°C) c:1
10/17/11	11:23:18.0 	18.081
10/17/11	12:23:18.0 	7.318
10/17/11	13:23:18.0 	7.444
10/17/11	14:23:18.0 	7.318
10/17/11	15:23:18.0 	7.343
10/17/11	16:23:18.0 	7.494
10/17/11	17:23:18.0 	7.469
10/17/11	18:23:18.0 	7.670
10/17/11	19:23:18.0 	7.745
10/17/11	20:23:18.0 	7.770
10/17/11	21:23:18.0 	7.795
10/17/11	22:23:18.0 	7.770
10/17/11	23:23:18.0 	7.519
10/18/11	00:23:18.0 	7.494
10/18/11	01:23:18.0 	7.469
10/18/11	02:23:18.0 	7.645
10/18/11	03:23:18.0 	7.469
10/18/11	04:23:18.0 	7.393
10/18/11	05:23:18.0 	7.419
10/18/11	06:23:18.0 	7.419
10/18/11	07:23:18.0 	7.419
10/18/11	08:23:18.0 	7.519
10/18/11	09:23:18.0 	7.419
10/18/11	10:23:18.0 	7.544
10/18/11	11:23:18.0 	7.494
10/18/11	12:23:18.0 	9.089
10/18/11	13:23:18.0 	8.891
10/18/11	14:23:18.0 	8.717
10/18/11	15:23:18.0 	6.965
10/18/11	16:23:18.0 	7.015
10/18/11	17:23:18.0 	7.015
10/18/11	18:23:18.0 	7.091
10/18/11	19:23:18.0 	7.091
10/18/11	20:23:18.0 	7.091
10/18/11	21:23:18.0 	7.066
10/18/11	22:23:18.0 	7.015
10/18/11	23:23:18.0 	7.041
10/19/11	00:23:18.0 	7.091
10/19/11	01:23:18.0 	7.116
10/19/11	02:23:18.0 	7.116
10/19/11	03:23:18.0 	7.091
10/19/11	04:23:18.0 	7.066
10/19/11	05:23:18.0 	6.940
10/19/11	06:23:18.0 	6.940
10/19/11	07:23:18.0 	6.965
10/19/11	08:23:18.0 	6.965
10/19/11	09:23:18.0 	6.153
10/19/11	10:23:18.0 	6.940
10/19/11	11:23:18.0 	7.015
10/19/11	12:23:18.0 	11.565
10/19/11	13:23:18.0 	7.645
10/19/11	14:23:18.0 	7.619
10/19/11	15:23:18.0 	6.712
10/19/11	16:23:18.0 	6.839
10/19/11	17:23:18.0 	5.872
10/19/11	18:23:18.0 	5.719
10/19/11	19:23:18.0 	4.246
10/19/11	20:23:18.0 	4.324
10/19/11	21:23:18.0 	5.050
10/19/11	22:23:18.0 	4.766
10/19/11	23:23:18.0 	4.168
10/20/11	00:23:18.0 	4.402
