Date	Time	Temperature  (*C)
10/04/11	10:37:37	20.64
10/04/11	11:37:37	10.40
10/04/11	12:37:37	11.64
10/04/11	13:37:37	11.79
10/04/11	14:37:37	11.33
10/04/11	15:37:37	5.45
10/04/11	16:37:37	5.45
10/04/11	17:37:37	5.45
10/04/11	18:37:37	5.45
10/04/11	19:37:37	5.45
10/04/11	20:37:37	5.45
10/04/11	21:37:37	5.45
10/04/11	22:37:37	5.45
10/04/11	23:37:37	5.45
10/05/11	00:37:37	5.45
10/05/11	01:37:37	5.61
10/05/11	02:37:37	5.61
10/05/11	03:37:37	5.61
10/05/11	04:37:37	5.45
10/05/11	05:37:37	5.45
10/05/11	06:37:37	5.45
10/05/11	07:37:37	5.45
10/05/11	08:37:37	5.45
10/05/11	09:37:37	5.45
10/05/11	10:37:37	5.45
10/05/11	11:37:37	5.45
10/05/11	12:37:37	8.08
10/05/11	13:37:37	8.23
10/05/11	14:37:37	7.93
10/05/11	15:37:37	7.93
10/05/11	16:37:37	7.93
10/05/11	17:37:37	7.93
10/05/11	18:37:37	7.93
10/05/11	19:37:37	7.93
10/05/11	20:37:37	7.93
10/05/11	21:37:37	7.93
10/05/11	22:37:37	7.93
10/05/11	23:37:37	7.93
10/06/11	00:37:37	7.93
10/06/11	01:37:37	7.93
10/06/11	02:37:37	7.93
10/06/11	03:37:37	7.93
10/06/11	04:37:37	7.93
10/06/11	05:37:37	7.93
10/06/11	06:37:37	7.93
10/06/11	07:37:37	6.54
10/06/11	08:37:37	5.45
10/06/11	09:37:37	5.92
10/06/11	10:37:37	7.77
10/06/11	11:37:37	8.23
10/06/11	12:37:37	8.08
10/06/11	13:37:37	8.23
10/06/11	14:37:37	8.85
10/06/11	15:37:37	8.85
10/06/11	16:37:37	9.32
10/06/11	17:37:37	9.01
10/06/11	18:37:37	9.01
10/06/11	19:37:37	9.01
10/06/11	20:37:37	8.85
10/06/11	21:37:37	8.70
10/06/11	22:37:37	8.54
10/06/11	23:37:37	8.39
10/07/11	00:37:37	8.39
10/07/11	01:37:37	8.54
10/07/11	02:37:37	8.85
10/07/11	03:37:37	9.01
10/07/11	04:37:37	9.01
10/07/11	05:37:37	9.01
10/07/11	06:37:37	8.85
10/07/11	07:37:37	9.01
10/07/11	08:37:37	8.70
10/07/11	09:37:37	8.54
10/07/11	10:37:37	8.39
10/07/11	11:37:37	10.24
10/07/11	12:37:37	11.17
10/07/11	13:37:37	9.16
10/07/11	14:37:37	9.16
10/07/11	15:37:37	9.32
10/07/11	16:37:37	9.32
10/07/11	17:37:37	9.32
10/07/11	18:37:37	9.16
10/07/11	19:37:37	9.16
10/07/11	20:37:37	9.16
10/07/11	21:37:37	9.16
10/07/11	22:37:37	9.16
10/07/11	23:37:37	9.16
10/08/11	00:37:37	9.16
10/08/11	01:37:37	9.16
10/08/11	02:37:37	9.16
10/08/11	03:37:37	9.32
10/08/11	04:37:37	9.32
10/08/11	05:37:37	9.32
10/08/11	06:37:37	9.16
10/08/11	07:37:37	9.16
10/08/11	08:37:37	7.16
10/08/11	09:37:37	7.01
10/08/11	10:37:37	6.85
10/08/11	11:37:37	6.69
10/08/11	12:37:37	6.38
10/08/11	13:37:37	6.54
10/08/11	14:37:37	6.85
10/08/11	15:37:37	6.85
10/08/11	16:37:37	6.85
10/08/11	17:37:37	7.01
10/08/11	18:37:37	6.85
10/08/11	19:37:37	6.38
10/08/11	20:37:37	6.07
10/08/11	21:37:37	5.92
10/08/11	22:37:37	5.92
10/08/11	23:37:37	5.76
10/09/11	00:37:37	5.61
10/09/11	01:37:37	5.61
10/09/11	02:37:37	5.61
10/09/11	03:37:37	5.76
10/09/11	04:37:37	5.76
10/09/11	05:37:37	5.92
10/09/11	06:37:37	6.23
10/09/11	07:37:37	6.23
10/09/11	08:37:37	6.38
10/09/11	09:37:37	6.23
10/09/11	10:37:37	6.07
10/09/11	11:37:37	6.38
10/09/11	12:37:37	5.92
10/09/11	13:37:37	6.23
10/09/11	14:37:37	6.38
10/09/11	15:37:37	7.62
10/09/11	16:37:37	6.69
10/09/11	17:37:37	6.69
10/09/11	18:37:37	6.38
10/09/11	19:37:37	6.69
10/09/11	20:37:37	6.38
10/09/11	21:37:37	6.54
10/09/11	22:37:37	6.85
10/09/11	23:37:37	6.85
10/10/11	00:37:37	6.69
10/10/11	01:37:37	6.69
10/10/11	02:37:37	6.85
10/10/11	03:37:37	6.85
10/10/11	04:37:37	6.69
10/10/11	05:37:37	6.38
10/10/11	06:37:37	6.69
10/10/11	07:37:37	6.85
10/10/11	08:37:37	6.23
10/10/11	09:37:37	6.54
10/10/11	10:37:37	6.69
10/10/11	11:37:37	6.85
10/10/11	12:37:37	6.69
10/10/11	13:37:37	7.77
10/10/11	14:37:37	5.45
10/10/11	15:37:37	5.45
10/10/11	16:37:37	5.45
10/10/11	17:37:37	5.45
10/10/11	18:37:37	5.45
10/10/11	19:37:37	5.45
10/10/11	20:37:37	5.45
10/10/11	21:37:37	5.45
10/10/11	22:37:37	5.45
10/10/11	23:37:37	5.45
10/11/11	00:37:37	5.45
10/11/11	01:37:37	5.45
10/11/11	02:37:37	5.45
10/11/11	03:37:37	5.45
10/11/11	04:37:37	5.45
10/11/11	05:37:37	5.45
10/11/11	06:37:37	5.45
10/11/11	07:37:37	5.45
10/11/11	08:37:37	5.92
10/11/11	09:37:37	6.38
10/11/11	10:37:37	7.31
10/11/11	11:37:37	7.93
10/11/11	12:37:37	8.23
10/11/11	13:37:37	11.79
10/11/11	14:37:37	15.52
10/11/11	15:37:37	16.31
