Date	Time	Temp (°C) c:1
02/17/12	08:11:25.0 AM	23.857
02/17/12	09:11:25.0 AM	21.008
02/17/12	10:11:25.0 AM	18.438
02/17/12	11:11:25.0 AM	16.534
02/17/12	12:11:25.0 PM	15.748
02/17/12	01:11:25.0 PM	16.820
02/17/12	02:11:25.0 PM	16.654
02/17/12	03:11:25.0 PM	15.342
02/17/12	04:11:25.0 PM	11.419
02/17/12	05:11:25.0 PM	8.070
02/17/12	06:11:25.0 PM	-6.073
02/17/12	07:11:25.0 PM	-11.650
02/17/12	08:11:25.0 PM	-12.491
02/17/12	09:11:25.0 PM	-15.425
02/17/12	10:11:25.0 PM	-17.510
02/17/12	11:11:25.0 PM	-18.252
02/18/12	12:11:25.0 AM	-18.787
02/18/12	01:11:25.0 AM	-18.922
02/18/12	02:11:25.0 AM	-17.510
02/18/12	03:11:25.0 AM	-18.967
02/18/12	04:11:25.0 AM	-19.886
02/18/12	05:11:25.0 AM	-20.120
02/18/12	06:11:25.0 AM	-20.309
02/18/12	07:11:25.0 AM	-20.214
02/18/12	08:11:25.0 AM	-17.210
02/18/12	09:11:25.0 AM	-18.208
02/18/12	10:11:25.0 AM	-19.654
02/18/12	11:11:25.0 AM	-19.886
02/18/12	12:11:25.0 PM	-20.026
02/18/12	01:11:25.0 PM	-19.839
02/18/12	02:11:25.0 PM	-18.032
02/18/12	03:11:25.0 PM	-9.610
02/18/12	04:11:25.0 PM	-2.131
02/18/12	05:11:25.0 PM	2.289
02/18/12	06:11:25.0 PM	7.293
02/18/12	07:11:25.0 PM	11.467
02/18/12	08:11:25.0 PM	13.762
02/18/12	09:11:25.0 PM	13.786
02/18/12	10:11:25.0 PM	8.020
02/18/12	11:11:25.0 PM	5.719
02/19/12	12:11:25.0 AM	4.506
02/19/12	01:11:25.0 AM	3.722
02/19/12	02:11:25.0 AM	3.274
02/19/12	03:11:25.0 AM	2.956
02/19/12	04:11:25.0 AM	2.690
02/19/12	05:11:25.0 AM	2.530
02/19/12	06:11:25.0 AM	2.823
02/19/12	07:11:25.0 AM	2.797
02/19/12	08:11:25.0 AM	2.477
02/19/12	09:11:25.0 AM	2.637
02/19/12	10:11:25.0 AM	4.402
02/19/12	11:11:25.0 AM	3.327
02/19/12	12:11:25.0 PM	3.195
02/19/12	01:11:25.0 PM	3.142
02/19/12	02:11:25.0 PM	3.248
02/19/12	03:11:25.0 PM	2.823
02/19/12	04:11:25.0 PM	2.289
02/19/12	05:11:25.0 PM	2.074
02/19/12	06:11:25.0 PM	5.076
02/19/12	07:11:25.0 PM	5.102
02/19/12	08:11:25.0 PM	5.205
02/19/12	09:11:25.0 PM	5.231
02/19/12	10:11:25.0 PM	5.257
02/19/12	11:11:25.0 PM	5.257
02/20/12	12:11:25.0 AM	5.282
02/20/12	01:11:25.0 AM	5.257
02/20/12	02:11:25.0 AM	5.231
02/20/12	03:11:25.0 AM	5.154
02/20/12	04:11:25.0 AM	5.050
02/20/12	05:11:25.0 AM	4.973
02/20/12	06:11:25.0 AM	5.076
02/20/12	07:11:25.0 AM	5.179
02/20/12	08:11:25.0 AM	5.282
02/20/12	09:11:25.0 AM	5.282
02/20/12	10:11:25.0 AM	5.257
02/20/12	11:11:25.0 AM	5.257
02/20/12	12:11:25.0 PM	5.308
02/20/12	01:11:25.0 PM	5.282
02/20/12	02:11:25.0 PM	5.257
02/20/12	03:11:25.0 PM	5.205
02/20/12	04:11:25.0 PM	5.128
02/20/12	05:11:25.0 PM	5.024
02/20/12	06:11:25.0 PM	5.154
02/20/12	07:11:25.0 PM	5.050
02/20/12	08:11:25.0 PM	5.282
02/20/12	09:11:25.0 PM	5.282
02/20/12	10:11:25.0 PM	5.282
02/20/12	11:11:25.0 PM	5.282
02/21/12	12:11:25.0 AM	5.308
02/21/12	01:11:25.0 AM	5.282
02/21/12	02:11:25.0 AM	5.282
02/21/12	03:11:25.0 AM	5.257
02/21/12	04:11:25.0 AM	5.154
02/21/12	05:11:25.0 AM	5.050
02/21/12	06:11:25.0 AM	5.050
02/21/12	07:11:25.0 AM	5.179
02/21/12	08:11:25.0 AM	5.257
02/21/12	09:11:25.0 AM	5.282
02/21/12	10:11:25.0 AM	5.282
02/21/12	11:11:25.0 AM	5.282
02/21/12	12:11:25.0 PM	5.257
02/21/12	01:11:25.0 PM	5.282
02/21/12	02:11:25.0 PM	4.895
02/21/12	03:11:25.0 PM	3.617
02/21/12	04:11:25.0 PM	3.485
02/21/12	05:11:25.0 PM	3.380
02/21/12	06:11:25.0 PM	3.195
02/21/12	07:11:25.0 PM	3.089
02/21/12	08:11:25.0 PM	2.903
02/21/12	09:11:25.0 PM	2.450
02/21/12	10:11:25.0 PM	2.047
02/21/12	11:11:25.0 PM	1.913
02/22/12	12:11:25.0 AM	1.994
02/22/12	01:11:25.0 AM	2.074
02/22/12	02:11:25.0 AM	1.886
02/22/12	03:11:25.0 AM	1.317
02/22/12	04:11:25.0 AM	1.153
02/22/12	05:11:25.0 AM	1.425
02/22/12	06:11:25.0 AM	1.480
02/22/12	07:11:25.0 AM	1.670
02/22/12	08:11:25.0 AM	2.074
02/22/12	09:11:25.0 AM	2.610
02/22/12	10:11:25.0 AM	2.903
02/22/12	11:11:25.0 AM	2.983
02/22/12	12:11:25.0 PM	2.930
02/22/12	01:11:25.0 PM	3.354
02/22/12	02:11:25.0 PM	3.354
02/22/12	03:11:25.0 PM	3.801
02/22/12	04:11:25.0 PM	4.428
02/22/12	05:11:25.0 PM	3.380
02/22/12	06:11:25.0 PM	2.823
02/22/12	07:11:25.0 PM	2.690
02/22/12	08:11:25.0 PM	2.717
02/22/12	09:11:25.0 PM	2.450
02/22/12	10:11:25.0 PM	2.155
02/22/12	11:11:25.0 PM	3.749
02/23/12	12:11:25.0 AM	6.940
02/23/12	01:11:25.0 AM	9.361
02/23/12	02:11:25.0 AM	11.005
02/23/12	03:11:25.0 AM	12.122
02/23/12	04:11:25.0 AM	12.920
02/23/12	05:11:25.0 AM	13.522
02/23/12	06:11:25.0 AM	14.002
02/23/12	07:11:25.0 AM	14.409
02/23/12	08:11:25.0 AM	13.954
02/23/12	09:11:25.0 AM	10.956
02/23/12	10:11:25.0 AM	18.604
02/23/12	11:11:25.0 AM	21.748
02/23/12	12:11:25.0 PM	22.896
02/23/12	01:11:25.0 PM	23.737
02/23/12	02:11:25.0 PM	23.400
02/23/12	03:11:25.0 PM	23.136
02/23/12	04:11:25.0 PM	23.136
02/23/12	05:11:25.0 PM	23.112
02/23/12	06:11:25.0 PM	23.040
02/23/12	07:11:25.0 PM	22.920
02/23/12	08:11:25.0 PM	22.992
02/23/12	09:11:25.0 PM	23.160
02/23/12	10:11:25.0 PM	23.280
02/23/12	11:11:25.0 PM	23.376
02/24/12	12:11:25.0 AM	23.448
02/24/12	01:11:25.0 AM	23.472
02/24/12	02:11:25.0 AM	23.497
02/24/12	03:11:25.0 AM	23.497
02/24/12	04:11:25.0 AM	23.521
02/24/12	05:11:25.0 AM	23.521
02/24/12	06:11:25.0 AM	23.497
02/24/12	07:11:25.0 AM	23.424
02/24/12	08:11:25.0 AM	24.677
02/24/12	09:11:25.0 AM	28.419
02/24/12	10:11:25.0 AM	28.245
02/24/12	11:11:25.0 AM	27.112
02/24/12	12:11:25.0 PM	26.256
02/24/12	01:11:25.0 PM	25.453
02/24/12	02:11:25.0 PM	24.774
02/24/12	03:11:25.0 PM	24.243
02/24/12	04:11:25.0 PM	24.002
02/24/12	05:11:25.0 PM	23.689
02/24/12	06:11:25.0 PM	23.376
02/24/12	07:11:25.0 PM	23.136
02/24/12	08:11:25.0 PM	22.944
02/24/12	09:11:25.0 PM	22.800
02/24/12	10:11:25.0 PM	22.657
02/24/12	11:11:25.0 PM	22.537
02/25/12	12:11:25.0 AM	22.417
02/25/12	01:11:25.0 AM	22.321
02/25/12	02:11:25.0 AM	22.226
02/25/12	03:11:25.0 AM	22.154
02/25/12	04:11:25.0 AM	22.082
02/25/12	05:11:25.0 AM	22.011
02/25/12	06:11:25.0 AM	21.939
02/25/12	07:11:25.0 AM	21.963
02/25/12	08:11:25.0 AM	23.328
02/25/12	09:11:25.0 AM	28.916
02/25/12	10:11:25.0 AM	29.365
02/25/12	11:11:25.0 AM	27.358
02/25/12	12:11:25.0 PM	26.036
02/25/12	01:11:25.0 PM	24.315
02/25/12	02:11:25.0 PM	23.689
02/25/12	03:11:25.0 PM	23.232
02/25/12	04:11:25.0 PM	22.944
02/25/12	05:11:25.0 PM	22.705
02/25/12	06:11:25.0 PM	22.657
02/25/12	07:11:25.0 PM	22.681
02/25/12	08:11:25.0 PM	22.537
02/25/12	09:11:25.0 PM	22.417
02/25/12	10:11:25.0 PM	22.321
02/25/12	11:11:25.0 PM	22.250
02/26/12	12:11:25.0 AM	22.202
02/26/12	01:11:25.0 AM	22.178
02/26/12	02:11:25.0 AM	22.202
02/26/12	03:11:25.0 AM	22.202
02/26/12	04:11:25.0 AM	22.154
02/26/12	05:11:25.0 AM	22.011
02/26/12	06:11:25.0 AM	21.891
02/26/12	07:11:25.0 AM	21.819
02/26/12	08:11:25.0 AM	21.772
02/26/12	09:11:25.0 AM	21.795
02/26/12	10:11:25.0 AM	21.795
02/26/12	11:11:25.0 AM	21.891
02/26/12	12:11:25.0 PM	21.939
02/26/12	01:11:25.0 PM	21.939
02/26/12	02:11:25.0 PM	21.795
02/26/12	03:11:25.0 PM	21.676
02/26/12	04:11:25.0 PM	21.628
02/26/12	05:11:25.0 PM	21.581
02/26/12	06:11:25.0 PM	21.485
02/26/12	07:11:25.0 PM	21.461
02/26/12	08:11:25.0 PM	21.509
02/26/12	09:11:25.0 PM	21.509
02/26/12	10:11:25.0 PM	21.485
02/26/12	11:11:25.0 PM	21.461
02/27/12	12:11:25.0 AM	21.461
02/27/12	01:11:25.0 AM	21.413
02/27/12	02:11:25.0 AM	21.366
02/27/12	03:11:25.0 AM	21.318
