Date	Time	Temp (°C) c:1
03/18/12	06:21:09.0 AM	24.315
03/18/12	07:21:09.0 AM	10.516
03/18/12	08:21:09.0 AM	5.847
03/18/12	09:21:09.0 AM	3.617
03/18/12	10:21:09.0 AM	3.195
03/18/12	11:21:09.0 AM	3.958
03/18/12	12:21:09.0 PM	4.662
03/18/12	01:21:09.0 PM	5.282
03/18/12	02:21:09.0 PM	5.282
03/18/12	03:21:09.0 PM	4.506
03/18/12	04:21:09.0 PM	4.037
03/18/12	05:21:09.0 PM	3.775
03/18/12	06:21:09.0 PM	3.380
03/18/12	07:21:09.0 PM	2.717
03/18/12	08:21:09.0 PM	2.155
03/18/12	09:21:09.0 PM	1.805
03/18/12	10:21:09.0 PM	3.643
03/18/12	11:21:09.0 PM	4.324
03/19/12	12:21:09.0 AM	4.428
03/19/12	01:21:09.0 AM	4.220
03/19/12	02:21:09.0 AM	3.880
03/19/12	03:21:09.0 AM	3.433
03/19/12	04:21:09.0 AM	2.983
03/19/12	05:21:09.0 AM	2.503
03/19/12	06:21:09.0 AM	1.913
03/19/12	07:21:09.0 AM	1.262
03/19/12	08:21:09.0 AM	0.687
03/19/12	09:21:09.0 AM	3.116
03/19/12	10:21:09.0 AM	10.149
03/19/12	11:21:09.0 AM	14.840
03/19/12	12:21:09.0 PM	17.748
03/19/12	01:21:09.0 PM	19.508
03/19/12	02:21:09.0 PM	20.412
03/19/12	03:21:09.0 PM	21.270
03/19/12	04:21:09.0 PM	21.915
03/19/12	05:21:09.0 PM	22.369
03/19/12	06:21:09.0 PM	22.968
03/19/12	07:21:09.0 PM	23.256
03/19/12	08:21:09.0 PM	23.328
03/19/12	09:21:09.0 PM	23.232
03/19/12	10:21:09.0 PM	23.088
03/19/12	11:21:09.0 PM	22.920
03/20/12	12:21:09.0 AM	22.776
03/20/12	01:21:09.0 AM	22.633
03/20/12	02:21:09.0 AM	22.465
03/20/12	03:21:09.0 AM	22.321
03/20/12	04:21:09.0 AM	22.226
03/20/12	05:21:09.0 AM	22.082
03/20/12	06:21:09.0 AM	21.891
03/20/12	07:21:09.0 AM	21.748
03/20/12	08:21:09.0 AM	21.700
03/20/12	09:21:09.0 AM	21.724
03/20/12	10:21:09.0 AM	21.915
03/20/12	11:21:09.0 AM	22.106
03/20/12	12:21:09.0 PM	22.298
03/20/12	01:21:09.0 PM	22.226
03/20/12	02:21:09.0 PM	22.106
03/20/12	03:21:09.0 PM	22.082
03/20/12	04:21:09.0 PM	22.202
03/20/12	05:21:09.0 PM	22.465
03/20/12	06:21:09.0 PM	22.681
03/20/12	07:21:09.0 PM	22.848
03/20/12	08:21:09.0 PM	22.920
03/20/12	09:21:09.0 PM	22.896
03/20/12	10:21:09.0 PM	22.824
03/20/12	11:21:09.0 PM	22.729
03/21/12	12:21:09.0 AM	22.609
03/21/12	01:21:09.0 AM	22.513
03/21/12	02:21:09.0 AM	22.417
03/21/12	03:21:09.0 AM	22.321
03/21/12	04:21:09.0 AM	22.250
03/21/12	05:21:09.0 AM	22.154
03/21/12	06:21:09.0 AM	22.082
03/21/12	07:21:09.0 AM	22.034
03/21/12	08:21:09.0 AM	21.963
03/21/12	09:21:09.0 AM	21.628
03/21/12	10:21:09.0 AM	21.724
03/21/12	11:21:09.0 AM	21.987
03/21/12	12:21:09.0 PM	22.226
03/21/12	01:21:09.0 PM	22.417
03/21/12	02:21:09.0 PM	22.417
03/21/12	03:21:09.0 PM	22.369
03/21/12	04:21:09.0 PM	22.345
03/21/12	05:21:09.0 PM	22.321
03/21/12	06:21:09.0 PM	22.226
03/21/12	07:21:09.0 PM	21.915
03/21/12	08:21:09.0 PM	21.413
03/21/12	09:21:09.0 PM	19.460
03/21/12	10:21:09.0 PM	21.939
03/21/12	11:21:09.0 PM	11.734
03/22/12	12:21:09.0 AM	7.015
03/22/12	01:21:09.0 AM	3.932
03/22/12	02:21:09.0 AM	1.615
03/22/12	03:21:09.0 AM	-0.395
03/22/12	04:21:09.0 AM	-1.929
03/22/12	05:21:09.0 AM	-3.212
03/22/12	06:21:09.0 AM	-4.167
03/22/12	07:21:09.0 AM	7.695
03/22/12	08:21:09.0 AM	4.688
03/22/12	09:21:09.0 AM	5.898
03/22/12	10:21:09.0 AM	7.770
03/22/12	11:21:09.0 AM	9.903
03/22/12	12:21:09.0 PM	12.147
03/22/12	01:21:09.0 PM	13.714
03/22/12	02:21:09.0 PM	15.175
03/22/12	03:21:09.0 PM	17.510
03/22/12	04:21:09.0 PM	17.677
03/22/12	05:21:09.0 PM	19.056
03/22/12	06:21:09.0 PM	19.127
03/22/12	07:21:09.0 PM	18.818
03/22/12	08:21:09.0 PM	18.509
