Date	Time	Temp (°C) c:1
01/23/12	14:32:14.0 	15.318
01/23/12	15:32:14.0 	16.677
01/23/12	16:32:14.0 	16.677
01/23/12	17:32:14.0 	21.390
01/23/12	18:32:14.0 	21.963
01/23/12	19:32:14.0 	22.298
01/23/12	20:32:14.0 	22.226
01/23/12	21:32:14.0 	21.819
01/23/12	22:32:14.0 	16.487
01/23/12	23:32:14.0 	19.032
01/24/12	00:32:14.0 	19.199
01/24/12	01:32:14.0 	18.580
01/24/12	02:32:14.0 	18.461
01/24/12	03:32:14.0 	18.628
01/24/12	04:32:14.0 	18.580
01/24/12	05:32:14.0 	10.663
01/24/12	06:32:14.0 	2.557
01/24/12	07:32:14.0 	10.736
01/24/12	08:32:14.0 	3.932
01/24/12	09:32:14.0 	3.932
01/24/12	10:32:14.0 	3.958
01/24/12	11:32:14.0 	3.958
01/24/12	12:32:14.0 	3.985
01/24/12	13:32:14.0 	3.958
01/24/12	14:32:14.0 	3.958
01/24/12	15:32:14.0 	3.958
01/24/12	16:32:14.0 	3.958
01/24/12	17:32:14.0 	3.932
01/24/12	18:32:14.0 	3.932
01/24/12	19:32:14.0 	3.932
01/24/12	20:32:14.0 	3.932
01/24/12	21:32:14.0 	3.958
01/24/12	22:32:14.0 	3.958
01/24/12	23:32:14.0 	3.985
01/25/12	00:32:14.0 	3.985
01/25/12	01:32:14.0 	3.985
01/25/12	02:32:14.0 	3.985
01/25/12	03:32:14.0 	3.958
01/25/12	04:32:14.0 	3.958
01/25/12	05:32:14.0 	3.932
01/25/12	06:32:14.0 	3.958
01/25/12	07:32:14.0 	4.037
01/25/12	08:32:14.0 	4.089
01/25/12	09:32:14.0 	4.063
01/25/12	10:32:14.0 	4.063
01/25/12	11:32:14.0 	4.037
01/25/12	12:32:14.0 	4.037
01/25/12	13:32:14.0 	4.037
01/25/12	14:32:14.0 	4.037
01/25/12	15:32:14.0 	4.037
01/25/12	16:32:14.0 	4.011
01/25/12	17:32:14.0 	4.011
01/25/12	18:32:14.0 	4.089
01/25/12	19:32:14.0 	4.168
01/25/12	20:32:14.0 	4.168
01/25/12	21:32:14.0 	4.168
01/25/12	22:32:14.0 	4.115
01/25/12	23:32:14.0 	4.141
01/26/12	00:32:14.0 	4.089
01/26/12	01:32:14.0 	4.115
01/26/12	02:32:14.0 	4.063
01/26/12	03:32:14.0 	4.037
01/26/12	04:32:14.0 	4.037
01/26/12	05:32:14.0 	4.141
01/26/12	06:32:14.0 	4.194
01/26/12	07:32:14.0 	4.194
01/26/12	08:32:14.0 	4.168
01/26/12	09:32:14.0 	4.168
01/26/12	10:32:14.0 	4.168
01/26/12	11:32:14.0 	4.141
01/26/12	12:32:14.0 	4.141
01/26/12	13:32:14.0 	-1.698
01/26/12	14:32:14.0 	-2.101
01/26/12	15:32:14.0 	-2.449
01/26/12	16:32:14.0 	-2.478
01/26/12	17:32:14.0 	-2.653
01/26/12	18:32:14.0 	-2.449
01/26/12	19:32:14.0 	-2.478
01/26/12	20:32:14.0 	-2.304
