Date	Time	Temperature  (*C)
06/20/12	07:10:22.0	20.38
06/20/12	08:10:22.0	12.74
06/20/12	09:10:22.0	12.27
06/20/12	10:10:22.0	12.12
06/20/12	11:10:22.0	16.83
06/20/12	12:10:22.0	20.22
06/20/12	13:10:22.0	16.19
06/20/12	14:10:22.0	14.61
06/20/12	15:10:22.0	16.67
06/20/12	16:10:22.0	5.27
06/20/12	17:10:22.0	5.27
06/20/12	18:10:22.0	5.27
06/20/12	19:10:22.0	5.27
06/20/12	20:10:22.0	5.12
06/20/12	21:10:22.0	5.12
06/20/12	22:10:22.0	5.12
06/20/12	23:10:22.0	5.12
06/21/12	00:10:22.0	5.12
06/21/12	01:10:22.0	5.12
06/21/12	02:10:22.0	5.12
06/21/12	03:10:22.0	5.12
06/21/12	04:10:22.0	5.27
06/21/12	05:10:22.0	5.27
06/21/12	06:10:22.0	5.27
06/21/12	07:10:22.0	5.12
06/21/12	08:10:22.0	5.12
06/21/12	09:10:22.0	5.12
06/21/12	10:10:22.0	5.12
06/21/12	11:10:22.0	5.12
06/21/12	12:10:22.0	5.12
06/21/12	13:10:22.0	11.96
06/21/12	14:10:22.0	12.74
06/21/12	15:10:22.0	4.96
06/21/12	16:10:22.0	4.96
06/21/12	17:10:22.0	4.96
06/21/12	18:10:22.0	4.96
06/21/12	19:10:22.0	4.96
06/21/12	20:10:22.0	5.12
06/21/12	21:10:22.0	4.96
06/21/12	22:10:22.0	4.96
06/21/12	23:10:22.0	4.96
06/22/12	00:10:22.0	4.96
06/22/12	01:10:22.0	4.96
06/22/12	02:10:22.0	4.96
06/22/12	03:10:22.0	4.96
06/22/12	04:10:22.0	4.96
06/22/12	05:10:22.0	4.96
06/22/12	06:10:22.0	4.96
06/22/12	07:10:22.0	4.96
06/22/12	08:10:22.0	11.03
06/22/12	09:10:22.0	12.58
06/22/12	10:10:22.0	12.74
06/22/12	11:10:22.0	13.51
06/22/12	12:10:22.0	14.13
06/22/12	13:10:22.0	15.08
06/22/12	14:10:22.0	15.87
06/22/12	15:10:22.0	15.87
06/22/12	16:10:22.0	16.51
06/22/12	17:10:22.0	5.27
06/22/12	18:10:22.0	5.12
06/22/12	19:10:22.0	5.12
06/22/12	20:10:22.0	5.12
06/22/12	21:10:22.0	5.27
06/22/12	22:10:22.0	5.27
06/22/12	23:10:22.0	5.27
06/23/12	00:10:22.0	5.12
06/23/12	01:10:22.0	5.12
06/23/12	02:10:22.0	5.12
06/23/12	03:10:22.0	5.12
06/23/12	04:10:22.0	5.12
06/23/12	05:10:22.0	5.12
06/23/12	06:10:22.0	5.27
06/23/12	07:10:22.0	5.12
