Date	Time	Temperature  (*C)
07/06/12	13:17:52	24.81
07/06/12	14:17:52	24.46
07/06/12	15:17:52	25.16
07/06/12	16:17:52	26.03
07/06/12	17:17:52	26.74
07/06/12	18:17:52	26.92
07/06/12	19:17:52	26.92
07/06/12	20:17:52	26.56
07/06/12	21:17:52	26.21
07/06/12	22:17:52	25.68
07/06/12	23:17:52	25.16
07/07/12	00:17:52	24.64
07/07/12	01:17:52	24.11
07/07/12	02:17:52	23.77
07/07/12	03:17:52	23.42
07/07/12	04:17:52	23.08
07/07/12	05:17:52	22.74
07/07/12	06:17:52	22.58
07/07/12	07:17:52	22.41
07/07/12	08:17:52	22.24
07/07/12	09:17:52	22.07
07/07/12	10:17:52	21.91
07/07/12	11:17:52	21.74
07/07/12	12:17:52	21.74
07/07/12	13:17:52	21.57
07/07/12	14:17:52	21.74
07/07/12	15:17:52	21.74
07/07/12	16:17:52	21.91
07/07/12	17:17:52	22.24
07/07/12	18:17:52	22.41
07/07/12	19:17:52	22.41
07/07/12	20:17:52	22.58
07/07/12	21:17:52	22.74
07/07/12	22:17:52	22.74
07/07/12	23:17:52	22.58
07/08/12	00:17:52	22.24
07/08/12	01:17:52	22.07
07/08/12	02:17:52	21.91
07/08/12	03:17:52	21.74
07/08/12	04:17:52	21.74
07/08/12	05:17:52	21.57
07/08/12	06:17:52	21.41
07/08/12	07:17:52	21.41
07/08/12	08:17:52	21.41
07/08/12	09:17:52	21.57
07/08/12	10:17:52	21.91
07/08/12	11:17:52	22.58
07/08/12	12:17:52	23.42
07/08/12	13:17:52	24.46
07/08/12	14:17:52	24.98
07/08/12	15:17:52	25.51
07/08/12	16:17:52	25.68
07/08/12	17:17:52	25.86
07/08/12	18:17:52	25.86
07/08/12	19:17:52	25.68
07/08/12	20:17:52	25.68
07/08/12	21:17:52	25.51
07/08/12	22:17:52	25.33
07/08/12	23:17:52	24.98
07/09/12	00:17:52	24.64
07/09/12	01:17:52	24.29
07/09/12	02:17:52	23.94
07/09/12	03:17:52	23.59
07/09/12	04:17:52	23.25
07/09/12	05:17:52	23.08
07/09/12	06:17:52	22.91
07/09/12	07:17:52	22.74
07/09/12	08:17:52	22.58
07/09/12	09:17:52	22.58
07/09/12	10:17:52	22.74
07/09/12	11:17:52	22.74
07/09/12	12:17:52	22.58
07/09/12	13:17:52	22.41
07/09/12	14:17:52	22.41
07/09/12	15:17:52	22.24
07/09/12	16:17:52	22.24
07/09/12	17:17:52	22.41
07/09/12	18:17:52	22.07
07/09/12	19:17:52	21.74
07/09/12	20:17:52	21.91
07/09/12	21:17:52	22.07
07/09/12	22:17:52	22.24
07/09/12	23:17:52	22.41
07/10/12	00:17:52	22.24
07/10/12	01:17:52	22.24
07/10/12	02:17:52	22.07
07/10/12	03:17:52	21.91
07/10/12	04:17:52	21.74
07/10/12	05:17:52	21.41
07/10/12	06:17:52	21.07
07/10/12	07:17:52	21.07
07/10/12	08:17:52	21.07
07/10/12	09:17:52	18.29
07/10/12	10:17:52	15.42
07/10/12	11:17:52	13.84
07/10/12	12:17:52	12.91
07/10/12	13:17:52	13.53
07/10/12	14:17:52	6.07
07/10/12	15:17:52	6.07
07/10/12	16:17:52	6.07
07/10/12	17:17:52	6.23
07/10/12	18:17:52	6.23
07/10/12	19:17:52	6.23
07/10/12	20:17:52	6.23
07/10/12	21:17:52	6.23
07/10/12	22:17:52	6.23
07/10/12	23:17:52	6.07
07/11/12	00:17:52	6.07
07/11/12	01:17:52	6.07
07/11/12	02:17:52	6.07
07/11/12	03:17:52	6.23
07/11/12	04:17:52	6.23
07/11/12	05:17:52	6.23
07/11/12	06:17:52	6.38
07/11/12	07:17:52	6.23
07/11/12	08:17:52	6.38
07/11/12	09:17:52	6.38
07/11/12	10:17:52	11.35
07/11/12	11:17:52	13.53
07/11/12	12:17:52	15.10
07/11/12	13:17:52	16.05
07/11/12	14:17:52	14.16
07/11/12	15:17:52	5.59
07/11/12	16:17:52	5.59
07/11/12	17:17:52	5.59
07/11/12	18:17:52	5.59
07/11/12	19:17:52	5.59
07/11/12	20:17:52	5.59
07/11/12	21:17:52	5.59
07/11/12	22:17:52	5.59
07/11/12	23:17:52	5.59
07/12/12	00:17:52	5.59
07/12/12	01:17:52	5.59
07/12/12	02:17:52	5.59
07/12/12	03:17:52	5.59
07/12/12	04:17:52	5.44
07/12/12	05:17:52	5.44
07/12/12	06:17:52	5.44
07/12/12	07:17:52	5.44
07/12/12	08:17:52	5.44
07/12/12	09:17:52	5.44
07/12/12	10:17:52	5.44
07/12/12	11:17:52	13.38
07/12/12	12:17:52	11.82
07/12/12	13:17:52	11.82
07/12/12	14:17:52	11.35
07/12/12	15:17:52	12.13
07/12/12	16:17:52	11.97
07/12/12	17:17:52	11.97
07/12/12	18:17:52	12.13
07/12/12	19:17:52	11.51
07/12/12	20:17:52	11.35
07/12/12	21:17:52	11.51
07/12/12	22:17:52	11.19
07/12/12	23:17:52	11.19
07/13/12	00:17:52	11.04
07/13/12	01:17:52	10.89
07/13/12	02:17:52	10.89
07/13/12	03:17:52	10.89
07/13/12	04:17:52	10.89
07/13/12	05:17:52	10.73
07/13/12	06:17:52	10.73
07/13/12	07:17:52	10.89
07/13/12	08:17:52	11.04
07/13/12	09:17:52	11.35
07/13/12	10:17:52	11.66
07/13/12	11:17:52	12.28
07/13/12	12:17:52	12.91
07/13/12	13:17:52	13.53
07/13/12	14:17:52	5.76
07/13/12	15:17:52	5.59
07/13/12	16:17:52	5.59
07/13/12	17:17:52	5.59
07/13/12	18:17:52	5.59
07/13/12	19:17:52	5.59
07/13/12	20:17:52	5.76
07/13/12	21:17:52	5.59
07/13/12	22:17:52	5.59
07/13/12	23:17:52	5.59
07/14/12	00:17:52	5.59
07/14/12	01:17:52	5.59
07/14/12	02:17:52	5.59
07/14/12	03:17:52	5.59
07/14/12	04:17:52	5.59
07/14/12	05:17:52	5.59
07/14/12	06:17:52	5.59
07/14/12	07:17:52	5.59
07/14/12	08:17:52	5.59
07/14/12	09:17:52	5.59
07/14/12	10:17:52	14.16
07/14/12	11:17:52	14.78
07/14/12	12:17:52	17.01
07/14/12	13:17:52	18.62
07/14/12	14:17:52	15.57
07/14/12	15:17:52	5.59
07/14/12	16:17:52	5.59
07/14/12	17:17:52	5.44
07/14/12	18:17:52	5.44
07/14/12	19:17:52	5.44
07/14/12	20:17:52	5.59
07/14/12	21:17:52	5.59
07/14/12	22:17:52	5.59
07/14/12	23:17:52	5.59
07/15/12	00:17:52	5.59
07/15/12	01:17:52	5.59
07/15/12	02:17:52	5.59
07/15/12	03:17:52	5.44
07/15/12	04:17:52	5.44
07/15/12	05:17:52	5.44
07/15/12	06:17:52	5.44
07/15/12	07:17:52	5.59
07/15/12	08:17:52	5.59
07/15/12	09:17:52	5.59
07/15/12	10:17:52	5.59
07/15/12	11:17:52	12.13
07/15/12	12:17:52	11.51
07/15/12	13:17:52	11.51
07/15/12	14:17:52	11.35
07/15/12	15:17:52	12.28
07/15/12	16:17:52	13.22
07/15/12	17:17:52	5.44
07/15/12	18:17:52	5.44
07/15/12	19:17:52	5.44
07/15/12	20:17:52	5.44
07/15/12	21:17:52	5.44
07/15/12	22:17:52	5.44
07/15/12	23:17:52	5.44
07/16/12	00:17:52	5.44
07/16/12	01:17:52	5.44
07/16/12	02:17:52	5.44
07/16/12	03:17:52	5.44
07/16/12	04:17:52	5.44
07/16/12	05:17:52	5.44
07/16/12	06:17:52	5.44
07/16/12	07:17:52	5.44
07/16/12	08:17:52	5.44
07/16/12	09:17:52	5.59
07/16/12	10:17:52	10.58
07/16/12	11:17:52	11.19
07/16/12	12:17:52	11.82
07/16/12	13:17:52	11.97
07/16/12	14:17:52	11.51
07/16/12	15:17:52	5.44
07/16/12	16:17:52	5.44
07/16/12	17:17:52	5.44
07/16/12	18:17:52	5.44
07/16/12	19:17:52	5.44
07/16/12	20:17:52	5.44
07/16/12	21:17:52	5.44
07/16/12	22:17:52	5.44
07/16/12	23:17:52	5.44
07/17/12	00:17:52	5.44
07/17/12	01:17:52	5.44
07/17/12	02:17:52	5.44
07/17/12	03:17:52	5.44
07/17/12	04:17:52	5.44
07/17/12	05:17:52	5.44
07/17/12	06:17:52	5.44
07/17/12	07:17:52	5.44
07/17/12	08:17:52	5.44
07/17/12	09:17:52	5.44
07/17/12	10:17:52	10.73
07/17/12	11:17:52	11.51
07/17/12	12:17:52	12.44
07/17/12	13:17:52	12.60
07/17/12	14:17:52	13.84
07/17/12	15:17:52	14.94
07/17/12	16:17:52	15.42
07/17/12	17:17:52	15.42
07/17/12	18:17:52	17.65
07/17/12	19:17:52	16.37
07/17/12	20:17:52	15.89
07/17/12	21:17:52	15.73
07/17/12	22:17:52	15.10
07/17/12	23:17:52	14.47
07/18/12	00:17:52	13.84
07/18/12	01:17:52	13.22
07/18/12	02:17:52	12.60
07/18/12	03:17:52	12.13
07/18/12	04:17:52	11.82
07/18/12	05:17:52	11.66
07/18/12	06:17:52	11.51
07/18/12	07:17:52	11.66
07/18/12	08:17:52	11.82
07/18/12	09:17:52	12.28
07/18/12	10:17:52	12.76
07/18/12	11:17:52	13.22
07/18/12	12:17:52	13.84
07/18/12	13:17:52	14.47
