Date	Time	Temp (°C) c:1
07/06/12	01:11:57.0 PM	24.629
07/06/12	02:11:57.0 PM	25.089
07/06/12	03:11:57.0 PM	25.695
07/06/12	04:11:57.0 PM	27.186
07/06/12	05:11:57.0 PM	27.235
07/06/12	06:11:57.0 PM	27.259
07/06/12	07:11:57.0 PM	27.235
07/06/12	08:11:57.0 PM	26.989
07/06/12	09:11:57.0 PM	26.524
07/06/12	10:11:57.0 PM	25.963
07/06/12	11:11:57.0 PM	25.453
07/07/12	12:11:57.0 AM	25.065
07/07/12	01:11:57.0 AM	24.605
07/07/12	02:11:57.0 AM	24.195
07/07/12	03:11:57.0 AM	23.881
07/07/12	04:11:57.0 AM	23.569
07/07/12	05:11:57.0 AM	23.304
07/07/12	06:11:57.0 AM	23.064
07/07/12	07:11:57.0 AM	22.896
07/07/12	08:11:57.0 AM	22.753
07/07/12	09:11:57.0 AM	22.585
07/07/12	10:11:57.0 AM	22.441
07/07/12	11:11:57.0 AM	22.369
07/07/12	12:11:57.0 PM	22.274
07/07/12	01:11:57.0 PM	22.226
07/07/12	02:11:57.0 PM	22.321
07/07/12	03:11:57.0 PM	22.441
07/07/12	04:11:57.0 PM	22.609
07/07/12	05:11:57.0 PM	22.824
07/07/12	06:11:57.0 PM	23.016
07/07/12	07:11:57.0 PM	23.112
07/07/12	08:11:57.0 PM	23.232
07/07/12	09:11:57.0 PM	23.304
07/07/12	10:11:57.0 PM	23.208
07/07/12	11:11:57.0 PM	22.992
07/08/12	12:11:57.0 AM	22.872
07/08/12	01:11:57.0 AM	22.633
07/08/12	02:11:57.0 AM	22.441
07/08/12	03:11:57.0 AM	22.321
07/08/12	04:11:57.0 AM	22.202
07/08/12	05:11:57.0 AM	22.082
07/08/12	06:11:57.0 AM	22.034
07/08/12	07:11:57.0 AM	22.011
07/08/12	08:11:57.0 AM	22.082
07/08/12	09:11:57.0 AM	22.321
07/08/12	10:11:57.0 AM	22.776
07/08/12	11:11:57.0 AM	23.497
07/08/12	12:11:57.0 PM	24.532
07/08/12	01:11:57.0 PM	25.380
07/08/12	02:11:57.0 PM	25.963
07/08/12	03:11:57.0 PM	26.207
07/08/12	04:11:57.0 PM	26.524
07/08/12	05:11:57.0 PM	26.475
07/08/12	06:11:57.0 PM	26.353
07/08/12	07:11:57.0 PM	26.256
07/08/12	08:11:57.0 PM	26.109
07/08/12	09:11:57.0 PM	25.939
07/08/12	10:11:57.0 PM	25.671
07/08/12	11:11:57.0 PM	25.355
07/09/12	12:11:57.0 AM	25.065
07/09/12	01:11:57.0 AM	24.702
07/09/12	02:11:57.0 AM	24.363
07/09/12	03:11:57.0 AM	24.050
07/09/12	04:11:57.0 AM	23.785
07/09/12	05:11:57.0 AM	23.521
07/09/12	06:11:57.0 AM	23.448
07/09/12	07:11:57.0 AM	23.136
07/09/12	08:11:57.0 AM	23.184
07/09/12	09:11:57.0 AM	23.208
07/09/12	10:11:57.0 AM	23.569
07/09/12	11:11:57.0 AM	23.352
07/09/12	12:11:57.0 PM	23.352
07/09/12	01:11:57.0 PM	23.088
07/09/12	02:11:57.0 PM	22.920
07/09/12	03:11:57.0 PM	22.848
07/09/12	04:11:57.0 PM	22.824
07/09/12	05:11:57.0 PM	22.705
07/09/12	06:11:57.0 PM	22.250
07/09/12	07:11:57.0 PM	22.011
07/09/12	08:11:57.0 PM	22.034
07/09/12	09:11:57.0 PM	22.393
07/09/12	10:11:57.0 PM	22.920
07/09/12	11:11:57.0 PM	23.112
07/10/12	12:11:57.0 AM	22.776
07/10/12	01:11:57.0 AM	22.513
07/10/12	02:11:57.0 AM	22.321
07/10/12	03:11:57.0 AM	22.106
07/10/12	04:11:57.0 AM	21.772
