"Plot Title: 30 "
"#","Time, GMT-08:00","Temp, °C()","Coupler Detached()","Coupler Attached()","Host Connected()","Stopped()","End Of File()"
1,09/07/12 01:28:49 PM,19.389,,,,,
2,09/07/12 01:28:57 PM,,Logged,,,,
3,09/07/12 02:28:49 PM,20.317,,,,,
4,09/07/12 03:28:49 PM,20.722,,,,,
5,09/07/12 04:28:49 PM,20.793,,,,,
6,09/07/12 05:28:49 PM,20.507,,,,,
7,09/07/12 06:28:49 PM,20.079,,,,,
8,09/07/12 07:28:49 PM,19.770,,,,,
9,09/07/12 08:28:49 PM,19.651,,,,,
10,09/07/12 09:28:49 PM,19.484,,,,,
11,09/07/12 10:28:49 PM,19.413,,,,,
12,09/07/12 11:28:49 PM,19.341,,,,,
13,09/08/12 12:28:49 AM,19.032,,,,,
14,09/08/12 01:28:49 AM,18.889,,,,,
15,09/08/12 02:28:49 AM,18.747,,,,,
16,09/08/12 03:28:49 AM,18.604,,,,,
17,09/08/12 04:28:49 AM,18.509,,,,,
18,09/08/12 05:28:49 AM,18.414,,,,,
19,09/08/12 06:28:49 AM,18.343,,,,,
20,09/08/12 07:28:49 AM,18.319,,,,,
21,09/08/12 08:28:49 AM,18.461,,,,,
22,09/08/12 09:28:49 AM,18.485,,,,,
23,09/08/12 10:28:49 AM,18.438,,,,,
24,09/08/12 11:28:49 AM,18.533,,,,,
25,09/08/12 12:28:49 PM,18.509,,,,,
26,09/08/12 01:28:49 PM,18.414,,,,,
27,09/08/12 02:28:49 PM,18.366,,,,,
28,09/08/12 03:28:49 PM,18.247,,,,,
29,09/08/12 04:28:49 PM,18.176,,,,,
30,09/08/12 05:28:49 PM,18.057,,,,,
31,09/08/12 06:28:49 PM,17.938,,,,,
32,09/08/12 07:28:49 PM,17.819,,,,,
33,09/08/12 08:28:49 PM,17.724,,,,,
34,09/08/12 09:28:49 PM,17.701,,,,,
35,09/08/12 10:28:49 PM,17.605,,,,,
36,09/08/12 11:28:49 PM,17.510,,,,,
37,09/09/12 12:28:49 AM,17.463,,,,,
38,09/09/12 01:28:49 AM,17.415,,,,,
39,09/09/12 02:28:49 AM,17.344,,,,,
40,09/09/12 03:28:49 AM,17.296,,,,,
41,09/09/12 04:28:49 AM,17.058,,,,,
42,09/09/12 05:28:49 AM,16.868,,,,,
