"Plot Title: 3 "
"#","Time, GMT-08:00","Temp, °C()","Coupler Detached()","Coupler Attached()","Host Connected()","Stopped()","End Of File()"
1,09/07/12 01:25:13 PM,18.937,,,,,
2,09/07/12 01:25:17 PM,,Logged,,,,
3,09/07/12 02:25:13 PM,19.436,,,,,
4,09/07/12 03:25:13 PM,20.484,,,,,
5,09/07/12 04:25:13 PM,20.698,,,,,
6,09/07/12 05:25:13 PM,20.579,,,,,
7,09/07/12 06:25:13 PM,20.341,,,,,
8,09/07/12 07:25:13 PM,20.103,,,,,
9,09/07/12 08:25:13 PM,19.984,,,,,
10,09/07/12 09:25:13 PM,19.865,,,,,
11,09/07/12 10:25:13 PM,19.770,,,,,
12,09/07/12 11:25:13 PM,19.722,,,,,
13,09/08/12 12:25:13 AM,19.413,,,,,
14,09/08/12 01:25:13 AM,19.222,,,,,
15,09/08/12 02:25:13 AM,19.080,,,,,
16,09/08/12 03:25:13 AM,18.961,,,,,
17,09/08/12 04:25:13 AM,18.842,,,,,
18,09/08/12 05:25:13 AM,18.747,,,,,
19,09/08/12 06:25:13 AM,18.652,,,,,
20,09/08/12 07:25:13 AM,18.604,,,,,
21,09/08/12 08:25:13 AM,18.675,,,,,
22,09/08/12 09:25:13 AM,18.699,,,,,
23,09/08/12 10:25:13 AM,18.652,,,,,
24,09/08/12 11:25:13 AM,18.723,,,,,
25,09/08/12 12:25:13 PM,18.723,,,,,
26,09/08/12 01:25:13 PM,18.628,,,,,
27,09/08/12 02:25:13 PM,18.557,,,,,
28,09/08/12 03:25:13 PM,18.461,,,,,
29,09/08/12 04:25:13 PM,18.414,,,,,
30,09/08/12 05:25:13 PM,18.319,,,,,
31,09/08/12 06:25:13 PM,18.224,,,,,
32,09/08/12 07:25:13 PM,18.105,,,,,
33,09/08/12 08:25:13 PM,18.033,,,,,
34,09/08/12 09:25:13 PM,17.986,,,,,
35,09/08/12 10:25:13 PM,17.891,,,,,
36,09/08/12 11:25:13 PM,17.819,,,,,
37,09/09/12 12:25:13 AM,17.748,,,,,
38,09/09/12 01:25:13 AM,17.677,,,,,
39,09/09/12 02:25:13 AM,17.629,,,,,
40,09/09/12 03:25:13 AM,17.582,,,,,
41,09/09/12 04:25:13 AM,17.368,,,,,
42,09/09/12 05:25:13 AM,17.177,,,,,
43,09/09/12 06:25:13 AM,17.082,,,,,
44,09/09/12 07:25:13 AM,16.987,,,,,
45,09/09/12 08:25:13 AM,16.987,,,,,
46,09/09/12 09:25:13 AM,17.034,,,,,
47,09/09/12 10:25:13 AM,17.177,,,,,
48,09/09/12 11:25:13 AM,17.558,,,,,
49,09/09/12 12:25:13 PM,18.176,,,,,
50,09/09/12 01:25:13 PM,18.343,,,,,
51,09/09/12 02:25:13 PM,18.176,,,,,
52,09/09/12 03:25:13 PM,18.271,,,,,
53,09/09/12 04:25:13 PM,18.343,,,,,
54,09/09/12 05:25:13 PM,18.224,,,,,
55,09/09/12 06:25:13 PM,17.867,,,,,
56,09/09/12 07:25:13 PM,17.582,,,,,
57,09/09/12 08:25:13 PM,17.225,,,,,
58,09/09/12 09:25:13 PM,16.987,,,,,
59,09/09/12 10:25:13 PM,16.749,,,,,
60,09/09/12 11:25:13 PM,16.606,,,,,
61,09/10/12 12:25:13 AM,16.511,,,,,
62,09/10/12 01:25:13 AM,16.439,,,,,
63,09/10/12 02:25:13 AM,16.344,,,,,
64,09/10/12 03:25:13 AM,16.249,,,,,
65,09/10/12 04:25:13 AM,16.177,,,,,
66,09/10/12 05:25:13 AM,16.129,,,,,
67,09/10/12 06:25:13 AM,16.106,,,,,
68,09/10/12 07:25:13 AM,16.511,,,,,
69,09/10/12 08:25:13 AM,17.415,,,,,
70,09/10/12 09:25:13 AM,22.800,,,,,
71,09/10/12 10:25:13 AM,21.724,,,,,
72,09/10/12 11:25:13 AM,20.317,,,,,
73,09/10/12 12:25:13 PM,19.936,,,,,
74,09/10/12 01:25:13 PM,19.294,,,,,
75,09/10/12 02:25:13 PM,16.987,,,,,
76,09/10/12 03:25:13 PM,16.939,,,,,
77,09/10/12 04:25:13 PM,15.199,,,,,
78,09/10/12 05:25:13 PM,13.930,,,,,
79,09/10/12 06:25:13 PM,14.266,,,,,
80,09/10/12 07:25:13 PM,14.625,,,,,
81,09/10/12 08:25:13 PM,14.864,,,,,
82,09/10/12 09:25:13 PM,15.103,,,,,
83,09/10/12 10:25:13 PM,15.318,,,,,
84,09/10/12 11:25:13 PM,15.438,,,,,
85,09/11/12 12:25:13 AM,15.557,,,,,
86,09/11/12 01:25:13 AM,15.629,,,,,
87,09/11/12 02:25:13 AM,15.629,,,,,
88,09/11/12 03:25:13 AM,15.605,,,,,
89,09/11/12 04:25:13 AM,15.605,,,,,
90,09/11/12 05:25:13 AM,15.605,,,,,
91,09/11/12 06:25:13 AM,12.727,,,,,
92,09/11/12 07:25:13 AM,12.727,,,,,
93,09/11/12 08:25:13 AM,14.649,,,,,
94,09/11/12 09:25:13 AM,14.984,,,,,
95,09/11/12 10:25:13 AM,17.034,,,,,
96,09/11/12 11:25:13 AM,10.590,,,,,
97,09/11/12 12:25:13 PM,10.149,,,,,
98,09/11/12 01:25:13 PM,6.255,,,,,
99,09/11/12 02:25:13 PM,6.281,,,,,
100,09/11/12 03:25:13 PM,6.281,,,,,
101,09/11/12 04:25:13 PM,6.255,,,,,
102,09/11/12 05:25:13 PM,6.281,,,,,
103,09/11/12 06:25:13 PM,6.255,,,,,
104,09/11/12 07:25:13 PM,6.204,,,,,
105,09/11/12 08:25:13 PM,6.255,,,,,
106,09/11/12 09:25:13 PM,6.255,,,,,
107,09/11/12 10:25:13 PM,6.204,,,,,
108,09/11/12 11:25:13 PM,6.281,,,,,
109,09/12/12 12:25:13 AM,6.204,,,,,
110,09/12/12 01:25:13 AM,6.230,,,,,
111,09/12/12 02:25:13 AM,6.255,,,,,
112,09/12/12 03:25:13 AM,6.357,,,,,
113,09/12/12 04:25:13 AM,6.306,,,,,
114,09/12/12 05:25:13 AM,6.281,,,,,
115,09/12/12 06:25:13 AM,6.281,,,,,
116,09/12/12 07:25:13 AM,6.281,,,,,
117,09/12/12 08:25:13 AM,6.382,,,,,
118,09/12/12 09:25:13 AM,11.443,,,,,
119,09/12/12 10:25:13 AM,11.589,,,,,
120,09/12/12 11:25:13 AM,11.856,,,,,
121,09/12/12 12:25:13 PM,12.001,,,,,
122,09/12/12 01:25:13 PM,11.953,,,,,
123,09/12/12 02:25:13 PM,12.364,,,,,
124,09/12/12 03:25:13 PM,12.606,,,,,
125,09/12/12 04:25:13 PM,6.102,,,,,
126,09/12/12 05:25:13 PM,6.102,,,,,
127,09/12/12 06:25:13 PM,6.102,,,,,
128,09/12/12 07:25:13 PM,6.102,,,,,
129,09/12/12 08:25:13 PM,6.102,,,,,
130,09/12/12 09:25:13 PM,6.128,,,,,
131,09/12/12 10:25:13 PM,6.153,,,,,
132,09/12/12 11:25:13 PM,6.128,,,,,
133,09/13/12 12:25:13 AM,6.102,,,,,
134,09/13/12 01:25:13 AM,6.102,,,,,
135,09/13/12 02:25:13 AM,6.077,,,,,
136,09/13/12 03:25:13 AM,6.077,,,,,
137,09/13/12 04:25:13 AM,6.077,,,,,
138,09/13/12 05:25:13 AM,6.102,,,,,
139,09/13/12 06:25:13 AM,6.102,,,,,
140,09/13/12 07:25:13 AM,6.102,,,,,
141,09/13/12 08:25:13 AM,6.153,,,,,
142,09/13/12 09:25:13 AM,6.153,,,,,
143,09/13/12 10:25:13 AM,6.153,,,,,
144,09/13/12 11:25:13 AM,12.050,,,,,
145,09/13/12 12:25:13 PM,12.437,,,,,
146,09/13/12 01:25:13 PM,11.953,,,,,
147,09/13/12 02:25:13 PM,6.306,,,,,
148,09/13/12 03:25:13 PM,6.306,,,,,
149,09/13/12 04:25:13 PM,6.306,,,,,
150,09/13/12 05:25:13 PM,6.230,,,,,
151,09/13/12 06:25:13 PM,6.204,,,,,
152,09/13/12 07:25:13 PM,6.306,,,,,
153,09/13/12 08:25:13 PM,6.255,,,,,
154,09/13/12 09:25:13 PM,6.255,,,,,
155,09/13/12 10:25:13 PM,6.281,,,,,
156,09/13/12 11:25:13 PM,6.306,,,,,
157,09/14/12 12:25:13 AM,6.306,,,,,
158,09/14/12 01:25:13 AM,6.331,,,,,
159,09/14/12 02:25:13 AM,6.255,,,,,
160,09/14/12 03:25:13 AM,6.281,,,,,
161,09/14/12 04:25:13 AM,6.230,,,,,
162,09/14/12 05:25:13 AM,6.204,,,,,
163,09/14/12 06:25:13 AM,6.204,,,,,
164,09/14/12 07:25:13 AM,6.204,,,,,
165,09/14/12 08:25:13 AM,6.255,,,,,
166,09/14/12 09:25:13 AM,10.565,,,,,
167,09/14/12 10:25:13 AM,10.980,,,,,
168,09/14/12 11:25:13 AM,11.005,,,,,
169,09/14/12 12:25:13 PM,11.856,,,,,
170,09/14/12 01:25:13 PM,12.268,,,,,
171,09/14/12 02:25:13 PM,11.953,,,,,
172,09/14/12 03:25:13 PM,6.281,,,,,
173,09/14/12 04:25:13 PM,6.433,,,,,
174,09/14/12 05:25:13 PM,6.585,,,,,
175,09/14/12 06:25:13 PM,6.560,,,,,
176,09/14/12 07:25:13 PM,6.509,,,,,
177,09/14/12 08:25:13 PM,6.306,,,,,
178,09/14/12 09:25:13 PM,6.357,,,,,
179,09/14/12 10:25:13 PM,6.306,,,,,
180,09/14/12 11:25:13 PM,6.255,,,,,
181,09/15/12 12:25:13 AM,6.255,,,,,
182,09/15/12 01:25:13 AM,6.255,,,,,
183,09/15/12 02:25:13 AM,6.255,,,,,
184,09/15/12 03:25:13 AM,6.281,,,,,
185,09/15/12 04:25:13 AM,6.357,,,,,
186,09/15/12 05:25:13 AM,6.458,,,,,
187,09/15/12 06:25:13 AM,6.484,,,,,
188,09/15/12 07:25:13 AM,6.509,,,,,
189,09/15/12 08:25:13 AM,6.408,,,,,
