Date	Time	Temperature  (*C)
09/11/12	09:12:21.0	20.09
09/11/12	10:12:21.0	21.24
09/11/12	11:12:21.0	21.07
09/11/12	12:12:21.0	21.41
09/11/12	13:12:21.0	11.13
09/11/12	14:12:21.0	5.43
09/11/12	15:12:21.0	5.43
09/11/12	16:12:21.0	5.43
09/11/12	17:12:21.0	5.43
09/11/12	18:12:21.0	5.43
09/11/12	19:12:21.0	5.43
09/11/12	20:12:21.0	5.43
09/11/12	21:12:21.0	5.43
09/11/12	22:12:21.0	5.43
09/11/12	23:12:21.0	5.43
09/12/12	00:12:21.0	5.43
09/12/12	01:12:21.0	5.43
09/12/12	02:12:21.0	5.43
09/12/12	03:12:21.0	5.43
09/12/12	04:12:21.0	5.43
09/12/12	05:12:21.0	5.43
09/12/12	06:12:21.0	5.43
09/12/12	07:12:21.0	5.43
09/12/12	08:12:21.0	5.43
09/12/12	09:12:21.0	10.82
09/12/12	10:12:21.0	10.82
09/12/12	11:12:21.0	11.28
09/12/12	12:12:21.0	11.74
09/12/12	13:12:21.0	12.05
09/12/12	14:12:21.0	5.28
09/12/12	15:12:21.0	5.28
09/12/12	16:12:21.0	5.28
09/12/12	17:12:21.0	5.28
09/12/12	18:12:21.0	5.28
09/12/12	19:12:21.0	5.28
09/12/12	20:12:21.0	5.28
09/12/12	21:12:21.0	5.28
09/12/12	22:12:21.0	5.28
09/12/12	23:12:21.0	5.28
09/13/12	00:12:21.0	5.28
09/13/12	01:12:21.0	5.28
09/13/12	02:12:21.0	5.28
09/13/12	03:12:21.0	5.28
09/13/12	04:12:21.0	5.28
09/13/12	05:12:21.0	5.28
09/13/12	06:12:21.0	5.28
09/13/12	07:12:21.0	5.28
09/13/12	08:12:21.0	5.28
09/13/12	09:12:21.0	5.28
09/13/12	10:12:21.0	10.82
09/13/12	11:12:21.0	10.52
09/13/12	12:12:21.0	10.52
09/13/12	13:12:21.0	10.36
09/13/12	14:12:21.0	10.05
09/13/12	15:12:21.0	6.05
09/13/12	16:12:21.0	6.21
09/13/12	17:12:21.0	6.21
09/13/12	18:12:21.0	6.21
09/13/12	19:12:21.0	6.21
09/13/12	20:12:21.0	6.21
09/13/12	21:12:21.0	6.21
09/13/12	22:12:21.0	6.21
09/13/12	23:12:21.0	6.21
09/14/12	00:12:21.0	6.21
09/14/12	01:12:21.0	6.05
09/14/12	02:12:21.0	6.21
09/14/12	03:12:21.0	6.21
09/14/12	04:12:21.0	6.21
09/14/12	05:12:21.0	6.21
09/14/12	06:12:21.0	6.21
09/14/12	07:12:21.0	6.21
09/14/12	08:12:21.0	6.21
09/14/12	09:12:21.0	6.36
09/14/12	10:12:21.0	10.05
09/14/12	11:12:21.0	10.82
09/14/12	12:12:21.0	11.59
09/14/12	13:12:21.0	13.44
09/14/12	14:12:21.0	5.28
09/14/12	15:12:21.0	5.28
09/14/12	16:12:21.0	5.28
09/14/12	17:12:21.0	5.28
09/14/12	18:12:21.0	5.28
09/14/12	19:12:21.0	5.28
09/14/12	20:12:21.0	5.28
09/14/12	21:12:21.0	5.28
09/14/12	22:12:21.0	5.28
09/14/12	23:12:21.0	5.28
09/15/12	00:12:21.0	5.28
09/15/12	01:12:21.0	5.28
09/15/12	02:12:21.0	5.28
09/15/12	03:12:21.0	5.28
09/15/12	04:12:21.0	5.28
09/15/12	05:12:21.0	5.28
09/15/12	06:12:21.0	5.28
09/15/12	07:12:21.0	5.28
09/15/12	08:12:21.0	9.58
09/15/12	09:12:21.0	9.89
09/15/12	10:12:21.0	9.89
09/15/12	11:12:21.0	9.89
09/15/12	12:12:21.0	10.05
09/15/12	13:12:21.0	10.98
09/15/12	14:12:21.0	10.52
09/15/12	15:12:21.0	9.89
09/15/12	16:12:21.0	10.52
09/15/12	17:12:21.0	11.28
09/15/12	18:12:21.0	10.98
09/15/12	19:12:21.0	10.36
09/15/12	20:12:21.0	10.05
09/15/12	21:12:21.0	10.05
09/15/12	22:12:21.0	9.89
09/15/12	23:12:21.0	9.89
09/16/12	00:12:21.0	9.74
09/16/12	01:12:21.0	9.58
09/16/12	02:12:21.0	9.58
09/16/12	03:12:21.0	9.58
09/16/12	04:12:21.0	8.97
09/16/12	05:12:21.0	8.66
09/16/12	06:12:21.0	8.36
09/16/12	07:12:21.0	8.66
09/16/12	08:12:21.0	9.12
09/16/12	09:12:21.0	10.21
09/16/12	10:12:21.0	10.82
09/16/12	11:12:21.0	10.98
09/16/12	12:12:21.0	11.59
09/16/12	13:12:21.0	11.59
09/16/12	14:12:21.0	5.43
