Date	Time	Temp (°C) c:1
10/03/12	11:25:47.0 AM	23.521
10/03/12	12:25:47.0 PM	7.995
10/03/12	01:25:47.0 PM	7.745
10/03/12	02:25:47.0 PM	5.616
10/03/12	03:25:47.0 PM	5.616
10/03/12	04:25:47.0 PM	5.616
10/03/12	05:25:47.0 PM	5.616
10/03/12	06:25:47.0 PM	5.616
10/03/12	07:25:47.0 PM	5.616
10/03/12	08:25:47.0 PM	5.616
10/03/12	09:25:47.0 PM	5.616
10/03/12	10:25:47.0 PM	5.616
10/03/12	11:25:47.0 PM	5.616
10/04/12	12:25:47.0 AM	5.616
10/04/12	01:25:47.0 AM	5.616
10/04/12	02:25:47.0 AM	5.616
10/04/12	03:25:47.0 AM	5.616
10/04/12	04:25:47.0 AM	5.616
10/04/12	05:25:47.0 AM	5.616
10/04/12	06:25:47.0 AM	5.616
10/04/12	07:25:47.0 AM	5.616
10/04/12	08:25:47.0 AM	5.616
10/04/12	09:25:47.0 AM	5.616
10/04/12	10:25:47.0 AM	6.940
10/04/12	11:25:47.0 AM	7.217
10/04/12	12:25:47.0 PM	7.293
10/04/12	01:25:47.0 PM	6.763
10/04/12	02:25:47.0 PM	7.519
10/04/12	03:25:47.0 PM	7.670
10/04/12	04:25:47.0 PM	8.045
10/04/12	05:25:47.0 PM	6.914
10/04/12	06:25:47.0 PM	6.687
10/04/12	07:25:47.0 PM	7.268
10/04/12	08:25:47.0 PM	6.889
10/04/12	09:25:47.0 PM	6.813
10/04/12	10:25:47.0 PM	6.965
10/04/12	11:25:47.0 PM	7.066
10/05/12	12:25:47.0 AM	6.611
10/05/12	01:25:47.0 AM	6.763
10/05/12	02:25:47.0 AM	6.560
10/05/12	03:25:47.0 AM	6.661
10/05/12	04:25:47.0 AM	6.813
10/05/12	05:25:47.0 AM	6.864
10/05/12	06:25:47.0 AM	6.940
10/05/12	07:25:47.0 AM	6.839
10/05/12	08:25:47.0 AM	6.965
10/05/12	09:25:47.0 AM	6.889
10/05/12	10:25:47.0 AM	6.914
10/05/12	11:25:47.0 AM	7.066
10/05/12	12:25:47.0 PM	8.693
10/05/12	01:25:47.0 PM	8.519
10/05/12	02:25:47.0 PM	8.668
10/05/12	03:25:47.0 PM	8.717
10/05/12	04:25:47.0 PM	8.792
10/05/12	05:25:47.0 PM	8.817
10/05/12	06:25:47.0 PM	8.841
10/05/12	07:25:47.0 PM	8.792
10/05/12	08:25:47.0 PM	8.891
10/05/12	09:25:47.0 PM	8.916
10/05/12	10:25:47.0 PM	8.866
10/05/12	11:25:47.0 PM	9.163
10/06/12	12:25:47.0 AM	9.188
10/06/12	01:25:47.0 AM	9.064
10/06/12	02:25:47.0 AM	9.040
10/06/12	03:25:47.0 AM	8.618
10/06/12	04:25:47.0 AM	8.519
10/06/12	05:25:47.0 AM	8.295
10/06/12	06:25:47.0 AM	8.220
10/06/12	07:25:47.0 AM	8.045
10/06/12	08:25:47.0 AM	8.170
10/06/12	09:25:47.0 AM	8.568
10/06/12	10:25:47.0 AM	9.114
10/06/12	11:25:47.0 AM	9.460
10/06/12	12:25:47.0 PM	9.805
10/06/12	01:25:47.0 PM	9.805
10/06/12	02:25:47.0 PM	6.914
10/06/12	03:25:47.0 PM	7.091
10/06/12	04:25:47.0 PM	7.015
10/06/12	05:25:47.0 PM	7.091
10/06/12	06:25:47.0 PM	7.015
10/06/12	07:25:47.0 PM	7.293
10/06/12	08:25:47.0 PM	7.268
10/06/12	09:25:47.0 PM	7.192
10/06/12	10:25:47.0 PM	7.293
10/06/12	11:25:47.0 PM	7.192
10/07/12	12:25:47.0 AM	7.167
10/07/12	01:25:47.0 AM	7.192
10/07/12	02:25:47.0 AM	7.041
10/07/12	03:25:47.0 AM	7.015
10/07/12	04:25:47.0 AM	7.217
10/07/12	05:25:47.0 AM	7.192
10/07/12	06:25:47.0 AM	7.015
10/07/12	07:25:47.0 AM	6.914
10/07/12	08:25:47.0 AM	7.066
10/07/12	09:25:47.0 AM	8.319
10/07/12	10:25:47.0 AM	8.668
10/07/12	11:25:47.0 AM	9.089
10/07/12	12:25:47.0 PM	9.361
10/07/12	01:25:47.0 PM	9.015
10/07/12	02:25:47.0 PM	9.213
10/07/12	03:25:47.0 PM	6.585
10/07/12	04:25:47.0 PM	6.585
10/07/12	05:25:47.0 PM	6.611
10/07/12	06:25:47.0 PM	6.611
10/07/12	07:25:47.0 PM	6.560
10/07/12	08:25:47.0 PM	6.535
10/07/12	09:25:47.0 PM	6.560
10/07/12	10:25:47.0 PM	6.585
10/07/12	11:25:47.0 PM	6.611
10/08/12	12:25:47.0 AM	6.636
10/08/12	01:25:47.0 AM	6.661
10/08/12	02:25:47.0 AM	6.636
10/08/12	03:25:47.0 AM	6.687
10/08/12	04:25:47.0 AM	6.687
10/08/12	05:25:47.0 AM	6.712
10/08/12	06:25:47.0 AM	6.712
10/08/12	07:25:47.0 AM	6.712
10/08/12	08:25:47.0 AM	6.611
10/08/12	09:25:47.0 AM	6.433
10/08/12	10:25:47.0 AM	6.408
10/08/12	11:25:47.0 AM	10.124
10/08/12	12:25:47.0 PM	8.717
10/08/12	01:25:47.0 PM	8.568
10/08/12	02:25:47.0 PM	8.369
10/08/12	03:25:47.0 PM	5.488
10/08/12	04:25:47.0 PM	5.514
10/08/12	05:25:47.0 PM	5.539
10/08/12	06:25:47.0 PM	5.591
10/08/12	07:25:47.0 PM	5.745
10/08/12	08:25:47.0 PM	5.770
10/08/12	09:25:47.0 PM	5.796
10/08/12	10:25:47.0 PM	5.770
10/08/12	11:25:47.0 PM	5.719
10/09/12	12:25:47.0 AM	5.668
10/09/12	01:25:47.0 AM	5.668
10/09/12	02:25:47.0 AM	5.488
10/09/12	03:25:47.0 AM	5.462
10/09/12	04:25:47.0 AM	5.411
10/09/12	05:25:47.0 AM	5.437
10/09/12	06:25:47.0 AM	5.591
10/09/12	07:25:47.0 AM	5.642
10/09/12	08:25:47.0 AM	5.770
10/09/12	09:25:47.0 AM	6.813
10/09/12	10:25:47.0 AM	6.535
10/09/12	11:25:47.0 AM	6.990
10/09/12	12:25:47.0 PM	7.544
10/09/12	01:25:47.0 PM	7.569
10/09/12	02:25:47.0 PM	7.920
10/09/12	03:25:47.0 PM	8.195
10/09/12	04:25:47.0 PM	5.231
10/09/12	05:25:47.0 PM	5.282
10/09/12	06:25:47.0 PM	5.385
10/09/12	07:25:47.0 PM	5.462
10/09/12	08:25:47.0 PM	5.385
10/09/12	09:25:47.0 PM	5.308
10/09/12	10:25:47.0 PM	5.231
10/09/12	11:25:47.0 PM	5.257
10/10/12	12:25:47.0 AM	5.257
10/10/12	01:25:47.0 AM	5.154
10/10/12	02:25:47.0 AM	5.154
10/10/12	03:25:47.0 AM	5.205
10/10/12	04:25:47.0 AM	5.257
10/10/12	05:25:47.0 AM	5.334
10/10/12	06:25:47.0 AM	5.385
10/10/12	07:25:47.0 AM	5.591
10/10/12	08:25:47.0 AM	5.565
10/10/12	09:25:47.0 AM	5.437
10/10/12	10:25:47.0 AM	5.411
10/10/12	11:25:47.0 AM	5.308
