Date	Time	Temperature  (*C)
10/18/12	07:51:38.0	22.38
10/18/12	08:51:38.0	9.16
10/18/12	09:51:38.0	5.89
10/18/12	10:51:38.0	5.12
10/18/12	11:51:38.0	4.96
10/18/12	12:51:38.0	4.96
10/18/12	13:51:38.0	5.89
10/18/12	14:51:38.0	6.83
10/18/12	15:51:38.0	6.83
10/18/12	16:51:38.0	6.83
10/18/12	17:51:38.0	6.99
10/18/12	18:51:38.0	6.99
10/18/12	19:51:38.0	6.99
10/18/12	20:51:38.0	6.99
10/18/12	21:51:38.0	6.99
10/18/12	22:51:38.0	6.83
10/18/12	23:51:38.0	6.83
10/19/12	00:51:38.0	6.83
10/19/12	01:51:38.0	6.83
10/19/12	02:51:38.0	6.83
10/19/12	03:51:38.0	6.83
10/19/12	04:51:38.0	6.83
10/19/12	05:51:38.0	6.83
10/19/12	06:51:38.0	6.83
10/19/12	07:51:38.0	6.83
10/19/12	08:51:38.0	6.99
10/19/12	09:51:38.0	6.99
10/19/12	10:51:38.0	6.83
10/19/12	11:51:38.0	4.18
10/19/12	12:51:38.0	3.56
10/19/12	13:51:38.0	6.83
10/19/12	14:51:38.0	6.83
10/19/12	15:51:38.0	6.83
10/19/12	16:51:38.0	6.83
10/19/12	17:51:38.0	6.83
10/19/12	18:51:38.0	6.83
10/19/12	19:51:38.0	6.83
10/19/12	20:51:38.0	6.83
10/19/12	21:51:38.0	6.83
10/19/12	22:51:38.0	6.83
10/19/12	23:51:38.0	6.83
10/20/12	00:51:38.0	6.83
10/20/12	01:51:38.0	6.83
10/20/12	02:51:38.0	6.83
10/20/12	03:51:38.0	6.83
10/20/12	04:51:38.0	6.68
10/20/12	05:51:38.0	6.83
10/20/12	06:51:38.0	6.68
10/20/12	07:51:38.0	0.20
10/20/12	08:51:38.0	0.04
10/20/12	09:51:38.0	1.49
10/20/12	10:51:38.0	1.97
10/20/12	11:51:38.0	2.44
10/20/12	12:51:38.0	3.87
10/20/12	13:51:38.0	4.81
10/20/12	14:51:38.0	4.96
10/20/12	15:51:38.0	5.58
10/20/12	16:51:38.0	5.89
10/20/12	17:51:38.0	7.31
10/20/12	18:51:38.0	7.15
10/20/12	19:51:38.0	7.15
10/20/12	20:51:38.0	7.31
10/20/12	21:51:38.0	7.31
10/20/12	22:51:38.0	7.15
10/20/12	23:51:38.0	7.15
10/21/12	00:51:38.0	7.15
10/21/12	01:51:38.0	7.31
10/21/12	02:51:38.0	7.31
10/21/12	03:51:38.0	7.31
10/21/12	04:51:38.0	7.15
10/21/12	05:51:38.0	7.15
10/21/12	06:51:38.0	7.15
10/21/12	07:51:38.0	7.15
10/21/12	08:51:38.0	7.15
10/21/12	09:51:38.0	7.15
10/21/12	10:51:38.0	7.15
10/21/12	11:51:38.0	4.96
10/21/12	12:51:38.0	6.99
10/21/12	13:51:38.0	7.46
10/21/12	14:51:38.0	7.62
10/21/12	15:51:38.0	7.62
10/21/12	16:51:38.0	7.62
10/21/12	17:51:38.0	7.62
10/21/12	18:51:38.0	7.62
10/21/12	19:51:38.0	7.62
10/21/12	20:51:38.0	7.46
10/21/12	21:51:38.0	7.46
10/21/12	22:51:38.0	7.46
10/21/12	23:51:38.0	7.62
10/22/12	00:51:38.0	7.62
10/22/12	01:51:38.0	7.62
10/22/12	02:51:38.0	7.62
10/22/12	03:51:38.0	7.62
10/22/12	04:51:38.0	7.62
10/22/12	05:51:38.0	7.46
10/22/12	06:51:38.0	7.46
10/22/12	07:51:38.0	7.46
10/22/12	08:51:38.0	1.17
10/22/12	09:51:38.0	1.49
10/22/12	10:51:38.0	1.97
10/22/12	11:51:38.0	2.61
10/22/12	12:51:38.0	3.56
10/22/12	13:51:38.0	4.81
10/22/12	14:51:38.0	5.43
10/22/12	15:51:38.0	5.74
10/22/12	16:51:38.0	5.74
10/22/12	17:51:38.0	5.43
10/22/12	18:51:38.0	5.27
10/22/12	19:51:38.0	4.49
10/22/12	20:51:38.0	4.02
10/22/12	21:51:38.0	4.49
10/22/12	22:51:38.0	4.96
10/22/12	23:51:38.0	4.81
10/23/12	00:51:38.0	4.81
10/23/12	01:51:38.0	4.65
10/23/12	02:51:38.0	4.34
10/23/12	03:51:38.0	4.34
10/23/12	04:51:38.0	4.18
10/23/12	05:51:38.0	4.34
10/23/12	06:51:38.0	4.18
10/23/12	07:51:38.0	3.08
10/23/12	08:51:38.0	2.61
10/23/12	09:51:38.0	3.87
10/23/12	10:51:38.0	5.58
10/23/12	11:51:38.0	6.37
10/23/12	12:51:38.0	6.68
10/23/12	13:51:38.0	7.62
10/23/12	14:51:38.0	8.24
10/23/12	15:51:38.0	5.43
10/23/12	16:51:38.0	5.43
10/23/12	17:51:38.0	5.43
10/23/12	18:51:38.0	5.43
10/23/12	19:51:38.0	5.43
10/23/12	20:51:38.0	5.43
10/23/12	21:51:38.0	5.43
10/23/12	22:51:38.0	5.43
10/23/12	23:51:38.0	5.43
10/24/12	00:51:38.0	5.43
10/24/12	01:51:38.0	5.43
10/24/12	02:51:38.0	5.43
10/24/12	03:51:38.0	5.43
10/24/12	04:51:38.0	5.43
10/24/12	05:51:38.0	5.43
10/24/12	06:51:38.0	5.43
10/24/12	07:51:38.0	5.43
10/24/12	08:51:38.0	5.43
10/24/12	09:51:38.0	5.43
10/24/12	10:51:38.0	5.43
10/24/12	11:51:38.0	5.27
10/24/12	12:51:38.0	2.77
10/24/12	13:51:38.0	5.43
10/24/12	14:51:38.0	6.06
10/24/12	15:51:38.0	6.06
10/24/12	16:51:38.0	6.06
10/24/12	17:51:38.0	6.06
10/24/12	18:51:38.0	6.06
10/24/12	19:51:38.0	6.06
10/24/12	20:51:38.0	6.06
10/24/12	21:51:38.0	6.06
10/24/12	22:51:38.0	6.06
10/24/12	23:51:38.0	6.06
10/25/12	00:51:38.0	6.06
10/25/12	01:51:38.0	6.06
10/25/12	02:51:38.0	6.06
10/25/12	03:51:38.0	6.06
10/25/12	04:51:38.0	6.06
10/25/12	05:51:38.0	6.06
10/25/12	06:51:38.0	6.06
10/25/12	07:51:38.0	6.06
10/25/12	08:51:38.0	1.01
10/25/12	09:51:38.0	1.97
10/25/12	10:51:38.0	3.56
10/25/12	11:51:38.0	4.34
10/25/12	12:51:38.0	4.81
10/25/12	13:51:38.0	4.18
10/25/12	14:51:38.0	4.81
10/25/12	15:51:38.0	3.56
10/25/12	16:51:38.0	0.36
10/25/12	17:51:38.0	-0.59
10/25/12	18:51:38.0	-1.25
10/25/12	19:51:38.0	-1.91
10/25/12	20:51:38.0	-2.24
10/25/12	21:51:38.0	-2.41
10/25/12	22:51:38.0	-2.24
10/25/12	23:51:38.0	-1.91
10/26/12	00:51:38.0	-2.24
10/26/12	01:51:38.0	-2.24
