Date	Time	Temp (°C) c:1
10/18/12	07:43:51.0 AM	19.413
10/18/12	08:43:51.0 AM	9.287
10/18/12	09:43:51.0 AM	5.745
10/18/12	10:43:51.0 AM	4.921
10/18/12	11:43:51.0 AM	4.766
10/18/12	12:43:51.0 PM	4.662
10/18/12	01:43:51.0 PM	6.914
10/18/12	02:43:51.0 PM	6.914
10/18/12	03:43:51.0 PM	6.839
10/18/12	04:43:51.0 PM	6.889
10/18/12	05:43:51.0 PM	6.889
10/18/12	06:43:51.0 PM	6.281
10/18/12	07:43:51.0 PM	6.306
10/18/12	08:43:51.0 PM	6.408
10/18/12	09:43:51.0 PM	6.535
10/18/12	10:43:51.0 PM	6.839
10/18/12	11:43:51.0 PM	6.813
10/19/12	12:43:51.0 AM	6.889
10/19/12	01:43:51.0 AM	6.864
10/19/12	02:43:51.0 AM	6.889
10/19/12	03:43:51.0 AM	6.813
10/19/12	04:43:51.0 AM	6.864
10/19/12	05:43:51.0 AM	6.839
10/19/12	06:43:51.0 AM	6.737
10/19/12	07:43:51.0 AM	6.535
10/19/12	08:43:51.0 AM	0.605
10/19/12	09:43:51.0 AM	1.017
10/19/12	10:43:51.0 AM	1.697
10/19/12	11:43:51.0 AM	1.778
10/19/12	12:43:51.0 PM	2.423
10/19/12	01:43:51.0 PM	2.396
10/19/12	02:43:51.0 PM	2.877
10/19/12	03:43:51.0 PM	3.380
10/19/12	04:43:51.0 PM	3.406
10/19/12	05:43:51.0 PM	2.770
10/19/12	06:43:51.0 PM	1.994
10/19/12	07:43:51.0 PM	1.643
10/19/12	08:43:51.0 PM	0.852
10/19/12	09:43:51.0 PM	0.079
10/19/12	10:43:51.0 PM	-0.451
10/19/12	11:43:51.0 PM	-0.535
10/20/12	12:43:51.0 AM	-1.100
10/20/12	01:43:51.0 AM	-1.441
10/20/12	02:43:51.0 AM	-1.842
10/20/12	03:43:51.0 AM	-1.900
10/20/12	04:43:51.0 AM	-1.699
10/20/12	05:43:51.0 AM	-1.556
10/20/12	06:43:51.0 AM	-1.157
10/20/12	07:43:51.0 AM	-0.088
10/20/12	08:43:51.0 AM	-0.032
10/20/12	09:43:51.0 AM	0.907
10/20/12	10:43:51.0 AM	1.859
10/20/12	11:43:51.0 AM	2.155
10/20/12	12:43:51.0 PM	2.930
10/20/12	01:43:51.0 PM	3.775
10/20/12	02:43:51.0 PM	3.801
10/20/12	03:43:51.0 PM	4.350
10/20/12	04:43:51.0 PM	4.584
10/20/12	05:43:51.0 PM	4.350
10/20/12	06:43:51.0 PM	4.089
10/20/12	07:43:51.0 PM	4.063
10/20/12	08:43:51.0 PM	3.906
10/20/12	09:43:51.0 PM	3.801
10/20/12	10:43:51.0 PM	3.827
10/20/12	11:43:51.0 PM	3.564
10/21/12	12:43:51.0 AM	3.617
10/21/12	01:43:51.0 AM	3.063
10/21/12	02:43:51.0 AM	3.036
10/21/12	03:43:51.0 AM	2.877
10/21/12	04:43:51.0 AM	3.354
10/21/12	05:43:51.0 AM	3.301
10/21/12	06:43:51.0 AM	3.301
10/21/12	07:43:51.0 AM	3.538
10/21/12	08:43:51.0 AM	3.009
10/21/12	09:43:51.0 AM	2.823
10/21/12	10:43:51.0 AM	3.354
10/21/12	11:43:51.0 AM	3.722
10/21/12	12:43:51.0 PM	4.584
10/21/12	01:43:51.0 PM	5.411
10/21/12	02:43:51.0 PM	6.000
10/21/12	03:43:51.0 PM	7.419
10/21/12	04:43:51.0 PM	7.444
10/21/12	05:43:51.0 PM	7.494
10/21/12	06:43:51.0 PM	7.594
10/21/12	07:43:51.0 PM	7.569
10/21/12	08:43:51.0 PM	7.594
10/21/12	09:43:51.0 PM	7.619
10/21/12	10:43:51.0 PM	7.594
10/21/12	11:43:51.0 PM	7.594
10/22/12	12:43:51.0 AM	7.594
10/22/12	01:43:51.0 AM	7.569
10/22/12	02:43:51.0 AM	7.594
10/22/12	03:43:51.0 AM	7.594
10/22/12	04:43:51.0 AM	7.368
10/22/12	05:43:51.0 AM	7.594
10/22/12	06:43:51.0 AM	7.569
10/22/12	07:43:51.0 AM	7.519
10/22/12	08:43:51.0 AM	7.569
10/22/12	09:43:51.0 AM	7.594
10/22/12	10:43:51.0 AM	7.619
10/22/12	11:43:51.0 AM	5.796
10/22/12	12:43:51.0 PM	3.932
10/22/12	01:43:51.0 PM	6.255
10/22/12	02:43:51.0 PM	6.813
10/22/12	03:43:51.0 PM	7.041
10/22/12	04:43:51.0 PM	6.179
10/22/12	05:43:51.0 PM	5.411
10/22/12	06:43:51.0 PM	5.231
10/22/12	07:43:51.0 PM	4.584
10/22/12	08:43:51.0 PM	3.880
10/22/12	09:43:51.0 PM	4.714
10/22/12	10:43:51.0 PM	5.024
10/22/12	11:43:51.0 PM	4.818
10/23/12	12:43:51.0 AM	4.584
10/23/12	01:43:51.0 AM	4.584
10/23/12	02:43:51.0 AM	4.246
10/23/12	03:43:51.0 AM	4.376
10/23/12	04:43:51.0 AM	4.141
10/23/12	05:43:51.0 AM	4.272
10/23/12	06:43:51.0 AM	4.298
10/23/12	07:43:51.0 AM	2.797
10/23/12	08:43:51.0 AM	2.128
10/23/12	09:43:51.0 AM	6.026
10/23/12	10:43:51.0 AM	9.188
10/23/12	11:43:51.0 AM	9.756
10/23/12	12:43:51.0 PM	5.770
10/23/12	01:43:51.0 PM	5.770
10/23/12	02:43:51.0 PM	5.770
10/23/12	03:43:51.0 PM	5.796
10/23/12	04:43:51.0 PM	5.770
10/23/12	05:43:51.0 PM	5.668
10/23/12	06:43:51.0 PM	5.668
10/23/12	07:43:51.0 PM	5.796
10/23/12	08:43:51.0 PM	5.949
10/23/12	09:43:51.0 PM	5.745
10/23/12	10:43:51.0 PM	5.770
10/23/12	11:43:51.0 PM	5.872
10/24/12	12:43:51.0 AM	6.000
10/24/12	01:43:51.0 AM	5.872
10/24/12	02:43:51.0 AM	5.745
10/24/12	03:43:51.0 AM	5.745
10/24/12	04:43:51.0 AM	5.693
10/24/12	05:43:51.0 AM	5.719
10/24/12	06:43:51.0 AM	5.745
10/24/12	07:43:51.0 AM	5.642
10/24/12	08:43:51.0 AM	2.236
10/24/12	09:43:51.0 AM	3.591
10/24/12	10:43:51.0 AM	4.063
10/24/12	11:43:51.0 AM	4.584
10/24/12	12:43:51.0 PM	4.947
10/24/12	01:43:51.0 PM	5.693
10/24/12	02:43:51.0 PM	5.514
10/24/12	03:43:51.0 PM	4.973
10/24/12	04:43:51.0 PM	4.350
10/24/12	05:43:51.0 PM	2.930
10/24/12	06:43:51.0 PM	2.557
10/24/12	07:43:51.0 PM	2.450
10/24/12	08:43:51.0 PM	2.101
10/24/12	09:43:51.0 PM	2.316
10/24/12	10:43:51.0 PM	2.262
10/24/12	11:43:51.0 PM	2.074
10/25/12	12:43:51.0 AM	2.021
10/25/12	01:43:51.0 AM	2.074
10/25/12	02:43:51.0 AM	1.913
10/25/12	03:43:51.0 AM	1.670
10/25/12	04:43:51.0 AM	1.697
10/25/12	05:43:51.0 AM	1.697
10/25/12	06:43:51.0 AM	1.398
10/25/12	07:43:51.0 AM	1.534
10/25/12	08:43:51.0 AM	1.859
10/25/12	09:43:51.0 AM	2.450
10/25/12	10:43:51.0 AM	3.564
10/25/12	11:43:51.0 AM	4.194
10/25/12	12:43:51.0 PM	4.869
10/25/12	01:43:51.0 PM	4.454
10/25/12	02:43:51.0 PM	4.714
10/25/12	03:43:51.0 PM	4.558
10/25/12	04:43:51.0 PM	0.605
10/25/12	05:43:51.0 PM	-0.395
10/25/12	06:43:51.0 PM	-1.071
10/25/12	07:43:51.0 PM	-1.756
10/25/12	08:43:51.0 PM	-2.218
10/25/12	09:43:51.0 PM	-2.160
10/25/12	10:43:51.0 PM	-2.160
10/25/12	11:43:51.0 PM	-1.958
10/26/12	12:43:51.0 AM	-2.102
10/26/12	01:43:51.0 AM	-2.334
10/26/12	02:43:51.0 AM	-2.859
10/26/12	03:43:51.0 AM	-3.212
10/26/12	04:43:51.0 AM	-3.330
10/26/12	05:43:51.0 AM	-3.183
10/26/12	06:43:51.0 AM	-3.212
10/26/12	07:43:51.0 AM	-2.247
10/26/12	08:43:51.0 AM	-0.845
10/26/12	09:43:51.0 AM	0.273
10/26/12	10:43:51.0 AM	1.153
10/26/12	11:43:51.0 AM	1.994
10/26/12	12:43:51.0 PM	5.360
