Date	Time	Temp (°C) c:1
02/14/13	08:54:23.0 AM	22.130
02/14/13	09:54:23.0 AM	21.939
02/14/13	10:54:23.0 AM	21.963
02/14/13	11:54:23.0 AM	21.676
02/14/13	12:54:23.0 PM	21.867
02/14/13	01:54:23.0 PM	21.843
02/14/13	02:54:23.0 PM	22.082
02/14/13	03:54:23.0 PM	19.770
02/14/13	04:54:23.0 PM	16.868
02/14/13	05:54:23.0 PM	14.242
02/14/13	06:54:23.0 PM	12.050
02/14/13	07:54:23.0 PM	11.419
02/14/13	08:54:23.0 PM	10.956
02/14/13	09:54:23.0 PM	10.149
02/14/13	10:54:23.0 PM	9.287
02/14/13	11:54:23.0 PM	8.394
02/15/13	12:54:23.0 AM	7.544
02/15/13	01:54:23.0 AM	6.737
02/15/13	02:54:23.0 AM	6.000
02/15/13	03:54:23.0 AM	5.282
02/15/13	04:54:23.0 AM	4.636
02/15/13	05:54:23.0 AM	4.089
02/15/13	06:54:23.0 AM	3.670
02/15/13	07:54:23.0 AM	4.454
02/15/13	08:54:23.0 AM	7.066
02/15/13	09:54:23.0 AM	7.569
02/15/13	10:54:23.0 AM	7.469
02/15/13	11:54:23.0 AM	9.485
02/15/13	12:54:23.0 PM	10.271
02/15/13	01:54:23.0 PM	11.297
02/15/13	02:54:23.0 PM	11.321
02/15/13	03:54:23.0 PM	11.005
02/15/13	04:54:23.0 PM	10.247
02/15/13	05:54:23.0 PM	9.262
02/15/13	06:54:23.0 PM	7.444
02/15/13	07:54:23.0 PM	5.975
02/15/13	08:54:23.0 PM	4.921
02/15/13	09:54:23.0 PM	4.168
02/15/13	10:54:23.0 PM	3.617
02/15/13	11:54:23.0 PM	3.195
02/16/13	12:54:23.0 AM	2.903
02/16/13	01:54:23.0 AM	2.637
02/16/13	02:54:23.0 AM	2.423
02/16/13	03:54:23.0 AM	2.262
02/16/13	04:54:23.0 AM	2.155
02/16/13	05:54:23.0 AM	2.074
02/16/13	06:54:23.0 AM	1.967
02/16/13	07:54:23.0 AM	1.913
02/16/13	08:54:23.0 AM	1.859
02/16/13	09:54:23.0 AM	1.859
02/16/13	10:54:23.0 AM	1.913
02/16/13	11:54:23.0 AM	2.182
02/16/13	12:54:23.0 PM	3.932
02/16/13	01:54:23.0 PM	4.402
02/16/13	02:54:23.0 PM	4.194
02/16/13	03:54:23.0 PM	4.168
02/16/13	04:54:23.0 PM	3.854
02/16/13	05:54:23.0 PM	3.248
02/16/13	06:54:23.0 PM	2.850
02/16/13	07:54:23.0 PM	2.690
02/16/13	08:54:23.0 PM	2.530
02/16/13	09:54:23.0 PM	2.450
02/16/13	10:54:23.0 PM	2.316
02/16/13	11:54:23.0 PM	2.128
02/17/13	12:54:23.0 AM	2.182
02/17/13	01:54:23.0 AM	2.289
02/17/13	02:54:23.0 AM	2.396
02/17/13	03:54:23.0 AM	2.530
02/17/13	04:54:23.0 AM	2.530
02/17/13	05:54:23.0 AM	2.503
02/17/13	06:54:23.0 AM	2.637
02/17/13	07:54:23.0 AM	2.717
02/17/13	08:54:23.0 AM	2.823
02/17/13	09:54:23.0 AM	2.770
02/17/13	10:54:23.0 AM	1.994
02/17/13	11:54:23.0 AM	2.316
02/17/13	12:54:23.0 PM	5.488
02/17/13	01:54:23.0 PM	5.488
02/17/13	02:54:23.0 PM	5.488
02/17/13	03:54:23.0 PM	5.488
02/17/13	04:54:23.0 PM	5.488
02/17/13	05:54:23.0 PM	5.488
02/17/13	06:54:23.0 PM	5.488
02/17/13	07:54:23.0 PM	5.488
02/17/13	08:54:23.0 PM	5.514
02/17/13	09:54:23.0 PM	5.488
02/17/13	10:54:23.0 PM	5.514
02/17/13	11:54:23.0 PM	5.488
02/18/13	12:54:23.0 AM	5.488
02/18/13	01:54:23.0 AM	5.488
02/18/13	02:54:23.0 AM	5.488
02/18/13	03:54:23.0 AM	5.462
02/18/13	04:54:23.0 AM	5.488
02/18/13	05:54:23.0 AM	5.514
02/18/13	06:54:23.0 AM	5.514
02/18/13	07:54:23.0 AM	5.514
02/18/13	08:54:23.0 AM	5.514
02/18/13	09:54:23.0 AM	5.514
02/18/13	10:54:23.0 AM	5.514
02/18/13	11:54:23.0 AM	5.514
02/18/13	12:54:23.0 PM	5.514
02/18/13	01:54:23.0 PM	5.514
02/18/13	02:54:23.0 PM	5.514
02/18/13	03:54:23.0 PM	5.514
02/18/13	04:54:23.0 PM	5.514
02/18/13	05:54:23.0 PM	5.514
02/18/13	06:54:23.0 PM	3.591
02/18/13	07:54:23.0 PM	3.722
02/18/13	08:54:23.0 PM	3.380
02/18/13	09:54:23.0 PM	2.370
02/18/13	10:54:23.0 PM	1.886
02/18/13	11:54:23.0 PM	1.643
02/19/13	12:54:23.0 AM	1.453
02/19/13	01:54:23.0 AM	1.371
02/19/13	02:54:23.0 AM	1.317
02/19/13	03:54:23.0 AM	1.235
02/19/13	04:54:23.0 AM	1.289
02/19/13	05:54:23.0 AM	1.859
02/19/13	06:54:23.0 AM	3.089
02/19/13	07:54:23.0 AM	3.406
02/19/13	08:54:23.0 AM	3.801
02/19/13	09:54:23.0 AM	3.985
02/19/13	10:54:23.0 AM	4.194
02/19/13	11:54:23.0 AM	4.324
02/19/13	12:54:23.0 PM	4.454
02/19/13	01:54:23.0 PM	4.584
02/19/13	02:54:23.0 PM	4.792
02/19/13	03:54:23.0 PM	4.921
02/19/13	04:54:23.0 PM	5.050
02/19/13	05:54:23.0 PM	4.947
02/19/13	06:54:23.0 PM	4.688
02/19/13	07:54:23.0 PM	4.584
02/19/13	08:54:23.0 PM	4.402
02/19/13	09:54:23.0 PM	4.506
02/19/13	10:54:23.0 PM	4.636
02/19/13	11:54:23.0 PM	4.818
02/20/13	12:54:23.0 AM	4.895
02/20/13	01:54:23.0 AM	4.947
02/20/13	02:54:23.0 AM	4.921
02/20/13	03:54:23.0 AM	4.869
02/20/13	04:54:23.0 AM	4.844
02/20/13	05:54:23.0 AM	4.766
02/20/13	06:54:23.0 AM	4.714
02/20/13	07:54:23.0 AM	4.662
02/20/13	08:54:23.0 AM	4.688
02/20/13	09:54:23.0 AM	4.766
02/20/13	10:54:23.0 AM	4.818
02/20/13	11:54:23.0 AM	4.792
02/20/13	12:54:23.0 PM	4.766
02/20/13	01:54:23.0 PM	4.740
02/20/13	02:54:23.0 PM	4.714
02/20/13	03:54:23.0 PM	4.714
02/20/13	04:54:23.0 PM	4.740
02/20/13	05:54:23.0 PM	4.818
02/20/13	06:54:23.0 PM	4.376
02/20/13	07:54:23.0 PM	3.854
02/20/13	08:54:23.0 PM	3.142
02/20/13	09:54:23.0 PM	2.877
02/20/13	10:54:23.0 PM	2.744
02/20/13	11:54:23.0 PM	2.797
02/21/13	12:54:23.0 AM	2.903
02/21/13	01:54:23.0 AM	2.903
02/21/13	02:54:23.0 AM	2.903
02/21/13	03:54:23.0 AM	2.823
02/21/13	04:54:23.0 AM	2.717
02/21/13	05:54:23.0 AM	2.610
02/21/13	06:54:23.0 AM	3.142
02/21/13	07:54:23.0 AM	3.670
02/21/13	08:54:23.0 AM	3.958
02/21/13	09:54:23.0 AM	4.272
02/21/13	10:54:23.0 AM	4.506
02/21/13	11:54:23.0 AM	4.662
02/21/13	12:54:23.0 PM	4.947
02/21/13	01:54:23.0 PM	5.050
02/21/13	02:54:23.0 PM	5.102
02/21/13	03:54:23.0 PM	5.076
02/21/13	04:54:23.0 PM	4.973
