Date Time,Temperature  (*C),Temperature  (*F)
07/10/13 10:36:55.0,22.52,72.54
07/10/13 11:36:55.0,18.91,66.04
07/10/13 12:36:55.0,19.23,66.63
07/10/13 13:36:55.0,15.87,60.57
07/10/13 14:36:55.0,17.77,64.00
07/10/13 15:36:55.0,5.15,41.28
07/10/13 16:36:55.0,5.15,41.28
07/10/13 17:36:55.0,5.15,41.28
07/10/13 18:36:55.0,5.15,41.28
07/10/13 19:36:55.0,5.15,41.28
07/10/13 20:36:55.0,5.15,41.28
07/10/13 21:36:55.0,5.15,41.28
07/10/13 22:36:55.0,5.15,41.28
07/10/13 23:36:55.0,5.31,41.56
07/11/13 00:36:55.0,5.15,41.28
07/11/13 01:36:55.0,5.15,41.28
07/11/13 02:36:55.0,5.15,41.28
07/11/13 03:36:55.0,5.15,41.28
07/11/13 04:36:55.0,5.15,41.28
07/11/13 05:36:55.0,5.15,41.28
07/11/13 06:36:55.0,5.15,41.28
07/11/13 07:36:55.0,5.15,41.28
07/11/13 08:36:55.0,5.15,41.28
07/11/13 09:36:55.0,5.15,41.28
07/11/13 10:36:55.0,5.15,41.28
07/11/13 11:36:55.0,12.12,53.83
07/11/13 12:36:55.0,13.98,57.17
07/11/13 13:36:55.0,5.15,41.28
07/11/13 14:36:55.0,5.15,41.28
07/11/13 15:36:55.0,5.15,41.28
07/11/13 16:36:55.0,5.15,41.28
07/11/13 17:36:55.0,5.15,41.28
07/11/13 18:36:55.0,5.15,41.28
07/11/13 19:36:55.0,5.15,41.28
07/11/13 20:36:55.0,5.15,41.28
07/11/13 21:36:55.0,5.15,41.28
07/11/13 22:36:55.0,5.15,41.28
07/11/13 23:36:55.0,5.15,41.28
07/12/13 00:36:55.0,5.15,41.28
07/12/13 01:36:55.0,5.15,41.28
07/12/13 02:36:55.0,5.15,41.28
07/12/13 03:36:55.0,5.15,41.28
07/12/13 04:36:55.0,5.15,41.28
07/12/13 05:36:55.0,5.15,41.28
07/12/13 06:36:55.0,5.15,41.28
07/12/13 07:36:55.0,11.81,53.27
07/12/13 08:36:55.0,11.97,53.55
07/12/13 09:36:55.0,11.97,53.55
07/12/13 10:36:55.0,12.28,54.11
07/12/13 11:36:55.0,12.59,54.67
07/12/13 12:36:55.0,12.74,54.95
07/12/13 13:36:55.0,12.74,54.95
07/12/13 14:36:55.0,12.74,54.95
07/12/13 15:36:55.0,12.28,54.11
07/12/13 16:36:55.0,12.43,54.39
07/12/13 17:36:55.0,12.90,55.23
07/12/13 18:36:55.0,12.90,55.23
07/12/13 19:36:55.0,12.74,54.95
07/12/13 20:36:55.0,12.74,54.95
07/12/13 21:36:55.0,12.90,55.23
07/12/13 22:36:55.0,12.74,54.95
07/12/13 23:36:55.0,12.43,54.39
07/13/13 00:36:55.0,12.28,54.11
07/13/13 01:36:55.0,12.28,54.11
07/13/13 02:36:55.0,12.12,53.83
07/13/13 03:36:55.0,12.12,53.83
07/13/13 04:36:55.0,12.12,53.83
07/13/13 05:36:55.0,11.97,53.55
07/13/13 06:36:55.0,11.97,53.55
07/13/13 07:36:55.0,12.12,53.83
07/13/13 08:36:55.0,12.28,54.11
07/13/13 09:36:55.0,12.43,54.39
07/13/13 10:36:55.0,12.74,54.95
07/13/13 11:36:55.0,13.37,56.07
07/13/13 12:36:55.0,14.13,57.45
07/13/13 13:36:55.0,14.44,58.01
07/13/13 14:36:55.0,14.76,58.57
07/13/13 15:36:55.0,16.18,61.14
07/13/13 16:36:55.0,5.15,41.28
07/13/13 17:36:55.0,5.31,41.56
07/13/13 18:36:55.0,5.31,41.56
07/13/13 19:36:55.0,5.15,41.28
07/13/13 20:36:55.0,5.15,41.28
07/13/13 21:36:55.0,5.15,41.28
07/13/13 22:36:55.0,5.15,41.28
07/13/13 23:36:55.0,5.15,41.28
07/14/13 00:36:55.0,5.15,41.28
07/14/13 01:36:55.0,5.15,41.28
07/14/13 02:36:55.0,5.15,41.28
07/14/13 03:36:55.0,5.15,41.28
07/14/13 04:36:55.0,5.31,41.56
07/14/13 05:36:55.0,5.31,41.56
07/14/13 06:36:55.0,5.31,41.56
07/14/13 07:36:55.0,5.31,41.56
07/14/13 08:36:55.0,5.31,41.56
07/14/13 09:36:55.0,5.15,41.28
07/14/13 10:36:55.0,5.15,41.28
07/14/13 11:36:55.0,5.15,41.28
07/14/13 12:36:55.0,14.76,58.57
07/14/13 13:36:55.0,16.82,62.28
07/14/13 14:36:55.0,6.24,43.24
07/14/13 15:36:55.0,6.08,42.96
07/14/13 16:36:55.0,6.08,42.96
07/14/13 17:36:55.0,6.08,42.96
07/14/13 18:36:55.0,6.08,42.96
