"Date"	"Time"	"Temperature....C."
"07/10/13"	"10:33:31.0"	21.88
"07/10/13"	"11:33:31.0"	17.31
"07/10/13"	"12:33:31.0"	17.31
"07/10/13"	"13:33:31.0"	5.43
"07/10/13"	"14:33:31.0"	5.27
"07/10/13"	"15:33:31.0"	5.27
"07/10/13"	"16:33:31.0"	5.12
"07/10/13"	"17:33:31.0"	5.27
"07/10/13"	"18:33:31.0"	5.27
"07/10/13"	"19:33:31.0"	5.27
"07/10/13"	"20:33:31.0"	5.27
"07/10/13"	"21:33:31.0"	5.27
"07/10/13"	"22:33:31.0"	5.27
"07/10/13"	"23:33:31.0"	5.27
"07/11/13"	"00:33:31.0"	5.27
"07/11/13"	"01:33:31.0"	5.27
"07/11/13"	"02:33:31.0"	5.27
"07/11/13"	"03:33:31.0"	5.27
"07/11/13"	"04:33:31.0"	5.12
"07/11/13"	"05:33:31.0"	5.27
"07/11/13"	"06:33:31.0"	5.27
"07/11/13"	"07:33:31.0"	5.27
"07/11/13"	"08:33:31.0"	11.96
"07/11/13"	"09:33:31.0"	11.81
"07/11/13"	"10:33:31.0"	12.27
"07/11/13"	"11:33:31.0"	12.58
"07/11/13"	"12:33:31.0"	12.58
"07/11/13"	"13:33:31.0"	12.89
"07/11/13"	"14:33:31.0"	13.05
"07/11/13"	"15:33:31.0"	5.12
"07/11/13"	"16:33:31.0"	5.27
"07/11/13"	"17:33:31.0"	5.27
"07/11/13"	"18:33:31.0"	5.12
"07/11/13"	"19:33:31.0"	5.12
"07/11/13"	"20:33:31.0"	5.12
"07/11/13"	"21:33:31.0"	5.12
"07/11/13"	"22:33:31.0"	5.12
"07/11/13"	"23:33:31.0"	5.12
"07/12/13"	"00:33:31.0"	5.12
"07/12/13"	"01:33:31.0"	5.12
"07/12/13"	"02:33:31.0"	5.12
"07/12/13"	"03:33:31.0"	5.12
"07/12/13"	"04:33:31.0"	5.12
"07/12/13"	"05:33:31.0"	5.12
"07/12/13"	"06:33:31.0"	5.12
"07/12/13"	"07:33:31.0"	5.12
"07/12/13"	"08:33:31.0"	5.12
"07/12/13"	"09:33:31.0"	5.12
"07/12/13"	"10:33:31.0"	5.12
"07/12/13"	"11:33:31.0"	13.05
"07/12/13"	"12:33:31.0"	13.21
"07/12/13"	"13:33:31.0"	12.89
"07/12/13"	"14:33:31.0"	13.21
"07/12/13"	"15:33:31.0"	12.27
"07/12/13"	"16:33:31.0"	13.05
"07/12/13"	"17:33:31.0"	13.51
"07/12/13"	"18:33:31.0"	13.51
"07/12/13"	"19:33:31.0"	13.82
"07/12/13"	"20:33:31.0"	13.36
"07/12/13"	"21:33:31.0"	13.67
"07/12/13"	"22:33:31.0"	13.36
"07/12/13"	"23:33:31.0"	13.21
"07/13/13"	"00:33:31.0"	12.89
"07/13/13"	"01:33:31.0"	13.05
"07/13/13"	"02:33:31.0"	12.74
"07/13/13"	"03:33:31.0"	12.43
"07/13/13"	"04:33:31.0"	12.27
"07/13/13"	"05:33:31.0"	12.27
"07/13/13"	"06:33:31.0"	12.27
"07/13/13"	"07:33:31.0"	12.58
"07/13/13"	"08:33:31.0"	12.89
"07/13/13"	"09:33:31.0"	13.21
"07/13/13"	"10:33:31.0"	14.13
"07/13/13"	"11:33:31.0"	15.08
"07/13/13"	"12:33:31.0"	17.47
"07/13/13"	"13:33:31.0"	6.99
"07/13/13"	"14:33:31.0"	6.68
"07/13/13"	"15:33:31.0"	6.68
"07/13/13"	"16:33:31.0"	6.52
"07/13/13"	"17:33:31.0"	6.83
"07/13/13"	"18:33:31.0"	6.83
"07/13/13"	"19:33:31.0"	7.31
"07/13/13"	"20:33:31.0"	7.31
"07/13/13"	"21:33:31.0"	7.31
"07/13/13"	"22:33:31.0"	7.31
"07/13/13"	"23:33:31.0"	6.99
"07/14/13"	"00:33:31.0"	6.83
"07/14/13"	"01:33:31.0"	6.99
"07/14/13"	"02:33:31.0"	7.15
"07/14/13"	"03:33:31.0"	6.83
"07/14/13"	"04:33:31.0"	6.99
"07/14/13"	"05:33:31.0"	6.99
"07/14/13"	"06:33:31.0"	6.83
"07/14/13"	"07:33:31.0"	7.46
"07/14/13"	"08:33:31.0"	12.58
"07/14/13"	"09:33:31.0"	12.58
"07/14/13"	"10:33:31.0"	13.21
"07/14/13"	"11:33:31.0"	13.67
"07/14/13"	"12:33:31.0"	13.98
"07/14/13"	"13:33:31.0"	14.13
"07/14/13"	"14:33:31.0"	14.61
"07/14/13"	"15:33:31.0"	18.44
"07/14/13"	"16:33:31.0"	5.27
"07/14/13"	"17:33:31.0"	5.27
"07/14/13"	"18:33:31.0"	5.27
"07/14/13"	"19:33:31.0"	5.27
"07/14/13"	"20:33:31.0"	5.27
"07/14/13"	"21:33:31.0"	5.27
"07/14/13"	"22:33:31.0"	5.27
"07/14/13"	"23:33:31.0"	5.27
"07/15/13"	"00:33:31.0"	5.27
"07/15/13"	"01:33:31.0"	5.27
"07/15/13"	"02:33:31.0"	5.27
"07/15/13"	"03:33:31.0"	5.27
