"Date"	"Time"	"Temp"
"07/22/13"	"05:29:47.0"	"20.54"
"07/22/13"	"06:29:47.0"	"20.71"
"07/22/13"	"07:29:47.0"	"20.87"
"07/22/13"	"08:29:47.0"	"21.04"
"07/22/13"	"09:29:47.0"	"21.20"
"07/22/13"	"10:29:47.0"	"20.87"
"07/22/13"	"11:29:47.0"	"19.57"
"07/22/13"	"12:29:47.0"	"19.08"
"07/22/13"	"13:29:47.0"	"18.91"
"07/22/13"	"14:29:47.0"	"18.09"
"07/22/13"	"15:29:47.0"	"5.71"
"07/22/13"	"16:29:47.0"	"5.71"
"07/22/13"	"17:29:47.0"	"5.86"
"07/22/13"	"18:29:47.0"	"5.71"
"07/22/13"	"19:29:47.0"	"5.71"
"07/22/13"	"20:29:47.0"	"5.86"
"07/22/13"	"21:29:47.0"	"6.02"
"07/22/13"	"22:29:47.0"	"6.02"
"07/22/13"	"23:29:47.0"	"6.02"
"07/23/13"	"00:29:47.0"	"5.86"
"07/23/13"	"01:29:47.0"	"5.71"
"07/23/13"	"02:29:47.0"	"5.71"
"07/23/13"	"03:29:47.0"	"5.71"
"07/23/13"	"04:29:47.0"	"5.71"
"07/23/13"	"05:29:47.0"	"5.71"
"07/23/13"	"06:29:47.0"	"5.71"
"07/23/13"	"07:29:47.0"	"5.71"
"07/23/13"	"08:29:47.0"	"5.86"
"07/23/13"	"09:29:47.0"	"5.86"
"07/23/13"	"10:29:47.0"	"12.56"
"07/23/13"	"11:29:47.0"	"12.72"
"07/23/13"	"12:29:47.0"	"14.27"
"07/23/13"	"13:29:47.0"	"6.33"
"07/23/13"	"14:29:47.0"	"6.17"
"07/23/13"	"15:29:47.0"	"6.17"
"07/23/13"	"16:29:47.0"	"6.33"
"07/23/13"	"17:29:47.0"	"6.33"
"07/23/13"	"18:29:47.0"	"6.33"
"07/23/13"	"19:29:47.0"	"6.33"
"07/23/13"	"20:29:47.0"	"6.33"
"07/23/13"	"21:29:47.0"	"6.33"
"07/23/13"	"22:29:47.0"	"6.17"
"07/23/13"	"23:29:47.0"	"6.17"
"07/24/13"	"00:29:47.0"	"6.33"
"07/24/13"	"01:29:47.0"	"6.33"
"07/24/13"	"02:29:47.0"	"6.33"
"07/24/13"	"03:29:47.0"	"6.33"
"07/24/13"	"04:29:47.0"	"6.33"
"07/24/13"	"05:29:47.0"	"6.49"
"07/24/13"	"06:29:47.0"	"6.49"
"07/24/13"	"07:29:47.0"	"6.49"
"07/24/13"	"08:29:47.0"	"13.80"
"07/24/13"	"09:29:47.0"	"13.34"
"07/24/13"	"10:29:47.0"	"14.27"
"07/24/13"	"11:29:47.0"	"13.65"
"07/24/13"	"12:29:47.0"	"14.11"
"07/24/13"	"13:29:47.0"	"13.34"
"07/24/13"	"14:29:47.0"	"13.34"
"07/24/13"	"15:29:47.0"	"6.02"
"07/24/13"	"16:29:47.0"	"5.86"
