Date	Time,Temperature  (*C)
07/22/13	05:30:35.0,20.38
07/22/13	06:30:35.0,21.21
07/22/13	07:30:35.0,21.71
07/22/13	08:30:35.0,21.88
07/22/13	09:30:35.0,21.88
07/22/13	10:30:35.0,19.74
07/22/13	11:30:35.0,18.76
07/22/13	12:30:35.0,18.60
07/22/13	13:30:35.0,18.44
07/22/13	14:30:35.0,6.21
07/22/13	15:30:35.0,6.21
07/22/13	16:30:35.0,6.37
07/22/13	17:30:35.0,6.21
07/22/13	18:30:35.0,6.52
07/22/13	19:30:35.0,6.68
07/22/13	20:30:35.0,6.52
07/22/13	21:30:35.0,6.68
07/22/13	22:30:35.0,6.52
07/22/13	23:30:35.0,6.21
07/23/13	00:30:35.0,6.06
07/23/13	01:30:35.0,6.06
07/23/13	02:30:35.0,6.21
07/23/13	03:30:35.0,6.21
07/23/13	04:30:35.0,6.37
07/23/13	05:30:35.0,6.06
07/23/13	06:30:35.0,6.52
07/23/13	07:30:35.0,6.99
07/23/13	08:30:35.0,7.46
07/23/13	09:30:35.0,10.87
07/23/13	10:30:35.0,11.18
07/23/13	11:30:35.0,12.12
07/23/13	12:30:35.0,13.21
07/23/13	13:30:35.0,14.13
07/23/13	14:30:35.0,6.06
07/23/13	15:30:35.0,6.21
07/23/13	16:30:35.0,6.21
07/23/13	17:30:35.0,6.21
07/23/13	18:30:35.0,6.21
07/23/13	19:30:35.0,6.21
07/23/13	20:30:35.0,6.21
07/23/13	21:30:35.0,6.21
07/23/13	22:30:35.0,6.21
07/23/13	23:30:35.0,6.21
07/24/13	00:30:35.0,6.06
07/24/13	01:30:35.0,6.06
07/24/13	02:30:35.0,6.06
07/24/13	03:30:35.0,6.06
07/24/13	04:30:35.0,6.21
07/24/13	05:30:35.0,6.21
07/24/13	06:30:35.0,6.37
07/24/13	07:30:35.0,6.21
07/24/13	08:30:35.0,6.21
07/24/13	09:30:35.0,13.67
07/24/13	10:30:35.0,13.98
07/24/13	11:30:35.0,14.13
07/24/13	12:30:35.0,14.76
07/24/13	13:30:35.0,13.51
07/24/13	14:30:35.0,6.21
07/24/13	15:30:35.0,6.06
07/24/13	16:30:35.0,6.06
07/24/13	17:30:35.0,5.89
07/24/13	18:30:35.0,5.89
07/24/13	19:30:35.0,5.89
07/24/13	20:30:35.0,6.06
07/24/13	21:30:35.0,6.06
07/24/13	22:30:35.0,6.06
07/24/13	23:30:35.0,6.21
07/25/13	00:30:35.0,6.37
07/25/13	01:30:35.0,6.21
07/25/13	02:30:35.0,6.06
07/25/13	03:30:35.0,6.06
07/25/13	04:30:35.0,6.06
07/25/13	05:30:35.0,5.89
07/25/13	06:30:35.0,5.89
07/25/13	07:30:35.0,6.06
07/25/13	08:30:35.0,6.06
07/25/13	09:30:35.0,11.18
07/25/13	10:30:35.0,13.51
07/25/13	11:30:35.0,12.89
07/25/13	12:30:35.0,12.58
07/25/13	13:30:35.0,13.82
07/25/13	14:30:35.0,5.74
07/25/13	15:30:35.0,5.74
07/25/13	16:30:35.0,5.58
07/25/13	17:30:35.0,5.74
07/25/13	18:30:35.0,5.74
07/25/13	19:30:35.0,5.74
07/25/13	20:30:35.0,5.74
07/25/13	21:30:35.0,5.74
07/25/13	22:30:35.0,5.74
07/25/13	23:30:35.0,5.74
07/26/13	00:30:35.0,5.74
07/26/13	01:30:35.0,5.74
07/26/13	02:30:35.0,5.89
07/26/13	03:30:35.0,5.74
07/26/13	04:30:35.0,5.74
07/26/13	05:30:35.0,5.74
07/26/13	06:30:35.0,5.74
07/26/13	07:30:35.0,5.74
07/26/13	08:30:35.0,5.89
07/26/13	09:30:35.0,5.74
07/26/13	10:30:35.0,12.43
07/26/13	11:30:35.0,11.96
07/26/13	12:30:35.0,12.12
07/26/13	13:30:35.0,12.43
07/26/13	14:30:35.0,5.74
07/26/13	15:30:35.0,5.74
07/26/13	16:30:35.0,5.74
07/26/13	17:30:35.0,5.74
07/26/13	18:30:35.0,5.58
07/26/13	19:30:35.0,5.58
07/26/13	20:30:35.0,5.74
07/26/13	21:30:35.0,5.74
07/26/13	22:30:35.0,5.74
07/26/13	23:30:35.0,5.89
07/27/13	00:30:35.0,5.89
07/27/13	01:30:35.0,5.74
07/27/13	02:30:35.0,5.74
07/27/13	03:30:35.0,5.74
07/27/13	04:30:35.0,5.74
07/27/13	05:30:35.0,5.74
07/27/13	06:30:35.0,5.74
07/27/13	07:30:35.0,5.74
07/27/13	08:30:35.0,5.74
07/27/13	09:30:35.0,13.67
07/27/13	10:30:35.0,12.27
07/27/13	11:30:35.0,11.65
07/27/13	12:30:35.0,12.43
07/27/13	13:30:35.0,13.36
07/27/13	14:30:35.0,5.58
07/27/13	15:30:35.0,5.58
07/27/13	16:30:35.0,5.58
07/27/13	17:30:35.0,5.58
07/27/13	18:30:35.0,5.58
07/27/13	19:30:35.0,5.58
07/27/13	20:30:35.0,5.58
07/27/13	21:30:35.0,5.58
07/27/13	22:30:35.0,5.58
07/27/13	23:30:35.0,5.58
07/28/13	00:30:35.0,5.58
07/28/13	01:30:35.0,5.58
07/28/13	02:30:35.0,5.58
07/28/13	03:30:35.0,5.58
07/28/13	04:30:35.0,5.58
07/28/13	05:30:35.0,5.58
07/28/13	06:30:35.0,5.58
07/28/13	07:30:35.0,5.58
07/28/13	08:30:35.0,5.58
07/28/13	09:30:35.0,15.08
07/28/13	10:30:35.0,14.92
07/28/13	11:30:35.0,14.76
07/28/13	12:30:35.0,15.39
07/28/13	13:30:35.0,15.87
07/28/13	14:30:35.0,5.58
07/28/13	15:30:35.0,5.58
07/28/13	16:30:35.0,5.58
07/28/13	17:30:35.0,5.58
07/28/13	18:30:35.0,5.58
07/28/13	19:30:35.0,5.58
07/28/13	20:30:35.0,5.58
07/28/13	21:30:35.0,5.58
07/28/13	22:30:35.0,5.58
07/28/13	23:30:35.0,5.58
07/29/13	00:30:35.0,5.58
07/29/13	01:30:35.0,5.58
07/29/13	02:30:35.0,5.58
07/29/13	03:30:35.0,5.58
07/29/13	04:30:35.0,5.58
07/29/13	05:30:35.0,5.58
07/29/13	06:30:35.0,5.58
07/29/13	07:30:35.0,5.58
07/29/13	08:30:35.0,5.58
07/29/13	09:30:35.0,16.03
07/29/13	10:30:35.0,15.71
07/29/13	11:30:35.0,15.08
07/29/13	12:30:35.0,15.08
07/29/13	13:30:35.0,15.87
07/29/13	14:30:35.0,5.58
07/29/13	15:30:35.0,5.58
07/29/13	16:30:35.0,5.58
07/29/13	17:30:35.0,5.58
07/29/13	18:30:35.0,5.58
07/29/13	19:30:35.0,5.58
07/29/13	20:30:35.0,5.58
07/29/13	21:30:35.0,5.58
07/29/13	22:30:35.0,5.58
07/29/13	23:30:35.0,5.58
07/30/13	00:30:35.0,5.58
07/30/13	01:30:35.0,5.58
07/30/13	02:30:35.0,5.58
07/30/13	03:30:35.0,5.58
07/30/13	04:30:35.0,5.58
07/30/13	05:30:35.0,5.58
07/30/13	06:30:35.0,5.58
07/30/13	07:30:35.0,5.58
07/30/13	08:30:35.0,5.58
07/30/13	09:30:35.0,16.99
07/30/13	10:30:35.0,18.27
07/30/13	11:30:35.0,14.92
07/30/13	12:30:35.0,15.08
07/30/13	13:30:35.0,15.87
07/30/13	14:30:35.0,5.89
07/30/13	15:30:35.0,5.89
07/30/13	16:30:35.0,5.89
07/30/13	17:30:35.0,5.74
07/30/13	18:30:35.0,5.74
07/30/13	19:30:35.0,5.74
07/30/13	20:30:35.0,5.74
07/30/13	21:30:35.0,5.74
07/30/13	22:30:35.0,5.74
07/30/13	23:30:35.0,5.58
07/31/13	00:30:35.0,5.74
07/31/13	01:30:35.0,5.74
