Date	Time	Temp (°C) c:1
10/02/13	11:31:49.0 AM	16.272
10/02/13	12:31:49.0 PM	10.810
10/02/13	01:31:49.0 PM	11.200
10/02/13	02:31:49.0 PM	6.965
10/02/13	03:31:49.0 PM	6.864
10/02/13	04:31:49.0 PM	6.864
10/02/13	05:31:49.0 PM	6.864
10/02/13	06:31:49.0 PM	7.015
10/02/13	07:31:49.0 PM	7.116
10/02/13	08:31:49.0 PM	7.066
10/02/13	09:31:49.0 PM	7.015
10/02/13	10:31:49.0 PM	7.015
10/02/13	11:31:49.0 PM	7.041
10/03/13	12:31:49.0 AM	6.940
10/03/13	01:31:49.0 AM	7.041
10/03/13	02:31:49.0 AM	6.965
10/03/13	03:31:49.0 AM	6.965
10/03/13	04:31:49.0 AM	6.940
10/03/13	05:31:49.0 AM	6.914
10/03/13	06:31:49.0 AM	6.965
10/03/13	07:31:49.0 AM	7.066
10/03/13	08:31:49.0 AM	7.820
10/03/13	09:31:49.0 AM	7.619
10/03/13	10:31:49.0 AM	7.895
10/03/13	11:31:49.0 AM	8.270
10/03/13	12:31:49.0 PM	8.494
10/03/13	01:31:49.0 PM	8.469
10/03/13	02:31:49.0 PM	8.543
10/03/13	03:31:49.0 PM	8.568
10/03/13	04:31:49.0 PM	6.204
10/03/13	05:31:49.0 PM	6.230
10/03/13	06:31:49.0 PM	6.230
10/03/13	07:31:49.0 PM	6.230
10/03/13	08:31:49.0 PM	6.204
10/03/13	09:31:49.0 PM	6.230
10/03/13	10:31:49.0 PM	6.255
10/03/13	11:31:49.0 PM	6.204
10/04/13	12:31:49.0 AM	6.230
10/04/13	01:31:49.0 AM	6.204
10/04/13	02:31:49.0 AM	6.179
10/04/13	03:31:49.0 AM	6.179
10/04/13	04:31:49.0 AM	6.204
10/04/13	05:31:49.0 AM	6.230
10/04/13	06:31:49.0 AM	6.230
10/04/13	07:31:49.0 AM	6.255
10/04/13	08:31:49.0 AM	6.281
10/04/13	09:31:49.0 AM	6.230
10/04/13	10:31:49.0 AM	6.230
10/04/13	11:31:49.0 AM	6.230
10/04/13	12:31:49.0 PM	9.064
10/04/13	01:31:49.0 PM	8.742
10/04/13	02:31:49.0 PM	8.568
10/04/13	03:31:49.0 PM	8.767
10/04/13	04:31:49.0 PM	9.410
10/04/13	05:31:49.0 PM	9.114
10/04/13	06:31:49.0 PM	9.089
10/04/13	07:31:49.0 PM	8.965
10/04/13	08:31:49.0 PM	8.643
10/04/13	09:31:49.0 PM	8.344
10/04/13	10:31:49.0 PM	8.095
10/04/13	11:31:49.0 PM	7.945
10/05/13	12:31:49.0 AM	7.995
10/05/13	01:31:49.0 AM	7.569
10/05/13	02:31:49.0 AM	7.444
10/05/13	03:31:49.0 AM	7.293
10/05/13	04:31:49.0 AM	7.217
10/05/13	05:31:49.0 AM	7.192
10/05/13	06:31:49.0 AM	7.217
10/05/13	07:31:49.0 AM	7.116
10/05/13	08:31:49.0 AM	7.444
10/05/13	09:31:49.0 AM	7.895
10/05/13	10:31:49.0 AM	8.543
10/05/13	11:31:49.0 AM	8.792
10/05/13	12:31:49.0 PM	9.139
10/05/13	01:31:49.0 PM	7.192
10/05/13	02:31:49.0 PM	6.000
10/05/13	03:31:49.0 PM	5.949
10/05/13	04:31:49.0 PM	6.026
10/05/13	05:31:49.0 PM	6.077
10/05/13	06:31:49.0 PM	6.102
10/05/13	07:31:49.0 PM	6.153
10/05/13	08:31:49.0 PM	6.357
10/05/13	09:31:49.0 PM	6.484
10/05/13	10:31:49.0 PM	6.535
10/05/13	11:31:49.0 PM	6.585
10/06/13	12:31:49.0 AM	6.687
10/06/13	01:31:49.0 AM	6.737
10/06/13	02:31:49.0 AM	6.712
10/06/13	03:31:49.0 AM	6.509
10/06/13	04:31:49.0 AM	6.153
10/06/13	05:31:49.0 AM	6.077
10/06/13	06:31:49.0 AM	6.102
10/06/13	07:31:49.0 AM	6.204
10/06/13	08:31:49.0 AM	6.788
10/06/13	09:31:49.0 AM	6.509
10/06/13	10:31:49.0 AM	6.357
10/06/13	11:31:49.0 AM	6.763
10/06/13	12:31:49.0 PM	7.015
10/06/13	01:31:49.0 PM	7.419
10/06/13	02:31:49.0 PM	8.543
10/06/13	03:31:49.0 PM	8.095
10/06/13	04:31:49.0 PM	8.717
10/06/13	05:31:49.0 PM	6.255
10/06/13	06:31:49.0 PM	6.382
10/06/13	07:31:49.0 PM	6.509
10/06/13	08:31:49.0 PM	6.611
10/06/13	09:31:49.0 PM	6.661
10/06/13	10:31:49.0 PM	6.687
10/06/13	11:31:49.0 PM	6.611
10/07/13	12:31:49.0 AM	6.636
10/07/13	01:31:49.0 AM	6.585
10/07/13	02:31:49.0 AM	6.281
10/07/13	03:31:49.0 AM	6.306
10/07/13	04:31:49.0 AM	6.357
10/07/13	05:31:49.0 AM	6.255
10/07/13	06:31:49.0 AM	6.255
10/07/13	07:31:49.0 AM	6.535
10/07/13	08:31:49.0 AM	6.636
10/07/13	09:31:49.0 AM	6.611
10/07/13	10:31:49.0 AM	6.585
10/07/13	11:31:49.0 AM	6.535
10/07/13	12:31:49.0 PM	8.170
10/07/13	01:31:49.0 PM	7.945
10/07/13	02:31:49.0 PM	7.795
10/07/13	03:31:49.0 PM	7.142
10/07/13	04:31:49.0 PM	7.318
10/07/13	05:31:49.0 PM	7.091
10/07/13	06:31:49.0 PM	6.990
10/07/13	07:31:49.0 PM	6.611
10/07/13	08:31:49.0 PM	6.611
10/07/13	09:31:49.0 PM	6.763
10/07/13	10:31:49.0 PM	6.737
10/07/13	11:31:49.0 PM	6.661
10/08/13	12:31:49.0 AM	6.788
10/08/13	01:31:49.0 AM	6.813
10/08/13	02:31:49.0 AM	6.990
10/08/13	03:31:49.0 AM	7.041
10/08/13	04:31:49.0 AM	7.116
10/08/13	05:31:49.0 AM	7.167
10/08/13	06:31:49.0 AM	7.116
10/08/13	07:31:49.0 AM	6.990
10/08/13	08:31:49.0 AM	6.712
10/08/13	09:31:49.0 AM	6.763
10/08/13	10:31:49.0 AM	6.990
10/08/13	11:31:49.0 AM	6.965
10/08/13	12:31:49.0 PM	7.368
10/08/13	01:31:49.0 PM	7.569
10/08/13	02:31:49.0 PM	7.695
10/08/13	03:31:49.0 PM	7.619
10/08/13	04:31:49.0 PM	7.745
10/08/13	05:31:49.0 PM	5.565
10/08/13	06:31:49.0 PM	5.591
10/08/13	07:31:49.0 PM	5.565
10/08/13	08:31:49.0 PM	5.179
10/08/13	09:31:49.0 PM	5.179
10/08/13	10:31:49.0 PM	5.154
10/08/13	11:31:49.0 PM	5.102
10/09/13	12:31:49.0 AM	5.154
10/09/13	01:31:49.0 AM	5.308
10/09/13	02:31:49.0 AM	5.437
10/09/13	03:31:49.0 AM	5.514
10/09/13	04:31:49.0 AM	5.745
10/09/13	05:31:49.0 AM	5.616
10/09/13	06:31:49.0 AM	5.539
10/09/13	07:31:49.0 AM	5.539
10/09/13	08:31:49.0 AM	5.488
10/09/13	09:31:49.0 AM	5.231
10/09/13	10:31:49.0 AM	5.179
10/09/13	11:31:49.0 AM	5.205
10/09/13	12:31:49.0 PM	7.142
10/09/13	01:31:49.0 PM	7.519
10/09/13	02:31:49.0 PM	8.070
10/09/13	03:31:49.0 PM	6.255
10/09/13	04:31:49.0 PM	6.281
10/09/13	05:31:49.0 PM	6.281
10/09/13	06:31:49.0 PM	6.281
10/09/13	07:31:49.0 PM	6.281
10/09/13	08:31:49.0 PM	6.204
10/09/13	09:31:49.0 PM	6.051
10/09/13	10:31:49.0 PM	6.077
10/09/13	11:31:49.0 PM	6.179
10/10/13	12:31:49.0 AM	6.179
10/10/13	01:31:49.0 AM	6.179
10/10/13	02:31:49.0 AM	6.204
10/10/13	03:31:49.0 AM	6.179
10/10/13	04:31:49.0 AM	6.153
10/10/13	05:31:49.0 AM	6.153
10/10/13	06:31:49.0 AM	6.128
10/10/13	07:31:49.0 AM	6.102
10/10/13	08:31:49.0 AM	6.585
10/10/13	09:31:49.0 AM	6.661
10/10/13	10:31:49.0 AM	7.393
10/10/13	11:31:49.0 AM	8.095
10/10/13	12:31:49.0 PM	8.643
10/10/13	01:31:49.0 PM	8.519
10/10/13	02:31:49.0 PM	8.170
10/10/13	03:31:49.0 PM	9.163
10/10/13	04:31:49.0 PM	8.817
10/10/13	05:31:49.0 PM	9.805
10/10/13	06:31:49.0 PM	9.238
10/10/13	07:31:49.0 PM	8.990
10/10/13	08:31:49.0 PM	8.792
10/10/13	09:31:49.0 PM	9.114
10/10/13	10:31:49.0 PM	8.990
10/10/13	11:31:49.0 PM	8.767
10/11/13	12:31:49.0 AM	8.444
10/11/13	01:31:49.0 AM	8.419
10/11/13	02:31:49.0 AM	8.369
10/11/13	03:31:49.0 AM	8.344
10/11/13	04:31:49.0 AM	8.270
10/11/13	05:31:49.0 AM	8.444
10/11/13	06:31:49.0 AM	8.593
10/11/13	07:31:49.0 AM	8.319
10/11/13	08:31:49.0 AM	8.519
10/11/13	09:31:49.0 AM	8.568
10/11/13	10:31:49.0 AM	8.568
10/11/13	11:31:49.0 AM	8.693
10/11/13	12:31:49.0 PM	8.519
10/11/13	01:31:49.0 PM	8.469
10/11/13	02:31:49.0 PM	8.543
10/11/13	03:31:49.0 PM	8.643
10/11/13	04:31:49.0 PM	8.668
10/11/13	05:31:49.0 PM	8.593
10/11/13	06:31:49.0 PM	8.643
10/11/13	07:31:49.0 PM	8.568
10/11/13	08:31:49.0 PM	8.444
10/11/13	09:31:49.0 PM	8.394
10/11/13	10:31:49.0 PM	8.394
10/11/13	11:31:49.0 PM	8.319
10/12/13	12:31:49.0 AM	8.319
10/12/13	01:31:49.0 AM	8.295
10/12/13	02:31:49.0 AM	8.270
10/12/13	03:31:49.0 AM	8.245
10/12/13	04:31:49.0 AM	8.070
10/12/13	05:31:49.0 AM	7.995
10/12/13	06:31:49.0 AM	7.895
10/12/13	07:31:49.0 AM	7.845
10/12/13	08:31:49.0 AM	7.820
10/12/13	09:31:49.0 AM	7.920
10/12/13	10:31:49.0 AM	8.145
10/12/13	11:31:49.0 AM	8.469
10/12/13	12:31:49.0 PM	8.643
10/12/13	01:31:49.0 PM	8.643
10/12/13	02:31:49.0 PM	8.941
10/12/13	03:31:49.0 PM	9.064
10/12/13	04:31:49.0 PM	9.015
10/12/13	05:31:49.0 PM	8.891
10/12/13	06:31:49.0 PM	8.593
10/12/13	07:31:49.0 PM	8.344
10/12/13	08:31:49.0 PM	7.970
10/12/13	09:31:49.0 PM	7.720
10/12/13	10:31:49.0 PM	7.594
10/12/13	11:31:49.0 PM	7.519
10/13/13	12:31:49.0 AM	7.494
10/13/13	01:31:49.0 AM	7.444
10/13/13	02:31:49.0 AM	7.343
10/13/13	03:31:49.0 AM	7.368
10/13/13	04:31:49.0 AM	7.293
10/13/13	05:31:49.0 AM	7.167
10/13/13	06:31:49.0 AM	7.142
10/13/13	07:31:49.0 AM	7.041
10/13/13	08:31:49.0 AM	7.116
10/13/13	09:31:49.0 AM	7.268
10/13/13	10:31:49.0 AM	7.192
10/13/13	11:31:49.0 AM	7.544
10/13/13	12:31:49.0 PM	7.895
10/13/13	01:31:49.0 PM	7.995
10/13/13	02:31:49.0 PM	8.045
10/13/13	03:31:49.0 PM	8.120
10/13/13	04:31:49.0 PM	8.270
10/13/13	05:31:49.0 PM	8.245
10/13/13	06:31:49.0 PM	8.419
10/13/13	07:31:49.0 PM	8.866
10/13/13	08:31:49.0 PM	9.139
10/13/13	09:31:49.0 PM	9.460
10/13/13	10:31:49.0 PM	9.829
10/13/13	11:31:49.0 PM	10.075
10/14/13	12:31:49.0 AM	10.247
10/14/13	01:31:49.0 AM	10.369
10/14/13	02:31:49.0 AM	10.394
10/14/13	03:31:49.0 AM	10.418
10/14/13	04:31:49.0 AM	10.320
10/14/13	05:31:49.0 AM	10.100
10/14/13	06:31:49.0 AM	10.075
10/14/13	07:31:49.0 AM	10.222
10/14/13	08:31:49.0 AM	10.173
10/14/13	09:31:49.0 AM	10.075
10/14/13	10:31:49.0 AM	10.026
10/14/13	11:31:49.0 AM	9.952
