Date	Time	Temp (°C) c:1
10/02/13	11:39:01.0 AM	11.516
10/02/13	12:39:01.0 PM	10.565
10/02/13	01:39:01.0 PM	10.614
10/02/13	02:39:01.0 PM	11.710
10/02/13	03:39:01.0 PM	5.308
10/02/13	04:39:01.0 PM	5.308
10/02/13	05:39:01.0 PM	5.308
10/02/13	06:39:01.0 PM	5.308
10/02/13	07:39:01.0 PM	5.308
10/02/13	08:39:01.0 PM	5.308
10/02/13	09:39:01.0 PM	5.308
10/02/13	10:39:01.0 PM	5.308
10/02/13	11:39:01.0 PM	5.308
10/03/13	12:39:01.0 AM	5.308
10/03/13	01:39:01.0 AM	5.308
10/03/13	02:39:01.0 AM	5.308
10/03/13	03:39:01.0 AM	5.308
10/03/13	04:39:01.0 AM	5.308
10/03/13	05:39:01.0 AM	5.308
10/03/13	06:39:01.0 AM	5.308
10/03/13	07:39:01.0 AM	5.308
10/03/13	08:39:01.0 AM	5.308
10/03/13	09:39:01.0 AM	5.282
10/03/13	10:39:01.0 AM	8.020
10/03/13	11:39:01.0 AM	8.070
10/03/13	12:39:01.0 PM	8.145
10/03/13	01:39:01.0 PM	8.070
10/03/13	02:39:01.0 PM	8.668
10/03/13	03:39:01.0 PM	7.217
10/03/13	04:39:01.0 PM	6.965
10/03/13	05:39:01.0 PM	7.167
10/03/13	06:39:01.0 PM	7.041
10/03/13	07:39:01.0 PM	7.066
10/03/13	08:39:01.0 PM	7.217
10/03/13	09:39:01.0 PM	7.293
10/03/13	10:39:01.0 PM	7.192
10/03/13	11:39:01.0 PM	7.293
10/04/13	12:39:01.0 AM	7.142
10/04/13	01:39:01.0 AM	7.142
10/04/13	02:39:01.0 AM	7.142
10/04/13	03:39:01.0 AM	7.091
10/04/13	04:39:01.0 AM	7.041
10/04/13	05:39:01.0 AM	7.142
10/04/13	06:39:01.0 AM	7.293
10/04/13	07:39:01.0 AM	7.116
10/04/13	08:39:01.0 AM	7.217
10/04/13	09:39:01.0 AM	7.217
10/04/13	10:39:01.0 AM	7.469
10/04/13	11:39:01.0 AM	9.583
10/04/13	12:39:01.0 PM	9.854
10/04/13	01:39:01.0 PM	9.805
10/04/13	02:39:01.0 PM	8.494
10/04/13	03:39:01.0 PM	9.238
10/04/13	04:39:01.0 PM	9.485
10/04/13	05:39:01.0 PM	9.435
10/04/13	06:39:01.0 PM	8.916
10/04/13	07:39:01.0 PM	8.593
10/04/13	08:39:01.0 PM	8.195
10/04/13	09:39:01.0 PM	7.895
10/04/13	10:39:01.0 PM	7.745
10/04/13	11:39:01.0 PM	7.569
10/05/13	12:39:01.0 AM	7.645
10/05/13	01:39:01.0 AM	7.217
10/05/13	02:39:01.0 AM	7.116
10/05/13	03:39:01.0 AM	6.914
10/05/13	04:39:01.0 AM	6.839
10/05/13	05:39:01.0 AM	6.788
10/05/13	06:39:01.0 AM	6.839
10/05/13	07:39:01.0 AM	6.813
10/05/13	08:39:01.0 AM	7.619
10/05/13	09:39:01.0 AM	9.509
10/05/13	10:39:01.0 AM	9.312
10/05/13	11:39:01.0 AM	10.149
10/05/13	12:39:01.0 PM	10.980
10/05/13	01:39:01.0 PM	10.565
10/05/13	02:39:01.0 PM	5.898
10/05/13	03:39:01.0 PM	6.026
10/05/13	04:39:01.0 PM	6.102
10/05/13	05:39:01.0 PM	6.026
10/05/13	06:39:01.0 PM	5.949
10/05/13	07:39:01.0 PM	6.000
10/05/13	08:39:01.0 PM	6.153
10/05/13	09:39:01.0 PM	6.331
10/05/13	10:39:01.0 PM	6.408
10/05/13	11:39:01.0 PM	6.661
10/06/13	12:39:01.0 AM	6.737
10/06/13	01:39:01.0 AM	6.255
10/06/13	02:39:01.0 AM	5.949
10/06/13	03:39:01.0 AM	6.026
10/06/13	04:39:01.0 AM	6.102
10/06/13	05:39:01.0 AM	6.102
10/06/13	06:39:01.0 AM	6.128
10/06/13	07:39:01.0 AM	6.077
10/06/13	08:39:01.0 AM	6.102
10/06/13	09:39:01.0 AM	6.230
10/06/13	10:39:01.0 AM	9.558
10/06/13	11:39:01.0 AM	7.419
10/06/13	12:39:01.0 PM	7.242
10/06/13	01:39:01.0 PM	7.720
10/06/13	02:39:01.0 PM	7.970
10/06/13	03:39:01.0 PM	7.870
10/06/13	04:39:01.0 PM	6.204
10/06/13	05:39:01.0 PM	6.255
10/06/13	06:39:01.0 PM	6.331
10/06/13	07:39:01.0 PM	6.458
10/06/13	08:39:01.0 PM	6.560
10/06/13	09:39:01.0 PM	6.712
10/06/13	10:39:01.0 PM	6.737
10/06/13	11:39:01.0 PM	6.712
10/07/13	12:39:01.0 AM	6.661
10/07/13	01:39:01.0 AM	6.687
10/07/13	02:39:01.0 AM	6.484
10/07/13	03:39:01.0 AM	6.408
10/07/13	04:39:01.0 AM	6.230
10/07/13	05:39:01.0 AM	6.230
10/07/13	06:39:01.0 AM	6.458
10/07/13	07:39:01.0 AM	6.535
10/07/13	08:39:01.0 AM	6.560
10/07/13	09:39:01.0 AM	6.611
10/07/13	10:39:01.0 AM	8.295
10/07/13	11:39:01.0 AM	7.720
