Date	Time	Temp (°C) c:1
03/18/14	08:11:56.0 AM	22.753
03/18/14	09:11:56.0 AM	21.676
03/18/14	10:11:56.0 AM	21.318
03/18/14	11:11:56.0 AM	21.294
03/18/14	12:11:56.0 PM	21.390
03/18/14	01:11:56.0 PM	21.437
03/18/14	02:11:56.0 PM	21.509
03/18/14	03:11:56.0 PM	21.581
03/18/14	04:11:56.0 PM	21.652
03/18/14	05:11:56.0 PM	21.748
03/18/14	06:11:56.0 PM	21.748
03/18/14	07:11:56.0 PM	21.628
03/18/14	08:11:56.0 PM	21.509
03/18/14	09:11:56.0 PM	21.437
03/18/14	10:11:56.0 PM	21.270
03/18/14	11:11:56.0 PM	21.056
03/19/14	12:11:56.0 AM	20.913
03/19/14	01:11:56.0 AM	20.770
03/19/14	02:11:56.0 AM	20.650
03/19/14	03:11:56.0 AM	20.555
03/19/14	04:11:56.0 AM	20.507
03/19/14	05:11:56.0 AM	20.460
03/19/14	06:11:56.0 AM	20.412
03/19/14	07:11:56.0 AM	20.412
03/19/14	08:11:56.0 AM	20.603
03/19/14	09:11:56.0 AM	20.984
03/19/14	10:11:56.0 AM	21.437
03/19/14	11:11:56.0 AM	21.867
03/19/14	12:11:56.0 PM	22.321
03/19/14	01:11:56.0 PM	22.561
03/19/14	02:11:56.0 PM	22.609
03/19/14	03:11:56.0 PM	22.489
03/19/14	04:11:56.0 PM	22.298
03/19/14	05:11:56.0 PM	22.250
03/19/14	06:11:56.0 PM	22.130
03/19/14	07:11:56.0 PM	22.011
03/19/14	08:11:56.0 PM	21.867
03/19/14	09:11:56.0 PM	21.843
03/19/14	10:11:56.0 PM	21.819
03/19/14	11:11:56.0 PM	21.652
03/20/14	12:11:56.0 AM	21.509
03/20/14	01:11:56.0 AM	21.390
03/20/14	02:11:56.0 AM	21.270
03/20/14	03:11:56.0 AM	21.151
03/20/14	04:11:56.0 AM	21.056
03/20/14	05:11:56.0 AM	20.960
03/20/14	06:11:56.0 AM	20.889
03/20/14	07:11:56.0 AM	20.889
03/20/14	08:11:56.0 AM	20.984
03/20/14	09:11:56.0 AM	20.531
03/20/14	10:11:56.0 AM	19.770
03/20/14	11:11:56.0 AM	20.031
03/20/14	12:11:56.0 PM	19.960
03/20/14	01:11:56.0 PM	19.175
03/20/14	02:11:56.0 PM	19.032
03/20/14	03:11:56.0 PM	19.532
03/20/14	04:11:56.0 PM	20.460
03/20/14	05:11:56.0 PM	21.103
03/20/14	06:11:56.0 PM	21.485
03/20/14	07:11:56.0 PM	21.748
03/20/14	08:11:56.0 PM	21.891
03/20/14	09:11:56.0 PM	21.939
03/20/14	10:11:56.0 PM	21.891
03/20/14	11:11:56.0 PM	21.724
03/21/14	12:11:56.0 AM	21.557
03/21/14	01:11:56.0 AM	21.437
03/21/14	02:11:56.0 AM	21.318
03/21/14	03:11:56.0 AM	21.246
03/21/14	04:11:56.0 AM	21.151
03/21/14	05:11:56.0 AM	21.079
03/21/14	06:11:56.0 AM	20.984
03/21/14	07:11:56.0 AM	20.936
03/21/14	08:11:56.0 AM	20.960
03/21/14	09:11:56.0 AM	21.413
03/21/14	10:11:56.0 AM	17.439
03/21/14	11:11:56.0 AM	8.891
03/21/14	12:11:56.0 PM	6.306
03/21/14	01:11:56.0 PM	5.949
03/21/14	02:11:56.0 PM	7.569
03/21/14	03:11:56.0 PM	9.262
03/21/14	04:11:56.0 PM	11.297
03/21/14	05:11:56.0 PM	23.833
03/21/14	06:11:56.0 PM	27.259
03/21/14	07:11:56.0 PM	28.295
03/21/14	08:11:56.0 PM	28.593
03/21/14	09:11:56.0 PM	28.444
03/21/14	10:11:56.0 PM	28.941
03/21/14	11:11:56.0 PM	29.065
03/22/14	12:11:56.0 AM	28.766
03/22/14	01:11:56.0 AM	29.065
03/22/14	02:11:56.0 AM	29.140
03/22/14	03:11:56.0 AM	28.816
03/22/14	04:11:56.0 AM	29.115
03/22/14	05:11:56.0 AM	29.090
03/22/14	06:11:56.0 AM	28.667
03/22/14	07:11:56.0 AM	28.941
03/22/14	08:11:56.0 AM	29.065
03/22/14	09:11:56.0 AM	28.617
03/22/14	10:11:56.0 AM	28.568
03/22/14	11:11:56.0 AM	28.791
03/22/14	12:11:56.0 PM	28.941
03/22/14	01:11:56.0 PM	28.891
03/22/14	02:11:56.0 PM	28.742
03/22/14	03:11:56.0 PM	28.444
03/22/14	04:11:56.0 PM	28.245
03/22/14	05:11:56.0 PM	28.245
03/22/14	06:11:56.0 PM	28.221
03/22/14	07:11:56.0 PM	28.667
03/22/14	08:11:56.0 PM	29.240
03/22/14	09:11:56.0 PM	29.065
03/22/14	10:11:56.0 PM	29.190
03/22/14	11:11:56.0 PM	29.290
03/23/14	12:11:56.0 AM	28.916
03/23/14	01:11:56.0 AM	29.240
03/23/14	02:11:56.0 AM	29.015
03/23/14	03:11:56.0 AM	29.065
03/23/14	04:11:56.0 AM	29.140
03/23/14	05:11:56.0 AM	28.841
03/23/14	06:11:56.0 AM	29.190
03/23/14	07:11:56.0 AM	28.791
03/23/14	08:11:56.0 AM	29.065
03/23/14	09:11:56.0 AM	28.841
03/23/14	10:11:56.0 AM	28.543
03/23/14	11:11:56.0 AM	28.766
03/23/14	12:11:56.0 PM	28.841
03/23/14	01:11:56.0 PM	28.617
03/23/14	02:11:56.0 PM	28.419
03/23/14	03:11:56.0 PM	28.245
03/23/14	04:11:56.0 PM	28.196
03/23/14	05:11:56.0 PM	28.122
03/23/14	06:11:56.0 PM	28.245
03/23/14	07:11:56.0 PM	28.990
03/23/14	08:11:56.0 PM	28.916
03/23/14	09:11:56.0 PM	29.015
03/23/14	10:11:56.0 PM	29.190
03/23/14	11:11:56.0 PM	28.916
03/24/14	12:11:56.0 AM	29.290
03/24/14	01:11:56.0 AM	28.941
03/24/14	02:11:56.0 AM	29.140
03/24/14	03:11:56.0 AM	29.090
03/24/14	04:11:56.0 AM	28.866
03/24/14	05:11:56.0 AM	29.140
03/24/14	06:11:56.0 AM	28.791
03/24/14	07:11:56.0 AM	28.990
03/24/14	08:11:56.0 AM	28.841
03/24/14	09:11:56.0 AM	28.518
03/24/14	10:11:56.0 AM	28.221
03/24/14	11:11:56.0 AM	28.543
03/24/14	12:11:56.0 PM	28.444
03/24/14	01:11:56.0 PM	28.221
03/24/14	02:11:56.0 PM	28.468
03/24/14	03:11:56.0 PM	28.742
03/24/14	04:11:56.0 PM	28.916
03/24/14	05:11:56.0 PM	28.841
03/24/14	06:11:56.0 PM	28.692
03/24/14	07:11:56.0 PM	28.841
03/24/14	08:11:56.0 PM	29.165
03/24/14	09:11:56.0 PM	29.115
03/24/14	10:11:56.0 PM	28.791
03/24/14	11:11:56.0 PM	28.841
03/25/14	12:11:56.0 AM	29.190
03/25/14	01:11:56.0 AM	29.090
03/25/14	02:11:56.0 AM	28.766
03/25/14	03:11:56.0 AM	29.040
03/25/14	04:11:56.0 AM	29.090
03/25/14	05:11:56.0 AM	28.766
03/25/14	06:11:56.0 AM	28.891
03/25/14	07:11:56.0 AM	29.165
03/25/14	08:11:56.0 AM	28.617
03/25/14	09:11:56.0 AM	28.617
03/25/14	10:11:56.0 AM	28.965
03/25/14	11:11:56.0 AM	24.919
03/25/14	12:11:56.0 PM	24.002
03/25/14	01:11:56.0 PM	23.905
03/25/14	02:11:56.0 PM	23.905
03/25/14	03:11:56.0 PM	24.195
03/25/14	04:11:56.0 PM	24.581
03/25/14	05:11:56.0 PM	24.919
03/25/14	06:11:56.0 PM	24.629
03/25/14	07:11:56.0 PM	24.291
03/25/14	08:11:56.0 PM	24.002
03/25/14	09:11:56.0 PM	23.665
03/25/14	10:11:56.0 PM	23.424
03/25/14	11:11:56.0 PM	23.208
03/26/14	12:11:56.0 AM	22.968
03/26/14	01:11:56.0 AM	22.729
03/26/14	02:11:56.0 AM	22.513
03/26/14	03:11:56.0 AM	22.345
03/26/14	04:11:56.0 AM	22.154
03/26/14	05:11:56.0 AM	21.915
03/26/14	06:11:56.0 AM	21.700
03/26/14	07:11:56.0 AM	21.509
03/26/14	08:11:56.0 AM	21.413
03/26/14	09:11:56.0 AM	18.224
03/26/14	10:11:56.0 AM	8.941
03/26/14	11:11:56.0 AM	13.858
03/26/14	12:11:56.0 PM	12.340
03/26/14	01:11:56.0 PM	12.050
03/26/14	02:11:56.0 PM	10.173
03/26/14	03:11:56.0 PM	7.444
03/26/14	04:11:56.0 PM	5.847
03/26/14	05:11:56.0 PM	4.818
03/26/14	06:11:56.0 PM	5.872
03/26/14	07:11:56.0 PM	6.281
03/26/14	08:11:56.0 PM	5.770
03/26/14	09:11:56.0 PM	5.411
03/26/14	10:11:56.0 PM	4.610
03/26/14	11:11:56.0 PM	3.854
03/27/14	12:11:56.0 AM	3.538
03/27/14	01:11:56.0 AM	3.564
03/27/14	02:11:56.0 AM	2.956
03/27/14	03:11:56.0 AM	2.797
03/27/14	04:11:56.0 AM	2.903
03/27/14	05:11:56.0 AM	2.823
03/27/14	06:11:56.0 AM	3.248
03/27/14	07:11:56.0 AM	2.797
03/27/14	08:11:56.0 AM	3.089
03/27/14	09:11:56.0 AM	4.818
03/27/14	10:11:56.0 AM	4.610
03/27/14	11:11:56.0 AM	5.847
03/27/14	12:11:56.0 PM	12.025
03/27/14	01:11:56.0 PM	11.662
03/27/14	02:11:56.0 PM	11.127
03/27/14	03:11:56.0 PM	13.329
03/27/14	04:11:56.0 PM	10.858
03/27/14	05:11:56.0 PM	8.742
03/27/14	06:11:56.0 PM	7.015
03/27/14	07:11:56.0 PM	5.024
03/27/14	08:11:56.0 PM	4.454
03/27/14	09:11:56.0 PM	4.454
03/27/14	10:11:56.0 PM	4.454
03/27/14	11:11:56.0 PM	4.454
03/28/14	12:11:56.0 AM	4.454
03/28/14	01:11:56.0 AM	4.454
03/28/14	02:11:56.0 AM	4.480
03/28/14	03:11:56.0 AM	4.480
03/28/14	04:11:56.0 AM	4.454
03/28/14	05:11:56.0 AM	4.480
03/28/14	06:11:56.0 AM	4.454
03/28/14	07:11:56.0 AM	4.480
03/28/14	08:11:56.0 AM	4.480
03/28/14	09:11:56.0 AM	4.480
03/28/14	10:11:56.0 AM	4.480
03/28/14	11:11:56.0 AM	4.506
03/28/14	12:11:56.0 PM	4.480
03/28/14	01:11:56.0 PM	4.506
03/28/14	02:11:56.0 PM	4.480
03/28/14	03:11:56.0 PM	4.480
03/28/14	04:11:56.0 PM	4.506
03/28/14	05:11:56.0 PM	4.480
03/28/14	06:11:56.0 PM	4.506
03/28/14	07:11:56.0 PM	4.506
03/28/14	08:11:56.0 PM	4.506
03/28/14	09:11:56.0 PM	4.506
03/28/14	10:11:56.0 PM	4.506
03/28/14	11:11:56.0 PM	4.506
