Date	Time	Temp (°C) c:1
02/18/14	09:53:19.0 AM	22.489
02/18/14	10:53:19.0 AM	26.793
02/18/14	11:53:19.0 AM	26.085
02/18/14	12:53:19.0 PM	25.768
02/18/14	01:53:19.0 PM	25.477
02/18/14	02:53:19.0 PM	24.532
02/18/14	03:53:19.0 PM	24.219
02/18/14	04:53:19.0 PM	24.026
02/18/14	05:53:19.0 PM	23.785
02/18/14	06:53:19.0 PM	23.136
02/18/14	07:53:19.0 PM	22.609
02/18/14	08:53:19.0 PM	22.178
02/18/14	09:53:19.0 PM	22.154
02/18/14	10:53:19.0 PM	21.795
02/18/14	11:53:19.0 PM	21.437
02/19/14	12:53:19.0 AM	21.127
02/19/14	01:53:19.0 AM	20.841
02/19/14	02:53:19.0 AM	20.579
02/19/14	03:53:19.0 AM	20.317
02/19/14	04:53:19.0 AM	20.079
02/19/14	05:53:19.0 AM	19.865
02/19/14	06:53:19.0 AM	19.651
02/19/14	07:53:19.0 AM	19.460
02/19/14	08:53:19.0 AM	20.507
02/19/14	09:53:19.0 AM	17.415
02/19/14	10:53:19.0 AM	20.174
02/19/14	11:53:19.0 AM	21.175
02/19/14	12:53:19.0 PM	21.509
02/19/14	01:53:19.0 PM	21.963
02/19/14	02:53:19.0 PM	15.485
02/19/14	03:53:19.0 PM	16.344
02/19/14	04:53:19.0 PM	18.343
02/19/14	05:53:19.0 PM	18.866
02/19/14	06:53:19.0 PM	19.032
02/19/14	07:53:19.0 PM	19.103
02/19/14	08:53:19.0 PM	19.199
02/19/14	09:53:19.0 PM	18.771
02/19/14	10:53:19.0 PM	18.723
02/19/14	11:53:19.0 PM	18.842
02/20/14	12:53:19.0 AM	18.937
02/20/14	01:53:19.0 AM	18.438
02/20/14	02:53:19.0 AM	17.724
02/20/14	03:53:19.0 AM	14.601
02/20/14	04:53:19.0 AM	13.329
02/20/14	05:53:19.0 AM	12.582
02/20/14	06:53:19.0 AM	9.435
02/20/14	07:53:19.0 AM	3.195
02/20/14	08:53:19.0 AM	3.906
02/20/14	09:53:19.0 AM	6.281
02/20/14	10:53:19.0 AM	12.654
02/20/14	11:53:19.0 AM	14.553
02/20/14	12:53:19.0 PM	14.840
02/20/14	01:53:19.0 PM	15.031
02/20/14	02:53:19.0 PM	14.122
02/20/14	03:53:19.0 PM	13.088
02/20/14	04:53:19.0 PM	5.847
02/20/14	05:53:19.0 PM	8.916
02/20/14	06:53:19.0 PM	12.340
02/20/14	07:53:19.0 PM	12.630
02/20/14	08:53:19.0 PM	11.856
02/20/14	09:53:19.0 PM	11.710
02/20/14	10:53:19.0 PM	11.637
02/20/14	11:53:19.0 PM	11.637
02/21/14	12:53:19.0 AM	11.321
02/21/14	01:53:19.0 AM	11.005
02/21/14	02:53:19.0 AM	10.051
02/21/14	03:53:19.0 AM	9.657
02/21/14	04:53:19.0 AM	9.608
02/21/14	05:53:19.0 AM	9.608
02/21/14	06:53:19.0 AM	10.541
02/21/14	07:53:19.0 AM	11.394
02/21/14	08:53:19.0 AM	8.965
02/21/14	09:53:19.0 AM	10.443
02/21/14	10:53:19.0 AM	16.106
02/21/14	11:53:19.0 AM	17.748
02/21/14	12:53:19.0 PM	18.438
02/21/14	01:53:19.0 PM	18.509
02/21/14	02:53:19.0 PM	18.438
02/21/14	03:53:19.0 PM	18.343
02/21/14	04:53:19.0 PM	18.247
02/21/14	05:53:19.0 PM	18.105
02/21/14	06:53:19.0 PM	17.915
02/21/14	07:53:19.0 PM	17.819
02/21/14	08:53:19.0 PM	17.701
02/21/14	09:53:19.0 PM	17.605
02/21/14	10:53:19.0 PM	17.486
02/21/14	11:53:19.0 PM	17.344
02/22/14	12:53:19.0 AM	17.201
02/22/14	01:53:19.0 AM	17.082
02/22/14	02:53:19.0 AM	16.987
02/22/14	03:53:19.0 AM	16.939
02/22/14	04:53:19.0 AM	16.844
02/22/14	05:53:19.0 AM	16.820
02/22/14	06:53:19.0 AM	17.106
02/22/14	07:53:19.0 AM	17.415
02/22/14	08:53:19.0 AM	17.534
02/22/14	09:53:19.0 AM	17.724
02/22/14	10:53:19.0 AM	17.701
02/22/14	11:53:19.0 AM	17.558
02/22/14	12:53:19.0 PM	17.368
02/22/14	01:53:19.0 PM	17.320
02/22/14	02:53:19.0 PM	17.463
02/22/14	03:53:19.0 PM	17.486
02/22/14	04:53:19.0 PM	17.439
02/22/14	05:53:19.0 PM	17.272
02/22/14	06:53:19.0 PM	17.106
02/22/14	07:53:19.0 PM	16.939
02/22/14	08:53:19.0 PM	16.796
02/22/14	09:53:19.0 PM	16.630
02/22/14	10:53:19.0 PM	16.558
02/22/14	11:53:19.0 PM	16.511
02/23/14	12:53:19.0 AM	16.463
02/23/14	01:53:19.0 AM	16.415
02/23/14	02:53:19.0 AM	16.392
02/23/14	03:53:19.0 AM	16.320
02/23/14	04:53:19.0 AM	16.296
02/23/14	05:53:19.0 AM	16.272
02/23/14	06:53:19.0 AM	16.915
02/23/14	07:53:19.0 AM	17.510
02/23/14	08:53:19.0 AM	17.867
02/23/14	09:53:19.0 AM	17.938
02/23/14	10:53:19.0 AM	17.772
02/23/14	11:53:19.0 AM	17.534
02/23/14	12:53:19.0 PM	17.629
02/23/14	01:53:19.0 PM	17.724
02/23/14	02:53:19.0 PM	17.748
02/23/14	03:53:19.0 PM	17.701
02/23/14	04:53:19.0 PM	17.510
02/23/14	05:53:19.0 PM	17.249
02/23/14	06:53:19.0 PM	16.915
02/23/14	07:53:19.0 PM	16.749
02/23/14	08:53:19.0 PM	16.606
02/23/14	09:53:19.0 PM	16.558
02/23/14	10:53:19.0 PM	16.511
02/23/14	11:53:19.0 PM	16.463
02/24/14	12:53:19.0 AM	16.415
02/24/14	01:53:19.0 AM	16.344
02/24/14	02:53:19.0 AM	16.296
02/24/14	03:53:19.0 AM	16.225
02/24/14	04:53:19.0 AM	16.249
02/24/14	05:53:19.0 AM	16.439
02/24/14	06:53:19.0 AM	17.391
02/24/14	07:53:19.0 AM	17.962
02/24/14	08:53:19.0 AM	18.343
02/24/14	09:53:19.0 AM	18.675
02/24/14	10:53:19.0 AM	18.628
02/24/14	11:53:19.0 AM	18.509
02/24/14	12:53:19.0 PM	18.889
02/24/14	01:53:19.0 PM	19.912
02/24/14	02:53:19.0 PM	20.984
02/24/14	03:53:19.0 PM	23.232
02/24/14	04:53:19.0 PM	22.226
02/24/14	05:53:19.0 PM	19.103
02/24/14	06:53:19.0 PM	18.224
02/24/14	07:53:19.0 PM	17.843
02/24/14	08:53:19.0 PM	17.677
02/24/14	09:53:19.0 PM	17.724
02/24/14	10:53:19.0 PM	17.796
02/24/14	11:53:19.0 PM	17.891
02/25/14	12:53:19.0 AM	17.986
02/25/14	01:53:19.0 AM	18.081
02/25/14	02:53:19.0 AM	18.176
02/25/14	03:53:19.0 AM	18.247
02/25/14	04:53:19.0 AM	18.271
02/25/14	05:53:19.0 AM	18.319
02/25/14	06:53:19.0 AM	18.485
02/25/14	07:53:19.0 AM	18.723
02/25/14	08:53:19.0 AM	19.032
02/25/14	09:53:19.0 AM	19.413
02/25/14	10:53:19.0 AM	20.412
02/25/14	11:53:19.0 AM	28.816
02/25/14	12:53:19.0 PM	21.987
02/25/14	01:53:19.0 PM	20.746
02/25/14	02:53:19.0 PM	19.770
02/25/14	03:53:19.0 PM	18.747
02/25/14	04:53:19.0 PM	17.843
02/25/14	05:53:19.0 PM	17.177
02/25/14	06:53:19.0 PM	17.011
02/25/14	07:53:19.0 PM	16.892
02/25/14	08:53:19.0 PM	16.820
02/25/14	09:53:19.0 PM	16.892
02/25/14	10:53:19.0 PM	16.963
02/25/14	11:53:19.0 PM	17.153
02/26/14	12:53:19.0 AM	17.249
02/26/14	01:53:19.0 AM	17.368
02/26/14	02:53:19.0 AM	17.391
02/26/14	03:53:19.0 AM	17.391
02/26/14	04:53:19.0 AM	17.439
02/26/14	05:53:19.0 AM	17.415
02/26/14	06:53:19.0 AM	17.463
02/26/14	07:53:19.0 AM	17.510
02/26/14	08:53:19.0 AM	17.558
02/26/14	09:53:19.0 AM	17.558
02/26/14	10:53:19.0 AM	17.938
02/26/14	11:53:19.0 AM	19.318
02/26/14	12:53:19.0 PM	18.438
02/26/14	01:53:19.0 PM	17.915
02/26/14	02:53:19.0 PM	17.796
02/26/14	03:53:19.0 PM	17.558
02/26/14	04:53:19.0 PM	17.272
02/26/14	05:53:19.0 PM	16.701
02/26/14	06:53:19.0 PM	16.773
02/26/14	07:53:19.0 PM	17.296
02/26/14	08:53:19.0 PM	17.391
02/26/14	09:53:19.0 PM	17.344
02/26/14	10:53:19.0 PM	17.391
02/26/14	11:53:19.0 PM	17.463
02/27/14	12:53:19.0 AM	17.463
02/27/14	01:53:19.0 AM	17.391
02/27/14	02:53:19.0 AM	17.510
02/27/14	03:53:19.0 AM	17.629
02/27/14	04:53:19.0 AM	17.629
02/27/14	05:53:19.0 AM	17.843
02/27/14	06:53:19.0 AM	17.843
02/27/14	07:53:19.0 AM	18.319
02/27/14	08:53:19.0 AM	18.509
02/27/14	09:53:19.0 AM	18.438
02/27/14	10:53:19.0 AM	18.794
02/27/14	11:53:19.0 AM	21.485
02/27/14	12:53:19.0 PM	19.817
02/27/14	01:53:19.0 PM	19.460
02/27/14	02:53:19.0 PM	19.460
02/27/14	03:53:19.0 PM	19.579
02/27/14	04:53:19.0 PM	19.460
02/27/14	05:53:19.0 PM	18.794
02/27/14	06:53:19.0 PM	18.152
