Date	Time	Temp (°C) c:1
06/23/14	08:51:01.0 AM	22.106
06/23/14	09:51:01.0 AM	19.579
06/23/14	10:51:01.0 AM	19.627
06/23/14	11:51:01.0 AM	15.318
06/23/14	12:51:01.0 PM	13.209
06/23/14	01:51:01.0 PM	4.740
06/23/14	02:51:01.0 PM	4.662
06/23/14	03:51:01.0 PM	4.766
06/23/14	04:51:01.0 PM	4.662
06/23/14	05:51:01.0 PM	4.740
06/23/14	06:51:01.0 PM	4.714
06/23/14	07:51:01.0 PM	4.766
06/23/14	08:51:01.0 PM	4.714
06/23/14	09:51:01.0 PM	4.558
06/23/14	10:51:01.0 PM	4.662
06/23/14	11:51:01.0 PM	4.662
06/24/14	12:51:01.0 AM	4.610
06/24/14	01:51:01.0 AM	4.662
06/24/14	02:51:01.0 AM	4.688
06/24/14	03:51:01.0 AM	4.818
06/24/14	04:51:01.0 AM	4.869
06/24/14	05:51:01.0 AM	4.766
06/24/14	06:51:01.0 AM	4.688
06/24/14	07:51:01.0 AM	4.584
06/24/14	08:51:01.0 AM	12.582
06/24/14	09:51:01.0 AM	13.088
06/24/14	10:51:01.0 AM	13.570
06/24/14	11:51:01.0 AM	14.218
06/24/14	12:51:01.0 PM	13.762
06/24/14	01:51:01.0 PM	13.546
06/24/14	02:51:01.0 PM	13.642
06/24/14	03:51:01.0 PM	12.847
06/24/14	04:51:01.0 PM	5.360
06/24/14	05:51:01.0 PM	5.385
06/24/14	06:51:01.0 PM	5.385
06/24/14	07:51:01.0 PM	5.385
06/24/14	08:51:01.0 PM	5.360
06/24/14	09:51:01.0 PM	5.360
06/24/14	10:51:01.0 PM	5.334
06/24/14	11:51:01.0 PM	5.282
06/25/14	12:51:01.0 AM	5.231
06/25/14	01:51:01.0 AM	5.257
06/25/14	02:51:01.0 AM	5.257
06/25/14	03:51:01.0 AM	5.205
06/25/14	04:51:01.0 AM	5.282
06/25/14	05:51:01.0 AM	5.282
06/25/14	06:51:01.0 AM	5.282
06/25/14	07:51:01.0 AM	5.282
06/25/14	08:51:01.0 AM	5.282
06/25/14	09:51:01.0 AM	5.231
06/25/14	10:51:01.0 AM	5.179
06/25/14	11:51:01.0 AM	9.854
06/25/14	12:51:01.0 PM	10.271
06/25/14	01:51:01.0 PM	12.437
06/25/14	02:51:01.0 PM	4.688
06/25/14	03:51:01.0 PM	4.714
06/25/14	04:51:01.0 PM	4.740
06/25/14	05:51:01.0 PM	4.740
06/25/14	06:51:01.0 PM	4.740
06/25/14	07:51:01.0 PM	4.714
06/25/14	08:51:01.0 PM	4.714
06/25/14	09:51:01.0 PM	4.714
06/25/14	10:51:01.0 PM	4.662
06/25/14	11:51:01.0 PM	4.636
06/26/14	12:51:01.0 AM	4.662
06/26/14	01:51:01.0 AM	4.688
06/26/14	02:51:01.0 AM	4.688
06/26/14	03:51:01.0 AM	4.688
06/26/14	04:51:01.0 AM	4.714
06/26/14	05:51:01.0 AM	4.740
