Date	Time	Temp (°C) c:1
07/22/14	02:09:35.0 PM	19.294
07/22/14	03:09:35.0 PM	15.031
07/22/14	04:09:35.0 PM	15.605
07/22/14	05:09:35.0 PM	14.553
07/22/14	06:09:35.0 PM	15.031
07/22/14	07:09:35.0 PM	14.433
07/22/14	08:09:35.0 PM	14.433
07/22/14	09:09:35.0 PM	14.385
07/22/14	10:09:35.0 PM	14.314
07/22/14	11:09:35.0 PM	14.337
07/23/14	12:09:35.0 AM	14.314
07/23/14	01:09:35.0 AM	13.642
07/23/14	02:09:35.0 AM	13.353
07/23/14	03:09:35.0 AM	13.666
07/23/14	04:09:35.0 AM	13.618
07/23/14	05:09:35.0 AM	13.497
07/23/14	06:09:35.0 AM	13.425
07/23/14	07:09:35.0 AM	13.978
07/23/14	08:09:35.0 AM	14.361
07/23/14	09:09:35.0 AM	14.026
07/23/14	10:09:35.0 AM	13.738
07/23/14	11:09:35.0 AM	13.906
07/23/14	12:09:35.0 PM	14.385
07/23/14	01:09:35.0 PM	15.509
07/23/14	02:09:35.0 PM	17.463
07/23/14	03:09:35.0 PM	6.712
07/23/14	04:09:35.0 PM	6.712
07/23/14	05:09:35.0 PM	6.712
07/23/14	06:09:35.0 PM	6.712
07/23/14	07:09:35.0 PM	6.712
07/23/14	08:09:35.0 PM	6.712
07/23/14	09:09:35.0 PM	6.712
07/23/14	10:09:35.0 PM	6.712
07/23/14	11:09:35.0 PM	6.712
07/24/14	12:09:35.0 AM	6.712
07/24/14	01:09:35.0 AM	6.712
07/24/14	02:09:35.0 AM	6.712
07/24/14	03:09:35.0 AM	6.712
07/24/14	04:09:35.0 AM	6.712
07/24/14	05:09:35.0 AM	6.737
07/24/14	06:09:35.0 AM	6.737
07/24/14	07:09:35.0 AM	6.712
07/24/14	08:09:35.0 AM	6.712
07/24/14	09:09:35.0 AM	6.712
07/24/14	10:09:35.0 AM	13.305
07/24/14	11:09:35.0 AM	12.606
07/24/14	12:09:35.0 PM	12.582
07/24/14	01:09:35.0 PM	12.437
07/24/14	02:09:35.0 PM	6.737
07/24/14	03:09:35.0 PM	6.737
07/24/14	04:09:35.0 PM	6.737
07/24/14	05:09:35.0 PM	6.763
07/24/14	06:09:35.0 PM	6.763
07/24/14	07:09:35.0 PM	6.763
07/24/14	08:09:35.0 PM	6.737
07/24/14	09:09:35.0 PM	6.712
07/24/14	10:09:35.0 PM	6.712
07/24/14	11:09:35.0 PM	6.763
07/25/14	12:09:35.0 AM	6.763
07/25/14	01:09:35.0 AM	6.763
07/25/14	02:09:35.0 AM	6.712
07/25/14	03:09:35.0 AM	6.737
07/25/14	04:09:35.0 AM	6.737
07/25/14	05:09:35.0 AM	6.763
07/25/14	06:09:35.0 AM	6.737
07/25/14	07:09:35.0 AM	6.687
07/25/14	08:09:35.0 AM	10.761
07/25/14	09:09:35.0 AM	11.346
07/25/14	10:09:35.0 AM	10.761
07/25/14	11:09:35.0 AM	10.785
07/25/14	12:09:35.0 PM	11.443
07/25/14	01:09:35.0 PM	12.001
07/25/14	02:09:35.0 PM	12.219
07/25/14	03:09:35.0 PM	6.585
07/25/14	04:09:35.0 PM	6.585
07/25/14	05:09:35.0 PM	6.611
07/25/14	06:09:35.0 PM	6.712
07/25/14	07:09:35.0 PM	6.737
07/25/14	08:09:35.0 PM	6.763
07/25/14	09:09:35.0 PM	6.839
07/25/14	10:09:35.0 PM	6.737
07/25/14	11:09:35.0 PM	6.788
07/26/14	12:09:35.0 AM	6.737
07/26/14	01:09:35.0 AM	6.712
07/26/14	02:09:35.0 AM	6.636
07/26/14	03:09:35.0 AM	6.611
07/26/14	04:09:35.0 AM	6.585
07/26/14	05:09:35.0 AM	6.611
07/26/14	06:09:35.0 AM	6.661
07/26/14	07:09:35.0 AM	6.712
07/26/14	08:09:35.0 AM	6.712
07/26/14	09:09:35.0 AM	6.788
07/26/14	10:09:35.0 AM	13.161
07/26/14	11:09:35.0 AM	12.992
07/26/14	12:09:35.0 PM	14.337
07/26/14	01:09:35.0 PM	14.218
07/26/14	02:09:35.0 PM	6.102
07/26/14	03:09:35.0 PM	6.128
07/26/14	04:09:35.0 PM	6.153
07/26/14	05:09:35.0 PM	6.204
07/26/14	06:09:35.0 PM	6.179
07/26/14	07:09:35.0 PM	6.128
07/26/14	08:09:35.0 PM	6.128
07/26/14	09:09:35.0 PM	6.102
07/26/14	10:09:35.0 PM	6.102
07/26/14	11:09:35.0 PM	6.102
07/27/14	12:09:35.0 AM	6.102
07/27/14	01:09:35.0 AM	6.102
07/27/14	02:09:35.0 AM	6.128
07/27/14	03:09:35.0 AM	6.179
07/27/14	04:09:35.0 AM	6.204
07/27/14	05:09:35.0 AM	6.204
07/27/14	06:09:35.0 AM	6.179
07/27/14	07:09:35.0 AM	6.153
07/27/14	08:09:35.0 AM	13.281
07/27/14	09:09:35.0 AM	13.112
07/27/14	10:09:35.0 AM	12.823
07/27/14	11:09:35.0 AM	12.944
07/27/14	12:09:35.0 PM	13.233
07/27/14	01:09:35.0 PM	13.064
07/27/14	02:09:35.0 PM	13.112
07/27/14	03:09:35.0 PM	13.714
07/27/14	04:09:35.0 PM	5.642
07/27/14	05:09:35.0 PM	5.719
07/27/14	06:09:35.0 PM	5.693
07/27/14	07:09:35.0 PM	5.719
07/27/14	08:09:35.0 PM	5.719
07/27/14	09:09:35.0 PM	5.745
07/27/14	10:09:35.0 PM	5.770
07/27/14	11:09:35.0 PM	5.719
07/28/14	12:09:35.0 AM	5.642
07/28/14	01:09:35.0 AM	5.668
07/28/14	02:09:35.0 AM	5.642
07/28/14	03:09:35.0 AM	5.668
07/28/14	04:09:35.0 AM	5.668
07/28/14	05:09:35.0 AM	5.693
07/28/14	06:09:35.0 AM	5.745
07/28/14	07:09:35.0 AM	5.745
07/28/14	08:09:35.0 AM	5.719
07/28/14	09:09:35.0 AM	5.770
07/28/14	10:09:35.0 AM	5.847
07/28/14	11:09:35.0 AM	5.796
07/28/14	12:09:35.0 PM	5.796
07/28/14	01:09:35.0 PM	13.209
07/28/14	02:09:35.0 PM	13.112
07/28/14	03:09:35.0 PM	13.570
07/28/14	04:09:35.0 PM	5.539
07/28/14	05:09:35.0 PM	5.514
07/28/14	06:09:35.0 PM	5.539
07/28/14	07:09:35.0 PM	5.565
07/28/14	08:09:35.0 PM	5.642
07/28/14	09:09:35.0 PM	5.693
07/28/14	10:09:35.0 PM	5.745
07/28/14	11:09:35.0 PM	5.693
07/29/14	12:09:35.0 AM	5.898
07/29/14	01:09:35.0 AM	5.642
07/29/14	02:09:35.0 AM	5.642
07/29/14	03:09:35.0 AM	5.591
07/29/14	04:09:35.0 AM	5.514
07/29/14	05:09:35.0 AM	5.488
07/29/14	06:09:35.0 AM	5.565
07/29/14	07:09:35.0 AM	5.591
07/29/14	08:09:35.0 AM	5.642
07/29/14	09:09:35.0 AM	12.678
07/29/14	10:09:35.0 AM	12.775
07/29/14	11:09:35.0 AM	12.920
07/29/14	12:09:35.0 PM	12.968
07/29/14	01:09:35.0 PM	12.509
07/29/14	02:09:35.0 PM	12.751
07/29/14	03:09:35.0 PM	5.514
07/29/14	04:09:35.0 PM	5.437
07/29/14	05:09:35.0 PM	5.437
07/29/14	06:09:35.0 PM	5.437
07/29/14	07:09:35.0 PM	5.437
07/29/14	08:09:35.0 PM	5.437
07/29/14	09:09:35.0 PM	5.437
07/29/14	10:09:35.0 PM	5.437
07/29/14	11:09:35.0 PM	5.437
07/30/14	12:09:35.0 AM	5.437
07/30/14	01:09:35.0 AM	5.437
07/30/14	02:09:35.0 AM	5.437
07/30/14	03:09:35.0 AM	5.437
07/30/14	04:09:35.0 AM	5.437
07/30/14	05:09:35.0 AM	5.437
07/30/14	06:09:35.0 AM	5.437
07/30/14	07:09:35.0 AM	5.437
07/30/14	08:09:35.0 AM	5.437
07/30/14	09:09:35.0 AM	5.437
07/30/14	10:09:35.0 AM	5.462
07/30/14	11:09:35.0 AM	13.762
07/30/14	12:09:35.0 PM	13.497
07/30/14	01:09:35.0 PM	14.457
07/30/14	02:09:35.0 PM	14.768
07/30/14	03:09:35.0 PM	5.745
07/30/14	04:09:35.0 PM	5.514
07/30/14	05:09:35.0 PM	5.642
07/30/14	06:09:35.0 PM	5.898
07/30/14	07:09:35.0 PM	5.668
07/30/14	08:09:35.0 PM	5.488
07/30/14	09:09:35.0 PM	5.437
07/30/14	10:09:35.0 PM	5.462
07/30/14	11:09:35.0 PM	5.437
