Date	Time	Temp (°C) c:1
10/20/14	10:36:23.0 AM	21.318
10/20/14	11:36:23.0 AM	8.965
10/20/14	12:36:23.0 PM	8.643
10/20/14	01:36:23.0 PM	9.386
10/20/14	02:36:23.0 PM	5.488
10/20/14	03:36:23.0 PM	5.488
10/20/14	04:36:23.0 PM	5.488
10/20/14	05:36:23.0 PM	5.488
10/20/14	06:36:23.0 PM	5.488
10/20/14	07:36:23.0 PM	5.488
10/20/14	08:36:23.0 PM	5.488
10/20/14	09:36:23.0 PM	5.488
10/20/14	10:36:23.0 PM	5.488
10/20/14	11:36:23.0 PM	5.488
10/21/14	12:36:23.0 AM	5.488
10/21/14	01:36:23.0 AM	5.488
10/21/14	02:36:23.0 AM	5.488
10/21/14	03:36:23.0 AM	5.462
10/21/14	04:36:23.0 AM	5.462
10/21/14	05:36:23.0 AM	5.462
10/21/14	06:36:23.0 AM	5.462
10/21/14	07:36:23.0 AM	5.462
10/21/14	08:36:23.0 AM	5.462
10/21/14	09:36:23.0 AM	6.788
10/21/14	10:36:23.0 AM	6.914
10/21/14	11:36:23.0 AM	7.720
10/21/14	12:36:23.0 PM	10.932
10/21/14	01:36:23.0 PM	9.089
10/21/14	02:36:23.0 PM	8.245
10/21/14	03:36:23.0 PM	7.041
10/21/14	04:36:23.0 PM	7.066
10/21/14	05:36:23.0 PM	7.192
10/21/14	06:36:23.0 PM	7.167
10/21/14	07:36:23.0 PM	7.142
10/21/14	08:36:23.0 PM	7.116
10/21/14	09:36:23.0 PM	7.142
10/21/14	10:36:23.0 PM	7.242
10/21/14	11:36:23.0 PM	7.192
10/22/14	12:36:23.0 AM	7.293
10/22/14	01:36:23.0 AM	7.293
10/22/14	02:36:23.0 AM	7.318
10/22/14	03:36:23.0 AM	7.368
10/22/14	04:36:23.0 AM	7.368
10/22/14	05:36:23.0 AM	7.192
10/22/14	06:36:23.0 AM	7.192
10/22/14	07:36:23.0 AM	7.192
10/22/14	08:36:23.0 AM	7.116
10/22/14	09:36:23.0 AM	7.041
10/22/14	10:36:23.0 AM	7.116
10/22/14	11:36:23.0 AM	7.217
10/22/14	12:36:23.0 PM	7.619
10/22/14	01:36:23.0 PM	7.795
10/22/14	02:36:23.0 PM	7.770
10/22/14	03:36:23.0 PM	7.820
10/22/14	04:36:23.0 PM	7.870
10/22/14	05:36:23.0 PM	7.695
10/22/14	06:36:23.0 PM	6.712
10/22/14	07:36:23.0 PM	5.821
10/22/14	08:36:23.0 PM	5.668
10/22/14	09:36:23.0 PM	5.488
10/22/14	10:36:23.0 PM	5.205
10/22/14	11:36:23.0 PM	5.128
10/23/14	12:36:23.0 AM	4.973
10/23/14	01:36:23.0 AM	5.024
10/23/14	02:36:23.0 AM	4.844
10/23/14	03:36:23.0 AM	4.584
10/23/14	04:36:23.0 AM	4.246
10/23/14	05:36:23.0 AM	4.037
10/23/14	06:36:23.0 AM	4.011
10/23/14	07:36:23.0 AM	3.958
10/23/14	08:36:23.0 AM	4.011
10/23/14	09:36:23.0 AM	4.194
10/23/14	10:36:23.0 AM	4.766
10/23/14	11:36:23.0 AM	5.591
10/23/14	12:36:23.0 PM	6.204
10/23/14	01:36:23.0 PM	6.357
10/23/14	02:36:23.0 PM	6.204
10/23/14	03:36:23.0 PM	6.255
10/23/14	04:36:23.0 PM	6.306
10/23/14	05:36:23.0 PM	6.408
10/23/14	06:36:23.0 PM	6.636
10/23/14	07:36:23.0 PM	6.433
10/23/14	08:36:23.0 PM	6.509
10/23/14	09:36:23.0 PM	6.611
10/23/14	10:36:23.0 PM	6.661
10/23/14	11:36:23.0 PM	6.636
10/24/14	12:36:23.0 AM	6.788
10/24/14	01:36:23.0 AM	6.585
10/24/14	02:36:23.0 AM	6.661
10/24/14	03:36:23.0 AM	6.382
10/24/14	04:36:23.0 AM	6.433
10/24/14	05:36:23.0 AM	6.484
10/24/14	06:36:23.0 AM	6.585
10/24/14	07:36:23.0 AM	6.661
10/24/14	08:36:23.0 AM	6.509
10/24/14	09:36:23.0 AM	6.102
10/24/14	10:36:23.0 AM	6.661
10/24/14	11:36:23.0 AM	6.661
10/24/14	12:36:23.0 PM	7.167
10/24/14	01:36:23.0 PM	7.419
10/24/14	02:36:23.0 PM	8.543
10/24/14	03:36:23.0 PM	7.995
10/24/14	04:36:23.0 PM	6.408
10/24/14	05:36:23.0 PM	6.484
10/24/14	06:36:23.0 PM	6.585
10/24/14	07:36:23.0 PM	6.611
10/24/14	08:36:23.0 PM	6.636
10/24/14	09:36:23.0 PM	6.687
10/24/14	10:36:23.0 PM	6.661
10/24/14	11:36:23.0 PM	6.813
10/25/14	12:36:23.0 AM	6.737
10/25/14	01:36:23.0 AM	6.509
10/25/14	02:36:23.0 AM	6.535
10/25/14	03:36:23.0 AM	6.535
10/25/14	04:36:23.0 AM	6.408
10/25/14	05:36:23.0 AM	6.509
10/25/14	06:36:23.0 AM	6.611
10/25/14	07:36:23.0 AM	6.585
10/25/14	08:36:23.0 AM	6.611
10/25/14	09:36:23.0 AM	6.560
10/25/14	10:36:23.0 AM	6.382
10/25/14	11:36:23.0 AM	6.737
10/25/14	12:36:23.0 PM	6.914
10/25/14	01:36:23.0 PM	7.619
10/25/14	02:36:23.0 PM	8.319
10/25/14	03:36:23.0 PM	5.975
10/25/14	04:36:23.0 PM	5.924
10/25/14	05:36:23.0 PM	5.898
10/25/14	06:36:23.0 PM	5.745
10/25/14	07:36:23.0 PM	5.642
10/25/14	08:36:23.0 PM	5.591
10/25/14	09:36:23.0 PM	5.565
10/25/14	10:36:23.0 PM	5.539
10/25/14	11:36:23.0 PM	5.539
10/26/14	12:36:23.0 AM	5.719
10/26/14	01:36:23.0 AM	5.821
10/26/14	02:36:23.0 AM	5.924
10/26/14	03:36:23.0 AM	5.975
10/26/14	04:36:23.0 AM	5.975
10/26/14	05:36:23.0 AM	5.924
10/26/14	06:36:23.0 AM	5.898
10/26/14	07:36:23.0 AM	5.770
10/26/14	08:36:23.0 AM	5.616
10/26/14	09:36:23.0 AM	5.591
10/26/14	10:36:23.0 AM	5.565
10/26/14	11:36:23.0 AM	5.437
10/26/14	12:36:23.0 PM	5.565
10/26/14	01:36:23.0 PM	5.668
10/26/14	02:36:23.0 PM	6.839
10/26/14	03:36:23.0 PM	6.839
10/26/14	04:36:23.0 PM	6.839
10/26/14	05:36:23.0 PM	6.839
10/26/14	06:36:23.0 PM	6.839
10/26/14	07:36:23.0 PM	6.839
10/26/14	08:36:23.0 PM	6.813
10/26/14	09:36:23.0 PM	6.839
10/26/14	10:36:23.0 PM	6.813
10/26/14	11:36:23.0 PM	6.813
10/27/14	12:36:23.0 AM	6.813
10/27/14	01:36:23.0 AM	6.813
10/27/14	02:36:23.0 AM	6.839
10/27/14	03:36:23.0 AM	6.864
10/27/14	04:36:23.0 AM	6.839
10/27/14	05:36:23.0 AM	6.864
10/27/14	06:36:23.0 AM	6.864
10/27/14	07:36:23.0 AM	6.864
10/27/14	08:36:23.0 AM	6.864
10/27/14	09:36:23.0 AM	3.906
10/27/14	10:36:23.0 AM	4.766
10/27/14	11:36:23.0 AM	5.282
10/27/14	12:36:23.0 PM	5.514
10/27/14	01:36:23.0 PM	6.000
10/27/14	02:36:23.0 PM	6.458
10/27/14	03:36:23.0 PM	7.995
10/27/14	04:36:23.0 PM	7.217
10/27/14	05:36:23.0 PM	7.242
10/27/14	06:36:23.0 PM	6.484
10/27/14	07:36:23.0 PM	6.026
10/27/14	08:36:23.0 PM	5.847
10/27/14	09:36:23.0 PM	5.821
10/27/14	10:36:23.0 PM	5.924
10/27/14	11:36:23.0 PM	5.975
10/28/14	12:36:23.0 AM	6.128
10/28/14	01:36:23.0 AM	6.509
10/28/14	02:36:23.0 AM	6.914
10/28/14	03:36:23.0 AM	7.116
10/28/14	04:36:23.0 AM	7.167
10/28/14	05:36:23.0 AM	7.217
10/28/14	06:36:23.0 AM	7.066
10/28/14	07:36:23.0 AM	6.204
10/28/14	08:36:23.0 AM	5.872
10/28/14	09:36:23.0 AM	5.847
10/28/14	10:36:23.0 AM	5.924
10/28/14	11:36:23.0 AM	5.205
10/28/14	12:36:23.0 PM	5.872
