Date	Time	Temp (°C) c:1
10/06/15	07:21:03.0 AM	13.882
10/06/15	08:21:03.0 AM	16.487
10/06/15	09:21:03.0 AM	17.463
10/06/15	10:21:03.0 AM	18.176
10/06/15	11:21:03.0 AM	18.771
10/06/15	12:21:03.0 PM	18.985
10/06/15	01:21:03.0 PM	10.638
10/06/15	02:21:03.0 PM	10.980
10/06/15	03:21:03.0 PM	7.945
10/06/15	04:21:03.0 PM	7.920
10/06/15	05:21:03.0 PM	7.945
10/06/15	06:21:03.0 PM	7.945
10/06/15	07:21:03.0 PM	7.920
10/06/15	08:21:03.0 PM	7.945
10/06/15	09:21:03.0 PM	7.945
10/06/15	10:21:03.0 PM	7.945
10/06/15	11:21:03.0 PM	7.945
10/07/15	12:21:03.0 AM	7.945
10/07/15	01:21:03.0 AM	7.945
10/07/15	02:21:03.0 AM	7.870
10/07/15	03:21:03.0 AM	7.870
10/07/15	04:21:03.0 AM	7.945
10/07/15	05:21:03.0 AM	7.970
10/07/15	06:21:03.0 AM	7.920
10/07/15	07:21:03.0 AM	7.945
10/07/15	08:21:03.0 AM	7.920
10/07/15	09:21:03.0 AM	7.920
10/07/15	10:21:03.0 AM	7.945
10/07/15	11:21:03.0 AM	6.636
10/07/15	12:21:03.0 PM	6.458
10/07/15	01:21:03.0 PM	6.687
10/07/15	02:21:03.0 PM	8.394
10/07/15	03:21:03.0 PM	7.494
10/07/15	04:21:03.0 PM	7.494
10/07/15	05:21:03.0 PM	7.569
10/07/15	06:21:03.0 PM	7.544
10/07/15	07:21:03.0 PM	7.544
10/07/15	08:21:03.0 PM	7.544
10/07/15	09:21:03.0 PM	7.544
10/07/15	10:21:03.0 PM	7.544
10/07/15	11:21:03.0 PM	7.544
10/08/15	12:21:03.0 AM	7.544
10/08/15	01:21:03.0 AM	7.519
10/08/15	02:21:03.0 AM	7.519
10/08/15	03:21:03.0 AM	7.544
10/08/15	04:21:03.0 AM	7.544
10/08/15	05:21:03.0 AM	7.544
10/08/15	06:21:03.0 AM	7.569
10/08/15	07:21:03.0 AM	7.569
10/08/15	08:21:03.0 AM	7.569
10/08/15	09:21:03.0 AM	8.618
10/08/15	10:21:03.0 AM	8.045
10/08/15	11:21:03.0 AM	7.870
10/08/15	12:21:03.0 PM	7.870
10/08/15	01:21:03.0 PM	8.270
10/08/15	02:21:03.0 PM	8.941
10/08/15	03:21:03.0 PM	9.485
10/08/15	04:21:03.0 PM	9.879
10/08/15	05:21:03.0 PM	6.306
10/08/15	06:21:03.0 PM	6.306
10/08/15	07:21:03.0 PM	6.331
10/08/15	08:21:03.0 PM	6.306
10/08/15	09:21:03.0 PM	6.331
10/08/15	10:21:03.0 PM	6.433
10/08/15	11:21:03.0 PM	6.687
10/09/15	12:21:03.0 AM	6.813
10/09/15	01:21:03.0 AM	6.255
10/09/15	02:21:03.0 AM	6.255
10/09/15	03:21:03.0 AM	6.255
10/09/15	04:21:03.0 AM	6.230
10/09/15	05:21:03.0 AM	6.281
10/09/15	06:21:03.0 AM	6.255
10/09/15	07:21:03.0 AM	6.281
10/09/15	08:21:03.0 AM	6.306
10/09/15	09:21:03.0 AM	6.484
10/09/15	10:21:03.0 AM	8.543
10/09/15	11:21:03.0 AM	9.460
10/09/15	12:21:03.0 PM	9.632
10/09/15	01:21:03.0 PM	9.780
10/09/15	02:21:03.0 PM	6.153
10/09/15	03:21:03.0 PM	6.153
10/09/15	04:21:03.0 PM	6.204
10/09/15	05:21:03.0 PM	6.230
10/09/15	06:21:03.0 PM	6.255
10/09/15	07:21:03.0 PM	6.331
10/09/15	08:21:03.0 PM	6.306
10/09/15	09:21:03.0 PM	6.331
10/09/15	10:21:03.0 PM	6.458
10/09/15	11:21:03.0 PM	6.509
10/10/15	12:21:03.0 AM	6.408
10/10/15	01:21:03.0 AM	6.179
10/10/15	02:21:03.0 AM	6.204
10/10/15	03:21:03.0 AM	6.102
10/10/15	04:21:03.0 AM	6.077
10/10/15	05:21:03.0 AM	6.128
10/10/15	06:21:03.0 AM	6.357
10/10/15	07:21:03.0 AM	6.433
10/10/15	08:21:03.0 AM	8.717
10/10/15	09:21:03.0 AM	9.336
10/10/15	10:21:03.0 AM	9.805
10/10/15	11:21:03.0 AM	9.879
10/10/15	12:21:03.0 PM	10.810
10/10/15	01:21:03.0 PM	10.100
10/10/15	02:21:03.0 PM	12.678
