Date	Time	Temp (°C) c:1
10/22/15	11:11:23.0 AM	18.509
10/22/15	12:11:23.0 PM	8.841
10/22/15	01:11:23.0 PM	10.638
10/22/15	02:11:23.0 PM	10.271
10/22/15	03:11:23.0 PM	6.990
10/22/15	04:11:23.0 PM	6.990
10/22/15	05:11:23.0 PM	7.015
10/22/15	06:11:23.0 PM	7.041
10/22/15	07:11:23.0 PM	7.091
10/22/15	08:11:23.0 PM	7.116
10/22/15	09:11:23.0 PM	7.066
10/22/15	10:11:23.0 PM	7.015
10/22/15	11:11:23.0 PM	7.015
10/23/15	12:11:23.0 AM	7.015
10/23/15	01:11:23.0 AM	7.015
10/23/15	02:11:23.0 AM	7.041
10/23/15	03:11:23.0 AM	7.066
10/23/15	04:11:23.0 AM	6.990
10/23/15	05:11:23.0 AM	7.015
10/23/15	06:11:23.0 AM	7.041
10/23/15	07:11:23.0 AM	7.066
10/23/15	08:11:23.0 AM	7.116
10/23/15	09:11:23.0 AM	7.167
10/23/15	10:11:23.0 AM	7.066
10/23/15	11:11:23.0 AM	5.462
10/23/15	12:11:23.0 PM	5.076
10/23/15	01:11:23.0 PM	5.385
10/23/15	02:11:23.0 PM	7.720
10/23/15	03:11:23.0 PM	7.720
10/23/15	04:11:23.0 PM	7.720
10/23/15	05:11:23.0 PM	7.770
10/23/15	06:11:23.0 PM	7.770
10/23/15	07:11:23.0 PM	7.795
10/23/15	08:11:23.0 PM	7.770
10/23/15	09:11:23.0 PM	7.795
10/23/15	10:11:23.0 PM	7.845
10/23/15	11:11:23.0 PM	7.995
10/24/15	12:11:23.0 AM	7.795
10/24/15	01:11:23.0 AM	7.745
10/24/15	02:11:23.0 AM	7.695
10/24/15	03:11:23.0 AM	7.720
10/24/15	04:11:23.0 AM	7.720
10/24/15	05:11:23.0 AM	7.770
10/24/15	06:11:23.0 AM	7.820
10/24/15	07:11:23.0 AM	7.820
10/24/15	08:11:23.0 AM	4.454
10/24/15	09:11:23.0 AM	4.037
10/24/15	10:11:23.0 AM	4.869
10/24/15	11:11:23.0 AM	5.179
10/24/15	12:11:23.0 PM	5.872
10/24/15	01:11:23.0 PM	5.847
10/24/15	02:11:23.0 PM	6.585
10/24/15	03:11:23.0 PM	6.889
10/24/15	04:11:23.0 PM	6.763
10/24/15	05:11:23.0 PM	6.687
10/24/15	06:11:23.0 PM	6.102
10/24/15	07:11:23.0 PM	5.385
10/24/15	08:11:23.0 PM	5.050
10/24/15	09:11:23.0 PM	4.869
10/24/15	10:11:23.0 PM	4.584
10/24/15	11:11:23.0 PM	4.428
10/25/15	12:11:23.0 AM	4.376
10/25/15	01:11:23.0 AM	4.194
10/25/15	02:11:23.0 AM	4.350
10/25/15	03:11:23.0 AM	4.272
10/25/15	04:11:23.0 AM	4.402
10/25/15	05:11:23.0 AM	4.428
10/25/15	06:11:23.0 AM	4.246
10/25/15	07:11:23.0 AM	4.063
10/25/15	08:11:23.0 AM	3.985
10/25/15	09:11:23.0 AM	4.115
10/25/15	10:11:23.0 AM	4.428
10/25/15	11:11:23.0 AM	4.921
10/25/15	12:11:23.0 PM	5.821
10/25/15	01:11:23.0 PM	5.898
10/25/15	02:11:23.0 PM	5.796
10/25/15	03:11:23.0 PM	9.238
10/25/15	04:11:23.0 PM	6.255
10/25/15	05:11:23.0 PM	6.255
10/25/15	06:11:23.0 PM	6.255
10/25/15	07:11:23.0 PM	6.255
10/25/15	08:11:23.0 PM	6.281
10/25/15	09:11:23.0 PM	6.281
10/25/15	10:11:23.0 PM	6.281
10/25/15	11:11:23.0 PM	6.281
10/26/15	12:11:23.0 AM	6.281
10/26/15	01:11:23.0 AM	6.281
10/26/15	02:11:23.0 AM	6.306
10/26/15	03:11:23.0 AM	6.306
10/26/15	04:11:23.0 AM	6.281
10/26/15	05:11:23.0 AM	6.281
10/26/15	06:11:23.0 AM	6.281
10/26/15	07:11:23.0 AM	6.281
10/26/15	08:11:23.0 AM	6.281
10/26/15	09:11:23.0 AM	6.281
10/26/15	10:11:23.0 AM	6.281
10/26/15	11:11:23.0 AM	6.281
10/26/15	12:11:23.0 PM	6.281
10/26/15	01:11:23.0 PM	6.281
10/26/15	02:11:23.0 PM	6.281
10/26/15	03:11:23.0 PM	6.281
10/26/15	04:11:23.0 PM	6.281
10/26/15	05:11:23.0 PM	6.281
10/26/15	06:11:23.0 PM	6.281
10/26/15	07:11:23.0 PM	6.281
10/26/15	08:11:23.0 PM	6.255
10/26/15	09:11:23.0 PM	6.281
10/26/15	10:11:23.0 PM	6.306
10/26/15	11:11:23.0 PM	6.281
10/27/15	12:11:23.0 AM	6.281
10/27/15	01:11:23.0 AM	6.306
10/27/15	02:11:23.0 AM	6.306
10/27/15	03:11:23.0 AM	6.281
10/27/15	04:11:23.0 AM	6.281
10/27/15	05:11:23.0 AM	6.281
10/27/15	06:11:23.0 AM	6.281
10/27/15	07:11:23.0 AM	6.281
10/27/15	08:11:23.0 AM	6.281
10/27/15	09:11:23.0 AM	6.281
10/27/15	10:11:23.0 AM	6.306
10/27/15	11:11:23.0 AM	6.306
10/27/15	12:11:23.0 PM	6.306
10/27/15	01:11:23.0 PM	6.306
10/27/15	02:11:23.0 PM	6.306
10/27/15	03:11:23.0 PM	6.306
10/27/15	04:11:23.0 PM	6.281
