Date	Time	Temp (°C) c:1
06/22/15	10:57:45.0 AM	23.521
06/22/15	11:57:45.0 AM	17.225
06/22/15	12:57:45.0 PM	18.937
06/22/15	01:57:45.0 PM	19.841
06/22/15	02:57:45.0 PM	5.514
06/22/15	03:57:45.0 PM	5.539
06/22/15	04:57:45.0 PM	5.539
06/22/15	05:57:45.0 PM	5.514
06/22/15	06:57:45.0 PM	5.514
06/22/15	07:57:45.0 PM	5.514
06/22/15	08:57:45.0 PM	5.514
06/22/15	09:57:45.0 PM	5.514
06/22/15	10:57:45.0 PM	5.514
06/22/15	11:57:45.0 PM	5.514
06/23/15	12:57:45.0 AM	5.488
06/23/15	01:57:45.0 AM	5.514
06/23/15	02:57:45.0 AM	5.488
06/23/15	03:57:45.0 AM	5.514
06/23/15	04:57:45.0 AM	5.514
06/23/15	05:57:45.0 AM	5.539
06/23/15	06:57:45.0 AM	5.539
06/23/15	07:57:45.0 AM	5.539
06/23/15	08:57:45.0 AM	5.539
06/23/15	09:57:45.0 AM	5.539
06/23/15	10:57:45.0 AM	16.439
06/23/15	11:57:45.0 AM	15.867
06/23/15	12:57:45.0 PM	16.582
06/23/15	01:57:45.0 PM	24.992
06/23/15	02:57:45.0 PM	5.693
06/23/15	03:57:45.0 PM	5.668
06/23/15	04:57:45.0 PM	5.668
06/23/15	05:57:45.0 PM	5.668
06/23/15	06:57:45.0 PM	5.668
06/23/15	07:57:45.0 PM	5.693
06/23/15	08:57:45.0 PM	5.668
06/23/15	09:57:45.0 PM	5.668
06/23/15	10:57:45.0 PM	5.668
06/23/15	11:57:45.0 PM	5.668
06/24/15	12:57:45.0 AM	5.668
06/24/15	01:57:45.0 AM	5.668
06/24/15	02:57:45.0 AM	5.668
06/24/15	03:57:45.0 AM	5.642
06/24/15	04:57:45.0 AM	5.616
06/24/15	05:57:45.0 AM	5.616
06/24/15	06:57:45.0 AM	5.616
06/24/15	07:57:45.0 AM	5.616
06/24/15	08:57:45.0 AM	13.642
06/24/15	09:57:45.0 AM	14.026
06/24/15	10:57:45.0 AM	14.649
06/24/15	11:57:45.0 AM	15.557
06/24/15	12:57:45.0 PM	16.201
06/24/15	01:57:45.0 PM	17.320
06/24/15	02:57:45.0 PM	18.628
06/24/15	03:57:45.0 PM	5.668
06/24/15	04:57:45.0 PM	5.642
06/24/15	05:57:45.0 PM	5.642
06/24/15	06:57:45.0 PM	5.668
06/24/15	07:57:45.0 PM	5.642
06/24/15	08:57:45.0 PM	5.668
06/24/15	09:57:45.0 PM	5.668
06/24/15	10:57:45.0 PM	5.642
06/24/15	11:57:45.0 PM	5.642
06/25/15	12:57:45.0 AM	5.591
06/25/15	01:57:45.0 AM	5.591
06/25/15	02:57:45.0 AM	5.616
06/25/15	03:57:45.0 AM	5.616
06/25/15	04:57:45.0 AM	5.591
06/25/15	05:57:45.0 AM	5.642
06/25/15	06:57:45.0 AM	5.591
06/25/15	07:57:45.0 AM	5.616
06/25/15	08:57:45.0 AM	5.616
06/25/15	09:57:45.0 AM	5.616
06/25/15	10:57:45.0 AM	5.642
06/25/15	11:57:45.0 AM	15.605
06/25/15	12:57:45.0 PM	15.390
06/25/15	01:57:45.0 PM	16.725
06/25/15	02:57:45.0 PM	5.539
06/25/15	03:57:45.0 PM	5.539
06/25/15	04:57:45.0 PM	5.565
06/25/15	05:57:45.0 PM	5.539
06/25/15	06:57:45.0 PM	5.539
06/25/15	07:57:45.0 PM	5.539
06/25/15	08:57:45.0 PM	5.539
06/25/15	09:57:45.0 PM	5.539
06/25/15	10:57:45.0 PM	5.539
06/25/15	11:57:45.0 PM	5.565
06/26/15	12:57:45.0 AM	5.565
06/26/15	01:57:45.0 AM	5.565
06/26/15	02:57:45.0 AM	5.539
06/26/15	03:57:45.0 AM	5.539
06/26/15	04:57:45.0 AM	5.539
06/26/15	05:57:45.0 AM	5.565
06/26/15	06:57:45.0 AM	5.539
06/26/15	07:57:45.0 AM	5.539
06/26/15	08:57:45.0 AM	8.444
06/26/15	09:57:45.0 AM	12.703
06/26/15	10:57:45.0 AM	13.064
06/26/15	11:57:45.0 AM	12.582
06/26/15	12:57:45.0 PM	12.654
06/26/15	01:57:45.0 PM	12.992
06/26/15	02:57:45.0 PM	13.305
06/26/15	03:57:45.0 PM	5.770
06/26/15	04:57:45.0 PM	5.770
06/26/15	05:57:45.0 PM	5.770
06/26/15	06:57:45.0 PM	5.770
06/26/15	07:57:45.0 PM	5.770
06/26/15	08:57:45.0 PM	5.770
06/26/15	09:57:45.0 PM	5.745
06/26/15	10:57:45.0 PM	5.745
06/26/15	11:57:45.0 PM	5.770
06/27/15	12:57:45.0 AM	5.796
06/27/15	01:57:45.0 AM	5.770
06/27/15	02:57:45.0 AM	5.745
06/27/15	03:57:45.0 AM	5.745
