Date	Time	Temp (°C) c:1
07/10/15	09:36:19.0 AM	21.437
07/10/15	10:36:19.0 AM	17.391
07/10/15	11:36:19.0 AM	16.010
07/10/15	12:36:19.0 PM	16.677
07/10/15	01:36:19.0 PM	17.605
07/10/15	02:36:19.0 PM	7.469
07/10/15	03:36:19.0 PM	7.870
07/10/15	04:36:19.0 PM	7.920
07/10/15	05:36:19.0 PM	7.645
07/10/15	06:36:19.0 PM	7.569
07/10/15	07:36:19.0 PM	7.519
07/10/15	08:36:19.0 PM	7.594
07/10/15	09:36:19.0 PM	7.519
07/10/15	10:36:19.0 PM	7.745
07/10/15	11:36:19.0 PM	7.670
07/11/15	12:36:19.0 AM	7.619
07/11/15	01:36:19.0 AM	7.419
07/11/15	02:36:19.0 AM	7.544
07/11/15	03:36:19.0 AM	7.569
07/11/15	04:36:19.0 AM	7.594
07/11/15	05:36:19.0 AM	7.544
07/11/15	06:36:19.0 AM	7.594
07/11/15	07:36:19.0 AM	7.645
07/11/15	08:36:19.0 AM	13.810
07/11/15	09:36:19.0 AM	14.194
07/11/15	10:36:19.0 AM	14.697
07/11/15	11:36:19.0 AM	14.792
07/11/15	12:36:19.0 PM	15.796
07/11/15	01:36:19.0 PM	14.745
07/11/15	02:36:19.0 PM	7.519
07/11/15	03:36:19.0 PM	7.870
07/11/15	04:36:19.0 PM	7.870
07/11/15	05:36:19.0 PM	7.619
07/11/15	06:36:19.0 PM	7.795
07/11/15	07:36:19.0 PM	7.469
07/11/15	08:36:19.0 PM	7.519
07/11/15	09:36:19.0 PM	7.519
07/11/15	10:36:19.0 PM	7.519
07/11/15	11:36:19.0 PM	7.594
07/12/15	12:36:19.0 AM	7.569
07/12/15	01:36:19.0 AM	7.393
07/12/15	02:36:19.0 AM	7.920
07/12/15	03:36:19.0 AM	7.945
07/12/15	04:36:19.0 AM	7.970
07/12/15	05:36:19.0 AM	7.645
07/12/15	06:36:19.0 AM	7.870
07/12/15	07:36:19.0 AM	7.569
07/12/15	08:36:19.0 AM	7.519
07/12/15	09:36:19.0 AM	7.619
07/12/15	10:36:19.0 AM	15.199
07/12/15	11:36:19.0 AM	14.577
07/12/15	12:36:19.0 PM	14.697
07/12/15	01:36:19.0 PM	14.697
07/12/15	02:36:19.0 PM	15.151
07/12/15	03:36:19.0 PM	15.796
07/12/15	04:36:19.0 PM	14.936
07/12/15	05:36:19.0 PM	14.816
07/12/15	06:36:19.0 PM	14.649
07/12/15	07:36:19.0 PM	14.912
07/12/15	08:36:19.0 PM	14.409
07/12/15	09:36:19.0 PM	14.337
07/12/15	10:36:19.0 PM	14.361
07/12/15	11:36:19.0 PM	14.218
07/13/15	12:36:19.0 AM	14.170
07/13/15	01:36:19.0 AM	14.050
07/13/15	02:36:19.0 AM	13.954
07/13/15	03:36:19.0 AM	13.497
07/13/15	04:36:19.0 AM	13.377
07/13/15	05:36:19.0 AM	13.329
07/13/15	06:36:19.0 AM	13.449
07/13/15	07:36:19.0 AM	13.642
07/13/15	08:36:19.0 AM	13.786
07/13/15	09:36:19.0 AM	13.738
07/13/15	10:36:19.0 AM	14.026
07/13/15	11:36:19.0 AM	14.194
07/13/15	12:36:19.0 PM	13.762
07/13/15	01:36:19.0 PM	14.481
07/13/15	02:36:19.0 PM	6.051
07/13/15	03:36:19.0 PM	6.102
07/13/15	04:36:19.0 PM	6.102
07/13/15	05:36:19.0 PM	6.077
07/13/15	06:36:19.0 PM	6.102
07/13/15	07:36:19.0 PM	6.128
07/13/15	08:36:19.0 PM	6.077
07/13/15	09:36:19.0 PM	6.051
07/13/15	10:36:19.0 PM	6.051
07/13/15	11:36:19.0 PM	6.051
07/14/15	12:36:19.0 AM	6.051
07/14/15	01:36:19.0 AM	6.051
07/14/15	02:36:19.0 AM	6.077
07/14/15	03:36:19.0 AM	6.077
07/14/15	04:36:19.0 AM	6.102
07/14/15	05:36:19.0 AM	6.128
07/14/15	06:36:19.0 AM	6.128
07/14/15	07:36:19.0 AM	6.102
07/14/15	08:36:19.0 AM	6.051
07/14/15	09:36:19.0 AM	13.738
07/14/15	10:36:19.0 AM	13.738
07/14/15	11:36:19.0 AM	13.762
07/14/15	12:36:19.0 PM	14.314
07/14/15	01:36:19.0 PM	14.601
07/14/15	02:36:19.0 PM	9.903
07/14/15	03:36:19.0 PM	5.719
