Date	Time	Temp (°C) c:1
07/21/15	12:35:00.0 PM	18.747
07/21/15	01:35:00.0 PM	13.690
07/21/15	02:35:00.0 PM	15.819
07/21/15	03:35:00.0 PM	7.770
07/21/15	04:35:00.0 PM	7.268
07/21/15	05:35:00.0 PM	6.813
07/21/15	06:35:00.0 PM	7.217
07/21/15	07:35:00.0 PM	7.015
07/21/15	08:35:00.0 PM	6.839
07/21/15	09:35:00.0 PM	7.393
07/21/15	10:35:00.0 PM	7.318
07/21/15	11:35:00.0 PM	7.670
07/22/15	12:35:00.0 AM	8.344
07/22/15	01:35:00.0 AM	8.170
07/22/15	02:35:00.0 AM	7.895
07/22/15	03:35:00.0 AM	7.670
07/22/15	04:35:00.0 AM	7.217
07/22/15	05:35:00.0 AM	7.015
07/22/15	06:35:00.0 AM	6.788
07/22/15	07:35:00.0 AM	7.419
07/22/15	08:35:00.0 AM	7.091
07/22/15	09:35:00.0 AM	7.217
07/22/15	10:35:00.0 AM	12.847
07/22/15	11:35:00.0 AM	12.316
07/22/15	12:35:00.0 PM	13.329
07/22/15	01:35:00.0 PM	14.146
07/22/15	02:35:00.0 PM	6.585
07/22/15	03:35:00.0 PM	6.585
07/22/15	04:35:00.0 PM	6.611
07/22/15	05:35:00.0 PM	6.611
07/22/15	06:35:00.0 PM	6.611
07/22/15	07:35:00.0 PM	6.611
07/22/15	08:35:00.0 PM	6.611
07/22/15	09:35:00.0 PM	6.611
07/22/15	10:35:00.0 PM	6.611
07/22/15	11:35:00.0 PM	6.611
07/23/15	12:35:00.0 AM	6.611
07/23/15	01:35:00.0 AM	6.611
07/23/15	02:35:00.0 AM	6.611
07/23/15	03:35:00.0 AM	6.611
07/23/15	04:35:00.0 AM	6.636
07/23/15	05:35:00.0 AM	6.636
07/23/15	06:35:00.0 AM	6.661
07/23/15	07:35:00.0 AM	6.687
07/23/15	08:35:00.0 AM	11.029
07/23/15	09:35:00.0 AM	11.467
07/23/15	10:35:00.0 AM	11.492
07/23/15	11:35:00.0 AM	11.686
07/23/15	12:35:00.0 PM	12.243
07/23/15	01:35:00.0 PM	12.727
07/23/15	02:35:00.0 PM	6.560
