Date	Time	Temp (°C) c:1
06/22/15	10:56:16.0 AM	22.465
06/22/15	11:56:16.0 AM	17.486
06/22/15	12:56:16.0 PM	18.343
06/22/15	01:56:16.0 PM	22.753
06/22/15	02:56:16.0 PM	5.437
06/22/15	03:56:16.0 PM	5.462
06/22/15	04:56:16.0 PM	5.488
06/22/15	05:56:16.0 PM	5.488
06/22/15	06:56:16.0 PM	5.488
06/22/15	07:56:16.0 PM	5.488
06/22/15	08:56:16.0 PM	5.437
06/22/15	09:56:16.0 PM	5.437
06/22/15	10:56:16.0 PM	5.462
06/22/15	11:56:16.0 PM	5.437
06/23/15	12:56:16.0 AM	5.437
06/23/15	01:56:16.0 AM	5.437
06/23/15	02:56:16.0 AM	5.437
06/23/15	03:56:16.0 AM	5.437
06/23/15	04:56:16.0 AM	5.437
06/23/15	05:56:16.0 AM	5.462
06/23/15	06:56:16.0 AM	5.488
06/23/15	07:56:16.0 AM	5.488
06/23/15	08:56:16.0 AM	5.488
06/23/15	09:56:16.0 AM	16.129
06/23/15	10:56:16.0 AM	15.485
06/23/15	11:56:16.0 AM	15.199
06/23/15	12:56:16.0 PM	15.796
06/23/15	01:56:16.0 PM	17.320
06/23/15	02:56:16.0 PM	5.539
06/23/15	03:56:16.0 PM	5.539
06/23/15	04:56:16.0 PM	5.539
06/23/15	05:56:16.0 PM	5.539
06/23/15	06:56:16.0 PM	5.565
06/23/15	07:56:16.0 PM	5.539
06/23/15	08:56:16.0 PM	5.539
06/23/15	09:56:16.0 PM	5.539
06/23/15	10:56:16.0 PM	5.539
06/23/15	11:56:16.0 PM	5.539
06/24/15	12:56:16.0 AM	5.539
06/24/15	01:56:16.0 AM	5.539
06/24/15	02:56:16.0 AM	5.539
06/24/15	03:56:16.0 AM	5.565
06/24/15	04:56:16.0 AM	5.565
06/24/15	05:56:16.0 AM	5.565
06/24/15	06:56:16.0 AM	5.565
06/24/15	07:56:16.0 AM	5.539
06/24/15	08:56:16.0 AM	5.565
06/24/15	09:56:16.0 AM	15.700
06/24/15	10:56:16.0 AM	18.438
06/24/15	11:56:16.0 AM	19.698
06/24/15	12:56:16.0 PM	20.484
06/24/15	01:56:16.0 PM	22.800
06/24/15	02:56:16.0 PM	8.145
06/24/15	03:56:16.0 PM	5.488
06/24/15	04:56:16.0 PM	5.488
06/24/15	05:56:16.0 PM	5.488
06/24/15	06:56:16.0 PM	5.488
06/24/15	07:56:16.0 PM	5.514
06/24/15	08:56:16.0 PM	5.514
06/24/15	09:56:16.0 PM	5.514
06/24/15	10:56:16.0 PM	5.488
06/24/15	11:56:16.0 PM	5.488
06/25/15	12:56:16.0 AM	5.488
06/25/15	01:56:16.0 AM	5.488
06/25/15	02:56:16.0 AM	5.488
06/25/15	03:56:16.0 AM	5.488
06/25/15	04:56:16.0 AM	5.488
