"Date Time, GMT-08:00"	"Temp, °C (LGR S/N: 10325634, SEN S/N: 10325634)"	"Bad Battery (LGR S/N: 10325634)"	"Coupler Detached (LGR S/N: 10325634)"	"Good Battery (LGR S/N: 10325634)"	"Coupler Attached (LGR S/N: 10325634)"	"Host Connected (LGR S/N: 10325634)"	"Stopped (LGR S/N: 10325634)"	"End Of File (LGR S/N: 10325634)"
10/25/16 09:28:18 AM	17.320	Logged						
10/25/16 09:28:21 AM			Logged					
10/25/16 10:28:18 AM	17.272							
10/25/16 11:28:18 AM	16.939							
10/25/16 12:28:18 PM	16.892							
10/25/16 01:28:18 PM	10.418							
10/25/16 02:28:18 PM	11.662							
10/25/16 03:28:18 PM	6.509			Logged				
10/25/16 04:28:18 PM	6.560							
10/25/16 05:28:18 PM	6.611							
10/25/16 06:28:18 PM	6.611							
10/25/16 07:28:18 PM	6.611							
10/25/16 08:28:18 PM	6.712							
10/25/16 09:28:18 PM	6.813							
10/25/16 10:28:18 PM	6.788							
10/25/16 11:28:18 PM	6.611							
10/26/16 12:28:18 AM	6.535							
10/26/16 01:28:18 AM	6.357							
10/26/16 02:28:18 AM	6.382							
10/26/16 03:28:18 AM	6.458							
10/26/16 04:28:18 AM	6.509							
10/26/16 05:28:18 AM	6.535							
10/26/16 06:28:18 AM	6.636							
10/26/16 07:28:18 AM	6.712							
10/26/16 08:28:18 AM	6.712							
10/26/16 09:28:18 AM	6.788							
10/26/16 10:28:18 AM	6.585							
10/26/16 11:28:18 AM	5.693							
10/26/16 12:28:18 PM	6.000							
10/26/16 01:28:18 PM	9.064							
10/26/16 02:28:18 PM	6.687							
10/26/16 03:28:18 PM	6.535							
10/26/16 04:28:18 PM	6.661							
10/26/16 05:28:18 PM	6.763							
10/26/16 06:28:18 PM	6.864							
10/26/16 07:28:18 PM	6.839							
10/26/16 08:28:18 PM	6.889							
10/26/16 09:28:18 PM	6.914							
10/26/16 10:28:18 PM	6.839							
10/26/16 11:28:18 PM	6.914							
10/27/16 12:28:18 AM	6.914							
10/27/16 01:28:18 AM	6.990							
10/27/16 02:28:18 AM	7.066							
10/27/16 03:28:18 AM	7.142							
10/27/16 04:28:18 AM	6.585							
10/27/16 05:28:18 AM	7.041							
10/27/16 06:28:18 AM	6.687							
10/27/16 07:28:18 AM	6.813							
10/27/16 08:28:18 AM	5.102							
10/27/16 09:28:18 AM	4.818							
10/27/16 10:28:18 AM	4.921							
10/27/16 11:28:18 AM	5.154							
10/27/16 12:28:18 PM	5.076							
10/27/16 01:28:18 PM	5.205							
10/27/16 02:28:18 PM	4.921							
10/27/16 03:28:18 PM	5.205							
10/27/16 04:28:18 PM	7.469							
10/27/16 05:28:18 PM	7.494							
10/27/16 06:28:18 PM	7.494							
10/27/16 07:28:18 PM	7.494							
10/27/16 08:28:18 PM	7.494							
10/27/16 09:28:18 PM	7.519							
10/27/16 10:28:18 PM	7.519							
10/27/16 11:28:18 PM	7.494							
10/28/16 12:28:18 AM	7.494							
10/28/16 01:28:18 AM	7.519							
10/28/16 02:28:18 AM	7.494							
10/28/16 03:28:18 AM	7.519							
10/28/16 04:28:18 AM	7.469							
10/28/16 05:28:18 AM	7.469							
10/28/16 06:28:18 AM	7.469							
10/28/16 07:28:18 AM	7.494							
10/28/16 08:28:18 AM	7.494							
10/28/16 09:28:18 AM	7.494							
10/28/16 10:28:18 AM	7.494							
10/28/16 11:28:18 AM	7.494							
10/28/16 12:28:18 PM	7.192							
10/28/16 01:28:18 PM	7.217							
10/28/16 02:28:18 PM	7.544							
10/28/16 03:28:18 PM	7.519							
10/28/16 04:28:18 PM	7.519							
10/28/16 05:28:18 PM	7.519							
10/28/16 06:28:18 PM	7.519							
10/28/16 07:28:18 PM	7.519							
10/28/16 08:28:18 PM	7.519							
10/28/16 09:28:18 PM	7.519							
10/28/16 10:28:18 PM	7.544							
10/28/16 11:28:18 PM	7.544							
10/29/16 12:28:18 AM	7.494							
10/29/16 01:28:18 AM	7.494							
10/29/16 02:28:18 AM	7.494							
10/29/16 03:28:18 AM	7.519							
10/29/16 04:28:18 AM	7.519							
10/29/16 05:28:18 AM	7.519							
10/29/16 06:28:18 AM	7.519							
10/29/16 07:28:18 AM	7.519							
10/29/16 08:28:18 AM	7.519							
10/29/16 09:23:05 AM					Logged	Logged		
10/29/16 09:23:12 AM							Logged	Logged
