"Date Time, GMT-08:00"	"Temp, °C (LGR S/N: 10137839, SEN S/N: 10137839)"	"Bad Battery (LGR S/N: 10137839)"	"Coupler Detached (LGR S/N: 10137839)"	"Good Battery (LGR S/N: 10137839)"	"Coupler Attached (LGR S/N: 10137839)"	"Host Connected (LGR S/N: 10137839)"	"Stopped (LGR S/N: 10137839)"	"End Of File (LGR S/N: 10137839)"
10/04/16 07:33:19 AM	16.773	Logged						
10/04/16 07:33:22 AM			Logged					
10/04/16 08:33:19 AM	16.511							
10/04/16 09:33:19 AM	16.225							
10/04/16 10:33:19 AM	14.673							
10/04/16 11:33:19 AM	10.296							
10/04/16 12:33:19 PM	16.582							
10/04/16 01:33:19 PM	7.066			Logged				
10/04/16 02:33:19 PM	6.965							
10/04/16 03:33:19 PM	6.940							
10/04/16 04:33:19 PM	6.965							
10/04/16 05:33:19 PM	6.965							
10/04/16 06:33:19 PM	6.965							
10/04/16 07:33:19 PM	6.889							
10/04/16 08:33:19 PM	6.864							
10/04/16 09:33:19 PM	6.839							
10/04/16 10:33:19 PM	6.864							
10/04/16 11:33:19 PM	6.864							
10/05/16 12:33:19 AM	6.940							
10/05/16 01:33:19 AM	7.015							
10/05/16 02:33:19 AM	7.066							
10/05/16 03:33:19 AM	6.990							
10/05/16 04:33:19 AM	6.965							
10/05/16 05:33:19 AM	6.990							
10/05/16 06:33:19 AM	7.066							
10/05/16 07:33:19 AM	6.990							
10/05/16 08:33:19 AM	5.282							
10/05/16 09:33:19 AM	5.205							
10/05/16 10:33:19 AM	4.947							
10/05/16 11:33:19 AM	5.488							
10/05/16 12:33:19 PM	5.642							
10/05/16 01:33:19 PM	5.949							
10/05/16 02:33:19 PM	7.945							
10/05/16 03:33:19 PM	7.444							
10/05/16 04:33:19 PM	7.444							
10/05/16 05:33:19 PM	7.444							
10/05/16 06:33:19 PM	7.444							
10/05/16 07:33:19 PM	7.444							
10/05/16 08:33:19 PM	7.444							
10/05/16 09:33:19 PM	7.444							
10/05/16 10:33:19 PM	7.444							
10/05/16 11:33:19 PM	7.444							
10/06/16 12:33:19 AM	7.444							
10/06/16 01:33:19 AM	7.444							
10/06/16 02:33:19 AM	7.444							
10/06/16 03:33:19 AM	7.444							
10/06/16 04:33:19 AM	7.444							
10/06/16 05:33:19 AM	7.444							
10/06/16 06:33:19 AM	7.444							
10/06/16 07:33:19 AM	7.444							
10/06/16 08:33:19 AM	7.444							
10/06/16 09:33:19 AM	7.444							
10/06/16 10:33:19 AM	7.444							
10/06/16 11:33:19 AM	7.268							
10/06/16 12:33:19 PM	6.965							
10/06/16 01:33:19 PM	6.737							
10/06/16 02:33:19 PM	8.295							
10/06/16 03:33:19 PM	11.783							
10/06/16 04:33:19 PM	9.534							
10/06/16 05:33:19 PM	9.460							
10/06/16 06:33:19 PM	8.145							
10/06/16 07:33:19 PM	7.343							
10/06/16 08:33:19 PM	7.469							
10/06/16 09:33:19 PM	6.585							
10/06/16 10:33:19 PM	7.015							
10/06/16 11:33:19 PM	7.268							
10/07/16 12:33:19 AM	7.192							
10/07/16 01:33:19 AM	7.041							
10/07/16 02:33:19 AM	6.636							
10/07/16 03:33:19 AM	6.585							
10/07/16 04:33:19 AM	7.293							
10/07/16 05:33:19 AM	6.687							
10/07/16 06:33:19 AM	8.792							
10/07/16 07:33:19 AM	9.238							
10/07/16 08:33:19 AM	10.590							
10/07/16 09:33:19 AM	12.219							
10/07/16 10:33:19 AM	13.618							
10/07/16 11:33:19 AM	15.772							
10/07/16 12:33:19 PM	16.654							
10/07/16 01:33:19 PM	6.408							
10/07/16 02:33:19 PM	6.458							
10/07/16 03:33:19 PM	6.535							
10/07/16 04:33:19 PM	6.484							
10/07/16 05:33:19 PM	6.535							
10/07/16 06:33:19 PM	6.687							
10/07/16 07:33:19 PM	6.788							
10/07/16 08:33:19 PM	6.737							
10/07/16 09:33:19 PM	6.560							
10/07/16 10:33:19 PM	6.484							
10/07/16 11:33:19 PM	6.331							
10/08/16 12:33:19 AM	6.331							
10/08/16 01:33:19 AM	6.281							
10/08/16 02:33:19 AM	6.408							
10/08/16 03:33:19 AM	6.484							
10/08/16 04:33:19 AM	6.535							
10/08/16 05:33:19 AM	6.535							
10/08/16 06:33:19 AM	6.560							
10/08/16 07:33:19 AM	6.611							
10/08/16 08:33:19 AM	5.385							
10/08/16 09:33:19 AM	5.257							
10/08/16 10:33:19 AM	5.437							
10/08/16 11:33:19 AM	6.000							
10/08/16 12:33:19 PM	6.509							
10/08/16 01:33:19 PM	7.116							
10/08/16 02:33:19 PM	7.820							
10/08/16 03:33:19 PM	9.805							
10/08/16 04:33:19 PM	9.361							
10/08/16 05:33:19 PM	9.040							
10/08/16 06:33:19 PM	8.767							
10/08/16 07:33:19 PM	8.195							
10/08/16 08:33:19 PM	6.965							
10/08/16 09:33:19 PM	6.281							
10/08/16 10:33:19 PM	5.616							
10/08/16 11:33:19 PM	5.462							
10/09/16 12:33:19 AM	4.973							
10/09/16 01:33:19 AM	4.844							
10/09/16 02:33:19 AM	4.610							
10/09/16 03:33:19 AM	4.454							
10/09/16 04:33:19 AM	4.115							
10/09/16 05:33:19 AM	3.801							
10/09/16 06:33:19 AM	3.327							
10/09/16 07:33:19 AM	2.850							
10/09/16 08:33:19 AM	3.248							
10/09/16 09:33:19 AM	5.872							
10/09/16 10:33:19 AM	5.437							
10/09/16 11:33:19 AM	6.204							
10/09/16 12:33:19 PM	6.965							
10/09/16 01:33:19 PM	7.745							
10/09/16 02:33:19 PM	7.544							
10/09/16 03:33:19 PM	9.682							
10/09/16 04:33:19 PM	6.509							
10/09/16 05:33:19 PM	6.509							
10/09/16 06:33:19 PM	6.484							
