"Date Time, GMT-08:00"	"Temp, °C (LGR S/N: 10378085, SEN S/N: 10378085)"	"Coupler Detached (LGR S/N: 10378085)"	"Coupler Attached (LGR S/N: 10378085)"	"Host Connected (LGR S/N: 10378085)"	"Stopped (LGR S/N: 10378085)"	"End Of File (LGR S/N: 10378085)"
10/04/16 07:25:31 AM	18.794					
10/04/16 07:25:34 AM		Logged				
10/04/16 08:25:31 AM	17.296					
10/04/16 09:25:31 AM	17.272					
10/04/16 10:25:31 AM	17.582					
10/04/16 11:25:31 AM	9.015					
10/04/16 12:25:31 PM	12.025					
10/04/16 01:25:31 PM	12.437					
10/04/16 02:25:31 PM	7.192					
10/04/16 03:25:31 PM	7.041					
10/04/16 04:25:31 PM	7.091					
10/04/16 05:25:31 PM	7.041					
10/04/16 06:25:31 PM	7.041					
10/04/16 07:25:31 PM	6.990					
10/04/16 08:25:31 PM	7.041					
10/04/16 09:25:31 PM	7.167					
10/04/16 10:25:31 PM	7.192					
10/04/16 11:25:31 PM	7.167					
10/05/16 12:25:31 AM	7.142					
10/05/16 01:25:31 AM	7.091					
10/05/16 02:25:31 AM	7.066					
10/05/16 03:25:31 AM	7.142					
10/05/16 04:25:31 AM	7.142					
10/05/16 05:25:31 AM	7.142					
10/05/16 06:25:31 AM	7.015					
10/05/16 07:25:31 AM	7.041					
10/05/16 08:25:31 AM	7.091					
10/05/16 09:25:31 AM	7.091					
10/05/16 10:25:31 AM	5.539					
10/05/16 11:25:31 AM	5.745					
10/05/16 12:25:31 PM	5.514					
10/05/16 01:25:31 PM	6.102					
10/05/16 02:25:31 PM	7.419					
10/05/16 03:25:31 PM	7.444					
10/05/16 04:25:31 PM	7.419					
10/05/16 05:25:31 PM	7.419					
10/05/16 06:25:31 PM	7.393					
10/05/16 07:25:31 PM	7.393					
10/05/16 08:25:31 PM	7.393					
10/05/16 09:25:31 PM	7.393					
10/05/16 10:25:31 PM	7.393					
10/05/16 11:25:31 PM	7.419					
10/06/16 12:25:31 AM	7.419					
10/06/16 01:25:31 AM	7.444					
10/06/16 02:25:31 AM	7.419					
10/06/16 03:25:31 AM	7.419					
10/06/16 04:25:31 AM	7.419					
10/06/16 05:25:31 AM	7.419					
10/06/16 06:25:31 AM	7.393					
10/06/16 07:25:31 AM	7.419					
10/06/16 08:25:31 AM	7.393					
10/06/16 09:25:31 AM	5.975					
10/06/16 10:25:31 AM	6.535					
10/06/16 11:25:31 AM	7.041					
10/06/16 12:25:31 PM	7.419					
10/06/16 01:25:31 PM	7.995					
10/06/16 02:25:31 PM	9.632					
10/06/16 03:25:31 PM	12.896					
10/06/16 04:25:31 PM	11.273					
10/06/16 05:25:31 PM	10.516					
10/06/16 06:25:31 PM	9.089					
10/06/16 07:25:31 PM	7.494					
10/06/16 08:25:31 PM	7.343					
10/06/16 09:25:31 PM	5.949					
10/06/16 10:25:31 PM	5.975					
10/06/16 11:25:31 PM	6.965					
10/07/16 12:25:31 AM	6.763					
10/07/16 01:25:31 AM	6.331					
10/07/16 02:25:31 AM	5.872					
10/07/16 03:25:31 AM	6.179					
10/07/16 04:25:31 AM	6.230					
10/07/16 05:25:31 AM	5.975					
10/07/16 06:25:31 AM	8.817					
10/07/16 07:25:31 AM	9.114					
10/07/16 08:25:31 AM	11.078					
10/07/16 09:25:31 AM	12.654					
10/07/16 10:25:31 AM	15.963					
10/07/16 11:25:31 AM	18.271					
10/07/16 12:25:31 PM	18.247					
10/07/16 01:25:31 PM	15.247					
10/07/16 02:25:31 PM	15.963					
10/07/16 03:25:31 PM	6.611					
10/07/16 04:25:31 PM	6.611					
10/07/16 05:25:31 PM	6.611					
10/07/16 06:25:31 PM	6.611					
10/07/16 07:25:31 PM	6.611					
10/07/16 08:25:31 PM	6.611					
10/07/16 09:25:31 PM	6.611					
10/07/16 10:25:31 PM	6.611					
10/07/16 11:25:31 PM	6.611					
10/08/16 12:25:31 AM	6.611					
10/08/16 01:25:31 AM	6.611					
10/08/16 02:25:31 AM	6.611					
10/08/16 03:25:31 AM	6.611					
10/08/16 04:25:31 AM	6.611					
10/08/16 05:25:31 AM	6.611					
10/08/16 06:25:31 AM	6.611					
10/08/16 07:25:31 AM	6.611					
10/08/16 08:25:31 AM	6.611					
10/08/16 09:25:31 AM	6.611					
10/08/16 10:25:31 AM	6.611					
10/08/16 11:25:31 AM	6.484					
10/08/16 12:25:31 PM	6.128					
10/08/16 01:25:31 PM	6.281					
10/08/16 02:25:31 PM	10.712					
10/08/16 03:25:31 PM	6.433					
10/08/16 04:25:31 PM	6.433					
10/08/16 05:25:31 PM	6.433					
10/08/16 06:25:31 PM	6.433					
10/08/16 07:25:31 PM	6.433					
10/08/16 08:25:31 PM	6.433					
10/08/16 09:25:31 PM	6.433					
10/08/16 10:25:31 PM	6.433					
10/08/16 11:25:31 PM	6.433					
10/09/16 12:25:31 AM	6.433					
10/09/16 01:25:31 AM	6.433					
10/09/16 02:25:31 AM	6.433					
10/09/16 03:25:31 AM	6.433					
10/09/16 04:25:31 AM	6.433					
10/09/16 05:25:31 AM	6.433					
10/09/16 06:25:31 AM	6.433					
10/09/16 07:25:31 AM	6.433					
10/09/16 08:25:31 AM	6.433					
10/09/16 09:25:31 AM	6.433					
10/09/16 10:25:31 AM	6.433					
10/09/16 11:25:31 AM	6.433					
10/09/16 12:25:31 PM	8.245					
10/09/16 01:25:31 PM	7.142					
10/09/16 02:25:31 PM	6.433					
10/09/16 03:25:31 PM	6.433					
10/09/16 04:25:31 PM	6.433					
10/09/16 05:25:31 PM	6.433					
10/09/16 06:25:31 PM	6.433					
10/09/16 07:25:31 PM	6.433					
10/09/16 08:25:31 PM	6.408					
10/09/16 09:25:31 PM	6.408					
10/09/16 10:25:31 PM	6.408					
10/09/16 11:25:31 PM	6.433					
10/10/16 12:25:31 AM	6.433					
10/10/16 01:25:31 AM	6.433					
10/10/16 02:25:31 AM	6.433					
10/10/16 03:25:31 AM	6.408					
10/10/16 04:25:31 AM	6.408					
10/10/16 05:25:31 AM	6.433					
10/10/16 06:25:31 AM	6.433					
10/10/16 07:25:31 AM	6.433					
10/10/16 08:25:31 AM	3.009					
10/10/16 09:25:31 AM	3.433					
10/10/16 10:25:31 AM	5.975					
10/10/16 11:14:01 AM			Logged	Logged		
10/10/16 11:14:10 AM					Logged	Logged
