"Date Time, GMT-08:00"	"Temp, °C (LGR S/N: 10325637, SEN S/N: 10325637)"	"Coupler Detached (LGR S/N: 10325637)"	"Coupler Attached (LGR S/N: 10325637)"	"Host Connected (LGR S/N: 10325637)"	"Stopped (LGR S/N: 10325637)"	"End Of File (LGR S/N: 10325637)"
10/04/16 07:27:11 AM	17.843					
10/04/16 07:27:16 AM		Logged				
10/04/16 08:27:11 AM	17.106					
10/04/16 09:27:11 AM	16.654					
10/04/16 10:27:11 AM	16.558					
10/04/16 11:27:11 AM	9.435					
10/04/16 12:27:11 PM	13.329					
10/04/16 01:27:11 PM	13.329					
10/04/16 02:27:11 PM	7.419					
10/04/16 03:27:11 PM	7.318					
10/04/16 04:27:11 PM	7.318					
10/04/16 05:27:11 PM	7.318					
10/04/16 06:27:11 PM	7.167					
10/04/16 07:27:11 PM	7.217					
10/04/16 08:27:11 PM	7.091					
10/04/16 09:27:11 PM	7.293					
10/04/16 10:27:11 PM	7.293					
10/04/16 11:27:11 PM	7.192					
10/05/16 12:27:11 AM	7.293					
10/05/16 01:27:11 AM	7.343					
10/05/16 02:27:11 AM	7.393					
10/05/16 03:27:11 AM	7.268					
10/05/16 04:27:11 AM	7.368					
10/05/16 05:27:11 AM	7.293					
10/05/16 06:27:11 AM	7.242					
10/05/16 07:27:11 AM	7.293					
10/05/16 08:27:11 AM	7.343					
10/05/16 09:27:11 AM	7.217					
10/05/16 10:27:11 AM	7.268					
10/05/16 11:27:11 AM	5.924					
10/05/16 12:27:11 PM	5.642					
10/05/16 01:27:11 PM	6.940					
10/05/16 02:27:11 PM	7.368					
10/05/16 03:27:11 PM	7.393					
10/05/16 04:27:11 PM	7.419					
10/05/16 05:27:11 PM	7.368					
10/05/16 06:27:11 PM	7.419					
10/05/16 07:27:11 PM	7.393					
10/05/16 08:27:11 PM	7.419					
10/05/16 09:27:11 PM	7.318					
10/05/16 10:27:11 PM	7.268					
10/05/16 11:27:11 PM	7.242					
10/06/16 12:27:11 AM	7.268					
10/06/16 01:27:11 AM	7.368					
10/06/16 02:27:11 AM	7.393					
10/06/16 03:27:11 AM	7.419					
10/06/16 04:27:11 AM	7.419					
10/06/16 05:27:11 AM	7.419					
10/06/16 06:27:11 AM	7.343					
10/06/16 07:27:11 AM	7.368					
10/06/16 08:27:11 AM	6.102					
10/06/16 09:27:11 AM	5.102					
10/06/16 10:27:11 AM	4.895					
10/06/16 11:27:11 AM	5.385					
10/06/16 12:27:11 PM	5.616					
10/06/16 01:27:11 PM	5.076					
10/06/16 02:27:11 PM	6.661					
10/06/16 03:27:11 PM	8.344					
10/06/16 04:27:11 PM	8.543					
10/06/16 05:27:11 PM	9.361					
10/06/16 06:27:11 PM	8.941					
10/06/16 07:27:11 PM	7.519					
10/06/16 08:27:11 PM	7.066					
10/06/16 09:27:11 PM	6.788					
10/06/16 10:27:11 PM	6.611					
10/06/16 11:27:11 PM	7.116					
10/07/16 12:27:11 AM	6.965					
10/07/16 01:27:11 AM	6.788					
10/07/16 02:27:11 AM	6.535					
10/07/16 03:27:11 AM	6.458					
10/07/16 04:27:11 AM	6.990					
10/07/16 05:27:11 AM	6.560					
10/07/16 06:27:11 AM	8.717					
10/07/16 07:27:11 AM	9.336					
10/07/16 08:27:11 AM	10.001					
10/07/16 09:27:11 AM	10.590					
10/07/16 10:27:11 AM	11.807					
10/07/16 11:27:11 AM	12.582					
10/07/16 12:27:11 PM	12.268					
10/07/16 01:27:11 PM	12.147					
10/07/16 02:27:11 PM	12.268					
10/07/16 03:27:11 PM	6.661					
10/07/16 04:27:11 PM	6.661					
10/07/16 05:27:11 PM	6.661					
10/07/16 06:27:11 PM	6.661					
10/07/16 07:27:11 PM	6.661					
10/07/16 08:27:11 PM	6.661					
10/07/16 09:27:11 PM	6.661					
10/07/16 10:27:11 PM	6.661					
10/07/16 11:27:11 PM	6.661					
10/08/16 12:27:11 AM	6.661					
10/08/16 01:27:11 AM	6.661					
10/08/16 02:27:11 AM	6.661					
10/08/16 03:27:11 AM	6.661					
10/08/16 04:27:11 AM	6.661					
10/08/16 05:27:11 AM	6.661					
10/08/16 06:27:11 AM	6.661					
10/08/16 07:27:11 AM	6.661					
10/08/16 08:27:11 AM	6.661					
10/08/16 09:27:11 AM	6.661					
10/08/16 10:27:11 AM	6.661					
10/08/16 11:27:11 AM	6.636					
10/08/16 12:27:11 PM	6.914					
10/08/16 01:27:11 PM	7.116					
10/08/16 02:27:11 PM	6.433					
10/08/16 03:27:11 PM	6.433					
10/08/16 04:27:11 PM	6.433					
10/08/16 05:27:11 PM	6.433					
10/08/16 06:27:11 PM	6.433					
10/08/16 07:27:11 PM	6.433					
10/08/16 08:27:11 PM	6.433					
10/08/16 09:27:11 PM	6.433					
10/08/16 10:27:11 PM	6.433					
10/08/16 11:27:11 PM	6.433					
10/09/16 12:27:11 AM	6.433					
10/09/16 01:27:11 AM	6.433					
10/09/16 02:27:11 AM	6.433					
10/09/16 03:27:11 AM	6.433					
10/09/16 04:27:11 AM	6.433					
10/09/16 05:27:11 AM	6.433					
10/09/16 06:27:11 AM	6.433					
10/09/16 07:27:11 AM	6.433					
10/09/16 08:27:11 AM	6.433					
10/09/16 09:27:11 AM	6.458					
10/09/16 10:27:11 AM	6.433					
10/09/16 11:27:11 AM	7.569					
10/09/16 12:27:11 PM	6.306					
10/09/16 01:27:11 PM	5.642					
10/09/16 02:27:11 PM	10.051					
10/09/16 03:27:11 PM	6.484					
10/09/16 04:27:11 PM	6.484					
10/09/16 05:27:11 PM	6.484					
10/09/16 06:27:11 PM	6.484					
10/09/16 07:27:11 PM	6.484					
10/09/16 08:27:11 PM	6.484					
10/09/16 09:27:11 PM	6.484					
10/09/16 10:27:11 PM	6.484					
10/09/16 11:27:11 PM	6.484					
10/10/16 12:27:11 AM	6.484					
10/10/16 01:27:11 AM	6.484					
10/10/16 02:27:11 AM	6.484					
10/10/16 03:27:11 AM	6.458					
10/10/16 04:27:11 AM	6.509					
10/10/16 05:27:11 AM	6.484					
