"Plot Title: 22"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2403259, SEN S/N: 2403259)","Coupler Detached (LGR S/N: 2403259)","Coupler Attached (LGR S/N: 2403259)","Host Connected (LGR S/N: 2403259)","Stopped (LGR S/N: 2403259)","End Of File (LGR S/N: 2403259)"
1,07/08/16 09:34:51 AM,21.987,,,,,
2,07/08/16 09:34:56 AM,,Logged,,,,
3,07/08/16 10:34:56 AM,25.453,,,,,
4,07/08/16 11:35:01 AM,21.056,,,,,
5,07/08/16 12:35:06 PM,40.372,,,,,
6,07/08/16 01:35:11 PM,6.990,,,,,
7,07/08/16 02:35:16 PM,6.965,,,,,
8,07/08/16 03:35:21 PM,6.965,,,,,
9,07/08/16 04:35:26 PM,6.965,,,,,
10,07/08/16 05:35:31 PM,6.990,,,,,
11,07/08/16 06:35:36 PM,7.015,,,,,
12,07/08/16 07:35:41 PM,7.015,,,,,
13,07/08/16 08:35:46 PM,7.015,,,,,
14,07/08/16 09:35:51 PM,7.015,,,,,
15,07/08/16 10:35:56 PM,6.990,,,,,
16,07/08/16 11:36:01 PM,6.990,,,,,
17,07/09/16 12:36:06 AM,6.965,,,,,
18,07/09/16 01:36:11 AM,6.965,,,,,
19,07/09/16 02:36:16 AM,6.990,,,,,
20,07/09/16 03:36:21 AM,6.990,,,,,
21,07/09/16 04:36:26 AM,7.015,,,,,
22,07/09/16 05:36:31 AM,7.015,,,,,
23,07/09/16 06:36:36 AM,7.041,,,,,
24,07/09/16 07:36:41 AM,7.091,,,,,
25,07/09/16 08:36:46 AM,15.557,,,,,
26,07/09/16 09:36:51 AM,14.816,,,,,
27,07/09/16 10:36:56 AM,15.127,,,,,
28,07/09/16 11:37:01 AM,15.103,,,,,
29,07/09/16 12:37:06 PM,16.296,,,,,
30,07/09/16 01:37:11 PM,16.987,,,,,
31,07/09/16 02:37:16 PM,21.342,,,,,
32,07/09/16 03:37:21 PM,7.770,,,,,
33,07/09/16 04:37:26 PM,7.695,,,,,
34,07/09/16 05:37:31 PM,7.720,,,,,
35,07/09/16 06:37:36 PM,7.645,,,,,
36,07/09/16 07:37:41 PM,7.820,,,,,
37,07/09/16 08:37:46 PM,7.695,,,,,
38,07/09/16 09:37:51 PM,7.745,,,,,
39,07/09/16 10:37:56 PM,7.795,,,,,
40,07/09/16 11:38:01 PM,7.920,,,,,
41,07/10/16 12:38:06 AM,7.820,,,,,
42,07/10/16 01:38:11 AM,8.095,,,,,
43,07/10/16 02:38:16 AM,7.995,,,,,
44,07/10/16 03:38:21 AM,7.770,,,,,
45,07/10/16 04:38:26 AM,7.594,,,,,
46,07/10/16 05:38:31 AM,7.594,,,,,
47,07/10/16 06:38:36 AM,7.695,,,,,
48,07/10/16 07:38:41 AM,7.720,,,,,
49,07/10/16 08:38:46 AM,8.220,,,,,
50,07/10/16 09:38:51 AM,8.120,,,,,
51,07/10/16 10:38:56 AM,8.095,,,,,
52,07/10/16 11:39:01 AM,14.337,,,,,
53,07/10/16 12:39:06 PM,13.810,,,,,
54,07/10/16 01:39:11 PM,13.618,,,,,
55,07/10/16 02:39:16 PM,13.377,,,,,
56,07/10/16 03:39:21 PM,14.457,,,,,
57,07/10/16 04:39:26 PM,14.601,,,,,
58,07/10/16 05:39:31 PM,14.745,,,,,
59,07/10/16 06:39:36 PM,14.840,,,,,
60,07/10/16 07:39:41 PM,15.318,,,,,
61,07/10/16 08:39:46 PM,15.103,,,,,
62,07/10/16 09:39:51 PM,14.888,,,,,
63,07/10/16 10:39:56 PM,14.649,,,,,
64,07/10/16 11:40:01 PM,14.361,,,,,
65,07/11/16 12:40:06 AM,14.074,,,,,
